 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -0.1047 -0.0812 -0.0612 -0.0433 -0.0269 -0.0118  0.0016  0.0129  0.0192  0.0176
  0.0072
 -0.9328 -0.9034 -0.8773 -0.8541 -0.8276 -0.7965 -0.7602 -0.7209 -0.6814 -0.6435
 -0.6071 -0.5716 -0.5357 -0.4993 -0.4633 -0.3692 -0.2835 -0.2145 -0.1652 -0.1322
 -0.1067 -0.0907 -0.0755 -0.0621 -0.0496 -0.0375 -0.0264 -0.0185 -0.0140 -0.0125
 -0.0139
 -0.7962 -0.7869 -0.7740 -0.7580 -0.7435 -0.7252 -0.7014 -0.6722 -0.6393 -0.6050
 -0.5711 -0.5380 -0.5050 -0.4717 -0.4386 -0.3522 -0.2727 -0.2074 -0.1592 -0.1271
 -0.1068 -0.0936 -0.0839 -0.0758 -0.0682 -0.0605 -0.0529 -0.0457 -0.0396 -0.0360
 -0.0378
 -0.6737 -0.6726 -0.6671 -0.6577 -0.6521 -0.6432 -0.6308 -0.6131 -0.5900 -0.5629
 -0.5337 -0.5041 -0.4747 -0.4451 -0.4154 -0.3374 -0.2633 -0.2008 -0.1535 -0.1209
 -0.1011 -0.0905 -0.0853 -0.0827 -0.0807 -0.0783 -0.0756 -0.0725 -0.0694 -0.0672
 -0.0659
 -0.5545 -0.5607 -0.5641 -0.5651 -0.5669 -0.5679 -0.5651 -0.5434 -0.5309 -0.5133
 -0.4915 -0.4673 -0.4421 -0.4165 -0.3905 -0.3228 -0.2536 -0.1942 -0.1476 -0.1148
 -0.0942 -0.0838 -0.0809 -0.0824 -0.0857 -0.0891 -0.0921 -0.0941 -0.0955 -0.0966
 -0.0985
 -0.4385 -0.4510 -0.4649 -0.4801 -0.4879 -0.4994 -0.4812 -0.4812 -0.4767 -0.4548
 -0.4420 -0.4254 -0.4060 -0.3850 -0.3639 -0.3084 -0.2436 -0.1876 -0.1415
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -1.6093 -1.6517 -1.7445 -1.7295 -1.5740 -1.4188 -1.3871 -1.4233 -1.4176 -1.3318
 -1.2159 -1.0881 -0.9765 -0.8846 -0.7927 -0.5788
 -1.5531 -1.5087 -1.5037 -1.4638 -1.3757 -1.2934 -1.2611 -1.2547 -1.2307 -1.1724
 -1.0953 -1.0036 -0.9086 -0.8183 -0.7309 -0.5357 -0.3770 -0.2535 -0.1539
 -1.5095 -1.4072 -1.3344 -1.2720 -1.2192 -1.1778 -1.1451 -1.1152 -1.0820 -1.0414
 -0.9901 -0.9250 -0.8462 -0.7613 -0.6791 -0.4997 -0.3559 -0.2437 -0.1565 -0.0904
 -0.0426
 -1.4785 -1.3472 -1.2366 -1.1541 -1.1045 -1.0720 -1.0391 -1.0048 -0.9715 -0.9388
 -0.9003 -0.8523 -0.7893 -0.7136 -0.6373 -0.4708 -0.3391 -0.2368 -0.1592 -0.0998
 -0.0527 -0.0144  0.0176
 -1.4601 -1.3287 -1.2103 -1.1101 -1.0316 -0.9760 -0.9431 -0.9235 -0.8992 -0.8646
 -0.8259 -0.7855 -0.7379 -0.6752 -0.6055 -0.4490 -0.3266 -0.2328 -0.1620 -0.1077
 -0.0647 -0.0293  0.0005  0.0263  0.0481
 -1.4295 -1.3092 -1.1968 -1.0963 -1.0103 -0.9405 -0.8873 -0.8485 -0.8214 -0.7987
 -0.7681 -0.7290 -0.6885 -0.6396 -0.5793 -0.4327 -0.3170 -0.2299 -0.1654 -0.1163
 -0.0775 -0.0454 -0.0181  0.0055  0.0261  0.0439
 -1.3756 -1.2727 -1.1741 -1.0824 -0.9991 -0.9259 -0.8640 -0.8137 -0.7730 -0.7388
 -0.7081 -0.6757 -0.6392 -0.6004 -0.5519 -0.4193 -0.3091 -0.2266 -0.1674 -0.1237
 -0.0894 -0.0612 -0.0371 -0.0161  0.0027  0.0194  0.0335  0.0434  0.0473  0.0426
 -1.2969 -1.2133 -1.1322 -1.0547 -0.9813 -0.9125 -0.8496 -0.7937 -0.7458 -0.7044
 -0.6667 -0.6304 -0.5938 -0.5589 -0.5195 -0.4052 -0.3017 -0.2224 -0.1665 -0.1275
 -0.0983 -0.0747 -0.0547 -0.0370 -0.0210 -0.0063  0.0064  0.0172  0.0231  0.0213
  0.0109
 -1.1996 -1.1335 -1.0695 -1.0081 -0.9482 -0.8894 -0.8318 -0.7765 -0.7256 -0.6801
 -0.6389 -0.6000 -0.5619 -0.5244 -0.4885 -0.3879 -0.2934 -0.2172 -0.1629 -0.1268
 -0.1022 -0.0838 -0.0686 -0.0553 -0.0431 -0.0316 -0.0210 -0.0119 -0.0051 -0.0029
 -0.0103
 -1.0899 -1.0393 -0.9900 -0.9429 -0.8969 -0.8503 -0.8022 -0.7530 -0.7043 -0.6578
 -0.6149 -0.5751 -0.5369 -0.4991 -0.4631 -0.3695 -0.2826 -0.2104 -0.1572 -0.1221
 -0.1004 -0.0866 -0.0768 -0.0687 -0.0614 -0.0541 -0.0471 -0.0405 -0.0350 -0.0319
 -0.0341
 -0.9768 -0.9391 -0.9016 -0.8658 -0.8314 -0.7966 -0.7596 -0.7196 -0.6773 -0.6341
 -0.5919 -0.5521 -0.5145 -0.4783 -0.4429 -0.3545 -0.2725 -0.2040 -0.1517 -0.1162
 -0.0950 -0.0838 -0.0784 -0.0756 -0.0738 -0.0718 -0.0696 -0.0670 -0.0645 -0.0628
 -0.0620
 -0.8625 -0.8361 -0.8087 -0.7816 -0.7556 -0.7303 -0.7033 -0.6733 -0.6398 -0.6034
 -0.5654 -0.5275 -0.4911 -0.4564 -0.4231 -0.3409 -0.2628 -0.1970 -0.1462 -0.1103
 -0.0882 -0.0773 -0.0741 -0.0755 -0.0789 -0.0826 -0.0859 -0.0885 -0.0903 -0.0920
 -0.0944
 -0.7469 -0.7303 -0.7146 -0.6943 -0.6749 -0.6560 -0.6366 -0.6153 -0.5908 -0.5628
 -0.5317 -0.4987 -0.4651 -0.4325 -0.4037 -0.3287 -0.2535 -0.1894 -0.1407
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F350LP
 -1.9454 -1.8800 -1.8305 -1.7983 -1.7510 -1.6896 -1.6058 -1.5053 -1.3923 -1.2802
 -1.1684 -1.0595 -0.9560 -0.8595 -0.7554 -0.5603
 -1.7926 -1.7243 -1.6624 -1.6030 -1.5445 -1.4826 -1.4126 -1.3322 -1.2455 -1.1587
 -1.0701 -0.9784 -0.8844 -0.7934 -0.7036 -0.5201 -0.3707 -0.2515 -0.1585
 -1.6832 -1.5962 -1.5189 -1.4480 -1.3815 -1.3183 -1.2562 -1.1900 -1.1221 -1.0543
 -0.9844 -0.9090 -0.8265 -0.7420 -0.6615 -0.4880 -0.3500 -0.2409 -0.1561 -0.0906
 -0.0387
 -1.6172 -1.4957 -1.4000 -1.3333 -1.2619 -1.1967 -1.1366 -1.0787 -1.0221 -0.9670
 -0.9113 -0.8513 -0.7823 -0.7053 -0.6291 -0.4640 -0.3347 -0.2337 -0.1558 -0.0956
 -0.0475 -0.0094  0.0224
 -1.5887 -1.4420 -1.3249 -1.2337 -1.1613 -1.1014 -1.0484 -0.9975 -0.9455 -0.8952
 -0.8469 -0.7981 -0.7435 -0.6775 -0.6064 -0.4481 -0.3248 -0.2299 -0.1576 -0.1023
 -0.0587 -0.0231  0.0068  0.0324  0.0538
 -1.5848 -1.4394 -1.3034 -1.1907 -1.1005 -1.0280 -0.9693 -0.9212 -0.8808 -0.8430
 -0.7980 -0.7517 -0.7049 -0.6522 -0.5890 -0.4375 -0.3184 -0.2280 -0.1604 -0.1097
 -0.0701 -0.0378 -0.0106  0.0128  0.0330  0.0500
 -1.5751 -1.4344 -1.2991 -1.1752 -1.0670 -0.9765 -0.9034 -0.8467 -0.8042 -0.7739
 -0.7462 -0.7108 -0.6699 -0.6248 -0.5720 -0.4296 -0.3139 -0.2265 -0.1625 -0.1160
 -0.0808 -0.0524 -0.0284 -0.0076  0.0107  0.0268  0.0401  0.0494  0.0531  0.0487
 -1.5456 -1.4185 -1.2917 -1.1727 -1.0652 -0.9710 -0.8908 -0.8243 -0.7705 -0.7263
 -0.6896 -0.6581 -0.6260 -0.5907 -0.5490 -0.4223 -0.3099 -0.2246 -0.1628 -0.1197
 -0.0888 -0.0649 -0.0449 -0.0275 -0.0119  0.0021  0.0140  0.0239  0.0293  0.0276
  0.0172
 -1.4918 -1.3817 -1.2694 -1.1611 -1.0606 -0.9698 -0.8890 -0.8180 -0.7571 -0.7055
 -0.6607 -0.6206 -0.5840 -0.5501 -0.5163 -0.4106 -0.3051 -0.2215 -0.1610 -0.1198
 -0.0926 -0.0733 -0.0580 -0.0449 -0.0331 -0.0222 -0.0125 -0.0042  0.0017  0.0033
 -0.0041
 -1.4124 -1.3198 -1.2246 -1.1307 -1.0419 -0.9595 -0.8837 -0.8140 -0.7508 -0.6944
 -0.6445 -0.5997 -0.5584 -0.5196 -0.4842 -0.3910 -0.2966 -0.2164 -0.1567 -0.1163
 -0.0913 -0.0760 -0.0658 -0.0578 -0.0507 -0.0440 -0.0377 -0.0321 -0.0275 -0.0253
 -0.0280
 -1.3160 -1.2419 -1.1636 -1.0845 -1.0084 -0.9369 -0.8694 -0.8053 -0.7446 -0.6876
 -0.6350 -0.5871 -0.5432 -0.5021 -0.4636 -0.3729 -0.2863 -0.2107 -0.1522 -0.1115
 -0.0867 -0.0735 -0.0673 -0.0645 -0.0627 -0.0612 -0.0596 -0.0578 -0.0563 -0.0556
 -0.0557
 -1.2116 -1.1514 -1.0884 -1.0235 -0.9599 -0.8993 -0.8415 -0.7854 -0.7306 -0.6770
 -0.6254 -0.5766 -0.5311 -0.4889 -0.4493 -0.3583 -0.2753 -0.2039 -0.1470 -0.1061
 -0.0805 -0.0675 -0.0634 -0.0644 -0.0678 -0.0718 -0.0756 -0.0789 -0.0816 -0.0843
 -0.0874
 -1.1010 -1.0544 -1.0047 -0.9527 -0.9004 -0.8494 -0.8008 -0.7532 -0.7057 -0.6582
 -0.6106 -0.5638 -0.5188 -0.4763 -0.4413 -0.3472 -0.2636 -0.1960 -0.1411
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.2659 -2.2110 -2.1592 -2.1035 -2.0533 -1.9737 -1.8441 -1.6650 -1.4779 -1.3076
 -1.1584 -1.0304 -0.9199 -0.8222 -0.7345 -0.5467
 -2.0911 -2.0242 -1.9636 -1.9031 -1.8419 -1.7635 -1.6501 -1.4989 -1.3452 -1.2036
 -1.0764 -0.9624 -0.8596 -0.7670 -0.6833 -0.5060 -0.3632 -0.2477 -0.1565
 -1.9543 -1.8752 -1.8047 -1.7372 -1.6674 -1.5894 -1.4901 -1.3633 -1.2359 -1.1171
 -1.0083 -0.9076 -0.8133 -0.7258 -0.6456 -0.4762 -0.3425 -0.2365 -0.1525 -0.0863
 -0.0337
 -1.8555 -1.7640 -1.6825 -1.6058 -1.5299 -1.4515 -1.3641 -1.2582 -1.1500 -1.0481
 -0.9541 -0.8660 -0.7810 -0.6986 -0.6214 -0.4573 -0.3295 -0.2296 -0.1513 -0.0900
 -0.0416 -0.0023  0.0300
 -1.7842 -1.6691 -1.5775 -1.4990 -1.4207 -1.3412 -1.2595 -1.1702 -1.0772 -0.9883
 -0.9059 -0.8292 -0.7548 -0.6797 -0.6060 -0.4461 -0.3220 -0.2262 -0.1523 -0.0951
 -0.0505 -0.0143  0.0157  0.0411  0.0621
 -1.7459 -1.6074 -1.4891 -1.3885 -1.3030 -1.2307 -1.1660 -1.0939 -1.0152 -0.9366
 -0.8623 -0.7936 -0.7287 -0.6632 -0.5951 -0.4397 -0.3181 -0.2252 -0.1546 -0.1009
