 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F775W
  0.5785  0.5776  0.5784  0.5806  0.5834  0.5953  0.6042  0.6011  0.5839  0.5544
  0.5167  0.4760  0.4355  0.3968  0.3599  0.3245  0.2898  0.2555  0.2208  0.1847
  0.1464
  0.8381  0.8106  0.7848  0.7606  0.7348  0.7088  0.6843  0.6752  0.6559  0.6404
  0.6288  0.6206  0.6151  0.6118  0.6102  0.6115  0.6174  0.6134  0.5970  0.5691
  0.5323  0.4901  0.4456  0.4016  0.3595  0.3198  0.2817  0.2451  0.2093  0.1734
  0.1366
  0.9431  0.9229  0.8888  0.8423  0.8126  0.7807  0.7730  0.7453  0.7202  0.7075
  0.6874  0.6709  0.6580  0.6481  0.6399  0.6275  0.6298  0.6250  0.6092
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F775W
 -0.1034 -0.1265 -0.2142 -0.2234 -0.1212 -0.0162 -0.0091 -0.0544 -0.0592  0.0071
  0.0995  0.2026  0.2914  0.3598  0.4246  0.5559
 -0.0706 -0.0274 -0.0339 -0.0202  0.0287  0.0728  0.0777  0.0644  0.0700  0.1074
  0.1619  0.2295  0.2998  0.3645  0.4245  0.5425  0.6102  0.6373  0.6465
 -0.0451  0.0409  0.0897  0.1230  0.1443  0.1547  0.1587  0.1627  0.1722  0.1900
  0.2183  0.2591  0.3118  0.3695  0.4239  0.5300  0.5910  0.6147  0.6178  0.6058
  0.5808
 -0.0269  0.0784  0.1566  0.2062  0.2256  0.2295  0.2339  0.2405  0.2474  0.2549
  0.2687  0.2914  0.3274  0.3748  0.4228  0.5184  0.5741  0.5952  0.5946  0.5822
  0.5623  0.5363  0.5049
 -0.0160  0.0851  0.1668  0.2294  0.2726  0.2972  0.3033  0.2978  0.2956  0.3021
  0.3131  0.3264  0.3466  0.3804  0.4212  0.5077  0.5595  0.5788  0.5770  0.5645
  0.5455  0.5216  0.4932  0.4608  0.4235
  0.0114  0.1003  0.1753  0.2371  0.2856  0.3208  0.3434  0.3551  0.3572  0.3546
  0.3567  0.3651  0.3751  0.3937  0.4242  0.5007  0.5492  0.5672  0.5634  0.5496
  0.5305  0.5074  0.4806  0.4504  0.4164  0.3785
  0.0642  0.1365  0.1989  0.2526  0.2982  0.3351  0.3632  0.3831  0.3963  0.4046
  0.4093  0.4137  0.4194  0.4258  0.4411  0.4999  0.5445  0.5616  0.5555  0.5387
  0.5178  0.4941  0.4678  0.4388  0.4072  0.3726  0.3344  0.2904  0.2401  0.1878
  0.1417  0.1967  0.2441  0.2856  0.3225  0.3549  0.3824  0.4048  0.4220  0.4352
  0.4462  0.4556  0.4642  0.4692  0.4762  0.5106  0.5464  0.5623  0.5548  0.5339
  0.5092  0.4831  0.4557  0.4267  0.3960  0.3634  0.3281  0.2898  0.2456  0.1943
  0.1404
  0.2370  0.2773  0.3108  0.3391  0.3644  0.3879  0.4100  0.4300  0.4473  0.4617
