 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F140W
  1.2668  1.1675  1.0679  0.9692  0.8726  0.7785  0.6865  0.5964  0.5077  0.4199
  0.3312
  1.9039  1.9285  1.9446  1.9530  1.9568  1.9557  1.9509  1.9288  1.9182  1.9048
  1.8885  1.8690  1.8461  1.8199  1.7907  1.7103  1.6266  1.5424  1.4533  1.3598
  1.2638  1.1662  1.0677  0.9693  0.8723  0.7776  0.6853  0.5954  0.5074  0.4210
  0.3356
  1.8203  1.8260  1.8557  1.9069  1.9191  1.9251  1.8999  1.8987  1.8937  1.8704
  1.8598  1.8457  1.8278  1.8062  1.7838  1.7072  1.6195  1.5355  1.4485
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F140W
  2.0295  2.0267  2.0418  2.0878  2.1310  2.1279  2.1126  2.1195  2.1274  2.1168
  2.1009  2.0862  2.0722  2.0504  2.0227  1.9322
  2.0266  2.0233  2.0295  2.0525  2.0764  2.0840  2.0864  2.0938  2.0968  2.0885
  2.0742  2.0570  2.0381  2.0146  1.9867  1.8998  1.7953  1.6830  1.5695
  2.0298  2.0249  2.0237  2.0297  2.0387  2.0495  2.0599  2.0668  2.0675  2.0614
  2.0488  2.0307  2.0089  1.9840  1.9557  1.8711  1.7711  1.6622  1.5505  1.4375
  1.3237
  2.0391  2.0315  2.0244  2.0194  2.0179  2.0244  2.0331  2.0385  2.0395  2.0355
  2.0247  2.0073  1.9846  1.9586  1.9297  1.8461  1.7495  1.6439  1.5343  1.4242
  1.3144  1.2049  1.0957
  2.0545  2.0431  2.0316  2.0216  2.0140  2.0087  2.0060  2.0089  2.0128  2.0108
  2.0019  1.9868  1.9652  1.9384  1.9087  1.8248  1.7305  1.6281  1.5210  1.4131
  1.3058  1.1992  1.0933  0.9879  0.8826
  2.0762  2.0612  2.0461  2.0317  2.0186  2.0072  1.9975  1.9887  1.9815  1.9778
  1.9732  1.9627  1.9458  1.9216  1.8918  1.8072  1.7139  1.6141  1.5096  1.4035
  1.2979  1.1934  1.0899  0.9871  0.8849  0.7829
  2.1023  2.0838  2.0656  2.0479  2.0307  2.0142  1.9987  1.9839  1.9691  1.9546
  1.9420  1.9308  1.9175  1.8994  1.8747  1.7927  1.6998  1.6018  1.4997  1.3953
  1.2909  1.1877  1.0859  0.9851  0.8854  0.7863  0.6876  0.5886  0.4893  0.3928
  2.1272  2.1066  2.0861  2.0661  2.0465  2.0267  2.0069  1.9872  1.9673  1.9472
  1.9270  1.9077  1.8898  1.8717  1.8507  1.7784  1.6879  1.5912  1.4910  1.3883
  1.2850  1.1825  1.0817  0.9823  0.8844  0.7875  0.6913  0.5957  0.4996  0.4029
  0.3086
  2.1422  2.1232  2.1026  2.0816  2.0608  2.0395  2.0176  1.9950  1.9717  1.9476
  1.9232  1.8986  1.8744  1.8512  1.8282  1.7608  1.6763  1.5820  1.4834  1.3825
  1.2803  1.1783  1.0778  0.9791  0.8823  0.7871  0.6929  0.5996  0.5067  0.4135
  0.3191
  2.1397  2.1256  2.1084  2.0890  2.0688  2.0477  2.0256  2.0022  1.9774  1.9512
  1.9241  1.8964  1.8684  1.8408  1.8138  1.7436  1.6629  1.5721  1.4756  1.3763
  1.2754  1.1739  1.0732  0.9744  0.8779  0.7834  0.6904  0.5988  0.5081  0.4178
  0.3269
  2.1154  2.1080  2.0976  2.0831  2.0661  2.0474  2.0268  2.0046  1.9804  1.9543
  1.9266  1.8976  1.8677  1.8374  1.8072  1.7314  1.6515  1.5637  1.4696  1.3721
  1.2728  1.1725  1.0723  0.9732  0.8763  0.7818  0.6895  0.5990  0.5099  0.4218
  0.3328
  2.0686  2.0697  2.0663  2.0592  2.0484  2.0340  2.0171  1.9978  1.9762  1.9521
  1.9258  1.8975  1.8675  1.8363  1.8045  1.7240  1.6418  1.5560  1.4641  1.3683
  1.2705  1.1716  1.0723  0.9734  0.8761  0.7810  0.6884  0.5981  0.5098  0.4231
  0.3374
  1.9993  2.0107  2.0162  2.0162  2.0125  2.0046  1.9931  1.9785  1.9611  1.9408
  1.9178  1.8920  1.8639  1.8338  1.8057  1.7214  1.6338  1.5490  1.4591
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F140W
  2.0754  2.0898  2.1043  2.1146  2.1264  2.1341  2.1372  2.1330  2.1235  2.1103
  2.0952  2.0789  2.0608  2.0381  2.0080  1.9265
  2.0524  2.0621  2.0736  2.0860  2.0970  2.1046  2.1072  2.1038  2.0950  2.0819
  2.0654  2.0466  2.0260  2.0026  1.9746  1.8937  1.7957  1.6856  1.5710
  2.0417  2.0456  2.0522  2.0607  2.0694  2.0761  2.0787  2.0765  2.0692  2.0572
  2.0408  2.0209  1.9986  1.9742  1.9468  1.8659  1.7706  1.6647  1.5535  1.4407
  1.3276
  2.0433  2.0403  2.0401  2.0387  2.0435  2.0485  2.0517  2.0511  2.0461  2.0362
  2.0214  2.0018  1.9786  1.9529  1.9246  1.8431  1.7495  1.6468  1.5385  1.4286
  1.3187  1.2091  1.0993
  2.0518  2.0437  2.0368  2.0311  2.0270  2.0250  2.0256  2.0273  2.0243  2.0166
  2.0042  1.9865  1.9638  1.9372  1.9080  1.8253  1.7324  1.6319  1.5260  1.4183
  1.3108  1.2039  1.0975  0.9916  0.8858
  2.0629  2.0531  2.0414  2.0299  2.0196  2.0108  2.0039  1.9992  1.9969  1.9951
  1.9866  1.9718  1.9514  1.9256  1.8959  1.8118  1.7188  1.6196  1.5157  1.4095
  1.3036  1.1986  1.0947  0.9914  0.8886  0.7863
  2.0806  2.0678  2.0531  2.0374  2.0215  2.0068  1.9936  1.9816  1.9706  1.9623
  1.9575  1.9499  1.9358  1.9145  1.8866  1.8018  1.7082  1.6097  1.5071  1.4023
  1.2973  1.1936  1.0912  0.9899  0.8896  0.7900  0.6908  0.5914  0.4920  0.3956
  2.1068  2.0892  2.0714  2.0526  2.0335  2.0146  1.9963  1.9791  1.9624  1.9461
  1.9309  1.9186  1.9075  1.8932  1.8727  1.7941  1.7002  1.6017  1.5002  1.3964
  1.2922  1.1890  1.0875  0.9876  0.8891  0.7917  0.6949  0.5988  0.5024  0.4057
  0.3114
  2.1371  2.1162  2.0948  2.0731  2.0513  2.0293  2.0073  1.9855  1.9640  1.9427
  1.9217  1.9013  1.8825  1.8656  1.8481  1.7840  1.6937  1.5954  1.4945  1.3918
  1.2882  1.1853  1.0841  0.9849  0.8876  0.7917  0.6969  0.6031  0.5098  0.4162
  0.3218
  2.1653  2.1443  2.1204  2.0961  2.0718  2.0475  2.0229  1.9979  1.9726  1.9470
  1.9215  1.8962  1.8715  1.8481  1.8261  1.7660  1.6847  1.5889  1.4887  1.3868
  1.2841  1.1814  1.0800  0.9807  0.8836  0.7885  0.6949  0.6027  0.5115  0.4207
  0.3296
  2.1821  2.1634  2.1408  2.1163  2.0911  2.0655  2.0395  2.0129  1.9853  1.9569
  1.9280  1.8989  1.8701  1.8420  1.8149  1.7489  1.6731  1.5828  1.4847  1.3841
  1.2825  1.1807  1.0795  0.9798  0.8823  0.7873  0.6944  0.6033  0.5137  0.4250
  0.3357
  2.1793  2.1662  2.1481  2.1268  2.1033  2.0784  2.0525  2.0257  1.9976  1.9682
  1.9376  1.9061  1.8743  1.8428  1.8119  1.7375  1.6612  1.5753  1.4805  1.3816
  1.2812  1.1804  1.0800  0.9803  0.8824  0.7868  0.6936  0.6028  0.5140  0.4267
  0.3405
  2.1553  2.1484  2.1368  2.1212  2.1023  2.0808  2.0573  2.0320  2.0051  1.9764
  1.9460  1.9141  1.8810  1.8474  1.8171  1.7318  1.6490  1.5664  1.4761
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F140W
  2.1220  2.1340  2.1479  2.1623  2.1714  2.1745  2.1686  2.1531  2.1317  2.1088
  2.0869  2.0665  2.0461  2.0237  1.9986  1.9212
  2.1091  2.1198  2.1319  2.1439  2.1521  2.1537  2.1466  2.1304  2.1090  2.0853
  2.0614  2.0381  2.0153  1.9914  1.9652  1.8873  1.7943  1.6891  1.5760
  2.0972  2.1052  2.1147  2.1242  2.1312  2.1323  2.1255  2.1103  2.0900  2.0667
  2.0420  2.0169  1.9921  1.9667  1.9394  1.8605  1.7690  1.6674  1.5586  1.4466
  1.3334
  2.0863  2.0902  2.0963  2.1032  2.1087  2.1103  2.1053  2.0928  2.0747  2.0530
  2.0287  2.0029  1.9765  1.9496  1.9212  1.8408  1.7494  1.6499  1.5443  1.4353
  1.3253  1.2154  1.1055
  2.0825  2.0820  2.0805  2.0823  2.0857  2.0872  2.0842  2.0750  2.0600  2.0407
