 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F098M
  0.7718  0.7010  0.6324  0.5669  0.5046  0.4453  0.3885  0.3340  0.2813  0.2295
  0.1780
  1.5987  1.5523  1.5095  1.4699  1.4294  1.3891  1.3503  1.3250  1.2899  1.2574
  1.2273  1.1993  1.1734  1.1492  1.1264  1.0747  1.0290  0.9782  0.9200  0.8549
  0.7849  0.7127  0.6406  0.5705  0.5036  0.4399  0.3791  0.3210  0.2653  0.2112
  0.1581
  1.6302  1.5994  1.5554  1.4996  1.4625  1.4223  1.4062  1.3677  1.3305  1.3016
  1.2670  1.2344  1.2039  1.1754  1.1486  1.0867  1.0383  0.9873  0.9301
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F098M
  1.4558  1.3697  1.2282  1.1341  1.1213  1.1202  1.0592  0.9698  0.9200  0.9340
  0.9725  1.0186  1.0560  1.0807  1.1028  1.1322
  1.3699  1.3264  1.2490  1.1862  1.1521  1.1207  1.0677  1.0080  0.9690  0.9610
  0.9710  0.9932  1.0198  1.0438  1.0645  1.0911  1.0772  1.0376  0.9932
  1.3042  1.2877  1.2536  1.2149  1.1730  1.1277  1.0820  1.0406  1.0077  0.9856
  0.9761  0.9798  0.9951  1.0154  1.0336  1.0567  1.0447  1.0068  0.9592  0.9061
  0.8483
  1.2587  1.2536  1.2420  1.2202  1.1840  1.1412  1.1021  1.0676  1.0361  1.0078
  0.9878  0.9784  0.9819  0.9955  1.0101  1.0290  1.0178  0.9814  0.9323  0.8791
  0.8250  0.7711  0.7179
  1.2334  1.2241  1.2142  1.2021  1.1851  1.1612  1.1280  1.0890  1.0542  1.0276
  1.0061  0.9890  0.9802  0.9841  0.9940  1.0080  0.9965  0.9614  0.9126  0.8595
  0.8055  0.7519  0.6991  0.6480  0.5968
  1.2343  1.2165  1.2016  1.1888  1.1761  1.1612  1.1423  1.1188  1.0902  1.0591
  1.0325  1.0114  0.9932  0.9844  0.9866  0.9941  0.9816  0.9472  0.8979  0.8439
  0.7893  0.7351  0.6819  0.6299  0.5789  0.5285
  1.2597  1.2315  1.2084  1.1902  1.1757  1.1625  1.1485  1.1322  1.1135  1.0925
  1.0696  1.0469  1.0256  1.0060  0.9948  0.9880  0.9734  0.9393  0.8890  0.8328
  0.7764  0.7208  0.6664  0.6133  0.5617  0.5113  0.4614  0.4088  0.3519  0.2935
  1.3058  1.2674  1.2348  1.2087  1.1885  1.1723  1.1581  1.1442  1.1290  1.1127
  1.0955  1.0778  1.0600  1.0398  1.0220  0.9937  0.9721  0.9376  0.8867  0.8275
  0.7678  0.7097  0.6532  0.5983  0.5452  0.4938  0.4433  0.3934  0.3405  0.2824
  0.2220
  1.3662  1.3204  1.2792  1.2443  1.2164  1.1942  1.1764  1.1609  1.1460  1.1307
  1.1151  1.0995  1.0839  1.0678  1.0499  1.0129  0.9793  0.9417  0.8904  0.8289
  0.7651  0.7030  0.6433  0.5858  0.5304  0.4771  0.4253  0.3746  0.3239  0.2707
  0.2113
  1.4329  1.3833  1.3368  1.2948  1.2591  1.2297  1.2058  1.1858  1.1682  1.1515
  1.1352  1.1190  1.1033  1.0879  1.0713  1.0330  0.9934  0.9504  0.8983  0.8355
  0.7681  0.7013  0.6373  0.5761  0.5175  0.4614  0.4073  0.3549  0.3036  0.2520
  0.1976
  1.4989  1.4500  1.4018  1.3561  1.3145  1.2784  1.2474  1.2214  1.1989  1.1786
  1.1597  1.1415  1.1239  1.1069  1.0900  1.0500  1.0087  0.9624  0.9093  0.8469
  0.7780  0.7076  0.6389  0.5732  0.5105  0.4508  0.3934  0.3384  0.2851  0.2328
  0.1808
  1.5627  1.5156  1.4681  1.4221  1.3781  1.3370  1.3001  1.2677  1.2392  1.2137
  1.1906  1.1688  1.1482  1.1284  1.1094  1.0648  1.0223  0.9746  0.9204  0.8589
  0.7906  0.7189  0.6469  0.5767  0.5095  0.4454  0.3841  0.3255  0.2693  0.2147
  0.1611
  1.6244  1.5801  1.5313  1.4874  1.4434  1.4008  1.3603  1.3226  1.2884  1.2573
  1.2289  1.2025  1.1777  1.1542  1.1295  1.0774  1.0342  0.9870  0.9316
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F098M
  1.2588  1.2120  1.1613  1.1131  1.0672  1.0251  0.9899  0.9647  0.9527  0.9550
  0.9705  0.9954  1.0239  1.0509  1.0736  1.1110
  1.3382  1.2954  1.2435  1.1873  1.1306  1.0772  1.0307  0.9937  0.9683  0.9561
  0.9577  0.9717  0.9940  1.0177  1.0383  1.0706  1.0708  1.0397  0.9918
  1.3653  1.3351  1.2908  1.2373  1.1801  1.1236  1.0715  1.0269  0.9918  0.9680
  0.9571  0.9595  0.9734  0.9924  1.0102  1.0373  1.0364  1.0082  0.9623  0.9096
  0.8549
  1.3401  1.3311  1.3032  1.2631  1.2158  1.1642  1.1123  1.0643  1.0232  0.9907
  0.9687  0.9588  0.9621  0.9750  0.9893  1.0111  1.0086  0.9823  0.9381  0.8862
  0.8326  0.7785  0.7244
  1.2952  1.2984  1.2858  1.2596  1.2237  1.1819  1.1374  1.0933  1.0533  1.0181
  0.9900  0.9702  0.9614  0.9656  0.9756  0.9920  0.9874  0.9620  0.9192  0.8676
  0.8138  0.7599  0.7068  0.6551  0.6031
  1.2642  1.2595  1.2515  1.2362  1.2139  1.1861  1.1540  1.1187  1.0809  1.0434
  1.0133  0.9895  0.9726  0.9654  0.9691  0.9795  0.9725  0.9470  0.9050  0.8531
  0.7985  0.7439  0.6902  0.6376  0.5858  0.5347
  1.2566  1.2445  1.2317  1.2189  1.2053  1.1890  1.1691  1.1451  1.1170  1.0839
  1.0496  1.0198  0.9949  0.9778  0.9712  0.9734  0.9637  0.9376  0.8957  0.8429
  0.7866  0.7304  0.6754  0.6216  0.5693  0.5180  0.4671  0.4137  0.3564  0.2981
  1.2716  1.2502  1.2303  1.2125  1.1971  1.1827  1.1679  1.1512  1.1321  1.1110
  1.0879  1.0622  1.0358  1.0104  0.9909  0.9737  0.9607  0.9336  0.8915  0.8374
  0.7786  0.7199  0.6628  0.6073  0.5534  0.5011  0.4498  0.3988  0.3452  0.2870
  0.2266
  1.3072  1.2757  1.2473  1.2227  1.2020  1.1850  1.1704  1.1566  1.1418  1.1257
  1.1087  1.0909  1.0718  1.0500  1.0272  0.9869  0.9632  0.9344  0.8922  0.8374
  0.7759  0.7138  0.6535  0.5953  0.5392  0.4851  0.4324  0.3808  0.3291  0.2752
  0.2156
  1.3604  1.3203  1.2829  1.2499  1.2224  1.2000  1.1819  1.1668  1.1528  1.1387
  1.1240  1.1089  1.0936  1.0773  1.0585  1.0134  0.9747  0.9397  0.8966  0.8416
  0.7780  0.7121  0.6478  0.5860  0.5268  0.4699  0.4149  0.3617  0.3094  0.2570
  0.2020
  1.4247  1.3790  1.3348  1.2945  1.2594  1.2301  1.2062  1.1868  1.1703  1.1552
  1.1406  1.1258  1.1109  1.0960  1.0802  1.0379  0.9944  0.9511  0.9052  0.8504
  0.7864  0.7178  0.6494  0.5833  0.5201  0.4597  0.4016  0.3456  0.2915  0.2383
  0.1855
  1.4939  1.4467  1.3985  1.3530  1.3117  1.2754  1.2446  1.2190  1.1976  1.1790
  1.1620  1.1456  1.1295  1.1136  1.0977  1.0568  1.0134  0.9662  0.9163  0.8611
  0.7977  0.7283  0.6570  0.5868  0.5192  0.4545  0.3926  0.3332  0.2761  0.2206
  0.1662
  1.5669  1.5176  1.4689  1.4211  1.3757  1.3339  1.2968  1.2645  1.2368  1.2127
  1.1914  1.1717  1.1527  1.1343  1.1110  1.0701  1.0317  0.9850  0.9299
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F098M
  1.1791  1.1480  1.1122  1.0745  1.0368  1.0031  0.9764  0.9583  0.9480  0.9487
  0.9612  0.9822  1.0068  1.0309  1.0530  1.0905
  1.2671  1.2312  1.1885  1.1425  1.0957  1.0515  1.0131  0.9825  0.9598  0.9478
  0.9485  0.9610  0.9810  1.0022  1.0212  1.0523  1.0592  1.0408  0.9997
  1.3299  1.2967  1.2534  1.2041  1.1522  1.1011  1.0542  1.0140  0.9813  0.9584
  0.9479  0.9505  0.9637  0.9809  0.9969  1.0223  1.0260  1.0077  0.9692  0.9194
  0.8653
  1.3675  1.3445  1.3069  1.2593  1.2063  1.1519  1.0997  1.0528  1.0125  0.9805
  0.9594  0.9507  0.9549  0.9670  0.9801  1.0005  1.0009  0.9820  0.9454  0.8969
  0.8438  0.7903  0.7366
  1.3543  1.3507  1.3358  1.2983  1.2514  1.1985  1.1450  1.0947  1.0495  1.0111
  0.9813  0.9620  0.9552  0.9599  0.9694  0.9851  0.9826  0.9626  0.9269  0.8793
  0.8262  0.7721  0.7185  0.6660  0.6130
  1.3153  1.3252  1.3217  1.3052  1.2758  1.2338  1.1820  1.1309  1.0843  1.0437
  1.0096  0.9831  0.9659  0.9606  0.9646  0.9753  0.9699  0.9487  0.9129  0.8657
  0.8122  0.7572  0.7028  0.6494  0.5969  0.5441
  1.2847  1.2907  1.2907  1.2841  1.2693  1.2459  1.2126  1.1693  1.1219  1.0766
  1.0381  1.0081  0.9855  0.9708  0.9664  0.9703  0.9623  0.9395  0.9032  0.8558
  0.8013  0.7449  0.6891  0.6344  0.5811  0.5286  0.4762  0.4215  0.3634  0.3053
  1.2731  1.2733  1.2687  1.2607  1.2493  1.2335  1.2123  1.1860  1.1553  1.1205
  1.0824  1.0453  1.0143  0.9913  0.9772  0.9699  0.9588  0.9345  0.8976  0.8497
  0.7941  0.7355  0.6776  0.6211  0.5662  0.5127  0.4600  0.4072  0.3527  0.2940
  0.2341
  1.2788  1.2721  1.2619  1.2496  1.2360  1.2216  1.2054  1.1867  1.1650  1.1412
  1.1160  1.0889  1.0596  1.0308  1.0059  0.9747  0.9595  0.9335  0.8959  0.8475
  0.7930  0.7300  0.6693  0.6101  0.5530  0.4976  0.4436  0.3911  0.3382  0.2825
  0.2227
  1.3038  1.2867  1.2700  1.2519  1.2341  1.2172  1.2013  1.1856  1.1690  1.1510
  1.1320  1.1123  1.0921  1.0700  1.0461  0.9950  0.9645  0.9359  0.8973  0.8487
  0.7912  0.7282  0.6642  0.6016  0.5413  0.4833  0.4270  0.3724  0.3187  0.2649
  0.2090
  1.3469  1.3198  1.2953  1.2698  1.2463  1.2250  1.2062  1.1895  1.1742  1.1592
  1.1436  1.1274  1.1110  1.0941  1.0759  1.0265  0.9808  0.9429  0.9028  0.8542
  0.7969  0.7327  0.6656  0.5993  0.5353  0.4738  0.4144  0.3572  0.3017  0.2471
  0.1929
  1.4055  1.3703  1.3366  1.3044  1.2742  1.2470  1.2233  1.2032  1.1859  1.1704
  1.1557  1.1410  1.1260  1.1107  1.0950  1.0523  1.0049  0.9574  0.9118  0.8624
  0.8056  0.7413  0.6725  0.6027  0.5346  0.4691  0.4060  0.3455  0.2871  0.2303
  0.1746
  1.4776  1.4361  1.3954  1.3559  1.3189  1.2852  1.2554  1.2299  1.2082  1.1895
  1.1730  1.1574  1.1420  1.1267  1.1034  1.0724  1.0368  0.9794  0.9243
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F098M
  0.9698  0.9496  0.9321  0.9196  0.9140  0.9166  0.9294  0.9493  0.9620  0.9655
  0.9749  0.9891  1.0062  1.0247  1.0424  1.0743
  1.0921  1.0652  1.0373  1.0117  0.9907  0.9762  0.9702  0.9705  0.9662  0.9610
  0.9616  0.9701  0.9842  1.0004  1.0158  1.0421  1.0507  1.0396  1.0089
  1.1937  1.1654  1.1322  1.0979  1.0654  1.0372  1.0155  0.9997  0.9830  0.9679
  0.9596  0.9608  0.9700  0.9830  0.9960  1.0174  1.0211  1.0079  0.9774  0.9331
  0.8813
  1.2746  1.2502  1.2168  1.1782  1.1382  1.0995  1.0653  1.0369  1.0102  0.9862
  0.9689  0.9612  0.9636  0.9725  0.9830  1.0002  1.0004  0.9847  0.9540  0.9109
  0.8601  0.8072  0.7531
  1.3284  1.3140  1.2863  1.2491  1.2064  1.1618  1.1186  1.0804  1.0455  1.0138
  0.9881  0.9711  0.9649  0.9679  0.9752  0.9885  0.9858  0.9679  0.9364  0.8938
  0.8434  0.7898  0.7357  0.6824  0.6282
  1.3403  1.3460  1.3321  1.3040  1.2652  1.2199  1.1725  1.1274  1.0860  1.0482
  1.0155  0.9902  0.9746  0.9696  0.9722  0.9811  0.9758  0.9560  0.9234  0.8807
  0.8304  0.7762  0.7214  0.6670  0.6136  0.5593
  1.3078  1.3285  1.3369  1.3302  1.3074  1.2698  1.2226  1.1727  1.1266  1.0849
  1.0479  1.0166  0.9929  0.9789  0.9745  0.9772  0.9695  0.9479  0.9143  0.8710
  0.8205  0.7654  0.7092  0.6536  0.5989  0.5448  0.4903  0.4338  0.3741  0.3155
  1.2827  1.3009  1.3117  1.3144  1.3071  1.2892  1.2604  1.2206  1.1727  1.1243
  1.0812  1.0453  1.0170  0.9962  0.9834  0.9767  0.9664  0.9432  0.9087  0.8647
  0.8135  0.7574  0.6994  0.6418  0.5856  0.5304  0.4759  0.4211  0.3644  0.3044
  0.2446
  1.2726  1.2864  1.2934  1.2946  1.2905  1.2798  1.2618  1.2365  1.2045  1.1672
  1.1269  1.0866  1.0504  1.0213  1.0008  0.9799  0.9664  0.9416  0.9061  0.8617
  0.8099  0.7525  0.6925  0.6325  0.5738  0.5168  0.4609  0.4059  0.3503  0.2937
  0.2331
  1.2737  1.2837  1.2864  1.2839  1.2773  1.2671  1.2531  1.2347  1.2115  1.1842
  1.1548  1.1243  1.0935  1.0629  1.0350  0.9895  0.9695  0.9427  0.9061  0.8610
  0.8086  0.7502  0.6881  0.6252  0.5635  0.5038  0.4456  0.3891  0.3333  0.2774
  0.2199
  1.2880  1.2909  1.2895  1.2830  1.2731  1.2606  1.2463  1.2303  1.2121  1.1913
  1.1685  1.1446  1.1208  1.0973  1.0736  1.0170  0.9774  0.9473  0.9096  0.8642
  0.8115  0.7526  0.6889  0.6233  0.5583  0.4953  0.4343  0.3753  0.3178  0.2611
  0.2045
  1.3193  1.3128  1.3038  1.2925  1.2788  1.2630  1.2464  1.2296  1.2126  1.1951
  1.1767  1.1574  1.1376  1.1180  1.0988  1.0494  0.9993  0.9562  0.9161  0.8700
  0.8173  0.7582  0.6937  0.6260  0.5579  0.4913  0.4268  0.3647  0.3044  0.2457
  0.1881
  1.3713  1.3535  1.3349  1.3160  1.2968  1.2769  1.2568  1.2374  1.2190  1.2016
  1.1848  1.1679  1.1508  1.1335  1.1106  1.0867  1.0352  0.9694  0.9256
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = F098M
  0.8552  0.8411  0.8318  0.8306  0.8405  0.8630  0.8980  0.9409  0.9666  0.9749
  0.9840  0.9965  1.0114  1.0275  1.0434  1.0733
  0.9925  0.9702  0.9489  0.9325  0.9243  0.9260  0.9388  0.9584  0.9668  0.9675
  0.9697  0.9774  0.9899  1.0043  1.0183  1.0428  1.0500  1.0408  1.0141
  1.1085  1.0836  1.0555  1.0285  1.0061  0.9906  0.9842  0.9843  0.9794  0.9711
  0.9659  0.9675  0.9759  0.9877  0.9997  1.0197  1.0232  1.0113  0.9835  0.9413
  0.8918
  1.2032  1.1813  1.1516  1.1186  1.0860  1.0569  1.0342  1.0186  1.0024  0.9857
  0.9726  0.9668  0.9694  0.9777  0.9876  1.0040  1.0043  0.9897  0.9608  0.9194
  0.8696  0.8166  0.7619
