 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
 -3.6452 -3.4272 -3.2252 -3.0321 -2.8339 -2.3527 -1.9292 -1.5569 -1.2567 -1.0354
 -0.8687 -0.7353 -0.6228 -0.5247 -0.4371 -0.3580 -0.2866 -0.2217 -0.1648 -0.1173
 -0.0797
 -7.4299 -6.8211 -6.3218 -5.9212 -5.5373 -5.1694 -4.8170 -4.4825 -4.1678 -3.8757
 -3.6099 -3.3715 -3.1566 -2.9590 -2.7669 -2.3174 -1.9143 -1.5671 -1.2958 -1.0542
 -0.8993 -0.7631 -0.6593 -0.5702 -0.4913 -0.4202 -0.3561 -0.2998 -0.2510 -0.2090
 -0.1732
 -7.2789 -6.8897 -6.4605 -5.9959 -5.6149 -5.2492 -4.8965 -4.5578 -4.2338 -3.9275
 -3.6422 -3.3818 -3.1475 -2.9364 -2.7387 -2.3000 -1.9129 -1.5794 -1.2988 -1.0763
 -0.9098 -0.7851 -0.6880 -0.6076 -0.5379 -0.4755 -0.4195 -0.3692 -0.3245 -0.2856
 -0.2552
 -7.3929 -6.9957 -6.5680 -6.1135 -5.7334 -5.3686 -5.0176 -4.6777 -4.3491 -4.0335
 -3.7337 -3.4537 -3.1973 -2.9662 -2.7558 -2.3042 -1.9265 -1.5992 -1.3252 -1.1038
 -0.9332 -0.8059 -0.7108 -0.6370 -0.5760 -0.5227 -0.4756 -0.4335 -0.3962 -0.3636
 -0.3336
 -7.6148 -7.1391 -6.6997 -6.2935 -5.9061 -5.5371 -5.1792 -4.8217 -4.4919 -4.1715
 -3.8622 -3.5675 -3.2912 -3.0379 -2.8084 -2.3261 -1.9450 -1.6224 -1.3502 -1.1291
 -0.9561 -0.8246 -0.7273 -0.6558 -0.6015 -0.5573 -0.5197 -0.4867 -0.4575 -0.4323
 -0.4111
 -7.9446 -7.3200 -6.8557 -6.5358 -6.1330 -5.7546 -5.3289 -4.9885 -4.6553 -4.3239
 -4.0107 -3.7071 -3.4168 -3.1443 -2.8965 -2.3657 -1.9684 -1.6490 -1.3738
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F390M
