 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  z   
  0.2355  0.1775  0.1164  0.0555 -0.0036 -0.0607 -0.1164 -0.1708 -0.2244 -0.2777
 -0.3313
  0.8488  0.8021  0.7559  0.7105  0.6674  0.6281  0.5936  0.5645  0.5409  0.5218
  0.5064  0.4933  0.4815  0.4706  0.4543  0.4332  0.4133  0.3826  0.3423
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  z   
  0.1059  0.1305  0.1440  0.1505  0.1522  0.1537  0.1593  0.1696  0.1769  0.1859
  0.2026  0.2289  0.2617  0.2955  0.3266  0.3859  0.4177  0.4211  0.3989
  0.2114  0.2409  0.2546  0.2563  0.2500  0.2392  0.2290  0.2216  0.2137  0.2091
  0.2129  0.2280  0.2530  0.2819  0.3095  0.3619  0.3893  0.3914  0.3709  0.3363
  0.2849  0.3224  0.3404  0.3423  0.3322  0.3142  0.2933  0.2740  0.2554  0.2403
  0.2323  0.2351  0.2501  0.2732  0.2973  0.3437  0.3670  0.3680  0.3488  0.3152
  0.2747
  0.3209  0.3740  0.4047  0.4086  0.3991  0.3789  0.3529  0.3262  0.3006  0.2778
  0.2606  0.2520  0.2550  0.2698  0.2896  0.3305  0.3504  0.3501  0.3315  0.2987
  0.2581  0.2145
  0.3271  0.3917  0.4327  0.4523  0.4525  0.4351  0.4043  0.3721  0.3424  0.3160
  0.2940  0.2778  0.2698  0.2735  0.2871  0.3220  0.3388  0.3370  0.3183  0.2858
  0.2449  0.2005  0.1548  0.1080
  0.3186  0.3809  0.4264  0.4557  0.4692  0.4683  0.4531  0.4247  0.3898  0.3554
  0.3270  0.3066  0.2930  0.2867  0.2910  0.3180  0.3317  0.3282  0.3090  0.2765
  0.2348  0.1892  0.1423  0.0947  0.0464 -0.0025 -0.0525 -0.1054 -0.1615 -0.2172
  0.3197  0.3765  0.4177  0.4453  0.4615  0.4672  0.4632  0.4512  0.4327  0.4081
  0.3787  0.3493  0.3258  0.3103  0.3040  0.3183  0.3287  0.3236  0.3036  0.2706
  0.2280  0.1807  0.1322  0.0832  0.0339 -0.0157 -0.0661 -0.1177 -0.1717 -0.2292
 -0.2878
  0.3367  0.3850  0.4198  0.4425  0.4557  0.4619  0.4623  0.4573  0.4474  0.4340
  0.4180  0.3992  0.3773  0.3550  0.3366  0.3241  0.3298  0.3228  0.3021  0.2687
  0.2272  0.1759  0.1251  0.0742  0.0235 -0.0273 -0.0785 -0.1299 -0.1827 -0.2384
 -0.2978
  0.3793  0.4122  0.4379  0.4529  0.4605  0.4632  0.4628  0.4601  0.4548  0.4470
  0.4373  0.4264  0.4143  0.3996  0.3824  0.3474  0.3356  0.3257  0.3041  0.2705
  0.2263  0.1749  0.1212  0.0675  0.0145 -0.0379 -0.0904 -0.1428 -0.1959 -0.2502
 -0.3070
  0.4474  0.4639  0.4761  0.4808  0.4804  0.4769  0.4723  0.4676  0.4629  0.4576
  0.4512  0.4437  0.4356  0.4267  0.4160  0.3832  0.3537  0.3333  0.3099  0.2764
  0.2325  0.1802  0.1237  0.0667  0.0106 -0.0442 -0.0984 -0.1520 -0.2056 -0.2597
 -0.3154
  0.5378  0.5385  0.5355  0.5289  0.5187  0.5070  0.4956  0.4859  0.4780  0.4714
  0.4653  0.4591  0.4523  0.4451  0.4373  0.4124  0.3809  0.3492  0.3195  0.2852
  0.2418  0.1896  0.1314  0.0713  0.0119 -0.0461 -0.1029 -0.1585 -0.2133 -0.2680
 -0.3229
  0.6477  0.6332  0.6163  0.5973  0.5766  0.5557  0.5362  0.5192  0.5053  0.4942
  0.4852  0.4774  0.4699  0.4624  0.4463  0.4350  0.4172  0.3734  0.3329
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  z   
 -0.2345 -0.2083 -0.1846 -0.1575 -0.1229 -0.0732 -0.0009  0.0875  0.1505  0.1863
  0.2114  0.2367  0.2644  0.2928  0.3197  0.3726  0.4056  0.4151  0.4031
 -0.0797 -0.0496 -0.0278 -0.0089  0.0128  0.0424  0.0868  0.1425  0.1815  0.2030
  0.2182  0.2357  0.2582  0.2830  0.3071  0.3545  0.3812  0.3880  0.3751  0.3463
  0.0395  0.0785  0.1036  0.1196  0.1316  0.1446  0.1652  0.1956  0.2173  0.2274
  0.2331  0.2418  0.2571  0.2775  0.2989  0.3414  0.3642  0.3681  0.3544  0.3264
  0.2886
  0.1251  0.1747  0.2074  0.2263  0.2353  0.2386  0.2415  0.2513  0.2587  0.2591
  0.2562  0.2557  0.2624  0.2765  0.2943  0.3324  0.3519  0.3534  0.3388  0.3110
  0.2735  0.2306
  0.1969  0.2541  0.2904  0.3122  0.3222  0.3223  0.3159  0.3099  0.3051  0.2969
  0.2865  0.2778  0.2752  0.2811  0.2937  0.3266  0.3433  0.3429  0.3272  0.2992
  0.2617  0.2184  0.1724  0.1249
  0.2203  0.2970  0.3536  0.3893  0.4045  0.4021  0.3883  0.3697  0.3533  0.3376
  0.3216  0.3067  0.2959  0.2926  0.2980  0.3239  0.3379  0.3356  0.3190  0.2905
  0.2528  0.2089  0.1618  0.1132  0.0637  0.0132 -0.0389 -0.0935 -0.1510 -0.2071
  0.2245  0.3043  0.3677  0.4145  0.4445  0.4582  0.4568  0.4411  0.4151  0.3861
  0.3597  0.3383  0.3223  0.3121  0.3088  0.3243  0.3354  0.3313  0.3137  0.2847
  0.2467  0.2020  0.1536  0.1036  0.0529  0.0016 -0.0506 -0.1043 -0.1602 -0.2190
 -0.2772
  0.2292  0.3078  0.3706  0.4182  0.4519  0.4720  0.4797  0.4761  0.4629  0.4421
  0.4157  0.3868  0.3603  0.3402  0.3282  0.3284  0.3357  0.3299  0.3114  0.2820
  0.2435  0.1979  0.1480  0.0963  0.0440 -0.0085 -0.0616 -0.1153 -0.1705 -0.2274
 -0.2878
