 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
  0.0663  0.0892  0.1085  0.1249  0.1381  0.1609  0.1772  0.1878  0.1896  0.1769
  0.1498  0.1144  0.0768  0.0398  0.0042 -0.0302 -0.0641 -0.0978 -0.1318 -0.1671
 -0.2043
 -0.3307 -0.2571 -0.1944 -0.1392 -0.0920 -0.0526 -0.0193  0.0100  0.0371  0.0627
  0.0869  0.1090  0.1283  0.1449  0.1589  0.1837  0.1994  0.2055  0.2030  0.1898
  0.1635  0.1272  0.0861  0.0443  0.0037 -0.0350 -0.0722 -0.1082 -0.1434 -0.1786
 -0.2147
 -0.2366 -0.1690 -0.1114 -0.0629 -0.0226  0.0104  0.0370  0.0592  0.0789  0.0977
  0.1162  0.1344  0.1515  0.1669  0.1742  0.2004  0.2210  0.2269  0.2190
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.2989 -1.1957 -1.1056 -1.0214 -0.9409 -0.8517 -0.7407 -0.6082 -0.4874 -0.3833
 -0.2914 -0.2081 -0.1324 -0.0646 -0.0043  0.1161  0.1988  0.2462  0.2615
 -1.1302 -1.0179 -0.9228 -0.8389 -0.7609 -0.6839 -0.5969 -0.4972 -0.4063 -0.3261
 -0.2534 -0.1848 -0.1195 -0.0588 -0.0040  0.1057  0.1807  0.2239  0.2391  0.2345
 -1.0115 -0.8905 -0.7889 -0.7018 -0.6253 -0.5560 -0.4874 -0.4118 -0.3409 -0.2778
 -0.2203 -0.1653 -0.1106 -0.0567 -0.0066  0.0949  0.1642  0.2048  0.2201  0.2164
  0.2011
 -0.9251 -0.7848 -0.6779 -0.5946 -0.5211 -0.4560 -0.3972 -0.3389 -0.2827 -0.2320
 -0.1861 -0.1428 -0.0994 -0.0539 -0.0086  0.0857  0.1506  0.1891  0.2043  0.2011
  0.1865  0.1654
 -0.8779 -0.7179 -0.5899 -0.4896 -0.4134 -0.3578 -0.3166 -0.2747 -0.2312 -0.1894
 -0.1509 -0.1157 -0.0820 -0.0465 -0.0076  0.0796  0.1406  0.1771  0.1917  0.1886
  0.1739  0.1531  0.1281  0.0993
 -0.8724 -0.7043 -0.5591 -0.4384 -0.3425 -0.2692 -0.2173 -0.1841 -0.1613 -0.1404
 -0.1155 -0.0873 -0.0590 -0.0314 -0.0011  0.0774  0.1347  0.1691  0.1827  0.1792
  0.1636  0.1419  0.1170  0.0891  0.0583  0.0244 -0.0133 -0.0565 -0.1052 -0.1546
 -0.8738 -0.7052 -0.5559 -0.4282 -0.3225 -0.2383 -0.1732 -0.1240 -0.0877 -0.0636
 -0.0500 -0.0400 -0.0265 -0.0084  0.0135  0.0796  0.1329  0.1652  0.1778  0.1735
  0.1567  0.1331  0.1067  0.0785  0.0485  0.0163 -0.0187 -0.0571 -0.1002 -0.1494
 -0.2006
 -0.8675 -0.7049 -0.5576 -0.4287 -0.3199 -0.2303 -0.1581 -0.1009 -0.0565 -0.0223
  0.0033  0.0206  0.0304  0.0373  0.0457  0.0875  0.1355  0.1655  0.1772  0.1722
  0.1568  0.1279  0.0989  0.0689  0.0382  0.0063 -0.0273 -0.0625 -0.1011 -0.1449
 -0.1952
 -0.8365 -0.6890 -0.5483 -0.4241 -0.3169 -0.2269 -0.1526 -0.0914 -0.0419 -0.0023
  0.0291  0.0540  0.0731  0.0860  0.0937  0.1118  0.1436  0.1703  0.1807  0.1753
  0.1561  0.1274  0.0949  0.0617  0.0286 -0.0045 -0.0383 -0.0730 -0.1093 -0.1484
 -0.1922
 -0.7863 -0.6514 -0.5238 -0.4075 -0.3057 -0.2190 -0.1465 -0.0855 -0.0345  0.0080
  0.0432  0.0719  0.0955  0.1145  0.1287  0.1476  0.1629  0.1797  0.1881  0.1827
  0.1635  0.1333  0.0973  0.0599  0.0232 -0.0126 -0.0480 -0.0833 -0.1191 -0.1561
 -0.1949
 -0.7292 -0.6004 -0.4820 -0.3741 -0.2796 -0.1985 -0.1301 -0.0726 -0.0237  0.0181
  0.0540  0.0847  0.1106  0.1322  0.1500  0.1775  0.1902  0.1970  0.1994  0.1931
  0.1743  0.1440  0.1057  0.0644  0.0232 -0.0166 -0.0552 -0.0927 -0.1295 -0.1664
 -0.2041
 -0.6753 -0.5456 -0.4304 -0.3285 -0.2399 -0.1644 -0.1010 -0.0481 -0.0035  0.0349
  0.0685  0.0982  0.1243  0.1469  0.1576  0.2015  0.2255  0.2222  0.2146
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  i   
