 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  g   
 -2.9109 -2.5139 -2.2167 -1.9849 -1.7924 -1.4058 -1.1082 -0.8785 -0.6948 -0.5407
 -0.4088 -0.2941
 -5.7421 -5.5394 -5.3613 -5.2078 -5.0708 -4.9302 -4.7484 -4.4518 -3.9858 -3.4367
 -2.9322 -2.5297 -2.2233 -1.9849 -1.7890 -1.3987 -1.0959 -0.8635 -0.6821 -0.5333
 -0.4075 -0.2991 -0.2045 -0.1213
 -5.5254 -5.2979 -5.0906 -4.9042 -4.7376 -4.5828 -4.4187 -4.2004 -3.8599 -3.4082
 -2.9466 -2.5520 -2.2403 -1.9956 -1.7958 -1.4024 -1.0946 -0.8571 -0.6754 -0.5299
 -0.4087 -0.3055 -0.2163 -0.1381 -0.0695 -0.0089  0.0448  0.0937  0.1312  0.1535
 -5.3206 -5.0802 -4.8624 -4.6597 -4.4701 -4.2914 -4.1182 -3.9327 -3.6860 -3.3399
 -2.9424 -2.5708 -2.2616 -2.0127 -1.8097 -1.4141 -1.1024 -0.8588 -0.6738 -0.5294
 -0.4115 -0.3125 -0.2280 -0.1548 -0.0910 -0.0356  0.0133  0.0574  0.0966  0.1253
  0.1398
 -5.1801 -4.8541 -4.5924 -4.3835 -4.2044 -4.0341 -3.8600 -3.6779 -3.4791 -3.2234
 -2.9051 -2.5747 -2.2791 -2.0322 -1.8277 -1.4314 -1.1179 -0.8677 -0.6773 -0.5315
 -0.4153 -0.3194 -0.2390 -0.1704 -0.1115 -0.0604 -0.0159  0.0229  0.0571  0.0871
  0.1082
 -5.1766 -4.7875 -4.4442 -4.1580 -3.9254 -3.7322 -3.5616 -3.4022 -3.2345 -3.0398
 -2.8057 -2.5410 -2.2793 -2.0450 -1.8439 -1.4502 -1.1371 -0.8811 -0.6839 -0.5343
 -0.4181 -0.3244 -0.2474 -0.1832 -0.1291 -0.0831 -0.0437 -0.0094  0.0205  0.0462
  0.0676
 -5.2970 -4.8474 -4.4489 -4.0985 -3.7990 -3.5480 -3.3357 -3.1502 -2.9778 -2.8059
 -2.6241 -2.4277 -2.2277 -2.0350 -1.8553 -1.4750 -1.1648 -0.9044 -0.6992 -0.5432
 -0.4243 -0.3310 -0.2561 -0.1952 -0.1453 -0.1041 -0.0698 -0.0406 -0.0153  0.0063
  0.0245
 -5.5068 -5.0077 -4.5585 -4.1566 -3.8035 -3.4982 -3.2374 -3.0135 -2.8164 -2.6365
 -2.4633 -2.2933 -2.1264 -1.9681 -1.8224 -1.4940 -1.1958 -0.9334 -0.7204 -0.5567
 -0.4327 -0.3378 -0.2636 -0.2049 -0.1584 -0.1214 -0.0921 -0.0681 -0.0479 -0.0309
 -0.0211
 -5.7808 -5.2461 -4.7512 -4.3044 -3.9052 -3.5533 -3.2474 -2.9835 -2.7558 -2.5565
 -2.3774 -2.2113 -2.0546 -1.9089 -1.7452 -1.5072 -1.2301 -0.9681 -0.7475
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value =  g   
 -7.3117 -7.2720 -7.1865 -7.0288 -6.7724 -6.3963 -5.8843 -5.2239 -4.4474 -3.7178
 -3.1212 -2.6962 -2.3902 -2.1541 -1.9590 -1.5738 -1.2767 -1.0332 -0.8150
 -6.8690 -6.8047 -6.8565 -6.9056 -6.8354 -6.5523 -5.9810 -5.1542 -4.3654 -3.6398
 -3.0530 -2.6295 -2.3228 -2.0869 -1.8924 -1.5074 -1.2118 -0.9739 -0.7724 -0.5962
 -6.4706 -6.3726 -6.3008 -6.2384 -6.1583 -6.0154 -5.7167 -5.1018 -4.3405 -3.6304
 -3.0444 -2.6109 -2.2945 -2.0533 -1.8565 -1.4685 -1.1702 -0.9348 -0.7405 -0.5739
 -0.4293
 -6.1245 -5.9890 -5.8837 -5.7992 -5.7154 -5.5982 -5.3875 -4.9665 -4.3215 -3.6499
 -3.0691 -2.6214 -2.2921 -2.0418 -1.8405 -1.4480 -1.1455 -0.9092 -0.7193 -0.5595
 -0.4224 -0.3034
 -5.8349 -5.6632 -5.5212 -5.4051 -5.3048 -5.1968 -5.0402 -4.7549 -4.2699 -3.6678
 -3.1067 -2.6510 -2.3075 -2.0460 -1.8382 -1.4405 -1.1334 -0.8938 -0.7056 -0.5507
 -0.4192 -0.3062 -0.2078 -0.1213
 -5.6111 -5.4001 -5.2230 -5.0709 -4.9414 -4.8230 -4.6897 -4.4910 -4.1497 -3.6605
 -3.1404 -2.6888 -2.3347 -2.0620 -1.8466 -1.4428 -1.1317 -0.8870 -0.6976 -0.5457
 -0.4187 -0.3105 -0.2172 -0.1356 -0.0638 -0.0008  0.0553  0.1058  0.1425  0.1646
 -5.4027 -5.1820 -4.9825 -4.8025 -4.6416 -4.4971 -4.3590 -4.2007 -3.9649 -3.6022
 -3.1544 -2.7249 -2.3674 -2.0859 -1.8632 -1.4525 -1.1387 -0.8882 -0.6951 -0.5439
 -0.4199 -0.3156 -0.2266 -0.1498 -0.0827 -0.0246  0.0262  0.0718  0.1117  0.1393
  0.1532
 -5.1969 -4.9382 -4.7346 -4.5583 -4.3914 -4.2306 -4.0741 -3.9175 -3.7365 -3.4792
 -3.1290 -2.7461 -2.3999 -2.1144 -1.8858 -1.4681 -1.1528 -0.8971 -0.6983 -0.5449
 -0.4224 -0.3211 -0.2358 -0.1632 -0.1006 -0.0464  0.0001  0.0398  0.0747  0.1047
  0.1243
 -5.1377 -4.7889 -4.4977 -4.2676 -4.0872 -3.9375 -3.7981 -3.6526 -3.4942 -3.2980
 -3.0408 -2.7281 -2.4135 -2.1371 -1.9075 -1.4854 -1.1705 -0.9108 -0.7053 -0.5475
 -0.4245 -0.3251 -0.2429 -0.1741 -0.1159 -0.0663 -0.0244  0.0111  0.0411  0.0662
  0.0869
 -5.2024 -4.7975 -4.4390 -4.1314 -3.8775 -3.6721 -3.5019 -3.3519 -3.2107 -3.0593
 -2.8779 -2.6523 -2.3999 -2.1532 -1.9325 -1.5102 -1.1963 -0.9342 -0.7217 -0.5572
 -0.4308 -0.3313 -0.2509 -0.1850 -0.1305 -0.0852 -0.0479 -0.0169  0.0086  0.0295
  0.0477
 -5.3659 -4.9125 -4.5025 -4.1390 -3.8230 -3.5546 -3.3301 -3.1397 -2.9710 -2.8132
 -2.6557 -2.4847 -2.2974 -2.1067 -1.9246 -1.5352 -1.2255 -0.9634 -0.7446 -0.5724
 -0.4403 -0.3386 -0.2585 -0.1945 -0.1428 -0.1012 -0.0682 -0.0419 -0.0210 -0.0043
  0.0085
 -5.6203 -5.1185 -4.6609 -4.2495 -3.8833 -3.5630 -3.2866 -3.0500 -2.8465 -2.6664
 -2.5000 -2.3390 -2.1783 -2.0190 -1.8838 -1.5604 -1.2581 -0.9984 -0.7740
 [Fe/H] =  0.50 [alpha/Fe] = 0.40 BC value =  g   
 -7.3766 -7.3805 -7.0630 -6.6094 -6.1229 -5.7048 -5.4524 -5.2948 -4.5909 -3.8865
 -3.2571 -2.7891 -2.4566 -2.2058 -2.0051 -1.6146 -1.3145 -1.0664 -0.8504
 -6.9477 -6.9321 -6.9228 -7.1714 -7.0931 -6.7195 -6.0787 -5.2659 -4.5308 -3.8205
 -3.1999 -2.7330 -2.3980 -2.1463 -1.9446 -1.5547 -1.2551 -1.0122 -0.8050 -0.6239
 -6.5527 -6.4978 -6.4651 -6.4390 -6.3844 -6.2674 -5.9717 -5.2732 -4.5215 -3.8219
 -3.2028 -2.7252 -2.3773 -2.1177 -1.9115 -1.5179 -1.2161 -0.9751 -0.7745 -0.6017
 -0.4514
 -6.1930 -6.0992 -6.0363 -5.9906 -5.9393 -5.8474 -5.6532 -5.2165 -4.5359 -3.8493
 -3.2364 -2.7480 -2.3829 -2.1108 -1.8972 -1.4973 -1.1917 -0.9496 -0.7531 -0.5867
 -0.4430 -0.3183
 -5.8914 -5.7562 -5.6531 -5.5768 -5.5123 -5.4336 -5.2990 -5.0233 -4.5100 -3.8854
 -3.2864 -2.7884 -2.4072 -2.1194 -1.8966 -1.4880 -1.1787 -0.9333 -0.7382 -0.5765
 -0.4384 -0.3193 -0.2160 -0.1256
 -5.6432 -5.4725 -5.3292 -5.2143 -5.1224 -5.0379 -4.9319 -4.7516 -4.4093 -3.8895
 -3.3360 -2.8386 -2.4441 -2.1413 -1.9070 -1.4878 -1.1753 -0.9253 -0.7286 -0.5699
 -0.4362 -0.3218 -0.2233 -0.1377 -0.0625  0.0040  0.0635  0.1161  0.1528  0.1755
 -5.4364 -5.2411 -5.0684 -4.9173 -4.7895 -4.6807 -4.5758 -4.4428 -4.2196 -3.8439
 -3.3612 -2.8887 -2.4881 -2.1724 -1.9270 -1.4951 -1.1799 -0.9253 -0.7247 -0.5662
 -0.4357 -0.3251 -0.2308 -0.1496 -0.0788 -0.0168  0.0372  0.0849  0.1263  0.1531
  0.1668
 -5.2285 -5.0264 -4.8421 -4.6741 -4.5216 -4.3838 -4.2577 -4.1323 -3.9727 -3.7206
 -3.3462 -2.9233 -2.5315 -2.2094 -1.9543 -1.5086 -1.1915 -0.9330 -0.7268 -0.5657
 -0.4366 -0.3290 -0.2383 -0.1609 -0.0943 -0.0365  0.0131  0.0555  0.0920  0.1227
  0.1410
 -5.0902 -4.7954 -4.5644 -4.3900 -4.2492 -4.1193 -3.9879 -3.8520 -3.7102 -3.5257
 -3.2616 -2.9162 -2.5569 -2.2404 -1.9816 -1.5250 -1.2063 -0.9456 -0.7335 -0.5676
 -0.4374 -0.3317 -0.2438 -0.1701 -0.1074 -0.0538 -0.0085  0.0295  0.0611  0.0869
  0.1076
 -5.1051 -4.7437 -4.4294 -4.1703 -3.9650 -3.8065 -3.6780 -3.5625 -3.4445 -3.3025
 -3.1148 -2.8629 -2.5644 -2.2716 -2.0159 -1.5499 -1.2291 -0.9677 -0.7500 -0.5773
 -0.4432 -0.3371 -0.2510 -0.1798 -0.1204 -0.0707 -0.0294  0.0045  0.0319  0.0533
  0.0697
 -5.2208 -4.8107 -4.4423 -4.1182 -3.8418 -3.6143 -3.4302 -3.2776 -3.1441 -3.0169
 -2.8813 -2.7134 -2.5005 -2.2639 -2.0343 -1.5779 -1.2559 -0.9952 -0.7734 -0.5936
 -0.4534 -0.3445 -0.2583 -0.1886 -0.1318 -0.0853 -0.0479 -0.0180  0.0053  0.0226
  0.0351
 -5.4337 -4.9746 -4.5585 -4.1850 -3.8551 -3.5686 -3.3258 -3.1222 -2.9489 -2.7952
 -2.6507 -2.5045 -2.3475 -2.1733 -2.0368 -1.6090 -1.2867 -1.0281 -0.8037
