 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  r   
 -3.2657 -2.8838 -2.5997 -2.2941 -1.9682 -1.7030 -1.5451 -1.4513 -1.3600 -1.2481
 -1.1266 -0.9970 -0.8697 -0.7530 -0.6432 -0.4083 -0.2310 -0.1096 -0.0198
 -2.8417 -2.4124 -2.0938 -1.8361 -1.6285 -1.4656 -1.3379 -1.2339 -1.1429 -1.0569
 -0.9701 -0.8770 -0.7754 -0.6716 -0.5738 -0.3681 -0.2159 -0.1110 -0.0384  0.0084
 -2.5568 -2.1118 -1.7775 -1.5385 -1.3789 -1.2618 -1.1585 -1.0657 -0.9850 -0.9142
 -0.8463 -0.7764 -0.6970 -0.6084 -0.5218 -0.3392 -0.2058 -0.1141 -0.0535 -0.0126
  0.0155
 -2.4110 -1.9820 -1.6508 -1.4013 -1.2194 -1.0916 -1.0069 -0.9467 -0.8863 -0.8200
 -0.7552 -0.6952 -0.6345 -0.5634 -0.4872 -0.3216 -0.2007 -0.1189 -0.0651 -0.0282
 -0.0022  0.0162
 -2.3106 -1.9088 -1.5931 -1.3486 -1.1618 -1.0221 -0.9200 -0.8457 -0.7912 -0.7452
 -0.6932 -0.6356 -0.5811 -0.5245 -0.4605 -0.3099 -0.1975 -0.1225 -0.0750 -0.0426
 -0.0192 -0.0023  0.0098  0.0178
 -2.2066 -1.8415 -1.5505 -1.3199 -1.1375 -0.9940 -0.8828 -0.7978 -0.7318 -0.6778
 -0.6305 -0.5834 -0.5341 -0.4863 -0.4329 -0.2992 -0.1936 -0.1227 -0.0805 -0.0536
 -0.0342 -0.0199 -0.0094 -0.0022  0.0023  0.0039  0.0021 -0.0073 -0.0263 -0.0499
 -2.0839 -1.7592 -1.4980 -1.2880 -1.1173 -0.9776 -0.8634 -0.7712 -0.6978 -0.6377
 -0.5853 -0.5369 -0.4898 -0.4467 -0.4022 -0.2852 -0.1875 -0.1192 -0.0799 -0.0587
 -0.0449 -0.0348 -0.0274 -0.0221 -0.0188 -0.0172 -0.0183 -0.0223 -0.0340 -0.0564
 -0.0842
 -1.9482 -1.6617 -1.4301 -1.2424 -1.0878 -0.9576 -0.8466 -0.7520 -0.6730 -0.6081
 -0.5530 -0.5034 -0.4566 -0.4120 -0.3715 -0.2672 -0.1782 -0.1125 -0.0741 -0.0564
 -0.0487 -0.0444 -0.0417 -0.0400 -0.0393 -0.0395 -0.0409 -0.0444 -0.0513 -0.0648
 -0.0904
 -1.8025 -1.5531 -1.3485 -1.1815 -1.0433 -0.9251 -0.8217 -0.7302 -0.6500 -0.5815
 -0.5235 -0.4734 -0.4276 -0.3841 -0.3442 -0.2473 -0.1653 -0.1034 -0.0649 -0.0482
 -0.0447 -0.0467 -0.0501 -0.0537 -0.0572 -0.0605 -0.0642 -0.0685 -0.0744 -0.0837
 -0.0998
 -1.6605 -1.4471 -1.2654 -1.1148 -0.9902 -0.8835 -0.7890 -0.7033 -0.6258 -0.5565
 -0.4962 -0.4446 -0.3996 -0.3584 -0.3201 -0.2299 -0.1524 -0.0939 -0.0555 -0.0374
 -0.0349 -0.0410 -0.0505 -0.0604 -0.0696 -0.0777 -0.0853 -0.0924 -0.0997 -0.1082
 -0.1178
 -1.5257 -1.3446 -1.1843 -1.0473 -0.9320 -0.8342 -0.7478 -0.6690 -0.5961 -0.5291
 -0.4686 -0.4156 -0.3699 -0.3302 -0.2943 -0.2125 -0.1395 -0.0836 -0.0463 -0.0269
 -0.0230 -0.0301 -0.0434 -0.0590 -0.0745 -0.0887 -0.1015 -0.1131 -0.1236 -0.1341
 -0.1455
 -1.3982 -1.2456 -1.1079 -0.9836 -0.8758 -0.7830 -0.7019 -0.6289 -0.5612 -0.4981
 -0.4395 -0.3866 -0.3400 -0.3001 -0.2668 -0.1951 -0.1266 -0.0725 -0.0373
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  r   
 -4.5134 -3.8971 -3.3644 -2.9124 -2.5340 -2.2106 -1.9241 -1.6634 -1.4361 -1.2491
 -1.0914 -0.9522 -0.8250 -0.7094 -0.5933 -0.3787 -0.2165 -0.1000 -0.0225
 -4.1024 -3.5000 -2.9747 -2.5326 -2.1689 -1.8721 -1.6271 -1.4141 -1.2338 -1.0851
 -0.9594 -0.8463 -0.7387 -0.6367 -0.5429 -0.3483 -0.2038 -0.1012 -0.0324  0.0131
 -3.6233 -3.0442 -2.5674 -2.2397 -1.9220 -1.6551 -1.4338 -1.2489 -1.0952 -0.9690
 -0.8639 -0.7711 -0.6816 -0.5917 -0.5064 -0.3281 -0.1968 -0.1044 -0.0426 -0.0016
  0.0267
 -3.2429 -2.6793 -2.2386 -1.9050 -1.6512 -1.4514 -1.2838 -1.1333 -0.9989 -0.8843
 -0.7898 -0.7101 -0.6369 -0.5609 -0.4838 -0.3181 -0.1955 -0.1096 -0.0531 -0.0158
  0.0098  0.0278
 -3.0859 -2.5194 -2.0678 -1.7224 -1.4626 -1.2675 -1.1198 -1.0049 -0.9102 -0.8243
 -0.7384 -0.6618 -0.5956 -0.5333 -0.4664 -0.3122 -0.1960 -0.1147 -0.0621 -0.0287
 -0.0058  0.0105  0.0218  0.0290
 -3.0104 -2.4482 -1.9975 -1.6452 -1.3736 -1.1659 -1.0086 -0.8907 -0.8031 -0.7385
 -0.6827 -0.6227 -0.5619 -0.5044 -0.4473 -0.3062 -0.1955 -0.1174 -0.0679 -0.0384
 -0.0194 -0.0059  0.0036  0.0100  0.0134  0.0138  0.0107  0.0002 -0.0194 -0.0429
 -2.9403 -2.4048 -1.9664 -1.6197 -1.3489 -1.1385 -0.9754 -0.8496 -0.7532 -0.6780
