 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F475W
 -3.7660 -3.5534 -3.3596 -3.1696 -2.9804 -2.7951 -2.6194 -2.4554 -2.3009 -2.1516
 -2.0059 -1.8642 -1.7290 -1.6023 -1.4826 -1.2002 -0.9571 -0.7730 -0.6344 -0.5271
 -0.4436 -0.3779 -0.3235 -0.2756 -0.2310 -0.1885 -0.1479 -0.1104 -0.0760 -0.0445
 -0.0156
 -3.6912 -3.4768 -3.2878 -3.1109 -2.9356 -2.7620 -2.5922 -2.4303 -2.2788 -2.1352
 -1.9963 -1.8600 -1.7268 -1.5990 -1.4785 -1.2067 -0.9698 -0.7795 -0.6372 -0.5290
 -0.4462 -0.3829 -0.3336 -0.2924 -0.2554 -0.2202 -0.1862 -0.1532 -0.1216 -0.0921
 -0.0648
 -3.6367 -3.4135 -3.2231 -3.0515 -2.8863 -2.7243 -2.5648 -2.4086 -2.2589 -2.1178
 -1.9838 -1.8542 -1.7270 -1.6024 -1.4823 -1.2116 -0.9804 -0.7895 -0.6422 -0.5315
 -0.4476 -0.3846 -0.3376 -0.3015 -0.2714 -0.2439 -0.2176 -0.1916 -0.1660 -0.1413
 -0.1183
 -3.5964 -3.3636 -3.1654 -2.9905 -2.8307 -2.6784 -2.5295 -2.3832 -2.2399 -2.1012
 -1.9694 -1.8441 -1.7230 -1.6044 -1.4882 -1.2190 -0.9891 -0.7990 -0.6485
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F475W
 -5.4199 -5.1589 -4.7569 -4.3444 -3.9518 -3.6125 -3.3448 -3.1066 -2.8833 -2.6759
 -2.4815 -2.3011 -2.1357 -1.9844 -1.8454 -1.5354 -1.2531 -0.9878 -0.7512
 -4.8326 -4.6902 -4.5333 -4.2047 -3.8390 -3.4927 -3.1992 -2.9533 -2.7287 -2.5210
 -2.3263 -2.1457 -1.9805 -1.8308 -1.6950 -1.4009 -1.1451 -0.9129 -0.7057 -0.5304
 -4.5832 -4.2792 -4.1000 -3.9970 -3.7540 -3.4321 -3.1238 -2.8607 -2.6336 -2.4264
 -2.2320 -2.0510 -1.8846 -1.7339 -1.5980 -1.3103 -1.0701 -0.8600 -0.6754 -0.5174
 -0.3859
 -4.4545 -4.1205 -3.8433 -3.6361 -3.5096 -3.3595 -3.0971 -2.8227 -2.5832 -2.3746
 -2.1812 -1.9999 -1.8321 -1.6791 -1.5411 -1.2532 -1.0209 -0.8249 -0.6565 -0.5123
 -0.3910 -0.2884
 -4.3652 -4.0388 -3.7446 -3.4887 -3.2754 -3.1062 -2.9782 -2.8039 -2.5723 -2.3535
 -2.1602 -1.9793 -1.8100 -1.6544 -1.5134 -1.2205 -0.9906 -0.8027 -0.6455 -0.5123
 -0.3999 -0.3045 -0.2216 -0.1480
 -4.2958 -3.9849 -3.6919 -3.4265 -3.1908 -2.9837 -2.8036 -2.6511 -2.5170 -2.3491
 -2.1598 -1.9791 -1.8091 -1.6511 -1.5066 -1.2056 -0.9734 -0.7893 -0.6393 -0.5147
 -0.4104 -0.3219 -0.2451 -0.1767 -0.1145 -0.0578 -0.0065  0.0399  0.0787  0.1006
 -4.2403 -3.9449 -3.6612 -3.3960 -3.1558 -2.9423 -2.7482 -2.5685 -2.4062 -2.2657
 -2.1323 -1.9828 -1.8210 -1.6625 -1.5149 -1.2042 -0.9661 -0.7819 -0.6360 -0.5175
 -0.4200 -0.3383 -0.2679 -0.2053 -0.1481 -0.0948 -0.0459 -0.0020  0.0361  0.0660
  0.0795
 -4.1937 -3.9129 -3.6406 -3.3807 -3.1392 -2.9207 -2.7246 -2.5439 -2.3740 -2.2150
 -2.0706 -1.9403 -1.8113 -1.6740 -1.5324 -1.2137 -0.9670 -0.7794 -0.6343 -0.5196
 -0.4273 -0.3518 -0.2878 -0.2316 -0.1802 -0.1323 -0.0864 -0.0442 -0.0076  0.0217
  0.0427
 -4.1603 -3.8842 -3.6225 -3.3705 -3.1313 -2.9105 -2.7108 -2.5298 -2.3620 -2.2024
 -2.0512 -1.9100 -1.7787 -1.6552 -1.5332 -1.2296 -0.9733 -0.7793 -0.6327 -0.5194
 -0.4304 -0.3597 -0.3020 -0.2526 -0.2079 -0.1662 -0.1270 -0.0910 -0.0583 -0.0284
 -0.0013
 -4.1453 -3.8692 -3.6109 -3.3676 -3.1339 -2.9134 -2.7104 -2.5261 -2.3584 -2.2020
 -2.0529 -1.9102 -1.7740 -1.6455 -1.5252 -1.2463 -0.9913 -0.7874 -0.6357 -0.5210
 -0.4328 -0.3647 -0.3115 -0.2682 -0.2306 -0.1959 -0.1632 -0.1318 -0.1021 -0.0746
 -0.0506
 -4.1481 -3.8544 -3.6000 -3.3638 -3.1384 -2.9221 -2.7184 -2.5305 -2.3595 -2.2029
 -2.0567 -1.9173 -1.7826 -1.6526 -1.5289 -1.2538 -1.0112 -0.8025 -0.6424 -0.5238
 -0.4343 -0.3666 -0.3158 -0.2770 -0.2457 -0.2183 -0.1929 -0.1683 -0.1445 -0.1218
 -0.1007
 -4.1702 -3.8542 -3.5910 -3.3574 -3.1377 -2.9287 -2.7298 -2.5413 -2.3667 -2.2068
