 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F125W
  0.2325  0.1405  0.0485 -0.0418 -0.1295 -0.2143 -0.2964 -0.3761 -0.4536 -0.5298
 -0.6050
  1.1998  1.1692  1.1307  1.0903  1.0488  1.0073  0.9670  0.9283  0.8914  0.8565
  0.8234  0.7912  0.7599  0.7294  0.6998  0.6292  0.5600  0.4876  0.4093
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F125W
  0.6201  0.6160  0.6524  0.6861  0.7189  0.7438  0.7546  0.7618  0.7693  0.7767
  0.7805  0.7800  0.7748  0.7656  0.7532  0.7099  0.6512  0.5793  0.4941
  0.7221  0.6679  0.6405  0.6695  0.6982  0.7213  0.7355  0.7428  0.7498  0.7556
  0.7578  0.7553  0.7482  0.7374  0.7237  0.6789  0.6213  0.5519  0.4703  0.3813
  0.7624  0.7516  0.7214  0.6772  0.6860  0.7080  0.7234  0.7315  0.7367  0.7412
  0.7421  0.7385  0.7302  0.7182  0.7034  0.6568  0.5991  0.5309  0.4518  0.3651
  0.2760
  0.7939  0.7830  0.7759  0.7612  0.7264  0.7049  0.7154  0.7253  0.7294  0.7319
  0.7319  0.7275  0.7186  0.7058  0.6900  0.6415  0.5831  0.5152  0.4376  0.3525
  0.2647  0.1768
  0.8326  0.8114  0.8007  0.7938  0.7841  0.7652  0.7357  0.7234  0.7261  0.7272
  0.7260  0.7209  0.7116  0.6983  0.6818  0.6316  0.5721  0.5040  0.4270  0.3428
  0.2556  0.1685  0.0821 -0.0038
  0.8799  0.8471  0.8271  0.8150  0.8061  0.7964  0.7828  0.7628  0.7395  0.7277
  0.7235  0.7179  0.7083  0.6945  0.6776  0.6258  0.5652  0.4965  0.4197  0.3358
  0.2486  0.1614  0.0755 -0.0096 -0.0939 -0.1783 -0.2636 -0.3505 -0.4385 -0.5244
  0.9344  0.8913  0.8604  0.8397  0.8251  0.8127  0.8006  0.7876  0.7720  0.7522
  0.7329  0.7193  0.7076  0.6938  0.6766  0.6233  0.5614  0.4922  0.4152  0.3316
  0.2439  0.1559  0.0696 -0.0153 -0.0990 -0.1817 -0.2642 -0.3476 -0.4326 -0.5189
 -0.6038
  0.9929  0.9427  0.9020  0.8714  0.8490  0.8314  0.8157  0.8007  0.7856  0.7697
  0.7519  0.7324  0.7134  0.6957  0.6776  0.6235  0.5603  0.4904  0.4135  0.3300
  0.2419  0.1527  0.0651 -0.0205 -0.1041 -0.1865 -0.2677 -0.3486 -0.4301 -0.5132
 -0.5983
  1.0517  0.9976  0.9500  0.9107  0.8796  0.8550  0.8342  0.8154  0.7972  0.7794
  0.7614  0.7425  0.7225  0.7014  0.6804  0.6253  0.5610  0.4902  0.4129  0.3296
  0.2415  0.1511  0.0616 -0.0256 -0.1104 -0.1931 -0.2745 -0.3554 -0.4358 -0.5157
 -0.5951
  1.1070  1.0521  1.0018  0.9563  0.9175  0.8852  0.8582  0.8345  0.8124  0.7912
  0.7705  0.7498  0.7289  0.7071  0.6846  0.6271  0.5640  0.4927  0.4154  0.3325
  0.2449  0.1541  0.0630 -0.0263 -0.1129 -0.1969 -0.2788 -0.3589 -0.4376 -0.5157
 -0.5938
  1.1557  1.1039  1.0530  1.0048  0.9608  0.9220  0.8882  0.8588  0.8323  0.8073
  0.7832  0.7595  0.7362  0.7128  0.6891  0.6286  0.5661  0.4963  0.4190  0.3366
  0.2498  0.1593  0.0673 -0.0239 -0.1127 -0.1987 -0.2821 -0.3631 -0.4421 -0.5196
 -0.5962
  1.1979  1.1491  1.1000  1.0521  1.0063  0.9634  0.9242  0.8890  0.8572  0.8280
  0.8004  0.7734  0.7471  0.7212  0.6956  0.6316  0.5674  0.4990  0.4230
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F125W
  0.6044  0.6326  0.6728  0.7042  0.7340  0.7576  0.7675  0.7713  0.7742  0.7796
  0.7821  0.7811  0.7757  0.7663  0.7536  0.7100  0.6516  0.5812  0.4996
  0.6816  0.6266  0.6507  0.6869  0.7133  0.7355  0.7472  0.7521  0.7554  0.7597
  0.7608  0.7581  0.7511  0.7402  0.7262  0.6806  0.6227  0.5546  0.4758  0.3884
  0.7429  0.7240  0.6719  0.6713  0.7003  0.7205  0.7342  0.7401  0.7427  0.7459
  0.7460  0.7423  0.7343  0.7225  0.7075  0.6600  0.6018  0.5344  0.4577  0.3727
  0.2837
  0.7696  0.7660  0.7578  0.7255  0.6963  0.7111  0.7259  0.7334  0.7352  0.7366
  0.7360  0.7317  0.7232  0.7108  0.6951  0.6460  0.5870  0.5196  0.4439  0.3605
  0.2730  0.1847
  0.8018  0.7893  0.7859  0.7811  0.7656  0.7346  0.7217  0.7289  0.7323  0.7314
  0.7297  0.7249  0.7162  0.7034  0.6873  0.6369  0.5769  0.5091  0.4336  0.3513
  0.2646  0.1771  0.0901  0.0034
  0.8439  0.8189  0.8067  0.8012  0.7956  0.7858  0.7672  0.7426  0.7316  0.7300
  0.7266  0.7211  0.7122  0.6993  0.6830  0.6314  0.5703  0.5020  0.4265  0.3446
  0.2583  0.1709  0.0844 -0.0013 -0.0866 -0.1722 -0.2585 -0.3455 -0.4331 -0.5198
  0.8948  0.8581  0.8344  0.8206  0.8118  0.8036  0.7937  0.7802  0.7612  0.7408
  0.7279  0.7199  0.7107  0.6978  0.6813  0.6288  0.5667  0.4978  0.4222  0.3404
  0.2541  0.1662  0.0793 -0.0062 -0.0906 -0.1745 -0.2582 -0.3424 -0.4276 -0.5142
 -0.5984
  0.9519  0.9061  0.8714  0.8472  0.8308  0.8184  0.8069  0.7947  0.7809  0.7650
  0.7462  0.7277  0.7127  0.6983  0.6818  0.6287  0.5656  0.4961  0.4203  0.3386
  0.2523  0.1637  0.0758 -0.0104 -0.0949 -0.1782 -0.2604 -0.3423 -0.4247 -0.5083
 -0.5936
  1.0117  0.9599  0.9164  0.8824  0.8569  0.8376  0.8215  0.8066  0.7915  0.7758
  0.7591  0.7409  0.7218  0.7026  0.6837  0.6303  0.5661  0.4958  0.4196  0.3380
  0.2517  0.1624  0.0730 -0.0148 -0.1004 -0.1840 -0.2663 -0.3474 -0.4279 -0.5088
 -0.5902
  1.0705  1.0163  0.9674  0.9255  0.8913  0.8638  0.8414  0.8219  0.8035  0.7854
  0.7672  0.7484  0.7289  0.7086  0.6873  0.6322  0.5692  0.4984  0.4221  0.3407
  0.2547  0.1653  0.0747 -0.0150 -0.1022 -0.1870 -0.2698 -0.3508 -0.4305 -0.5094
 -0.5883
