 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -2.9283 -2.6831 -2.4676 -2.2677 -2.0808 -1.9087 -1.7541 -1.6158 -1.4906 -1.3749
 -1.2670 -1.1663 -1.0725 -0.9853 -0.9030 -0.7080 -0.5412 -0.4166 -0.3274 -0.2661
 -0.2249 -0.1948 -0.1693 -0.1456 -0.1227 -0.1002 -0.0784 -0.0589 -0.0420 -0.0274
 -0.0149
 -2.9324 -2.6770 -2.4578 -2.2612 -2.0755 -1.9026 -1.7437 -1.6010 -1.4738 -1.3587
 -1.2528 -1.1541 -1.0614 -0.9742 -0.8922 -0.7060 -0.5436 -0.4155 -0.3235 -0.2605
 -0.2196 -0.1928 -0.1733 -0.1567 -0.1407 -0.1246 -0.1083 -0.0919 -0.0761 -0.0617
 -0.0483
 -2.9545 -2.6868 -2.4611 -2.2628 -2.0776 -1.9050 -1.7442 -1.5964 -1.4638 -1.3457
 -1.2393 -1.1418 -1.0511 -0.9656 -0.8848 -0.7023 -0.5448 -0.4165 -0.3213 -0.2554
 -0.2128 -0.1866 -0.1706 -0.1597 -0.1508 -0.1418 -0.1323 -0.1218 -0.1108 -0.0998
 -0.0899
 -2.9884 -2.7124 -2.4775 -2.2712 -2.0853 -1.9129 -1.7515 -1.6015 -1.4635 -1.3393
 -1.2288 -1.1298 -1.0395 -0.9557 -0.8769 -0.6984 -0.5444 -0.4173 -0.3201
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F555W
 -4.0968 -3.8717 -3.5200 -3.1692 -2.8417 -2.5614 -2.3417 -2.1477 -1.9670 -1.7995
 -1.6425 -1.4974 -1.3652 -1.2451 -1.1357 -0.8986 -0.6949 -0.5151 -0.3635
 -3.6004 -3.4868 -3.3557 -3.0689 -2.7592 -2.4736 -2.2348 -2.0364 -1.8562 -1.6904
 -1.5355 -1.3928 -1.2632 -1.1467 -1.0416 -0.8192 -0.6348 -0.4771 -0.3445 -0.2375
 -3.4006 -3.1414 -2.9919 -2.9096 -2.7010 -2.4300 -2.1783 -1.9674 -1.7866 -1.6228
 -1.4702 -1.3294 -1.2014 -1.0863 -0.9832 -0.7683 -0.5953 -0.4518 -0.3333 -0.2375
 -0.1596
 -3.3093 -3.0173 -2.7790 -2.6025 -2.4990 -2.3766 -2.1588 -1.9362 -1.7463 -1.5828
 -1.4326 -1.2935 -1.1665 -1.0520 -0.9494 -0.7376 -0.5709 -0.4362 -0.3275 -0.2404
 -0.1695 -0.1094
 -3.2605 -2.9628 -2.7038 -2.4832 -2.3007 -2.1592 -2.0577 -1.9192 -1.7337 -1.5616
 -1.4126 -1.2753 -1.1490 -1.0346 -0.9319 -0.7203 -0.5565 -0.4269 -0.3248 -0.2446
 -0.1800 -0.1252 -0.0770 -0.0336
 -3.2419 -2.9402 -2.6723 -2.4382 -2.2338 -2.0570 -1.9067 -1.7836 -1.6803 -1.5514
 -1.4055 -1.2684 -1.1425 -1.0281 -0.9248 -0.7116 -0.5481 -0.4212 -0.3233 -0.2484
 -0.1897 -0.1405 -0.0969 -0.0577 -0.0215  0.0105  0.0369  0.0565  0.0683  0.0707
 -3.2492 -2.9427 -2.6668 -2.4236 -2.2112 -2.0262 -1.8613 -1.7123 -1.5814 -1.4723
 -1.3727 -1.2628 -1.1438 -1.0288 -0.9243 -0.7086 -0.5435 -0.4171 -0.3215 -0.2502
 -0.1966 -0.1533 -0.1152 -0.0805 -0.0486 -0.0183  0.0087  0.0302  0.0447  0.0506
  0.0464
