 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F547M
 -3.4885 -3.3935 -3.6257 -3.5485 -3.3136 -3.0161 -2.6999 -2.4780 -2.2738 -2.0693
 -1.8841 -1.7144 -1.5561 -1.4067 -1.2659 -0.9679 -0.6833 -0.4386 -0.2903
 -3.4425 -3.1861 -2.9803 -2.8400 -2.7563 -2.6360 -2.4437 -2.2308 -2.0312 -1.8437
 -1.6692 -1.5081 -1.3601 -1.2240 -1.0980 -0.8204 -0.5913 -0.4137 -0.2844 -0.1888
 -3.1784 -2.9294 -2.7086 -2.5207 -2.3664 -2.2582 -2.1680 -2.0316 -1.8601 -1.6831
 -1.5208 -1.3712 -1.2337 -1.1077 -0.9926 -0.7459 -0.5486 -0.3957 -0.2823 -0.1967
 -0.1293
 -2.9638 -2.7383 -2.5281 -2.3386 -2.1700 -2.0204 -1.8940 -1.7966 -1.6950 -1.5631
 -1.4166 -1.2764 -1.1479 -1.0300 -0.9222 -0.6947 -0.5186 -0.3851 -0.2843 -0.2072
 -0.1450 -0.0931
 -2.7817 -2.5785 -2.3873 -2.2086 -2.0448 -1.8947 -1.7571 -1.6330 -1.5295 -1.4334
 -1.3289 -1.2102 -1.0904 -0.9787 -0.8766 -0.6613 -0.4978 -0.3771 -0.2873 -0.2182
 -0.1614 -0.1132 -0.0713 -0.0350
 -2.6282 -2.4401 -2.2666 -2.1025 -1.9489 -1.8058 -1.6726 -1.5490 -1.4357 -1.3325
 -1.2385 -1.1459 -1.0471 -0.9454 -0.8476 -0.6403 -0.4837 -0.3703 -0.2884 -0.2272
 -0.1766 -0.1329 -0.0945 -0.0599 -0.0276  0.0007  0.0230  0.0377  0.0436  0.0401
 -2.5040 -2.3238 -2.1597 -2.0092 -1.8666 -1.7327 -1.6069 -1.4888 -1.3791 -1.2768
 -1.1808 -1.0904 -1.0033 -0.9162 -0.8284 -0.6280 -0.4742 -0.3629 -0.2860 -0.2314
 -0.1879 -0.1500 -0.1161 -0.0851 -0.0565 -0.0282 -0.0030  0.0158  0.0254  0.0246
  0.0151
 -2.4095 -2.2311 -2.0699 -1.9252 -1.7921 -1.6670 -1.5490 -1.4377 -1.3332 -1.2351
 -1.1427 -1.0548 -0.9702 -0.8886 -0.8088 -0.6220 -0.4693 -0.3575 -0.2811 -0.2300
 -0.1928 -0.1618 -0.1338 -0.1077 -0.0833 -0.0598 -0.0358 -0.0145  0.0003  0.0057
 -0.0002
 -2.3454 -2.1635 -2.0002 -1.8509 -1.7225 -1.6038 -1.4928 -1.3882 -1.2895 -1.1961
 -1.1077 -1.0240 -0.9437 -0.8657 -0.7897 -0.6137 -0.4660 -0.3537 -0.2748 -0.2239
 -0.1906 -0.1659 -0.1449 -0.1253 -0.1062 -0.0872 -0.0688 -0.0512 -0.0370 -0.0264
 -0.0193
 -2.3121 -2.1224 -1.9528 -1.8015 -1.6667 -1.5471 -1.4402 -1.3408 -1.2476 -1.1596
 -1.0758 -0.9960 -0.9197 -0.8455 -0.7737 -0.6068 -0.4637 -0.3518 -0.2709 -0.2175
 -0.1842 -0.1632 -0.1483 -0.1357 -0.1233 -0.1104 -0.0972 -0.0835 -0.0703 -0.0585
 -0.0475
 -2.3069 -2.1063 -1.9273 -1.7680 -1.6265 -1.5014 -1.3911 -1.2936 -1.2042 -1.1207
 -1.0419 -0.9667 -0.8944 -0.8251 -0.7580 -0.5994 -0.4604 -0.3494 -0.2677 -0.2116
 -0.1765 -0.1559 -0.1444 -0.1377 -0.1323 -0.1264 -0.1196 -0.1117 -0.1029 -0.0940
 -0.0862
 -2.3168 -2.1043 -1.9151 -1.7469 -1.5980 -1.4665 -1.3509 -1.2496 -1.1598 -1.0787
 -1.0040 -0.9337 -0.8662 -0.8011 -0.7380 -0.5896 -0.4560 -0.3464 -0.2640
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F547M
 -3.8234 -3.7098 -3.5513 -3.2748 -2.9693 -2.6838 -2.4399 -2.2279 -2.0304 -1.8433
 -1.6702 -1.5131 -1.3708 -1.2408 -1.1210 -0.8629 -0.6318 -0.4316 -0.2863
 -3.4357 -3.1977 -3.0596 -2.9693 -2.7728 -2.5141 -2.2680 -2.0556 -1.8643 -1.6847
 -1.5192 -1.3696 -1.2348 -1.1132 -1.0026 -0.7640 -0.5653 -0.4021 -0.2759 -0.1806
 -3.2140 -2.9531 -2.7364 -2.5710 -2.4747 -2.3578 -2.1550 -1.9403 -1.7511 -1.5797
 -1.4213 -1.2778 -1.1485 -1.0320 -0.9268 -0.7043 -0.5256 -0.3825 -0.2716 -0.1866
 -0.1192
 -3.0550 -2.8026 -2.5781 -2.3769 -2.2082 -2.0827 -1.9890 -1.8566 -1.6794 -1.5115
 -1.3586 -1.2206 -1.0958 -0.9831 -0.8813 -0.6677 -0.5006 -0.3706 -0.2712 -0.1947
 -0.1330 -0.0813
 -2.9326 -2.6916 -2.4733 -2.2773 -2.1010 -1.9404 -1.8011 -1.6874 -1.5891 -1.4638
 -1.3214 -1.1857 -1.0642 -0.9548 -0.8553 -0.6465 -0.4855 -0.3634 -0.2723 -0.2031
 -0.1471 -0.0995 -0.0582 -0.0232
 -2.8503 -2.6062 -2.3939 -2.2019 -2.0288 -1.8705 -1.7228 -1.5864 -1.4673 -1.3694
 -1.2732 -1.1627 -1.0471 -0.9386 -0.8409 -0.6350 -0.4765 -0.3583 -0.2726 -0.2099
 -0.1599 -0.1171 -0.0795 -0.0458 -0.0143  0.0132  0.0346  0.0481  0.0527  0.0486
 -2.7881 -2.5435 -2.3334 -2.1436 -1.9728 -1.8186 -1.6762 -1.5425 -1.4173 -1.3041
 -1.2043 -1.1153 -1.0250 -0.9294 -0.8343 -0.6294 -0.4713 -0.3541 -0.2710 -0.2129
 -0.1692 -0.1323 -0.0994 -0.0694 -0.0419 -0.0152  0.0083  0.0257  0.0347  0.0338
  0.0236
 -2.7532 -2.5040 -2.2920 -2.1007 -1.9295 -1.7759 -1.6374 -1.5093 -1.3889 -1.2758
