 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -3.5641 -3.4875 -3.7055 -3.6265 -3.3998 -3.1043 -2.7825 -2.5603 -2.3591 -2.1557
 -1.9696 -1.7982 -1.6387 -1.4886 -1.3465 -1.0437 -0.7493 -0.4964 -0.3375
 -3.5568 -3.2862 -3.0737 -2.9300 -2.8446 -2.7236 -2.5309 -2.3174 -2.1178 -1.9297
 -1.7534 -1.5903 -1.4403 -1.3021 -1.1738 -0.8890 -0.6512 -0.4648 -0.3277 -0.2253
 -3.3087 -3.0390 -2.8069 -2.6132 -2.4559 -2.3464 -2.2558 -2.1194 -1.9473 -1.7685
 -1.6030 -1.4499 -1.3092 -1.1806 -1.0630 -0.8094 -0.6043 -0.4435 -0.3232 -0.2315
 -0.1587
 -3.1179 -2.8647 -2.6360 -2.4362 -2.2621 -2.1094 -1.9810 -1.8824 -1.7798 -1.6461
 -1.4964 -1.3519 -1.2193 -1.0980 -0.9873 -0.7535 -0.5707 -0.4304 -0.3234 -0.2409
 -0.1741 -0.1179
 -2.9615 -2.7289 -2.5114 -2.3154 -2.1418 -1.9860 -1.8447 -1.7176 -1.6117 -1.5131
 -1.4055 -1.2829 -1.1588 -1.0430 -0.9377 -0.7163 -0.5471 -0.4205 -0.3252 -0.2513
 -0.1904 -0.1383 -0.0928 -0.0531
 -2.8324 -2.6157 -2.4137 -2.2247 -2.0546 -1.9017 -1.7625 -1.6343 -1.5171 -1.4104
 -1.3128 -1.2165 -1.1137 -1.0080 -0.9064 -0.6925 -0.5309 -0.4123 -0.3255 -0.2600
 -0.2056 -0.1584 -0.1167 -0.0791 -0.0438 -0.0125  0.0129  0.0307  0.0397  0.0393
 -2.7289 -2.5225 -2.3322 -2.1532 -1.9869 -1.8370 -1.7012 -1.5764 -1.4617 -1.3548
 -1.2546 -1.1601 -1.0691 -0.9781 -0.8867 -0.6787 -0.5200 -0.4042 -0.3229 -0.2643
 -0.2171 -0.1760 -0.1391 -0.1053 -0.0741 -0.0435 -0.0160  0.0053  0.0178  0.0202
  0.0134
 -2.6493 -2.4485 -2.2643 -2.0929 -1.9331 -1.7852 -1.6513 -1.5298 -1.4183 -1.3146
 -1.2173 -1.1248 -1.0360 -0.9506 -0.8672 -0.6727 -0.5144 -0.3985 -0.3180 -0.2631
 -0.2224 -0.1883 -0.1575 -0.1288 -0.1020 -0.0763 -0.0503 -0.0271 -0.0101 -0.0024
 -0.0056
 -2.5918 -2.3928 -2.2104 -2.0394 -1.8858 -1.7420 -1.6092 -1.4884 -1.3792 -1.2784
 -1.1841 -1.0952 -1.0102 -0.9280 -0.8484 -0.6648 -0.5112 -0.3946 -0.3120 -0.2575
 -0.2207 -0.1929 -0.1692 -0.1471 -0.1259 -0.1050 -0.0847 -0.0654 -0.0495 -0.0373
 -0.0284
 -2.5546 -2.3546 -2.1712 -2.0030 -1.8487 -1.7070 -1.5766 -1.4559 -1.3463 -1.2470
 -1.1553 -1.0693 -0.9878 -0.9091 -0.8332 -0.6582 -0.5093 -0.3930 -0.3085 -0.2517
 -0.2150 -0.1909 -0.1733 -0.1583 -0.1439 -0.1292 -0.1143 -0.0993 -0.0847 -0.0717
 -0.0596
 -2.5330 -2.3306 -2.1454 -1.9758 -1.8206 -1.6785 -1.5483 -1.4289 -1.3187 -1.2183
 -1.1274 -1.0437 -0.9649 -0.8902 -0.8185 -0.6511 -0.5063 -0.3911 -0.3059 -0.2465
 -0.2082 -0.1845 -0.1702 -0.1610 -0.1536 -0.1460 -0.1378 -0.1286 -0.1188 -0.1091
 -0.1005
 -2.5132 -2.3105 -2.1249 -1.9549 -1.7990 -1.6560 -1.5247 -1.4042 -1.2939 -1.1931
 -1.1013 -1.0178 -0.9410 -0.8689 -0.8004 -0.6419 -0.5020 -0.3883 -0.3024
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F555W
