 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -9.3406 -8.5452 -7.8208 -7.1566 -6.5723 -6.0791 -5.6780 -5.3507 -5.0690 -4.8059
 -4.5437 -4.2803 -4.0255 -3.7887 -3.5705 -3.0583 -2.5474 -2.0837 -1.6912 -1.3681
 -1.1235 -0.9483 -0.8210 -0.7229 -0.6425 -0.5738 -0.5141 -0.4622 -0.4174 -0.3790
 -0.3464
 -9.6031 -8.8291 -8.1186 -7.4666 -6.8457 -6.2948 -5.8220 -5.4301 -5.1053 -4.8234
 -4.5615 -4.3025 -4.0427 -3.7898 -3.5528 -3.0390 -2.5723 -2.1279 -1.7383 -1.4151
 -1.1636 -0.9806 -0.8507 -0.7558 -0.6819 -0.6209 -0.5693 -0.5248 -0.4863 -0.4535
 -0.4239
 -9.8273 -9.1096 -8.4351 -7.8010 -7.1694 -6.5914 -6.0683 -5.6108 -5.2220 -4.8949
 -4.6108 -4.3489 -4.0935 -3.8391 -3.5912 -3.0445 -2.5873 -2.1663 -1.7843 -1.4623
 -1.2058 -1.0139 -0.8773 -0.7812 -0.7114 -0.6575 -0.6141 -0.5777 -0.5470 -0.5213
 -0.5000
-10.0134 -9.3868 -8.7703 -8.1467 -7.5303 -6.9365 -6.3831 -5.8830 -5.4375 -5.0482
 -4.7169 -4.4286 -4.1654 -3.9132 -3.6652 -3.0898 -2.6123 -2.2007 -1.8290
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F390M
-10.6316-10.1481 -9.6202 -9.1203 -8.4473 -7.7612 -7.2465 -6.8683 -6.5379 -6.2379
 -5.9512 -5.6740 -5.4070 -5.1479 -4.8940 -4.2666 -3.6136 -2.9155 -2.2455
 -9.4105 -9.1109 -8.8804 -8.5551 -8.1797 -7.6443 -7.0541 -6.6061 -6.2387 -5.9133
 -5.6041 -5.3087 -5.0275 -4.7588 -4.4996 -3.8791 -3.2680 -2.6507 -2.0636 -1.5849
 -8.8833 -8.3153 -8.0428 -7.9267 -7.7324 -7.4313 -6.9734 -6.4598 -6.0425 -5.6882
 -5.3584 -5.0458 -4.7509 -4.4729 -4.2089 -3.5948 -3.0181 -2.4627 -1.9406 -1.5021
 -1.1755
 -8.6865 -7.9871 -7.5251 -7.2568 -7.1334 -7.0207 -6.7855 -6.4042 -5.9495 -5.5582
 -5.2107 -4.8826 -4.5743 -4.2858 -4.0153 -3.4017 -2.8485 -2.3369 -1.8628 -1.4540
 -1.1457 -0.9135
 -8.6966 -7.8979 -7.3176 -6.9142 -6.6449 -6.4663 -6.3471 -6.1838 -5.8923 -5.5087
 -5.1476 -4.8085 -4.4878 -4.1875 -3.9077 -3.2852 -2.7441 -2.2608 -1.8203 -1.4341
 -1.1370 -0.9165 -0.7436 -0.6006
 -8.8754 -7.9910 -7.2961 -6.7861 -6.4170 -6.1439 -5.9297 -5.7513 -5.5984 -5.3973
 -5.1098 -4.7954 -4.4742 -4.1640 -3.8729 -3.2318 -2.6911 -2.2234 -1.8055 -1.4366
 -1.1459 -0.9319 -0.7681 -0.6346 -0.5213 -0.4224 -0.3337 -0.2516 -0.1762 -0.1160
 -9.1843 -8.2359 -7.4421 -6.8221 -6.3588 -6.0139 -5.7413 -5.5023 -5.2848 -5.0957
 -4.9185 -4.7134 -4.4663 -4.1862 -3.8951 -3.2298 -2.6792 -2.2166 -1.8119 -1.4560
 -1.1688 -0.9569 -0.7986 -0.6729 -0.5677 -0.4765 -0.3965 -0.3261 -0.2636 -0.2089
 -0.1650
 -9.5661 -8.5961 -7.7247 -7.0042 -6.4393 -6.0073 -5.6746 -5.4021 -5.1569 -4.9250
 -4.7110 -4.5170 -4.3328 -4.1346 -3.9081 -3.2694 -2.7011 -2.2346 -1.8351 -1.4876
 -1.2023 -0.9891 -0.8327 -0.7126 -0.6146 -0.5315 -0.4584 -0.3947 -0.3403 -0.2953
 -0.2596
 -9.9691 -9.0144 -8.1061 -7.3030 -6.6402 -6.1173 -5.7093 -5.3853 -5.1141 -4.8673
 -4.6317 -4.4066 -4.1972 -4.0052 -3.8192 -3.3059 -2.7457 -2.2688 -1.8685 -1.5246
 -1.2400 -1.0235 -0.8665 -0.7497 -0.6580 -0.5822 -0.5181 -0.4630 -0.4157 -0.3755
 -0.3419
-10.3427 -9.4432 -8.5598 -7.7100 -6.9643 -6.3463 -5.8532 -5.4616 -5.1440 -4.8735
 -4.6272 -4.3910 -4.1616 -3.9442 -3.7428 -3.2822 -2.8039 -2.3276 -1.9205 -1.5751
 -1.2879 -1.0650 -0.9027 -0.7858 -0.6981 -0.6287 -0.5719 -0.5240 -0.4833 -0.4490
 -0.4210
-10.6423 -9.8556 -9.0190 -8.1767 -7.3837 -6.6844 -6.1005 -5.6285 -5.2482 -4.9346
 -4.6648 -4.4189 -4.1829 -3.9529 -3.7324 -3.2472 -2.8204 -2.3899 -1.9824 -1.6322
 -1.3403 -1.1096 -0.9388 -0.8175 -0.7310 -0.6667 -0.6168 -0.5762 -0.5429 -0.5156
 -0.4935
