 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -5.2143 -4.8035 -4.4435 -4.1248 -3.8420 -3.5890 -3.3604 -3.1520 -2.9608 -2.7845
 -2.6204 -2.4661 -2.3196 -2.1805 -2.0474 -1.7142 -1.4250 -1.2043 -1.0318 -0.8902
 -0.7758 -0.6853 -0.6109 -0.5459 -0.4860 -0.4296 -0.3763 -0.3259 -0.2788 -0.2358
 -0.1991
 -5.2228 -4.8408 -4.4974 -4.1892 -3.9108 -3.6566 -3.4225 -3.2057 -3.0047 -2.8179
 -2.6437 -2.4806 -2.3269 -2.1817 -2.0446 -1.7236 -1.4421 -1.2147 -1.0400 -0.8994
 -0.7857 -0.6965 -0.6264 -0.5681 -0.5163 -0.4680 -0.4222 -0.3785 -0.3370 -0.2982
 -0.2624
 -5.2073 -4.8531 -4.5300 -4.2359 -3.9671 -3.7184 -3.4852 -3.2653 -3.0580 -2.8634
 -2.6809 -2.5100 -2.3495 -2.1983 -2.0556 -1.7320 -1.4569 -1.2292 -1.0498 -0.9086
 -0.7948 -0.7053 -0.6365 -0.5826 -0.5376 -0.4974 -0.4600 -0.4241 -0.3896 -0.3568
 -0.3261
 -5.1684 -4.8428 -4.5421 -4.2638 -4.0052 -3.7638 -3.5368 -3.3201 -3.1122 -2.9139
 -2.7258 -2.5487 -2.3821 -2.2255 -2.0804 -1.7394 -1.4694 -1.2478 -1.0612
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  B   
 -6.0449 -5.8334 -5.6318 -5.4325 -5.2326 -5.0142 -4.7582 -4.4656 -4.1860 -3.9244
 -3.6709 -3.4205 -3.1775 -2.9508 -2.7431 -2.2920 -1.8996 -1.5436 -1.2305
 -5.5907 -5.3487 -5.1256 -4.9158 -4.7127 -4.5084 -4.2877 -4.0464 -3.8143 -3.5924
 -3.3726 -3.1480 -2.9211 -2.7039 -2.5049 -2.0830 -1.7326 -1.4259 -1.1544 -0.9237
 -5.2717 -4.9905 -4.7404 -4.5157 -4.3103 -4.1168 -3.9245 -3.7219 -3.5237 -3.3327
 -3.1430 -2.9470 -2.7407 -2.5340 -2.3413 -1.9379 -1.6152 -1.3418 -1.1023 -0.8957
 -0.7236
 -5.0940 -4.7542 -4.4720 -4.2318 -4.0168 -3.8241 -3.6457 -3.4699 -3.2967 -3.1290
 -2.9635 -2.7941 -2.6134 -2.4219 -2.2352 -1.8425 -1.5369 -1.2853 -1.0689 -0.8814
 -0.7237 -0.5901
 -5.0476 -4.6491 -4.3181 -4.0438 -3.8159 -3.6259 -3.4614 -3.2986 -3.1366 -2.9794
 -2.8268 -2.6754 -2.5186 -2.3482 -2.1706 -1.7838 -1.4875 -1.2497 -1.0493 -0.8769
 -0.7309 -0.6073 -0.4996 -0.4034
 -5.1095 -4.6708 -4.2932 -3.9749 -3.7117 -3.4954 -3.3186 -3.1724 -3.0389 -2.9007
 -2.7492 -2.5970 -2.4481 -2.2966 -2.1335 -1.7515 -1.4585 -1.2288 -1.0393 -0.8785
 -0.7424 -0.6275 -0.5277 -0.4384 -0.3568 -0.2817 -0.2130 -0.1475 -0.0875 -0.0495
 -5.2369 -4.7618 -4.3524 -4.0058 -3.7149 -3.4728 -3.2714 -3.1012 -2.9537 -2.8231
 -2.6999 -2.5662 -2.4176 -2.2656 -2.1129 -1.7385 -1.4441 -1.2180 -1.0356 -0.8830
 -0.7551 -0.6479 -0.5558 -0.4736 -0.3983 -0.3285 -0.2641 -0.2047 -0.1494 -0.1007
 -0.0726
 -5.4191 -4.9088 -4.4676 -4.0929 -3.7776 -3.5125 -3.2883 -3.0972 -2.9316 -2.7840
 -2.6481 -2.5201 -2.3938 -2.2584 -2.1117 -1.7404 -1.4407 -1.2143 -1.0356 -0.8887
 -0.7679 -0.6661 -0.5812 -0.5064 -0.4381 -0.3744 -0.3153 -0.2597 -0.2087 -0.1641
 -0.1268
 -5.6123 -5.0866 -4.6187 -4.2191 -3.8797 -3.5920 -3.3465 -3.1346 -2.9493 -2.7848
 -2.6351 -2.4951 -2.3617 -2.2333 -2.1044 -1.7540 -1.4446 -1.2140 -1.0364 -0.8931
 -0.7753 -0.6794 -0.6007 -0.5333 -0.4726 -0.4161 -0.3633 -0.3137 -0.2676 -0.2258
 -0.1891
 -5.7837 -5.2629 -4.7917 -4.3774 -4.0185 -3.7097 -3.4431 -3.2107 -3.0057 -2.8227
 -2.6570 -2.5043 -2.3608 -2.2246 -2.0944 -1.7723 -1.4657 -1.2232 -1.0426 -0.9001
 -0.7843 -0.6907 -0.6160 -0.5549 -0.5017 -0.4530 -0.4076 -0.3646 -0.3242 -0.2867
 -0.2522
 -5.9067 -5.4086 -4.9520 -4.5365 -4.1703 -3.8479 -3.5643 -3.3133 -3.0894 -2.8884
 -2.7059 -2.5388 -2.3837 -2.2384 -2.1009 -1.7822 -1.4903 -1.2418 -1.0525 -0.9080
 -0.7925 -0.6996 -0.6267 -0.5695 -0.5227 -0.4817 -0.4443 -0.4090 -0.3754 -0.3437
 -0.3144
 -5.9590 -5.5000 -5.0713 -4.6729 -4.3119 -3.9872 -3.6953 -3.4316 -3.1924 -2.9750
 -2.7767 -2.5950 -2.4275 -2.2718 -2.1239 -1.7837 -1.5184 -1.2698 -1.0661
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  B   
 -6.4199 -6.2820 -6.1393 -5.9813 -5.8044 -5.5627 -5.2076 -4.7384 -4.2842 -3.9059
 -3.5932 -3.3223 -3.0803 -2.8611 -2.6621 -2.2375 -1.8846 -1.5632 -1.2701
 -5.9092 -5.7531 -5.5967 -5.4321 -5.2469 -5.0219 -4.7244 -4.3409 -3.9678 -3.6426
 -3.3616 -3.1101 -2.8785 -2.6654 -2.4709 -2.0611 -1.7284 -1.4429 -1.1889 -0.9625
