 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -3.8978 -3.5593 -3.3163 -3.0484 -2.7518 -2.5095 -2.3699 -2.2837 -2.1821 -2.0433
 -1.8864 -1.7172 -1.5483 -1.3909 -1.2418 -0.9125 -0.6450 -0.4434 -0.2859
 -3.5079 -3.1135 -2.8202 -2.5800 -2.3832 -2.2256 -2.0973 -1.9864 -1.8812 -1.7736
 -1.6576 -1.5284 -1.3865 -1.2428 -1.1082 -0.8213 -0.5944 -0.4217 -0.2915 -0.1970
 -3.2416 -2.8258 -2.5080 -2.2753 -2.1150 -1.9915 -1.8760 -1.7670 -1.6670 -1.5739
 -1.4788 -1.3758 -1.2584 -1.1308 -1.0086 -0.7527 -0.5561 -0.4066 -0.2963 -0.2132
 -0.1480
 -3.0989 -2.6962 -2.3797 -2.1343 -1.9472 -1.8072 -1.7060 -1.6255 -1.5395 -1.4442
 -1.3500 -1.2594 -1.1640 -1.0549 -0.9430 -0.7067 -0.5301 -0.3981 -0.3002 -0.2251
 -0.1650 -0.1150
 -2.9937 -2.6152 -2.3130 -2.0726 -1.8810 -1.7286 -1.6075 -1.5100 -1.4302 -1.3564
 -1.2726 -1.1814 -1.0934 -1.0009 -0.9007 -0.6779 -0.5129 -0.3928 -0.3051 -0.2376
 -0.1826 -0.1361 -0.0957 -0.0599
 -2.8851 -2.5397 -2.2597 -2.0323 -1.8458 -1.6915 -1.5629 -1.4549 -1.3623 -1.2799
 -1.2032 -1.1249 -1.0427 -0.9603 -0.8707 -0.6606 -0.5017 -0.3881 -0.3080 -0.2479
 -0.1988 -0.1567 -0.1196 -0.0863 -0.0559 -0.0287 -0.0052  0.0103  0.0151  0.0115
 -2.7622 -2.4530 -2.1997 -1.9905 -1.8149 -1.6654 -1.5365 -1.4242 -1.3256 -1.2372
 -1.1551 -1.0766 -0.9989 -0.9241 -0.8457 -0.6502 -0.4946 -0.3833 -0.3072 -0.2534
 -0.2110 -0.1745 -0.1420 -0.1121 -0.0844 -0.0586 -0.0356 -0.0158 -0.0042 -0.0046
 -0.0142
 -2.6328 -2.3565 -2.1289 -1.9392 -1.7775 -1.6368 -1.5121 -1.4005 -1.3000 -1.2090
 -1.1248 -1.0450 -0.9680 -0.8933 -0.8212 -0.6415 -0.4907 -0.3791 -0.3034 -0.2530
 -0.2167 -0.1868 -0.1601 -0.1353 -0.1116 -0.0889 -0.0676 -0.0484 -0.0330 -0.0245
 -0.0300
 -2.5023 -2.2551 -2.0491 -1.8765 -1.7285 -1.5980 -1.4804 -1.3731 -1.2745 -1.1836
 -1.0993 -1.0199 -0.9440 -0.8705 -0.8000 -0.6301 -0.4861 -0.3754 -0.2979 -0.2476
 -0.2149 -0.1913 -0.1714 -0.1529 -0.1348 -0.1166 -0.0988 -0.0817 -0.0663 -0.0545
 -0.0501
 -2.3874 -2.1647 -1.9732 -1.8118 -1.6741 -1.5527 -1.4429 -1.3412 -1.2466 -1.1584
 -1.0757 -0.9980 -0.9240 -0.8531 -0.7845 -0.6215 -0.4820 -0.3731 -0.2942 -0.2416
 -0.2089 -0.1887 -0.1749 -0.1633 -0.1519 -0.1399 -0.1273 -0.1143 -0.1015 -0.0899
 -0.0791
 -2.2925 -2.0869 -1.9064 -1.7505 -1.6171 -1.5015 -1.3978 -1.3020 -1.2123 -1.1280
 -1.0484 -0.9734 -0.9023 -0.8344 -0.7688 -0.6136 -0.4776 -0.3699 -0.2907 -0.2361
 -0.2016 -0.1817 -0.1710 -0.1652 -0.1607 -0.1556 -0.1496 -0.1424 -0.1341 -0.1256
 -0.1182
 -2.2175 -2.0217 -1.8507 -1.6977 -1.5648 -1.4497 -1.3483 -1.2567 -1.1715 -1.0915
 -1.0158 -0.9443 -0.8765 -0.8121 -0.7529 -0.6064 -0.4729 -0.3658 -0.2874
