 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  K   
  1.5675  1.4361  1.3052  1.1773  1.0539  0.9355  0.8213  0.7112  0.6044  0.5007
  0.3974
  1.3811  1.4589  1.5435  1.6339  1.7315  1.8317  1.9235  1.9784  2.0413  2.0866
  2.1168  2.1356  2.1473  2.1544  2.1576  2.1339  2.0510  1.9387  1.8152  1.6884
  1.5612  1.4335  1.3057  1.1790  1.0555  0.9363  0.8218  0.7116  0.6053  0.5023
  0.4021
  1.2137  1.2747  1.3572  1.4590  1.5443  1.6550  1.7217  1.8144  1.8938  1.9382
  1.9894  2.0257  2.0501  2.0662  2.0749  2.0832  2.0242  1.9232  1.8050
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  K   
  2.8008  2.8596  3.0085  3.1020  3.0611  2.9857  2.9974  3.0532  3.0622  3.0038
  2.9184  2.8300  2.7573  2.6934  2.6233  2.4408
  2.8408  2.8458  2.9029  2.9474  2.9450  2.9308  2.9459  2.9708  2.9707  2.9367
  2.8820  2.8150  2.7455  2.6764  2.6048  2.4250  2.2507  2.0825  1.9202
  2.8574  2.8301  2.8265  2.8341  2.8480  2.8662  2.8830  2.8923  2.8898  2.8730
  2.8401  2.7906  2.7276  2.6579  2.5864  2.4094  2.2378  2.0714  1.9104  1.7547
  1.6038
  2.8506  2.8125  2.7793  2.7621  2.7701  2.7919  2.8087  2.8177  2.8195  2.8127
  2.7927  2.7568  2.7036  2.6379  2.5681  2.3940  2.2251  2.0610  1.9017  1.7481
  1.5997  1.4559  1.3161
  2.8204  2.7930  2.7613  2.7314  2.7113  2.7079  2.7230  2.7470  2.7598  2.7558
  2.7398  2.7136  2.6735  2.6164  2.5499  2.3788  2.2126  2.0513  1.8940  1.7419
  1.5954  1.4538  1.3166  1.1832  1.0531
  2.7537  2.7460  2.7278  2.7041  2.6800  2.6620  2.6554  2.6604  2.6729  2.6843
  2.6810  2.6617  2.6323  2.5883  2.5293  2.3635  2.1998  2.0417  1.8871  1.7364
  1.5911  1.4511  1.3159  1.1848  1.0572  0.9328
  2.6415  2.6605  2.6644  2.6566  2.6414  2.6238  2.6092  2.6021  2.6017  2.6032
  2.6024  2.5936  2.5732  2.5427  2.4979  2.3468  2.1864  2.0313  1.8802  1.7316
  1.5872  1.4481  1.3143  1.1849  1.0594  0.9373  0.8182  0.7017  0.5881  0.4787
  2.4854  2.5314  2.5624  2.5780  2.5804  2.5735  2.5619  2.5511  2.5442  2.5407
  2.5354  2.5247  2.5068  2.4830  2.4491  2.3235  2.1716  2.0198  1.8724  1.7271
  1.5840  1.4455  1.3123  1.1840  1.0600  0.9398  0.8226  0.7084  0.5968  0.4876
  0.3819
  2.3004  2.3649  2.4203  2.4624  2.4883  2.4998  2.5002  2.4945  2.4871  2.4809
  2.4756  2.4666  2.4501  2.4265  2.3973  2.2897  2.1527  2.0068  1.8632  1.7219
  1.5815  1.4436  1.3106  1.1827  1.0596  0.9406  0.8251  0.7127  0.6032  0.4959
  0.3906
  2.1066  2.1787  2.2476  2.3113  2.3617  2.3963  2.4153  2.4223  2.4214  2.4170
  2.4119  2.4058  2.3949  2.3761  2.3504  2.2533  2.1279  1.9900  1.8505  1.7130
  1.5762  1.4401  1.3072  1.1791  1.0560  0.9375  0.8228  0.7117  0.6037  0.4982
  0.3949
  1.9162  1.9876  2.0598  2.1344  2.2037  2.2601  2.3016  2.3271  2.3395  2.3430
  2.3415  2.3378  2.3319  2.3211  2.3030  2.2203  2.1046  1.9743  1.8393  1.7051
  1.5721  1.4394  1.3080  1.1798  1.0563  0.9377  0.8234  0.7130  0.6061  0.5021
  0.3988
  1.7314  1.8001  1.8722  1.9468  2.0224  2.0952  2.1566  2.2030  2.2342  2.2520
  2.2598  2.2613  2.2593  2.2545  2.2452  2.1858  2.0812  1.9586  1.8283  1.6970
  1.5668  1.4374  1.3087  1.1816  1.0579  0.9386  0.8239  0.7136  0.6070  0.5038
  0.4036
  1.5521  1.6162  1.6890  1.7579  1.8340  1.9115  1.9850  2.0497  2.1004  2.1367
  2.1597  2.1721  2.1772  2.1777  2.1770  2.1498  2.0577  1.9429  1.8175
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  K   
  3.0376  3.0496  3.0675  3.0841  3.0924  3.0916  3.0807  3.0558  3.0186  2.9693
  2.9097  2.8439  2.7748  2.7029  2.6265  2.4455
  2.9367  2.9451  2.9603  2.9779  2.9929  3.0016  3.0014  2.9902  2.9672  2.9316
  2.8827  2.8220  2.7536  2.6817  2.6080  2.4284  2.2537  2.0855  1.9224
  2.8809  2.8728  2.8773  2.8896  2.9043  2.9168  2.9232  2.9216  2.9099  2.8865
  2.8492  2.7972  2.7333  2.6631  2.5913  2.4132  2.2405  2.0741  1.9130  1.7572
  1.6062
  2.8702  2.8327  2.8185  2.8192  2.8267  2.8371  2.8461  2.8500  2.8467  2.8340
  2.8092  2.7695  2.7139  2.6471  2.5764  2.3999  2.2289  2.0641  1.9047  1.7509
  1.6023  1.4585  1.3183
  2.8762  2.8228  2.7897  2.7742  2.7710  2.7752  2.7826  2.7886  2.7870  2.7785
  2.7618  2.7340  2.6910  2.6316  2.5633  2.3885  2.2189  2.0555  1.8975  1.7452
  1.5985  1.4567  1.3193  1.1856  1.0553
  2.8685  2.8292  2.7874  2.7569  2.7381  2.7282  2.7247  2.7256  2.7290  2.7301
  2.7166  2.6931  2.6599  2.6125  2.5502  2.3785  2.2100  2.0479  1.8914  1.7401
  1.5946  1.4544  1.3189  1.1875  1.0597  0.9351
  2.8302  2.8059  2.7739  2.7382  2.7030  2.6735  2.6535  2.6448  2.6447  2.6517
  2.6561  2.6454  2.6213  2.5846  2.5330  2.3689  2.2018  2.0410  1.8860  1.7359
  1.5911  1.4518  1.3177  1.1880  1.0622  0.9398  0.8204  0.7038  0.5902  0.4808
  2.7470  2.7477  2.7338  2.7109  2.6828  2.6535  2.6269  2.6070  2.5942  2.5857
  2.5790  2.5726  2.5599  2.5370  2.5010  2.3577  2.1935  2.0341  1.8808  1.7324
  1.5884  1.4495  1.3160  1.1875  1.0632  0.9427  0.8252  0.7107  0.5989  0.4897
  0.3841
  2.6194  2.6454  2.6559  2.6533  2.6407  2.6213  2.5986  2.5763  2.5573  2.5421
  2.5283  2.5125  2.4943  2.4737  2.4476  2.3362  2.1839  2.0267  1.8751  1.7288
  1.5864  1.4480  1.3147  1.1865  1.0632  0.9438  0.8280  0.7153  0.6055  0.4980
  0.3927
  2.4549  2.5039  2.5378  2.5586  2.5666  2.5641  2.5532  2.5374  2.5195  2.5022
  2.4860  2.4684  2.4470  2.4213  2.3935  2.2981  2.1656  2.0158  1.8666  1.7224
  1.5822  1.4449  1.3116  1.1832  1.0598  0.9410  0.8261  0.7146  0.6062  0.5005
  0.3970
  2.2713  2.3346  2.3861  2.4276  2.4577  2.4757  2.4824  2.4795  2.4698  2.4562
  2.4411  2.4248  2.4056  2.3815  2.3524  2.2605  2.1413  2.0033  1.8591  1.7175
  1.5798  1.4449  1.3126  1.1841  1.0604  0.9415  0.8269  0.7162  0.6089  0.5046
  0.4010
  2.0859  2.1531  2.2151  2.2702  2.3175  2.3555  2.3816  2.3962  2.4000  2.3957
  2.3861  2.3732  2.3578  2.3387  2.3143  2.2282  2.1158  1.9873  1.8499  1.7116
  1.5763  1.4440  1.3139  1.1861  1.0621  0.9426  0.8276  0.7170  0.6101  0.5066
  0.4060
  1.9020  1.9715  2.0375  2.0999  2.1574  2.2085  2.2518  2.2845  2.3052  2.3149
  2.3155  2.3095  2.2992  2.2855  2.2792  2.2012  2.0891  1.9678  1.8390
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  K   
  3.1076  3.1229  3.1385  3.1502  3.1516  3.1428  3.1214  3.0850  3.0365  2.9780
  2.9123  2.8435  2.7739  2.7029  2.6312  2.4511
  3.0198  3.0329  3.0489  3.0638  3.0724  3.0714  3.0585  3.0326  2.9952  2.9471
  2.8892  2.8235  2.7534  2.6818  2.6099  2.4317  2.2575  2.0887  1.9256
  2.9504  2.9558  2.9678  2.9821  2.9939  2.9984  2.9927  2.9759  2.9486  2.9108
  2.8621  2.8027  2.7354  2.6646  2.5929  2.4159  2.2439  2.0776  1.9169  1.7610
  1.6099
  2.8994  2.8916  2.8952  2.9051  2.9161  2.9238  2.9240  2.9149  2.8967  2.8691
  2.8310  2.7811  2.7199  2.6513  2.5802  2.4037  2.2328  2.0681  1.9092  1.7553
  1.6066  1.4624  1.3221
  2.8892  2.8583  2.8374  2.8381  2.8451  2.8522  2.8550  2.8513  2.8400  2.8209
  2.7930  2.7543  2.7029  2.6397  2.5704  2.3945  2.2241  2.0604  1.9026  1.7502
  1.6032  1.4611  1.3234  1.1894  1.0587
  2.9005  2.8525  2.8162  2.7919  2.7802  2.7814  2.7911  2.7929  2.7859  2.7713
  2.7496  2.7199  2.6798  2.6264  2.5616  2.3877  2.2175  2.0543  1.8972  1.7458
  1.5999  1.4594  1.3236  1.1918  1.0636  0.9386
  2.9053  2.8598  2.8142  2.7725  2.7394  2.7179  2.7096  2.7133  2.7200  2.7204
  2.7080  2.6835  2.6498  2.6067  2.5509  2.3822  2.2125  2.0496  1.8931  1.7423
  1.5971  1.4574  1.3230  1.1929  1.0667  0.9438  0.8240  0.7071  0.5934  0.4843
  2.8903  2.8540  2.8133  2.7710  2.7304  2.6951  2.6684  2.6508  2.6402  2.6356
  2.6358  2.6306  2.6117  2.5788  2.5334  2.3768  2.2084  2.0459  1.8899  1.7398
  1.5951  1.4557  1.3219  1.1930  1.0682  0.9472  0.8293  0.7144  0.6023  0.4932
  0.3878
  2.8416  2.8230  2.7948  2.7603  2.7228  2.6850  2.6502  2.6212  2.5986  2.5809
  2.5659  2.5532  2.5419  2.5251  2.4967  2.3690  2.2045  2.0426  1.8872  1.7379
  1.5951  1.4548  1.3211  1.1926  1.0687  0.9489  0.8326  0.7194  0.6091  0.5015
  0.3963
  2.7440  2.7528  2.7454  2.7262  2.6994  2.6682  2.6353  2.6031  2.5738  2.5484
  2.5258  2.5036  2.4809  2.4587  2.4358  2.3430  2.1969  2.0371  1.8824  1.7339
  1.5908  1.4522  1.3184  1.1897  1.0659  0.9466  0.8312  0.7192  0.6103  0.5042
  0.4006
  2.6054  2.6384  2.6558  2.6578  2.6485  2.6308  2.6073  2.5804  2.5522  2.5243
  2.4976  2.4714  2.4442  2.4151  2.3850  2.3008  2.1807  2.0325  1.8798  1.7325
  1.5906  1.4532  1.3199  1.1910  1.0669  0.9476  0.8325  0.7213  0.6135  0.5087
  0.4047
  2.4399  2.4910  2.5281  2.5520  2.5627  2.5631  2.5546  2.5394  2.5191  2.4955
  2.4700  2.4433  2.4152  2.3848  2.3518  2.2606  2.1524  2.0209  1.8757  1.7304
  1.5899  1.4540  1.3219  1.1934  1.0689  0.9491  0.8337  0.7226  0.6152  0.5111
  0.4101
  2.2592  2.3232  2.3750  2.4155  2.4446  2.4631  2.4720  2.4723  2.4648  2.4509
  2.4321  2.4096  2.3841  2.3557  2.3362  2.2224  2.1120  2.0023  1.8701
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  K   
  3.2168  3.2302  3.2383  3.2399  3.2320  3.2108  3.1742  3.1220  3.0605  2.9866
  2.9139  2.8414  2.7700  2.6987  2.6282  2.4525
  3.1285  3.1437  3.1574  3.1664  3.1667  3.1550  3.1286  3.0862  3.0306  2.9662
  2.8966  2.8245  2.7520  2.6798  2.6085  2.4331  2.2615  2.0934  1.9302
