 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  H   
  1.4660  1.3513  1.2337  1.1150  0.9975  0.8825  0.7703  0.6609  0.5541  0.4497
  0.3455
  1.5340  1.6126  1.6819  1.7428  1.8006  1.8521  1.8957  1.9132  1.9409  1.9619
  1.9777  1.9892  1.9966  1.9987  1.9939  1.9484  1.8673  1.7745  1.6713  1.5632
  1.4534  1.3423  1.2293  1.1148  1.0000  0.8866  0.7754  0.6670  0.5613  0.4581
  0.3572
  1.3693  1.4428  1.5230  1.6092  1.6748  1.7391  1.7632  1.8093  1.8479  1.8613
  1.8867  1.9064  1.9211  1.9310  1.9377  1.9191  1.8406  1.7543  1.6566
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  H   
  2.6118  2.9182  3.2495  3.2387  2.8997  2.6291  2.6149  2.7097  2.7532  2.7289
  2.6763  2.6178  2.5633  2.5097  2.4508  2.2942
  2.5495  2.6975  2.8746  2.9052  2.7984  2.7076  2.7021  2.7283  2.7294  2.7000
  2.6547  2.6020  2.5472  2.4908  2.4315  2.2778  2.1211  1.9653  1.8132
  2.5057  2.5461  2.6135  2.6584  2.6870  2.7059  2.7139  2.7097  2.6929  2.6647
  2.6266  2.5799  2.5270  2.4701  2.4111  2.2601  2.1080  1.9560  1.8058  1.6578
  1.5120
  2.4804  2.4640  2.4662  2.4983  2.5655  2.6240  2.6503  2.6539  2.6437  2.6230
  2.5920  2.5515  2.5027  2.4476  2.3896  2.2411  2.0930  1.9454  1.7982  1.6531
  1.5110  1.3720  1.2361
  2.4736  2.4512  2.4327  2.4249  2.4339  2.4619  2.5113  2.5609  2.5818  2.5749
  2.5509  2.5168  2.4743  2.4233  2.3670  2.2208  2.0761  1.9335  1.7905  1.6483
  1.5087  1.3723  1.2390  1.1088  0.9814
  2.4533  2.4368  2.4184  2.4017  2.3915  2.3913  2.4023  2.4227  2.4530  2.4800
  2.4850  2.4677  2.4365  2.3942  2.3424  2.1997  2.0574  1.9192  1.7816  1.6430
  1.5058  1.3715  1.2403  1.1122  0.9871  0.8647
  2.4089  2.4038  2.3935  2.3806  2.3673  2.3571  2.3528  2.3548  2.3604  2.3691
  2.3799  2.3833  2.3712  2.3455  2.3075  2.1775  2.0375  1.9024  1.7703  1.6368
  1.5026  1.3702  1.2408  1.1144  0.9912  0.8708  0.7531  0.6378  0.5251  0.4175
  2.3356  2.3449  2.3471  2.3438  2.3366  2.3273  2.3183  2.3121  2.3085  2.3055
  2.3018  2.2972  2.2897  2.2751  2.2508  2.1485  2.0168  1.8842  1.7562  1.6285
  1.4986  1.3686  1.2409  1.1161  0.9943  0.8755  0.7594  0.6460  0.5349  0.4261
  0.3219
  2.2342  2.2590  2.2755  2.2848  2.2879  2.2859  2.2804  2.2735  2.2667  2.2598
  2.2517  2.2407  2.2265  2.2093  2.1886  2.1073  1.9922  1.8650  1.7402  1.6175
  1.4930  1.3665  1.2408  1.1174  0.9971  0.8797  0.7649  0.6529  0.5435  0.4362
  0.3308
  2.1121  2.1493  2.1797  2.2023  2.2178  2.2264  2.2289  2.2270  2.2221  2.2154
  2.2071  2.1959  2.1806  2.1609  2.1378  2.0628  1.9612  1.8430  1.7217  1.6024
  1.4829  1.3610  1.2379  1.1160  0.9967  0.8804  0.7668  0.6560  0.5477  0.4418
  0.3379
  1.9783  2.0212  2.0629  2.0980  2.1261  2.1466  2.1596  2.1661  2.1672  2.1643
  2.1586  2.1500  2.1377  2.1204  2.0983  2.0244  1.9311  1.8218  1.7051  1.5882
  1.4724  1.3555  1.2369  1.1177  0.9998  0.8846  0.7721  0.6625  0.5556  0.4510
  0.3467
  1.8347  1.8837  1.9315  1.9757  2.0146  2.0465  2.0707  2.0876  2.0976  2.1016
  2.1010  2.0967  2.0888  2.0766  2.0591  1.9924  1.9023  1.8006  1.6892  1.5749
  1.4610  1.3474  1.2331  1.1177  1.0025  0.8888  0.7774  0.6687  0.5629  0.4595
  0.3584
  1.6813  1.7368  1.7934  1.8414  1.8874  1.9283  1.9627  1.9902  2.0104  2.0236
  2.0308  2.0328  2.0305  2.0241  2.0202  1.9668  1.8748  1.7794  1.6740
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  H   
  2.7610  2.7704  2.7932  2.8532  2.8616  2.8552  2.8376  2.8080  2.7704  2.7260
  2.6767  2.6240  2.5692  2.5118  2.4502  2.2958
  2.6832  2.7243  2.7598  2.7863  2.8012  2.8042  2.7953  2.7750  2.7447  2.7059
  2.6600  2.6085  2.5533  2.4954  2.4350  2.2810  2.1239  1.9676  1.8138
  2.6067  2.6449  2.6824  2.7140  2.7362  2.7472  2.7463  2.7343  2.7116  2.6794
  2.6386  2.5904  2.5367  2.4793  2.4198  2.2666  2.1120  1.9586  1.8075  1.6592
  1.5140
  2.5315  2.5322  2.5610  2.6363  2.6665  2.6842  2.6906  2.6859  2.6711  2.6465
  2.6125  2.5697  2.5194  2.4635  2.4046  2.2526  2.1001  1.9494  1.8010  1.6556
  1.5133  1.3741  1.2379
  2.4892  2.4585  2.4644  2.5003  2.5498  2.5967  2.6280  2.6362  2.6275  2.6082
  2.5804  2.5442  2.4996  2.4471  2.3894  2.2390  2.0882  1.9400  1.7943  1.6513
  1.5115  1.3748  1.2413  1.1108  0.9832
  2.4955  2.4682  2.4444  2.4418  2.4572  2.4825  2.5110  2.5371  2.5564  2.5622
  2.5444  2.5136  2.4748  2.4281  2.3735  2.2254  2.0760  1.9301  1.7874  1.6469
  1.5091  1.3744  1.2430  1.1147  0.9893  0.8668
  2.4947  2.4704  2.4447  2.4206  2.4016  2.3916  2.3909  2.3987  2.4160  2.4447
  2.4661  2.4629  2.4395  2.4023  2.3546  2.2114  2.0634  1.9192  1.7793  1.6421
  1.5066  1.3736  1.2439  1.1172  0.9937  0.8731  0.7552  0.6397  0.5271  0.4197
  2.4740  2.4589  2.4388  2.4165  2.3942  2.3744  2.3595  2.3508  2.3467  2.3462
  2.3518  2.3625  2.3643  2.3495  2.3198  2.1958  2.0504  1.9076  1.7699  1.6359
  1.5035  1.3726  1.2444  1.1193  0.9972  0.8781  0.7617  0.6481  0.5369  0.4282
  0.3241
  2.4264  2.4232  2.4137  2.3994  2.3819  2.3628  2.3438  2.3269  2.3127  2.3008
  2.2901  2.2811  2.2754  2.2690  2.2549  2.1689  2.0359  1.8953  1.7592  1.6281
  1.4993  1.3712  1.2447  1.1210  1.0003  0.8825  0.7675  0.6552  0.5456  0.4382
  0.3329
  2.3457  2.3599  2.3631  2.3600  2.3519  2.3397  2.3244  2.3074  2.2897  2.2723
  2.2553  2.2377  2.2199  2.2028  2.1862  2.1220  2.0123  1.8797  1.7457  1.6167
  1.4913  1.3667  1.2424  1.1199  1.0003  0.8836  0.7697  0.6585  0.5500  0.4439
  0.3399
  2.2401  2.2674  2.2854  2.2954  2.2989  2.2969  2.2900  2.2787  2.2640  2.2468
  2.2281  2.2079  2.1862  2.1630  2.1391  2.0735  1.9805  1.8619  1.7333  1.6063
  1.4835  1.3627  1.2422  1.1220  1.0037  0.8880  0.7752  0.6653  0.5581  0.4532
  0.3487
  2.1196  2.1531  2.1834  2.2064  2.2224  2.2319  2.2353  2.2331  2.2255  2.2132
  2.1974  2.1786  2.1572  2.1333  2.1071  2.0342  1.9468  1.8399  1.7194  1.5957
  1.4746  1.3564  1.2395  1.1228  1.0068  0.8926  0.7808  0.6718  0.5655  0.4619
  0.3605
  1.9863  2.0274  2.0642  2.0968  2.1243  2.1454  2.1597  2.1677  2.1694  2.1651
  2.1556  2.1415  2.1236  2.1024  2.0902  2.0041  1.9112  1.8137  1.7040
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  H   
  2.8461  2.8755  2.8943  2.9018  2.8966  2.8802  2.8530  2.8152  2.7694  2.7193
  2.6664  2.6123  2.5577  2.5012  2.4431  2.2927
  2.7772  2.8113  2.8374  2.8533  2.8570  2.8483  2.8275  2.7954  2.7546  2.7077
  2.6563  2.6019  2.5459  2.4885  2.4299  2.2789  2.1246  1.9694  1.8151
