 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -8.1212 -7.5161 -6.9502 -6.4222 -5.9303 -5.4781 -5.0674 -4.6975 -4.3643 -4.0623
 -3.7859 -3.5312 -3.2956 -3.0751 -2.8649 -2.3625 -1.8826 -1.4644 -1.1053 -0.8108
 -0.5964 -0.4543 -0.3649 -0.3092 -0.2744 -0.2534 -0.2417 -0.2360 -0.2336 -0.2326
 -0.2331
 -8.4176 -7.8041 -7.2236 -6.6790 -6.1680 -5.6919 -5.2523 -4.8512 -4.4882 -4.1601
 -3.8612 -3.5869 -3.3331 -3.0965 -2.8742 -2.3724 -1.9124 -1.4959 -1.1392 -0.8404
 -0.6096 -0.4472 -0.3409 -0.2750 -0.2359 -0.2138 -0.2033 -0.2004 -0.2022 -0.2066
 -0.2116
 -8.7070 -8.0979 -7.5112 -6.9562 -6.4328 -5.9411 -5.4814 -5.0552 -4.6640 -4.3077
 -3.9836 -3.6872 -3.4142 -3.1605 -2.9234 -2.3983 -1.9453 -1.5345 -1.1758 -0.8747
 -0.6340 -0.4551 -0.3303 -0.2488 -0.1994 -0.1720 -0.1596 -0.1569 -0.1607 -0.1687
 -0.1788
 -8.9734 -8.3757 -7.7980 -7.2407 -6.7100 -6.2085 -5.7368 -5.2938 -4.8813 -4.4998
 -4.1493 -3.8280 -3.5198 -3.2451 -3.0125 -2.4402 -1.9813 -1.5802 -1.2151
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  U   
 -7.1581 -7.0287 -6.9430 -6.8847 -6.8378 -6.7868 -6.7186 -6.6215 -6.4823 -6.2877
 -6.0294 -5.7161 -5.3747 -5.0411 -4.7194 -3.9413 -3.1631 -2.4652 -1.8590
 -6.8298 -6.6330 -6.4842 -6.3769 -6.2965 -6.2247 -6.1435 -6.0388 -5.8988 -5.7124
 -5.4698 -5.1717 -4.8414 -4.5140 -4.2014 -3.4710 -2.7804 -2.1500 -1.6456 -1.2822
 -6.5768 -6.3227 -6.1431 -5.9956 -5.8636 -5.7478 -5.6393 -5.5212 -5.3784 -5.2017
 -4.9819 -4.7121 -4.4022 -4.0858 -3.7841 -3.0994 -2.4815 -1.9289 -1.4793 -1.1523
 -0.9224
 -6.5601 -6.2043 -5.9145 -5.6865 -5.5165 -5.3909 -5.2650 -5.1218 -4.9642 -4.7870
 -4.5827 -4.3438 -4.0638 -3.7634 -3.4726 -2.8248 -2.2611 -1.7639 -1.3542 -1.0516
 -0.8414 -0.6929
 -6.6831 -6.2618 -5.8998 -5.5922 -5.3334 -5.1218 -4.9536 -4.8128 -4.6749 -4.5009
 -4.2972 -4.0728 -3.8233 -3.5448 -3.2637 -2.6393 -2.1111 -1.6501 -1.2660 -0.9767
 -0.7767 -0.6391 -0.5410 -0.4679
 -6.9198 -6.4319 -6.0090 -5.6405 -5.3203 -5.0444 -4.8059 -4.5984 -4.4187 -4.2636
 -4.1005 -3.8999 -3.6678 -3.4137 -3.1456 -2.5311 -2.0216 -1.5821 -1.2113 -0.9252
 -0.7266 -0.5931 -0.5012 -0.4356 -0.3864 -0.3477 -0.3151 -0.2854 -0.2562 -0.2276
 -7.2774 -6.7150 -6.2227 -5.7921 -5.4145 -5.0830 -4.7924 -4.5365 -4.3083 -4.1019
 -3.9167 -3.7461 -3.5613 -3.3409 -3.0939 -2.4872 -1.9816 -1.5525 -1.1871 -0.8968
 -0.6905 -0.5542 -0.4638 -0.4019 -0.3580 -0.3257 -0.3011 -0.2805 -0.2620 -0.2449
 -0.2276
 -7.7362 -7.1052 -6.5416 -6.0419 -5.6010 -5.2130 -4.8718 -4.5703 -4.3021 -4.0603
