 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  I   
  0.7461  0.7498  0.7487  0.7436  0.7363  0.7284  0.7215  0.7157  0.7109  0.7070
  0.7041  0.7017  0.6962  0.6965  0.6942  0.6957  0.6999  0.6936  0.6745
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  I   
 -0.1406 -0.0508  0.0133  0.0583  0.0907  0.1174  0.1446  0.1762  0.2120  0.2539
  0.3042  0.3615  0.4214  0.4773  0.5277  0.6281  0.6908  0.7171  0.7117
 -0.0203  0.0748  0.1407  0.1824  0.2070  0.2219  0.2338  0.2481  0.2666  0.2918
  0.3265  0.3714  0.4228  0.4732  0.5193  0.6108  0.6680  0.6914  0.6877  0.6684
  0.0828  0.1797  0.2320  0.2643  0.2867  0.2989  0.3046  0.3097  0.3174  0.3302
  0.3510  0.3824  0.4241  0.4690  0.5112  0.5954  0.6484  0.6710  0.6680  0.6494
  0.6226
  0.1044  0.2185  0.2985  0.3468  0.3654  0.3610  0.3547  0.3549  0.3594  0.3673
  0.3800  0.3994  0.4293  0.4672  0.5054  0.5833  0.6326  0.6545  0.6522  0.6340
  0.6078  0.5768
  0.1080  0.2195  0.3032  0.3632  0.4034  0.4247  0.4283  0.4188  0.4044  0.4004
  0.4077  0.4219  0.4419  0.4704  0.5035  0.5752  0.6213  0.6422  0.6402  0.6218
  0.5953  0.5647  0.5307  0.4931
  0.1194  0.2221  0.3015  0.3619  0.4072  0.4395  0.4609  0.4729  0.4753  0.4669
  0.4566  0.4545  0.4634  0.4818  0.5075  0.5718  0.6147  0.6344  0.6322  0.6133
  0.5855  0.5540  0.5201  0.4835  0.4443  0.4025  0.3569  0.3063  0.2511  0.1952
  0.1493  0.2388  0.3095  0.3651  0.4095  0.4451  0.4727  0.4933  0.5079  0.5174
  0.5204  0.5166  0.5117  0.5130  0.5237  0.5734  0.6129  0.6312  0.6288  0.6091
  0.5792  0.5456  0.5106  0.4739  0.4355  0.3950  0.3519  0.3057  0.2553  0.1992
  0.1415
  0.1996  0.2740  0.3335  0.3812  0.4206  0.4542  0.4829  0.5070  0.5264  0.5418
  0.5543  0.5631  0.5662  0.5651  0.5653  0.5841  0.6158  0.6325  0.6300  0.6099
  0.5778  0.5410  0.5035  0.4655  0.4268  0.3868  0.3451  0.3014  0.2551  0.2041
  0.1469
  0.2664  0.3268  0.3745  0.4132  0.4455  0.4740  0.4998  0.5233  0.5438  0.5613
  0.5762  0.5889  0.5991  0.6056  0.6088  0.6143  0.6263  0.6384  0.6352  0.6152
  0.5815  0.5412  0.4999  0.4590  0.4184  0.3778  0.3363  0.2938  0.2496  0.2021
  0.1512
  0.3376  0.3883  0.4274  0.4579  0.4834  0.5059  0.5268  0.5467  0.5653  0.5820
  0.5967  0.6096  0.6209  0.6304  0.6378  0.6466  0.6486  0.6496  0.6442  0.6247
  0.5911  0.5485  0.5030  0.4580  0.4142  0.3714  0.3288  0.2863  0.2431  0.1985
  0.1514
  0.4046  0.4511  0.4860  0.5119  0.5322  0.5494  0.5651  0.5802  0.5948  0.6087
  0.6213  0.6324  0.6422  0.6511  0.6588  0.6715  0.6730  0.6673  0.6565  0.6365
  0.6039  0.5608  0.5124  0.4631  0.4150  0.3686  0.3235  0.2794  0.2357  0.1918
  0.1471
  0.4642  0.5088  0.5432  0.5686  0.5872  0.6011  0.6129  0.6236  0.6337  0.6434
  0.6525  0.6607  0.6669  0.6741  0.6718  0.6890  0.6995  0.6915  0.6721
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  I   
 -0.5721 -0.4467 -0.3429 -0.2523 -0.1679 -0.0828  0.0094  0.1061  0.1848  0.2502
  0.3106  0.3695  0.4266  0.4785  0.5249  0.6187  0.6838  0.7185  0.7227
 -0.3998 -0.2694 -0.1671 -0.0852 -0.0168  0.0455  0.1111  0.1758  0.2303  0.2781
  0.3256  0.3758  0.4266  0.4746  0.5179  0.6049  0.6641  0.6952  0.6993  0.6835
 -0.2725 -0.1402 -0.0370  0.0418  0.1019  0.1497  0.1939  0.2371  0.2745  0.3083
  0.3433  0.3831  0.4274  0.4716  0.5122  0.5934  0.6480  0.6766  0.6809  0.6663
  0.6402
 -0.1308 -0.0046  0.0800  0.1439  0.1958  0.2354  0.2667  0.2950  0.3200  0.3428
