 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F606W
 -3.1208 -2.8084 -2.5760 -2.3121 -2.0181 -1.7773 -1.6388 -1.5607 -1.4787 -1.3702
 -1.2477 -1.1154 -0.9839 -0.8617 -0.7461 -0.4930 -0.2942 -0.1494 -0.0385
 -2.7951 -2.4182 -2.1340 -1.9004 -1.7101 -1.5600 -1.4421 -1.3454 -1.2586 -1.1738
 -1.0851 -0.9873 -0.8792 -0.7681 -0.6631 -0.4396 -0.2680 -0.1427 -0.0512  0.0127
 -2.5797 -2.1755 -1.8642 -1.6376 -1.4848 -1.3717 -1.2709 -1.1794 -1.0988 -1.0268
 -0.9557 -0.8800 -0.7928 -0.6955 -0.6005 -0.3998 -0.2488 -0.1392 -0.0617 -0.0056
  0.0365
 -2.4746 -2.0803 -1.7666 -1.5237 -1.3422 -1.2124 -1.1252 -1.0627 -0.9993 -0.9292
 -0.8595 -0.7935 -0.7247 -0.6439 -0.5583 -0.3736 -0.2366 -0.1389 -0.0700 -0.0194
  0.0194  0.0500
 -2.4006 -2.0297 -1.7294 -1.4892 -1.2995 -1.1533 -1.0440 -0.9634 -0.9036 -0.8525
 -0.7948 -0.7304 -0.6683 -0.6022 -0.5279 -0.3565 -0.2284 -0.1390 -0.0778 -0.0328
  0.0023  0.0306  0.0539  0.0732
 -2.3153 -1.9783 -1.7016 -1.4752 -1.2894 -1.1374 -1.0156 -0.9205 -0.8459 -0.7847
 -0.7308 -0.6769 -0.6201 -0.5637 -0.5004 -0.3438 -0.2219 -0.1373 -0.0821 -0.0434
 -0.0130  0.0119  0.0328  0.0505  0.0656  0.0779  0.0869  0.0888  0.0812  0.0672
 -2.2043 -1.9060 -1.6591 -1.4541 -1.2813 -1.1338 -1.0080 -0.9028 -0.8175 -0.7474
 -0.6866 -0.6305 -0.5759 -0.5248 -0.4712 -0.3312 -0.2154 -0.1333 -0.0815 -0.0486
 -0.0243 -0.0042  0.0130  0.0280  0.0412  0.0528  0.0618  0.0681  0.0669  0.0550
  0.0360
 -2.0725 -1.8119 -1.5954 -1.4146 -1.2601 -1.1244 -1.0032 -0.8955 -0.8024 -0.7245
 -0.6584 -0.5995 -0.5443 -0.4915 -0.4423 -0.3163 -0.2081 -0.1275 -0.0765 -0.0472
 -0.0289 -0.0149 -0.0029  0.0078  0.0177  0.0269  0.0349  0.0409  0.0436  0.0400
  0.0239
 -1.9240 -1.6999 -1.5118 -1.3540 -1.2187 -1.0982 -0.9877 -0.8851 -0.7911 -0.7079
 -0.6363 -0.5746 -0.5188 -0.4663 -0.4175 -0.2992 -0.1981 -0.1205 -0.0688 -0.0402
 -0.0260 -0.0182 -0.0126 -0.0076 -0.0025  0.0028  0.0079  0.0125  0.0155  0.0152
  0.0083
 -1.7742 -1.5845 -1.4204 -1.2815 -1.1630 -1.0575 -0.9598 -0.8667 -0.7779 -0.6947
 -0.6197 -0.5542 -0.4970 -0.4453 -0.3973 -0.2850 -0.1883 -0.1136 -0.0616 -0.0315
 -0.0179 -0.0140 -0.0145 -0.0159 -0.0169 -0.0170 -0.0164 -0.0154 -0.0144 -0.0146
 -0.0155
 -1.6272 -1.4681 -1.3258 -1.2023 -1.0960 -1.0029 -0.9172 -0.8351 -0.7550 -0.6772
 -0.6033 -0.5357 -0.4760 -0.4238 -0.3769 -0.2714 -0.1785 -0.1059 -0.0546 -0.0230
 -0.0080 -0.0049 -0.0089 -0.0161 -0.0236 -0.0301 -0.0354 -0.0393 -0.0423 -0.0450
 -0.0487
 -1.4829 -1.3507 -1.2316 -1.1217 -1.0251 -0.9402 -0.8634 -0.7911 -0.7205 -0.6508
 -0.5824 -0.5169 -0.4561 -0.4022 -0.3563 -0.2584 -0.1687 -0.0974 -0.0478
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F606W
 -4.0096 -3.5418 -3.1314 -2.7757 -2.4714 -2.2049 -1.9621 -1.7350 -1.5310 -1.3569
 -1.2043 -1.0643 -0.9328 -0.8112 -0.6900 -0.4591 -0.2784 -0.1411 -0.0426
 -3.7095 -3.2318 -2.8088 -2.4467 -2.1442 -1.8936 -1.6827 -1.4951 -1.3317 -1.1919
 -1.0685 -0.9526 -0.8385 -0.7286 -0.6271 -0.4153 -0.2540 -0.1334 -0.0466  0.0157
 -3.3665 -2.8831 -2.4825 -2.2023 -1.9265 -1.6929 -1.4978 -1.3324 -1.1917 -1.0723
 -0.9684 -0.8721 -0.7752 -0.6762 -0.5819 -0.3849 -0.2378 -0.1296 -0.0521  0.0040
  0.0466
 -3.1009 -2.6134 -2.2278 -1.9311 -1.7013 -1.5173 -1.3616 -1.2215 -1.0951 -0.9851
 -0.8911 -0.8080 -0.7275 -0.6416 -0.5544 -0.3679 -0.2298 -0.1297 -0.0591 -0.0083
  0.0302  0.0606
 -3.0019 -2.5099 -2.1058 -1.7907 -1.5492 -1.3641 -1.2208 -1.1069 -1.0122 -0.9261
 -0.8387 -0.7585 -0.6859 -0.6140 -0.5360 -0.3586 -0.2260 -0.1313 -0.0659 -0.0201
  0.0147  0.0424  0.0651  0.0837
 -2.9613 -2.4711 -2.0658 -1.7402 -1.4823 -1.2798 -1.1229 -1.0030 -0.9124 -0.8446
 -0.7849 -0.7199 -0.6528 -0.5872 -0.5194 -0.3525 -0.2237 -0.1321 -0.0704 -0.0293
  0.0008  0.0250  0.0451  0.0620  0.0762  0.0875  0.0954  0.0962  0.0881  0.0743
 -2.9175 -2.4499 -2.0552 -1.7342 -1.4765 -1.2701 -1.1049 -0.9737 -0.8707 -0.7889
 -0.7226 -0.6666 -0.6125 -0.5571 -0.4989 -0.3464 -0.2209 -0.1310 -0.0713 -0.0342
 -0.0093  0.0101  0.0264  0.0405  0.0528  0.0633  0.0712  0.0763  0.0742  0.0620
  0.0429
 -2.8467 -2.4114 -2.0401 -1.7334 -1.4832 -1.2796 -1.1123 -0.9741 -0.8609 -0.7689
 -0.6929 -0.6282 -0.5712 -0.5193 -0.4698 -0.3360 -0.2166 -0.1277 -0.0687 -0.0336
 -0.0136  0.0001  0.0114  0.0213  0.0302  0.0384  0.0452  0.0500  0.0516  0.0471
  0.0307
 -2.7347 -2.3382 -1.9993 -1.7146 -1.4798 -1.2855 -1.1228 -0.9842 -0.8656 -0.7650
 -0.6804 -0.6088 -0.5462 -0.4899 -0.4394 -0.3184 -0.2082 -0.1218 -0.0628 -0.0281
 -0.0111 -0.0029  0.0022  0.0066  0.0108  0.0152  0.0191  0.0224  0.0242  0.0228
  0.0151
 -2.5909 -2.2474 -1.9435 -1.6834 -1.4657 -1.2837 -1.1290 -0.9948 -0.8765 -0.7720
 -0.6806 -0.6019 -0.5340 -0.4741 -0.4202 -0.3019 -0.1984 -0.1155 -0.0564 -0.0205
 -0.0037  0.0011  0.0006 -0.0014 -0.0031 -0.0041 -0.0045 -0.0046 -0.0049 -0.0063
 -0.0084
 -2.4282 -2.1358 -1.8701 -1.6369 -1.4377 -1.2687 -1.1238 -0.9965 -0.8824 -0.7789
 -0.6852 -0.6014 -0.5280 -0.4640 -0.4075 -0.2881 -0.1878 -0.1079 -0.0497 -0.0125
  0.0057  0.0100  0.0061 -0.0015 -0.0096 -0.0169 -0.0231 -0.0280 -0.0322 -0.0361
 -0.0408
 -2.2493 -2.0061 -1.7840 -1.5818 -1.4009 -1.2432 -1.1079 -0.9881 -0.8797 -0.7801
 -0.6878 -0.6028 -0.5257 -0.4574 -0.4013 -0.2770 -0.1764 -0.0990 -0.0427
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F606W
 -4.8434 -4.4255 -4.0390 -3.6740 -3.3301 -2.9746 -2.5717 -2.1267 -1.7474 -1.4483
 -1.2166 -1.0348 -0.8871 -0.7625 -0.6540 -0.4324 -0.2615 -0.1298 -0.0326
 -4.5686 -4.1016 -3.6738 -3.2829 -2.9231 -2.5833 -2.2338 -1.8714 -1.5616 -1.3111
 -1.1114 -0.9501 -0.8157 -0.7002 -0.5986 -0.3923 -0.2372 -0.1204 -0.0340  0.0287
 -4.3560 -3.8785 -3.4298 -3.0190 -2.6503 -2.3203 -2.0132 -1.7083 -1.4412 -1.2210
 -1.0426 -0.8965 -0.7728 -0.6643 -0.5676 -0.3709 -0.2252 -0.1174 -0.0385  0.0185
  0.0606
 -4.0195 -3.5476 -3.1687 -2.8030 -2.4556 -2.1368 -1.8528 -1.5903 -1.3548 -1.1559
 -0.9924 -0.8580 -0.7442 -0.6432 -0.5511 -0.3611 -0.2209 -0.1185 -0.0448  0.0079
  0.0465  0.0765
 -3.7116 -3.2286 -2.8217 -2.4777 -2.1842 -1.9309 -1.7050 -1.4874 -1.2842 -1.1051
 -0.9533 -0.8270 -0.7210 -0.6280 -0.5415 -0.3573 -0.2205 -0.1214 -0.0512 -0.0021
  0.0330  0.0601  0.0819  0.0994
 -3.6069 -3.0814 -2.6314 -2.2563 -1.9479 -1.6940 -1.4866 -1.3179 -1.1745 -1.0437
 -0.9178 -0.8020 -0.7007 -0.6130 -0.5333 -0.3560 -0.2212 -0.1242 -0.0564 -0.0103
  0.0211  0.0446  0.0637  0.0795  0.0923  0.1021  0.1082  0.1075  0.0987  0.0851
 -3.6013 -3.0505 -2.5707 -2.1710 -1.8450 -1.5808 -1.3663 -1.1911 -1.0478 -0.9331
