 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -1.4124 -1.3198 -1.2246 -1.1307 -1.0419 -0.9595 -0.8837 -0.8140 -0.7508 -0.6944
 -0.6445 -0.5997 -0.5584 -0.5196 -0.4842 -0.3910 -0.2966 -0.2164 -0.1567 -0.1163
 -0.0913 -0.0760 -0.0658 -0.0578 -0.0507 -0.0440 -0.0377 -0.0321 -0.0275 -0.0253
 -0.0280
 -1.3160 -1.2419 -1.1636 -1.0845 -1.0084 -0.9369 -0.8694 -0.8053 -0.7446 -0.6876
 -0.6350 -0.5871 -0.5432 -0.5021 -0.4636 -0.3729 -0.2863 -0.2107 -0.1522 -0.1115
 -0.0867 -0.0735 -0.0673 -0.0645 -0.0627 -0.0612 -0.0596 -0.0578 -0.0563 -0.0556
 -0.0557
 -1.2116 -1.1514 -1.0884 -1.0235 -0.9599 -0.8993 -0.8415 -0.7854 -0.7306 -0.6770
 -0.6254 -0.5766 -0.5311 -0.4889 -0.4493 -0.3583 -0.2753 -0.2039 -0.1470 -0.1061
 -0.0805 -0.0675 -0.0634 -0.0644 -0.0678 -0.0718 -0.0756 -0.0789 -0.0816 -0.0843
 -0.0874
 -1.1010 -1.0544 -1.0047 -0.9527 -0.9004 -0.8494 -0.8008 -0.7532 -0.7057 -0.6582
 -0.6106 -0.5638 -0.5188 -0.4763 -0.4413 -0.3472 -0.2636 -0.1960 -0.1411
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.0911 -2.0242 -1.9636 -1.9031 -1.8419 -1.7635 -1.6501 -1.4989 -1.3452 -1.2036
 -1.0764 -0.9624 -0.8596 -0.7670 -0.6833 -0.5060 -0.3632 -0.2477 -0.1565
 -1.9543 -1.8752 -1.8047 -1.7372 -1.6674 -1.5894 -1.4901 -1.3633 -1.2359 -1.1171
 -1.0083 -0.9076 -0.8133 -0.7258 -0.6456 -0.4762 -0.3425 -0.2365 -0.1525 -0.0863
 -1.8555 -1.7640 -1.6825 -1.6058 -1.5299 -1.4515 -1.3641 -1.2582 -1.1500 -1.0481
 -0.9541 -0.8660 -0.7810 -0.6986 -0.6214 -0.4573 -0.3295 -0.2296 -0.1513 -0.0900
 -0.0416
 -1.7842 -1.6691 -1.5775 -1.4990 -1.4207 -1.3412 -1.2595 -1.1702 -1.0772 -0.9883
 -0.9059 -0.8292 -0.7548 -0.6797 -0.6060 -0.4461 -0.3220 -0.2262 -0.1523 -0.0951
 -0.0505 -0.0143
 -1.7459 -1.6074 -1.4891 -1.3885 -1.3030 -1.2307 -1.1660 -1.0939 -1.0152 -0.9366
 -0.8623 -0.7936 -0.7287 -0.6632 -0.5951 -0.4397 -0.3181 -0.2252 -0.1546 -0.1009
 -0.0598 -0.0271  0.0002  0.0233
 -1.7417 -1.5930 -1.4534 -1.3270 -1.2171 -1.1238 -1.0477 -0.9879 -0.9359 -0.8830
 -0.8239 -0.7622 -0.7023 -0.6446 -0.5847 -0.4357 -0.3160 -0.2251 -0.1569 -0.1063
 -0.0688 -0.0396 -0.0156  0.0048  0.0225  0.0376  0.0498  0.0583  0.0617  0.0578
 -1.7424 -1.5931 -1.4476 -1.3111 -1.1880 -1.0809 -0.9900 -0.9137 -0.8500 -0.7989
 -0.7583 -0.7191 -0.6739 -0.6239 -0.5712 -0.4325 -0.3146 -0.2248 -0.1583 -0.1100
 -0.0756 -0.0504 -0.0303 -0.0133  0.0016  0.0146  0.0255  0.0338  0.0386  0.0370
  0.0274
 -1.7340 -1.5924 -1.4496 -1.3111 -1.1831 -1.0689 -0.9698 -0.8851 -0.8136 -0.7531
 -0.7020 -0.6597 -0.6240 -0.5883 -0.5484 -0.4281 -0.3129 -0.2238 -0.1582 -0.1114
 -0.0778 -0.0578 -0.0420 -0.0292 -0.0181 -0.0081  0.0005  0.0083  0.0133  0.0130
  0.0060
 -1.7003 -1.5756 -1.4419 -1.3096 -1.1833 -1.0682 -0.9661 -0.8769 -0.7998 -0.7337
 -0.6767 -0.6271 -0.5835 -0.5454 -0.5108 -0.4146 -0.3089 -0.2209 -0.1557 -0.1096
 -0.0792 -0.0605 -0.0489 -0.0409 -0.0344 -0.0285 -0.0234 -0.0189 -0.0158 -0.0149
 -0.0181
 -1.6418 -1.5350 -1.4183 -1.2978 -1.1795 -1.0689 -0.9687 -0.8791 -0.7998 -0.7298
 -0.6682 -0.6139 -0.5654 -0.5217 -0.4822 -0.3934 -0.3018 -0.2180 -0.1530 -0.1066
 -0.0763 -0.0590 -0.0506 -0.0471 -0.0456 -0.0447 -0.0441 -0.0435 -0.0432 -0.0440
 -0.0454
 -1.5644 -1.4739 -1.3743 -1.2681 -1.1620 -1.0602 -0.9658 -0.8798 -0.8020 -0.7315
 -0.6676 -0.6099 -0.5578 -0.5105 -0.4674 -0.3740 -0.2899 -0.2126 -0.1493 -0.1026
 -0.0716 -0.0542 -0.0474 -0.0473 -0.0504 -0.0547 -0.0593 -0.0635 -0.0675 -0.0714
 -0.0760
 -1.4728 -1.3966 -1.3125 -1.2221 -1.1294 -1.0386 -0.9526 -0.8729 -0.7993 -0.7313
