 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F098M
  1.5669  1.5176  1.4689  1.4211  1.3757  1.3339  1.2968  1.2645  1.2368  1.2127
  1.1914  1.1717  1.1527  1.1343  1.1110  1.0701  1.0317  0.9850  0.9299
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F098M
  1.2671  1.2312  1.1885  1.1425  1.0957  1.0515  1.0131  0.9825  0.9598  0.9478
  0.9485  0.9610  0.9810  1.0022  1.0212  1.0523  1.0592  1.0408  0.9997
  1.3299  1.2967  1.2534  1.2041  1.1522  1.1011  1.0542  1.0140  0.9813  0.9584
  0.9479  0.9505  0.9637  0.9809  0.9969  1.0223  1.0260  1.0077  0.9692  0.9194
  1.3675  1.3445  1.3069  1.2593  1.2063  1.1519  1.0997  1.0528  1.0125  0.9805
  0.9594  0.9507  0.9549  0.9670  0.9801  1.0005  1.0009  0.9820  0.9454  0.8969
  0.8438
  1.3543  1.3507  1.3358  1.2983  1.2514  1.1985  1.1450  1.0947  1.0495  1.0111
  0.9813  0.9620  0.9552  0.9599  0.9694  0.9851  0.9826  0.9626  0.9269  0.8793
  0.8262  0.7721
  1.3153  1.3252  1.3217  1.3052  1.2758  1.2338  1.1820  1.1309  1.0843  1.0437
  1.0096  0.9831  0.9659  0.9606  0.9646  0.9753  0.9699  0.9487  0.9129  0.8657
  0.8122  0.7572  0.7028  0.6494
  1.2847  1.2907  1.2907  1.2841  1.2693  1.2459  1.2126  1.1693  1.1219  1.0766
  1.0381  1.0081  0.9855  0.9708  0.9664  0.9703  0.9623  0.9395  0.9032  0.8558
  0.8013  0.7449  0.6891  0.6344  0.5811  0.5286  0.4762  0.4215  0.3634  0.3053
  1.2731  1.2733  1.2687  1.2607  1.2493  1.2335  1.2123  1.1860  1.1553  1.1205
  1.0824  1.0453  1.0143  0.9913  0.9772  0.9699  0.9588  0.9345  0.8976  0.8497
  0.7941  0.7355  0.6776  0.6211  0.5662  0.5127  0.4600  0.4072  0.3527  0.2940
  0.2341
  1.2788  1.2721  1.2619  1.2496  1.2360  1.2216  1.2054  1.1867  1.1650  1.1412
  1.1160  1.0889  1.0596  1.0308  1.0059  0.9747  0.9595  0.9335  0.8959  0.8475
