 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F125W
  2.1106  2.0865  2.0566  2.0216  1.9834  1.9434  1.9030  1.8630  1.8239  1.7858
  1.7486  1.7120  1.6761  1.6410  1.6053  1.5264  1.4524  1.3774  1.2972
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F125W
  2.0556  2.0182  1.9773  1.9348  1.8915  1.8482  1.8057  1.7652  1.7294  1.7005
  1.6795  1.6658  1.6569  1.6490  1.6393  1.6022  1.5465  1.4736  1.3873
  2.0653  2.0305  1.9909  1.9481  1.9034  1.8578  1.8121  1.7677  1.7273  1.6927
  1.6652  1.6453  1.6319  1.6210  1.6094  1.5696  1.5142  1.4442  1.3621  1.2737
  2.0666  2.0376  2.0018  1.9609  1.9170  1.8713  1.8248  1.7786  1.7351  1.6961
  1.6629  1.6365  1.6173  1.6030  1.5892  1.5463  1.4900  1.4213  1.3420  1.2562
  1.1680
  2.0417  2.0231  2.0006  1.9658  1.9264  1.8832  1.8382  1.7927  1.7483  1.7067
  1.6694  1.6374  1.6118  1.5927  1.5763  1.5302  1.4724  1.4039  1.3262  1.2422
  1.1555  1.0685
  2.0102  1.9971  1.9783  1.9534  1.9222  1.8845  1.8417  1.7995  1.7582  1.7182
  1.6803  1.6455  1.6146  1.5896  1.5696  1.5198  1.4603  1.3913  1.3142  1.2310
  1.1452  1.0590  0.9735  0.8880
  1.9962  1.9772  1.9571  1.9350  1.9094  1.8791  1.8434  1.8026  1.7604  1.7208
  1.6858  1.6533  1.6223  1.5934  1.5686  1.5140  1.4526  1.3827  1.3055  1.2227
  1.1368  1.0507  0.9657  0.8815  0.7979  0.7143  0.6303  0.5448  0.4578  0.3727
  1.9994  1.9745  1.9488  1.9226  1.8957  1.8670  1.8356  1.8017  1.7657  1.7281
  1.6907  1.6570  1.6272  1.5994  1.5727  1.5122  1.4486  1.3777  1.3000  1.2171
  1.1308  1.0440  0.9587  0.8748  0.7921  0.7101  0.6283  0.5462  0.4629  0.3777
  0.2937
