 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
  0.2377  0.1659  0.0936  0.0232 -0.0444 -0.1089 -0.1706 -0.2297 -0.2866 -0.3418
 -0.3960
  0.9920  0.9428  0.8952  0.8493  0.8063  0.7667  0.7313  0.7004  0.6736  0.6502
  0.6294  0.6099  0.5869  0.5708  0.5530  0.5122  0.4746  0.4299  0.3763
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F098M
  0.6344  0.6060  0.5670  0.5219  0.4751  0.4314  0.3949  0.3687  0.3549  0.3551
  0.3691  0.3931  0.4213  0.4469  0.4682  0.5021  0.5079  0.4853  0.4377
  0.6500  0.6330  0.6025  0.5618  0.5159  0.4696  0.4276  0.3937  0.3702  0.3592
  0.3620  0.3774  0.4000  0.4223  0.4410  0.4701  0.4741  0.4514  0.4079  0.3559
  0.6449  0.6398  0.6125  0.5774  0.5405  0.5007  0.4600  0.4232  0.3938  0.3740
  0.3659  0.3709  0.3865  0.4053  0.4218  0.4463  0.4479  0.4261  0.3846  0.3333
  0.2796
  0.6038  0.6119  0.6097  0.5949  0.5650  0.5221  0.4805  0.4459  0.4169  0.3942
  0.3795  0.3743  0.3808  0.3948  0.4089  0.4293  0.4284  0.4068  0.3667  0.3158
  0.2618  0.2077
  0.5736  0.5795  0.5813  0.5780  0.5687  0.5506  0.5222  0.4856  0.4464  0.4165
  0.3974  0.3867  0.3842  0.3910  0.4017  0.4182  0.4149  0.3928  0.3534  0.3025
  0.2475  0.1926  0.1385  0.0853
  0.5637  0.5631  0.5618  0.5599  0.5563  0.5491  0.5375  0.5210  0.4983  0.4680
  0.4367  0.4127  0.3993  0.3962  0.4008  0.4125  0.4069  0.3840  0.3447  0.2932
  0.2367  0.1800  0.1244  0.0701  0.0171 -0.0345 -0.0866 -0.1414 -0.1994 -0.2582
  0.5765  0.5659  0.5578  0.5523  0.5485  0.5450  0.5398  0.5319  0.5209  0.5068
  0.4882  0.4643  0.4401  0.4218  0.4123  0.4117  0.4038  0.3798  0.3405  0.2884
  0.2297  0.1704  0.1126  0.0565  0.0020 -0.0511 -0.1035 -0.1558 -0.2101 -0.2691
 -0.3298
  0.6124  0.5902  0.5724  0.5596  0.5516  0.5467  0.5429  0.5386  0.5325  0.5245
  0.5146  0.5023  0.4856  0.4660  0.4478  0.4191  0.4051  0.3800  0.3406  0.2882
  0.2275  0.1650  0.1041  0.0452 -0.0115 -0.0665 -0.1201 -0.1726 -0.2250 -0.2803
 -0.3407
  0.6686  0.6353  0.6069  0.5848  0.5693  0.5592  0.5528  0.5482  0.5434  0.5376
  0.5305  0.5221  0.5119  0.4991  0.4838  0.4443  0.4126  0.3838  0.3440  0.2917
  0.2297  0.1638  0.0990  0.0365 -0.0234 -0.0811 -0.1369 -0.1911 -0.2444 -0.2985
 -0.3538
  0.7391  0.6973  0.6600  0.6285  0.6039  0.5861  0.5738  0.5654  0.5587  0.5524
  0.5455  0.5376  0.5290  0.5191  0.5076  0.4717  0.4315  0.3930  0.3513  0.2996
  0.2376  0.1696  0.1009  0.0342 -0.0296 -0.0908 -0.1497 -0.2065 -0.2616 -0.3158
 -0.3696
  0.8180  0.7714  0.7275  0.6883  0.6553  0.6288  0.6087  0.5938  0.5824  0.5730
  0.5641  0.5549  0.5452  0.5351  0.5243  0.4924  0.4523  0.4080  0.3616  0.3095
  0.2484  0.1800  0.1086  0.0380 -0.0302 -0.0956 -0.1583 -0.2185 -0.2765 -0.3329
 -0.3882
  0.9032  0.8531  0.8054  0.7606  0.7208  0.6866  0.6582  0.6355  0.6173  0.6024
  0.5895  0.5774  0.5636  0.5525  0.5339  0.5064  0.4750  0.4288  0.3749
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = F098M
  0.5495  0.5291  0.5004  0.4675  0.4339  0.4031  0.3784  0.3617  0.3530  0.3550
  0.3687  0.3906  0.4156  0.4382  0.4569  0.4869  0.4961  0.4842  0.4487
  0.6099  0.5927  0.5632  0.5261  0.4858  0.4464  0.4119  0.3843  0.3649  0.3563
  0.3605  0.3759  0.3967  0.4169  0.4337  0.4597  0.4659  0.4527  0.4187  0.3705
  0.6404  0.6334  0.6108  0.5765  0.5351  0.4916  0.4506  0.4152  0.3873  0.3691
  0.3630  0.3695  0.3851  0.4028  0.4181  0.4406  0.4438  0.4290  0.3960  0.3491
  0.2961
  0.6495  0.6538  0.6358  0.6069  0.5722  0.5317  0.4893  0.4501  0.4166  0.3909
  0.3755  0.3720  0.3801  0.3941  0.4078  0.4275  0.4280  0.4116  0.3787  0.3327
  0.2796  0.2251
