 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F110W
  0.8295  0.8124  0.7886  0.7612  0.7380  0.7211  0.7193  0.7004  0.6866  0.6804
  0.6810  0.6933  0.6934  0.6966  0.6990  0.6853  0.6260  0.5404  0.4537
  0.8617  0.8547  0.8356  0.8057  0.7688  0.7395  0.7174  0.6983  0.6812  0.6665
  0.6572  0.6548  0.6570  0.6584  0.6560  0.6275  0.5738  0.5043  0.4293  0.3525
  0.8639  0.8460  0.8292  0.8111  0.7886  0.7586  0.7236  0.6960  0.6772  0.6636
  0.6507  0.6403  0.6356  0.6335  0.6294  0.6018  0.5492  0.4808  0.4068  0.3315
  0.2563
  0.8767  0.8520  0.8310  0.8120  0.7928  0.7714  0.7463  0.7173  0.6881  0.6659
  0.6504  0.6359  0.6244  0.6170  0.6100  0.5807  0.5298  0.4624  0.3887  0.3142
  0.2400  0.1665
  0.9042  0.8722  0.8452  0.8220  0.8010  0.7801  0.7581  0.7344  0.7093  0.6838
  0.6612  0.6425  0.6251  0.6109  0.5990  0.5657  0.5157  0.4491  0.3750  0.3001
  0.2261  0.1531  0.0812  0.0108
  0.9413  0.9035  0.8703  0.8418  0.8169  0.7937  0.7711  0.7481  0.7243  0.7005
  0.6775  0.6559  0.6351  0.6163  0.5993  0.5573  0.5068  0.4412  0.3661  0.2897
  0.2148  0.1413  0.0693 -0.0015 -0.0712 -0.1406 -0.2103 -0.2810 -0.3531 -0.4269
  0.9789  0.9406  0.9031  0.8698  0.8403  0.8137  0.7886  0.7643  0.7400  0.7155
  0.6917  0.6690  0.6472  0.6260  0.6062  0.5568  0.5030  0.4381  0.3627  0.2841
  0.2068  0.1318  0.0588 -0.0126 -0.0822 -0.1497 -0.2167 -0.2848 -0.3554 -0.4288
 -0.5029
  1.0149  0.9767  0.9386  0.9027  0.8694  0.8390  0.8111  0.7844  0.7583  0.7326
  0.7072  0.6825  0.6589  0.6362  0.6146  0.5612  0.5039  0.4390  0.3639  0.2836
  0.2035  0.1258  0.0506 -0.0222 -0.0929 -0.1617 -0.2283 -0.2943 -0.3615 -0.4313
 -0.5046
  1.0394  1.0053  0.9705  0.9351  0.9004  0.8676  0.8368  0.8077  0.7795  0.7519
  0.7248  0.6982  0.6722  0.6471  0.6234  0.5666  0.5071  0.4414  0.3673  0.2866
  0.2042  0.1231  0.0449 -0.0305 -0.1032 -0.1735 -0.2419 -0.3096 -0.3767 -0.4433
 -0.5094
  1.0523  1.0264  0.9943  0.9626  0.9297  0.8965  0.8643  0.8334  0.8033  0.7739
  0.7450  0.7164  0.6884  0.6610  0.6346  0.5731  0.5119  0.4458  0.3728  0.2932
  0.2102  0.1270  0.0455 -0.0331 -0.1087 -0.1813 -0.2514 -0.3195 -0.3894 -0.4548
 -0.5172
  1.0538  1.0400  1.0100  0.9797  0.9516  0.9212  0.8898  0.8584  0.8274  0.7968
  0.7665  0.7363  0.7064  0.6771  0.6483  0.5806  0.5170  0.4504  0.3781  0.3001
  0.2180  0.1342  0.0508 -0.0309 -0.1098 -0.1855 -0.2583 -0.3284 -0.3963 -0.4626
 -0.5280
  1.0437  1.0461  1.0176  0.9850  0.9622  0.9367  0.9088  0.8793  0.8490  0.8184
  0.7876  0.7565  0.7253  0.6943  0.6645  0.5891  0.5224  0.4552  0.3832
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F110W
  0.9065  0.8772  0.8418  0.8031  0.7656  0.7319  0.7066  0.6803  0.6616  0.6515
  0.6498  0.6567  0.6617  0.6661  0.6680  0.6547  0.6097  0.5408  0.4596
  0.9040  0.8807  0.8443  0.8109  0.7797  0.7477  0.7157  0.6861  0.6614  0.6431
  0.6326  0.6299  0.6321  0.6343  0.6337  0.6152  0.5716  0.5074  0.4338  0.3577
  0.8766  0.8626  0.8447  0.8195  0.7826  0.7436  0.7132  0.6882  0.6653  0.6442
  0.6273  0.6164  0.6125  0.6114  0.6087  0.5878  0.5456  0.4840  0.4120  0.3371
  0.2619
  0.8644  0.8466  0.8295  0.8116  0.7904  0.7642  0.7300  0.6934  0.6653  0.6454
  0.6284  0.6132  0.6024  0.5967  0.5910  0.5675  0.5253  0.4657  0.3947  0.3205
  0.2463  0.1726
  0.8714  0.8470  0.8257  0.8066  0.7880  0.7679  0.7450  0.7189  0.6883  0.6581
  0.6353  0.6168  0.6014  0.5902  0.5814  0.5537  0.5108  0.4522  0.3818  0.3073
  0.2331  0.1598  0.0875  0.0159
  0.8961  0.8636  0.8360  0.8127  0.7921  0.7724  0.7521  0.7304  0.7073  0.6826
  0.6567  0.6328  0.6117  0.5939  0.5795  0.5459  0.5016  0.4436  0.3734  0.2979
  0.2225  0.1486  0.0762  0.0049 -0.0653 -0.1348 -0.2044 -0.2754 -0.3496 -0.4238
  0.9344  0.8946  0.8599  0.8306  0.8057  0.7835  0.7624  0.7412  0.7194  0.6973
  0.6751  0.6527  0.6298  0.6082  0.5889  0.5443  0.4974  0.4395  0.3697  0.2927
  0.2153  0.1397  0.0662 -0.0056 -0.0759 -0.1449 -0.2133 -0.2817 -0.3516 -0.4254
 -0.4995
  0.9797  0.9357  0.8951  0.8596  0.8292  0.8028  0.7788  0.7561  0.7335  0.7109
  0.6887  0.6669  0.6450  0.6233  0.6022  0.5510  0.4979  0.4393  0.3700  0.2923
  0.2123  0.1341  0.0585 -0.0148 -0.0860 -0.1554 -0.2236 -0.2909 -0.3582 -0.4277
 -0.5013
  1.0239  0.9800  0.9369  0.8970  0.8613  0.8299  0.8019  0.7762  0.7515  0.7272
  0.7034  0.6801  0.6574  0.6353  0.6136  0.5600  0.5029  0.4415  0.3724  0.2949
  0.2131  0.1318  0.0531 -0.0227 -0.0959 -0.1668 -0.2358 -0.3033 -0.3700 -0.4369
 -0.5059
  1.0608  1.0209  0.9794  0.9384  0.8997  0.8642  0.8319  0.8025  0.7747  0.7481
  0.7220  0.6964  0.6716  0.6476  0.6245  0.5686  0.5102  0.4468  0.3776  0.3010
  0.2190  0.1357  0.0539 -0.0251 -0.1011 -0.1742 -0.2450 -0.3136 -0.3807 -0.4469
 -0.5135
  1.0885  1.0535  1.0167  0.9780  0.9394  0.9019  0.8666  0.8337  0.8027  0.7732
  0.7446  0.7165  0.6891  0.6627  0.6372  0.5769  0.5171  0.4528  0.3833  0.3078
  0.2267  0.1430  0.0592 -0.0228 -0.1020 -0.1782 -0.2515 -0.3223 -0.3908 -0.4578
 -0.5238
  1.1054  1.0768  1.0451  1.0109  0.9752  0.9387  0.9024  0.8675  0.8340  0.8018
  0.7707  0.7402  0.7035  0.6766  0.6517  0.5849  0.5236  0.4595  0.3895
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F110W
  0.9461  0.9098  0.8687  0.8252  0.7817  0.7406  0.7040  0.6738  0.6517  0.6386
  0.6347  0.6377  0.6438  0.6478  0.6486  0.6347  0.5984  0.5417  0.4675
  0.9477  0.9192  0.8833  0.8421  0.7986  0.7554  0.7151  0.6798  0.6511  0.6304
  0.6187  0.6153  0.6171  0.6186  0.6176  0.6013  0.5656  0.5104  0.4408  0.3654
  0.9356  0.9161  0.8815  0.8439  0.8070  0.7684  0.7292  0.6924  0.6600  0.6336
  0.6145  0.6036  0.6001  0.5988  0.5960  0.5767  0.5402  0.4869  0.4196  0.3459
  0.2708
  0.9030  0.8911  0.8741  0.8495  0.8148  0.7716  0.7325  0.6995  0.6693  0.6422
  0.6193  0.6019  0.5916  0.5866  0.5817  0.5592  0.5214  0.4688  0.4032  0.3305
  0.2561  0.1820
  0.8845  0.8691  0.8528  0.8345  0.8131  0.7861  0.7521  0.7140  0.6770  0.6485
  0.6260  0.6069  0.5914  0.5812  0.5736  0.5478  0.5083  0.4556  0.3909  0.3185
  0.2440  0.1701  0.0972  0.0249
  0.8841  0.8626  0.8423  0.8230  0.8037  0.7828  0.7595  0.7336  0.7043  0.6711
  0.6406  0.6164  0.5975  0.5827  0.5712  0.5415  0.5002  0.4470  0.3825  0.3100
  0.2346  0.1600  0.0868  0.0147 -0.0563 -0.1264 -0.1970 -0.2695 -0.3441 -0.4180
  0.9017  0.8724  0.8460  0.8226  0.8015  0.7815  0.7612  0.7398  0.7169  0.6930
