 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F160W
  1.0669  1.0974  1.1330  1.1670  1.1991  1.2284  1.2705  1.2727  1.2631  1.2417
  1.2114  1.2117  1.1656  1.1167  1.0640  0.9232  0.7711  0.6335  0.4972
  1.0990  1.0919  1.1094  1.1489  1.1996  1.2327  1.2449  1.2437  1.2331  1.2143
  1.1865  1.1510  1.1100  1.0654  1.0183  0.8940  0.7626  0.6266  0.4895  0.3530
  1.0888  1.0828  1.0805  1.0855  1.1000  1.1282  1.1665  1.1916  1.1947  1.1797
  1.1549  1.1225  1.0830  1.0388  0.9921  0.8704  0.7443  0.6134  0.4799  0.3468
  0.2152
  1.0856  1.0787  1.0715  1.0658  1.0640  1.0669  1.0748  1.0912  1.1121  1.1211
  1.1118  1.0885  1.0544  1.0125  0.9666  0.8465  0.7246  0.5995  0.4704  0.3404
  0.2117  0.0847
  1.0723  1.0676  1.0608  1.0530  1.0452  1.0387  1.0341  1.0308  1.0303  1.0346
  1.0379  1.0304  1.0110  0.9800  0.9397  0.8229  0.7035  0.5839  0.4604  0.3340
  0.2078  0.0833 -0.0393 -0.1602
  1.0454  1.0448  1.0409  1.0347  1.0267  1.0174  1.0078  0.9982  0.9879  0.9775
  0.9687  0.9605  0.9487  0.9288  0.8999  0.7985  0.6821  0.5663  0.4487  0.3270
  0.2038  0.0814 -0.0391 -0.1577 -0.2751 -0.3909 -0.5045 -0.6157 -0.7240 -0.8293
  1.0012  1.0073  1.0082  1.0057  1.0004  0.9924  0.9825  0.9711  0.9584  0.9437
  0.9275  0.9104  0.8929  0.8741  0.8507  0.7675  0.6603  0.5477  0.4349  0.3186
  0.1992  0.0792 -0.0394 -0.1561 -0.2707 -0.3832 -0.4939 -0.6032 -0.7113 -0.8177
 -0.9199
  0.9391  0.9526  0.9603  0.9633  0.9623  0.9578  0.9507  0.9409  0.9287  0.9145
  0.8975  0.8778  0.8558  0.8325  0.8075  0.7323  0.6363  0.5289  0.4196  0.3082
  0.1935  0.0765 -0.0402 -0.1552 -0.2680 -0.3788 -0.4876 -0.5947 -0.7003 -0.8046
 -0.9078
  0.8588  0.8802  0.8955  0.9053  0.9102  0.9109  0.9081  0.9021  0.8931  0.8813
  0.8666  0.8485  0.8269  0.8024  0.7754  0.6995  0.6104  0.5090  0.4027  0.2946
  0.1843  0.0710 -0.0435 -0.1571 -0.2686 -0.3779 -0.4852 -0.5907 -0.6946 -0.7968
 -0.8974
  0.7603  0.7901  0.8139  0.8312  0.8430  0.8499  0.8527  0.8520  0.8477  0.8401
  0.8294  0.8153  0.7974  0.7754  0.7498  0.6730  0.5873  0.4913  0.3882  0.2825
  0.1753  0.0661 -0.0450 -0.1565 -0.2668 -0.3748 -0.4806 -0.5842 -0.6882 -0.7885
 -0.8865
  0.6437  0.6823  0.7155  0.7426  0.7600  0.7737  0.7830  0.7884  0.7900  0.7880
