 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F475W
 -4.3394 -3.9654 -3.8443 -3.9240 -4.1229 -4.2882 -4.0206 -3.8417 -3.6658 -3.4770
 -3.2685 -3.0646 -2.8503 -2.6296 -2.4203 -1.9187 -1.4592 -1.1148 -0.8186
 -4.7046 -4.3645 -4.1097 -3.9317 -3.8077 -3.6883 -3.5542 -3.4091 -3.2570 -3.0975
 -2.9177 -2.7143 -2.5002 -2.2932 -2.0994 -1.6620 -1.2948 -1.0030 -0.7844 -0.6168
 -4.4763 -4.1490 -3.8734 -3.6441 -3.4589 -3.3186 -3.2121 -3.0988 -2.9582 -2.7972
 -2.6325 -2.4585 -2.2689 -2.0814 -1.9076 -1.5291 -1.2111 -0.9549 -0.7605 -0.6103
 -0.4886
 -4.2898 -3.9877 -3.7212 -3.4854 -3.2779 -3.0978 -2.9443 -2.8162 -2.7006 -2.5687
 -2.4139 -2.2556 -2.0908 -1.9219 -1.7632 -1.4248 -1.1480 -0.9224 -0.7481 -0.6123
 -0.5010 -0.4055
 -4.1019 -3.8354 -3.5921 -3.3677 -3.1608 -2.9713 -2.7996 -2.6453 -2.5064 -2.3786
 -2.2490 -2.1082 -1.9615 -1.8089 -1.6619 -1.3504 -1.1025 -0.9009 -0.7432 -0.6194
 -0.5174 -0.4291 -0.3501 -0.2774
 -3.9042 -3.6763 -3.4636 -3.2609 -3.0667 -2.8823 -2.7085 -2.5466 -2.3971 -2.2581
 -2.1266 -1.9980 -1.8692 -1.7346 -1.5995 -1.3024 -1.0722 -0.8873 -0.7419 -0.6281
 -0.5347 -0.4536 -0.3806 -0.3133 -0.2476 -0.1857 -0.1305 -0.0845 -0.0496 -0.0268
 -3.7069 -3.5100 -3.3284 -3.1519 -2.9778 -2.8067 -2.6404 -2.4806 -2.3292 -2.1870
 -2.0529 -1.9251 -1.8019 -1.6802 -1.5589 -1.2787 -1.0552 -0.8797 -0.7418 -0.6353
 -0.5497 -0.4760 -0.4097 -0.3482 -0.2901 -0.2344 -0.1824 -0.1357 -0.0954 -0.0643
 -0.0496
 -3.5133 -3.3447 -3.1882 -3.0361 -2.8850 -2.7326 -2.5792 -2.4280 -2.2812 -2.1400
 -2.0062 -1.8796 -1.7587 -1.6420 -1.5286 -1.2675 -1.0496 -0.8777 -0.7429 -0.6399
 -0.5599 -0.4935 -0.4345 -0.3797 -0.3277 -0.2777 -0.2285 -0.1825 -0.1425 -0.1106
 -0.0883
 -3.3305 -3.1848 -3.0460 -2.9136 -2.7830 -2.6499 -2.5136 -2.3752 -2.2373 -2.1018
 -1.9708 -1.8458 -1.7271 -1.6136 -1.5043 -1.2565 -1.0469 -0.8781 -0.7445 -0.6419
 -0.5644 -0.5035 -0.4518 -0.4047 -0.3599 -0.3163 -0.2740 -0.2346 -0.1982 -0.1647
 -0.1337
 -3.1586 -3.0303 -2.9103 -2.7912 -2.6756 -2.5602 -2.4416 -2.3191 -2.1939 -2.0679
 -1.9432 -1.8220 -1.7057 -1.5948 -1.4890 -1.2491 -1.0468 -0.8809 -0.7487 -0.6453
