 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F390W
 -7.7958 -7.2974 -6.9876 -6.8114 -6.6937 -6.5711 -6.2841 -6.1061 -5.9168 -5.6939
 -5.4349 -5.1008 -4.8245 -4.5254 -4.2205 -3.3917 -2.5568 -1.9727 -1.4155
 -7.2346 -6.8239 -6.5072 -6.2752 -6.1068 -5.9515 -5.7844 -5.6017 -5.4042 -5.1872
 -4.9348 -4.6398 -4.3230 -4.0093 -3.7032 -2.9462 -2.2635 -1.7197 -1.3279 -1.0388
 -7.0116 -6.5828 -6.2018 -5.8729 -5.6023 -5.3953 -5.2417 -5.0958 -4.9237 -4.7165
 -4.4857 -4.2237 -3.9299 -3.6371 -3.3569 -2.6953 -2.0859 -1.5934 -1.2397 -0.9824
 -0.7850
 -6.8711 -6.4345 -6.0303 -5.6614 -5.3321 -5.0465 -4.8064 -4.6122 -4.4496 -4.2795
 -4.0787 -3.8532 -3.5989 -3.3308 -3.0741 -2.4852 -1.9498 -1.5022 -1.1778 -0.9449
 -0.7676 -0.6247
 -6.7633 -6.3328 -5.9246 -5.5407 -5.1853 -4.8622 -4.5743 -4.3223 -4.1043 -3.9150
 -3.7357 -3.5431 -3.3285 -3.0946 -2.8605 -2.3285 -1.8533 -1.4432 -1.1379 -0.9217
 -0.7596 -0.6298 -0.5206 -0.4262
 -6.6750 -6.2588 -5.8583 -5.4735 -5.1085 -4.7685 -4.4562 -4.1737 -3.9216 -3.6974
 -3.4965 -3.3099 -3.1220 -2.9208 -2.7126 -2.2222 -1.7928 -1.4132 -1.1180 -0.9093
 -0.7574 -0.6379 -0.5380 -0.4516 -0.3711 -0.2964 -0.2289 -0.1696 -0.1196 -0.0791
 -6.6150 -6.2069 -5.8185 -5.4420 -5.0787 -4.7330 -4.4090 -4.1096 -3.8367 -3.5908
 -3.3695 -3.1689 -2.9816 -2.7971 -2.6119 -2.1583 -1.7599 -1.4063 -1.1162 -0.9068
 -0.7582 -0.6457 -0.5540 -0.4753 -0.4056 -0.3425 -0.2847 -0.2311 -0.1807 -0.1357
 -0.1060
 -6.5866 -6.1869 -5.8053 -5.4374 -5.0824 -4.7396 -4.4113 -4.1030 -3.8175 -3.5553
 -3.3179 -3.1034 -2.9071 -2.7220 -2.5454 -2.1255 -1.7443 -1.4132 -1.1292 -0.9141
 -0.7621 -0.6516 -0.5657 -0.4941 -0.4317 -0.3757 -0.3235 -0.2753 -0.2320 -0.1942
 -0.1623
 -6.5981 -6.1996 -5.8195 -5.4564 -5.1080 -4.7712 -4.4455 -4.1341 -3.8403 -3.5670
 -3.3157 -3.0868 -2.8785 -2.6864 -2.5073 -2.1040 -1.7391 -1.4210 -1.1473 -0.9283
 -0.7687 -0.6550 -0.5713 -0.5053 -0.4499 -0.4011 -0.3572 -0.3171 -0.2805 -0.2469
 -0.2161
 -6.6496 -6.2450 -5.8720 -5.5086 -5.1623 -4.8305 -4.5098 -4.2000 -3.9028 -3.6215
 -3.3583 -3.1157 -2.8935 -2.6906 -2.5039 -2.0982 -1.7459 -1.4349 -1.1691 -0.9502
 -0.7833 -0.6623 -0.5753 -0.5111 -0.4607 -0.4185 -0.3816 -0.3484 -0.3192 -0.2906
 -0.2643
 -6.7410 -6.3231 -5.9628 -5.5816 -5.2369 -4.9057 -4.5888 -4.2826 -3.9866 -3.7019
 -3.4305 -3.1757 -2.9398 -2.7234 -2.5253 -2.1038 -1.7550 -1.4505 -1.1892 -0.9719
 -0.8012 -0.6733 -0.5801 -0.5130 -0.4640 -0.4263 -0.3957 -0.3694 -0.3460 -0.3250
 -0.3061
 -6.8724 -6.4339 -6.0919 -5.6713 -5.3239 -4.9912 -4.6745 -4.3709 -4.0775 -3.7937
 -3.5199 -3.2575 -3.0098 -2.7800 -2.5715 -2.1208 -1.7664 -1.4678 -1.2076
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F390W
 -7.0053 -6.6732 -6.4538 -6.3155 -6.2193 -6.1296 -5.9809 -5.8529 -5.6925 -5.4851
 -5.2262 -4.9124 -4.6080 -4.3078 -4.0174 -3.2972 -2.5891 -2.0119 -1.4870
