 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F110W
  1.5905  1.5727  1.5489  1.5207  1.4957  1.4778  1.4789  1.4596  1.4462  1.4400
  1.4405  1.4514  1.4529  1.4568  1.4570  1.4434  1.3849  1.3000  1.2125
  1.6209  1.6142  1.5952  1.5652  1.5284  1.4991  1.4769  1.4579  1.4408  1.4261
  1.4168  1.4144  1.4165  1.4179  1.4155  1.3871  1.3334  1.2638  1.1888  1.1120
  1.6234  1.6055  1.5887  1.5706  1.5482  1.5181  1.4832  1.4555  1.4367  1.4231
  1.4102  1.3998  1.3952  1.3931  1.3889  1.3613  1.3088  1.2404  1.1663  1.0910
  1.0158
  1.6362  1.6115  1.5905  1.5715  1.5524  1.5309  1.5059  1.4768  1.4476  1.4254
  1.4099  1.3955  1.3839  1.3765  1.3696  1.3402  1.2894  1.2219  1.1483  1.0737
  0.9995  0.9260
  1.6637  1.6318  1.6047  1.5815  1.5605  1.5397  1.5177  1.4940  1.4688  1.4434
  1.4207  1.4020  1.3846  1.3705  1.3585  1.3252  1.2753  1.2087  1.1345  1.0596
  0.9857  0.9127  0.8407  0.7703
  1.7008  1.6630  1.6298  1.6014  1.5764  1.5533  1.5307  1.5077  1.4839  1.4600
  1.4370  1.4154  1.3946  1.3759  1.3588  1.3168  1.2663  1.2007  1.1257  1.0493
  0.9743  0.9008  0.8288  0.7581  0.6884  0.6191  0.5493  0.4785  0.4064  0.3326
  1.7384  1.7001  1.6626  1.6293  1.5998  1.5732  1.5482  1.5239  1.4995  1.4751
  1.4512  1.4285  1.4067  1.3856  1.3658  1.3164  1.2625  1.1977  1.1222  1.0436
  0.9663  0.8913  0.8183  0.7470  0.6773  0.6097  0.5428  0.4747  0.4041  0.3307
  0.2567
  1.7745  1.7362  1.6981  1.6622  1.6289  1.5985  1.5706  1.5440  1.5178  1.4922
  1.4668  1.4421  1.4185  1.3957  1.3741  1.3208  1.2634  1.1985  1.1234  1.0431
  0.9630  0.8853  0.8102  0.7374  0.6667  0.5978  0.5311  0.4651  0.3980  0.3282
  0.2549
  1.7989  1.7648  1.7300  1.6946  1.6599  1.6271  1.5964  1.5673  1.5390  1.5115
  1.4844  1.4577  1.4317  1.4067  1.3829  1.3261  1.2666  1.2009  1.1268  1.0461
  0.9637  0.8827  0.8044  0.7290  0.6563  0.5861  0.5177  0.4500  0.3829  0.3163
  0.2502
  1.8116  1.7859  1.7538  1.7221  1.6892  1.6561  1.6238  1.5929  1.5628  1.5334
  1.5045  1.4760  1.4479  1.4205  1.3941  1.3326  1.2714  1.2053  1.1323  1.0528
  0.9698  0.8865  0.8051  0.7264  0.6509  0.5783  0.5081  0.4401  0.3702  0.3047
  0.2424
  1.8126  1.7995  1.7695  1.7392  1.7111  1.6808  1.6493  1.6180  1.5870  1.5563
  1.5260  1.4958  1.4660  1.4366  1.4078  1.3402  1.2765  1.2100  1.1376  1.0596
  0.9775  0.8938  0.8103  0.7286  0.6498  0.5741  0.5012  0.4311  0.3632  0.2969
  0.2315
  1.8019  1.8056  1.7771  1.7446  1.7218  1.6962  1.6682  1.6388  1.6086  1.5779
  1.5471  1.5160  1.4848  1.4539  1.4240  1.3489  1.2819  1.2150  1.1427
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F110W
  1.6666  1.6369  1.6015  1.5626  1.5244  1.4904  1.4661  1.4398  1.4211  1.4110
  1.4093  1.4157  1.4212  1.4259  1.4269  1.4137  1.3689  1.3003  1.2189
  1.6635  1.6402  1.6039  1.5704  1.5392  1.5072  1.4752  1.4456  1.4209  1.4026
  1.3921  1.3894  1.3917  1.3938  1.3932  1.3747  1.3311  1.2670  1.1934  1.1173
  1.6361  1.6221  1.6042  1.5791  1.5421  1.5032  1.4727  1.4478  1.4249  1.4037
  1.3868  1.3759  1.3721  1.3709  1.3682  1.3474  1.3051  1.2436  1.1715  1.0966
  1.0214
  1.6239  1.6061  1.5890  1.5711  1.5500  1.5237  1.4896  1.4529  1.4248  1.4050
  1.3879  1.3727  1.3619  1.3562  1.3505  1.3270  1.2848  1.2252  1.1543  1.0800
  1.0058  0.9321
  1.6310  1.6065  1.5852  1.5662  1.5476  1.5274  1.5045  1.4784  1.4478  1.4177
  1.3948  1.3764  1.3610  1.3497  1.3410  1.3132  1.2703  1.2117  1.1413  1.0669
  0.9926  0.9194  0.8470  0.7755
  1.6556  1.6231  1.5955  1.5722  1.5516  1.5319  1.5116  1.4899  1.4668  1.4422
  1.4162  1.3924  1.3712  1.3535  1.3390  1.3054  1.2612  1.2031  1.1329  1.0574
  0.9820  0.9082  0.8357  0.7644  0.6943  0.6248  0.5551  0.4841  0.4100  0.3358
  1.6939  1.6541  1.6194  1.5901  1.5652  1.5430  1.5220  1.5008  1.4790  1.4568
  1.4346  1.4122  1.3893  1.3677  1.3484  1.3038  1.2569  1.1991  1.1292  1.0523
  0.9748  0.8992  0.8257  0.7539  0.6836  0.6146  0.5463  0.4779  0.4079  0.3342
  0.2600
  1.7392  1.6952  1.6547  1.6191  1.5887  1.5623  1.5383  1.5156  1.4930  1.4704
  1.4482  1.4264  1.4045  1.3828  1.3617  1.3105  1.2575  1.1988  1.1295  1.0518
  0.9719  0.8936  0.8180  0.7447  0.6735  0.6041  0.5359  0.4686  0.4014  0.3319
  0.2583
  1.7834  1.7395  1.6965  1.6565  1.6209  1.5895  1.5615  1.5357  1.5110  1.4867
  1.4629  1.4396  1.4169  1.3948  1.3732  1.3195  1.2624  1.2010  1.1320  1.0544
  0.9726  0.8913  0.8126  0.7368  0.6636  0.5928  0.5237  0.4562  0.3895  0.3227
  0.2537
  1.8204  1.7804  1.7389  1.6979  1.6593  1.6237  1.5915  1.5620  1.5343  1.5076
  1.4816  1.4559  1.4311  1.4072  1.3841  1.3282  1.2697  1.2063  1.1372  1.0606
  0.9785  0.8952  0.8134  0.7344  0.6585  0.5853  0.5146  0.4459  0.3788  0.3126
  0.2461
  1.8480  1.8131  1.7763  1.7375  1.6990  1.6614  1.6261  1.5932  1.5622  1.5327
  1.5041  1.4760  1.4487  1.4222  1.3967  1.3365  1.2766  1.2123  1.1428  1.0673
  0.9863  0.9025  0.8188  0.7368  0.6575  0.5814  0.5080  0.4372  0.3687  0.3017
  0.2358
  1.8650  1.8363  1.8046  1.7704  1.7347  1.6982  1.6620  1.6270  1.5935  1.5613
  1.5302  1.4997  1.4630  1.4359  1.4110  1.3444  1.2831  1.2190  1.1488
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F110W
  1.7057  1.6693  1.6282  1.5847  1.5411  1.5000  1.4635  1.4334  1.4112  1.3981
  1.3942  1.3972  1.4033  1.4074  1.4081  1.3942  1.3579  1.3012  1.2271
  1.7072  1.6787  1.6428  1.6017  1.5581  1.5150  1.4747  1.4393  1.4106  1.3899
  1.3782  1.3748  1.3766  1.3781  1.3771  1.3608  1.3251  1.2699  1.2003  1.1250
  1.6951  1.6756  1.6410  1.6035  1.5666  1.5279  1.4888  1.4519  1.4195  1.3931
  1.3740  1.3632  1.3596  1.3584  1.3555  1.3362  1.2997  1.2464  1.1792  1.1054
  1.0303
  1.6625  1.6507  1.6337  1.6091  1.5743  1.5311  1.4921  1.4590  1.4288  1.4017
  1.3788  1.3614  1.3512  1.3461  1.3412  1.3188  1.2809  1.2283  1.1627  1.0900
  1.0156  0.9415
  1.6440  1.6287  1.6123  1.5940  1.5726  1.5456  1.5116  1.4735  1.4365  1.4080
  1.3855  1.3664  1.3510  1.3407  1.3331  1.3074  1.2678  1.2151  1.1504  1.0780
  1.0036  0.9297  0.8567  0.7844
  1.6436  1.6222  1.6019  1.5826  1.5633  1.5423  1.5191  1.4932  1.4638  1.4307
  1.4001  1.3759  1.3570  1.3422  1.3308  1.3010  1.2597  1.2065  1.1420  1.0695
  0.9942  0.9195  0.8463  0.7742  0.7032  0.6332  0.5627  0.4901  0.4154  0.3416
  1.6613  1.6319  1.6055  1.5821  1.5610  1.5411  1.5208  1.4993  1.4764  1.4525
  1.4267  1.3993  1.3740  1.3529  1.3356  1.2991  1.2558  1.2019  1.1375  1.0646
  0.9878  0.9115  0.8372  0.7645  0.6934  0.6234  0.5540  0.4846  0.4137  0.3396
  0.2655
  1.6949  1.6575  1.6238  1.5943  1.5690  1.5467  1.5259  1.5057  1.4849  1.4634
  1.4419  1.4198  1.3962  1.3725  1.3508  1.3026  1.2556  1.2007  1.1363  1.0634
  0.9853  0.9068  0.8303  0.7562  0.6841  0.6137  0.5445  0.4761  0.4078  0.3375
  0.2636
  1.7400  1.6963  1.6557  1.6196  1.5883  1.5614  1.5378  1.5161  1.4950  1.4739
  1.4528  1.4318  1.4106  1.3889  1.3670  1.3135  1.2589  1.2019  1.1373  1.0646
  0.9857  0.9048  0.8256  0.7489  0.6749  0.6031  0.5330  0.4645  0.3967  0.3283
  0.2592
  1.7891  1.7428  1.6982  1.6567  1.6195  1.5871  1.5588  1.5337  1.5104  1.4879
  1.4657  1.4437  1.4221  1.4008  1.3794  1.3253  1.2679  1.2068  1.1415  1.0694
  0.9908  0.9087  0.8267  0.7471  0.6703  0.5963  0.5246  0.4549  0.3868  0.3195
  0.2521
  1.8351  1.7907  1.7453  1.7012  1.6600  1.6225  1.5891  1.5594  1.5324  1.5072
  1.4829  1.4589  1.4354  1.4125  1.3902  1.3350  1.2772  1.2144  1.1474  1.0756
  0.9979  0.9157  0.8321  0.7497  0.6698  0.5929  0.5186  0.4469  0.3773  0.3093
  0.2424
  1.8758  1.8346  1.7917  1.7478  1.7052  1.6648  1.6273  1.5931  1.5617  1.5327
  1.5053  1.4788  1.4498  1.4256  1.3994  1.3426  1.2868  1.2247  1.1550
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = F110W
  1.7077  1.6698  1.6289  1.5871  1.5458  1.5067  1.4711  1.4404  1.4165  1.4013
  1.3952  1.3959  1.3993  1.4013  1.4005  1.3848  1.3518  1.3026  1.2370
  1.7331  1.6972  1.6561  1.6121  1.5674  1.5236  1.4825  1.4457  1.4151  1.3927
  1.3799  1.3755  1.3755  1.3755  1.3732  1.3551  1.3213  1.2731  1.2102  1.1374
  1.7424  1.7145  1.6783  1.6363  1.5913  1.5456  1.5014  1.4605  1.4246  1.3958
  1.3757  1.3648  1.3608  1.3586  1.3549  1.3343  1.2991  1.2508  1.1898  1.1190
  1.0442
  1.7312  1.7150  1.6842  1.6475  1.6082  1.5656  1.5218  1.4796  1.4409  1.4075
  1.3811  1.3631  1.3533  1.3481  1.3430  1.3201  1.2832  1.2344  1.1741  1.1048
  1.0308  0.9560
  1.6964  1.6945  1.6802  1.6549  1.6196  1.5767  1.5329  1.4925  1.4554  1.4218
  1.3927  1.3694  1.3531  1.3434  1.3361  1.3109  1.2724  1.2226  1.1625  1.0938
  1.0202  0.9456  0.8716  0.7982
  1.6739  1.6636  1.6505  1.6339  1.6121  1.5845  1.5511  1.5118  1.4690  1.4321
  1.4029  1.3790  1.3593  1.3444  1.3337  1.3056  1.2655  1.2148  1.1544  1.0859
  1.0122  0.9370  0.8627  0.7895  0.7171  0.6450  0.5729  0.4992  0.4236  0.3497
  1.6676  1.6520  1.6352  1.6174  1.5981  1.5764  1.5515  1.5234  1.4922  1.4578
  1.4226  1.3923  1.3688  1.3507  1.3361  1.3037  1.2620  1.2102  1.1494  1.0808
  1.0068  0.9306  0.8552  0.7812  0.7087  0.6372  0.5662  0.4950  0.4225  0.3478
  0.2738
  1.6768  1.6549  1.6327  1.6109  1.5897  1.5688  1.5471  1.5240  1.4992  1.4731
  1.4462  1.4179  1.3898  1.3654  1.3451  1.3050  1.2614  1.2085  1.1473  1.0787
  1.0043  0.9270  0.8498  0.7743  0.7007  0.6288  0.5579  0.4877  0.4176  0.3461
  0.2718
  1.7007  1.6716  1.6432  1.6161  1.5909  1.5676  1.5459  1.5245  1.5027  1.4801
  1.4572  1.4340  1.4104  1.3863  1.3630  1.3115  1.2632  1.2089  1.1471  1.0784
  1.0038  0.9253  0.8461  0.7683  0.6928  0.6195  0.5477  0.4774  0.4079  0.3380
  0.2676
  1.7387  1.7023  1.6677  1.6347  1.6043  1.5767  1.5522  1.5298  1.5084  1.4873
  1.4659  1.4443  1.4227  1.4011  1.3793  1.3248  1.2696  1.2126  1.1502  1.0817
  1.0074  0.9285  0.8475  0.7672  0.6892  0.6137  0.5404  0.4691  0.3992  0.3303
  0.2615
  1.7854  1.7443  1.7043  1.6657  1.6298  1.5973  1.5683  1.5427  1.5193  1.4974
  1.4759  1.4545  1.4330  1.4117  1.3905  1.3368  1.2803  1.2194  1.1554  1.0869
  1.0131  0.9344  0.8525  0.7700  0.6893  0.6110  0.5353  0.4621  0.3909  0.3213
  0.2528
  1.8357  1.7929  1.7495  1.7069  1.6667  1.6294  1.5956  1.5653  1.5382  1.5135
  1.4902  1.4676  1.4452  1.4229  1.3966  1.3475  1.2953  1.2293  1.1627
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = F110W
  1.6948  1.6581  1.6195  1.5809  1.5437  1.5089  1.4775  1.4500  1.4271  1.4112
  1.4035  1.4017  1.4025  1.4029  1.4009  1.3839  1.3506  1.3035  1.2426
