 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F547M
 -2.3195 -1.8122 -1.6098 -1.6955 -2.0638 -2.4970 -2.7319 -2.5645 -2.4016 -2.2340
 -2.0587 -1.9107 -1.7268 -1.5440 -1.3752 -1.0070 -0.6964 -0.4695 -0.2984
 -3.3220 -3.0004 -2.7649 -2.6069 -2.5011 -2.3995 -2.2868 -2.1685 -2.0486 -1.9258
 -1.7891 -1.6343 -1.4701 -1.3115 -1.1648 -0.8487 -0.6015 -0.4184 -0.2881 -0.1927
 -3.0968 -2.7958 -2.5553 -2.3630 -2.2128 -2.1031 -2.0227 -1.9356 -1.8266 -1.7036
 -1.5811 -1.4540 -1.3143 -1.1738 -1.0439 -0.7711 -0.5598 -0.4020 -0.2875 -0.2018
 -0.1346
 -2.9085 -2.6405 -2.4174 -2.2281 -2.0667 -1.9305 -1.8173 -1.7251 -1.6426 -1.5465
 -1.4325 -1.3178 -1.1994 -1.0763 -0.9591 -0.7144 -0.5296 -0.3924 -0.2913 -0.2137
 -0.1516 -0.0998
 -2.7228 -2.4917 -2.2945 -2.1212 -1.9665 -1.8283 -1.7055 -1.5968 -1.4998 -1.4107
 -1.3195 -1.2194 -1.1162 -1.0076 -0.9014 -0.6759 -0.5079 -0.3855 -0.2960 -0.2264
 -0.1694 -0.1212 -0.0791 -0.0403
 -2.5365 -2.3388 -2.1694 -2.0176 -1.8779 -1.7484 -1.6283 -1.5176 -1.4160 -1.3212
 -1.2305 -1.1409 -1.0518 -0.9582 -0.8629 -0.6512 -0.4925 -0.3789 -0.2985 -0.2369
 -0.1860 -0.1421 -0.1033 -0.0684 -0.0356 -0.0066  0.0164  0.0318  0.0382  0.0350
 -2.3629 -2.1869 -2.0403 -1.9094 -1.7877 -1.6719 -1.5613 -1.4559 -1.3563 -1.2624
 -1.1727 -1.0857 -1.0010 -0.9173 -0.8329 -0.6371 -0.4827 -0.3724 -0.2969 -0.2424
 -0.1984 -0.1602 -0.1260 -0.0946 -0.0654 -0.0365 -0.0105  0.0090  0.0194  0.0193
  0.0100
 -2.2056 -2.0460 -1.9132 -1.7972 -1.6916 -1.5911 -1.4928 -1.3971 -1.3043 -1.2146
 -1.1285 -1.0455 -0.9647 -0.8857 -0.8076 -0.6266 -0.4780 -0.3674 -0.2924 -0.2418
 -0.2042 -0.1727 -0.1444 -0.1181 -0.0930 -0.0689 -0.0442 -0.0221 -0.0064 -0.0002
 -0.0053
 -2.0709 -1.9220 -1.7944 -1.6861 -1.5907 -1.5021 -1.4166 -1.3323 -1.2490 -1.1668
 -1.0864 -1.0083 -0.9324 -0.8583 -0.7850 -0.6146 -0.4725 -0.3636 -0.2867 -0.2361
 -0.2023 -0.1772 -0.1559 -0.1360 -0.1165 -0.0970 -0.0779 -0.0611 -0.0468 -0.0348
 -0.0249
 -1.9589 -1.8149 -1.6937 -1.5856 -1.4930 -1.4112 -1.3353 -1.2617 -1.1890 -1.1164
 -1.0440 -0.9723 -0.9019 -0.8332 -0.7655 -0.6047 -0.4680 -0.3609 -0.2828 -0.2301
 -0.1963 -0.1747 -0.1594 -0.1466 -0.1339 -0.1206 -0.1068 -0.0925 -0.0836 -0.0702
 -0.0538
 -1.8694 -1.7247 -1.6111 -1.5011 -1.4045 -1.3225 -1.2505 -1.1843 -1.1206 -1.0578
