 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F098M
  1.0174  0.9962  0.9680  0.9404  0.9267  0.9288  0.9736  0.9599  0.9551  0.9616
  0.9804  1.0177  1.0387  1.0663  1.0911  1.1285  1.1060  1.0439  0.9805
  1.0991  1.1105  1.1037  1.0806  1.0443  1.0129  0.9915  0.9770  0.9672  0.9624
  0.9676  0.9845  1.0086  1.0322  1.0508  1.0675  1.0492  1.0074  0.9565  0.9023
  1.1004  1.1005  1.1003  1.0964  1.0849  1.0615  1.0277  0.9984  0.9811  0.9750
  0.9734  0.9781  0.9929  1.0115  1.0272  1.0428  1.0241  0.9825  0.9318  0.8782
  0.8239
  1.1139  1.1059  1.1018  1.0993  1.0954  1.0870  1.0722  1.0499  1.0230  1.0019
  0.9909  0.9850  0.9877  0.9987  1.0105  1.0228  1.0048  0.9633  0.9122  0.8585
  0.8045  0.7508
  1.1489  1.1301  1.1180  1.1108  1.1060  1.1007  1.0929  1.0814  1.0661  1.0475
  1.0291  1.0147  1.0037  1.0006  1.0036  1.0097  0.9918  0.9502  0.8976  0.8429
  0.7882  0.7341  0.6809  0.6299
  1.2028  1.1726  1.1504  1.1353  1.1253  1.1178  1.1106  1.1021  1.0915  1.0790
  1.0654  1.0514  1.0365  1.0246  1.0166  1.0051  0.9855  0.9441  0.8892  0.8317
  0.7752  0.7197  0.6654  0.6123  0.5611  0.5106  0.4595  0.4067  0.3512  0.2926
  1.2680  1.2306  1.1985  1.1740  1.1563  1.1432  1.1328  1.1233  1.1132  1.1020
  1.0902  1.0782  1.0655  1.0524  1.0406  1.0140  0.9864  0.9447  0.8879  0.8266
  0.7665  0.7085  0.6521  0.5973  0.5443  0.4941  0.4448  0.3940  0.3399  0.2817
  0.2212
  1.3428  1.2983  1.2590  1.2262  1.1997  1.1791  1.1631  1.1497  1.1372  1.1250
  1.1125  1.0998  1.0871  1.0743  1.0619  1.0302  0.9948  0.9510  0.8933  0.8285
  0.7638  0.7018  0.6422  0.5848  0.5295  0.4762  0.4257  0.3761  0.3248  0.2701
  0.2106
  1.4167  1.3692  1.3263  1.2876  1.2539  1.2258  1.2026  1.1834  1.1666  1.1512
  1.1364  1.1218  1.1074  1.0931  1.0795  1.0458  1.0068  0.9602  0.9026  0.8360
  0.7671  0.7001  0.6361  0.5750  0.5165  0.4604  0.4064  0.3532  0.3006  0.2485
  0.1970
  1.4898  1.4433  1.3959  1.3543  1.3161  1.2816  1.2515  1.2257  1.2032  1.1830
