 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F390M
 -8.6169 -8.0703 -7.6757 -7.4018 -7.1982 -7.0268 -6.9180 -6.7483 -6.5635 -6.3410
 -6.0833 -5.6579 -5.3887 -5.1029 -4.8094 -3.9356 -2.9285 -2.3201 -1.6814
 -7.9106 -7.4760 -7.1429 -6.9012 -6.7272 -6.5703 -6.4050 -6.2246 -6.0287 -5.8099
 -5.5501 -5.2422 -4.9082 -4.5738 -4.2430 -3.3828 -2.5820 -1.9473 -1.4876 -1.1433
 -7.6837 -7.2108 -6.7979 -6.4478 -6.1646 -5.9515 -5.7968 -5.6551 -5.4897 -5.2851
 -5.0493 -4.7740 -4.4601 -4.1445 -3.8390 -3.0903 -2.3748 -1.8033 -1.3914 -1.0859
 -0.8470
 -7.5686 -7.0672 -6.6154 -6.2133 -5.8616 -5.5611 -5.3116 -5.1125 -4.9501 -4.7842
 -4.5850 -4.3533 -4.0820 -3.7907 -3.5094 -2.8465 -2.2219 -1.7051 -1.3298 -1.0541
 -0.8394 -0.6631
 -7.5207 -7.0046 -6.5308 -6.0998 -5.7113 -5.3647 -5.0592 -4.7936 -4.5655 -4.3703
 -4.1890 -3.9942 -3.7720 -3.5214 -3.2651 -2.6690 -2.1189 -1.6471 -1.2969 -1.0419
 -0.8455 -0.6848 -0.5480 -0.4295
 -7.5242 -7.0054 -6.5215 -6.0731 -5.6617 -5.2879 -4.9496 -4.6457 -4.3754 -4.1359
 -3.9231 -3.7281 -3.5335 -3.3210 -3.0964 -2.5523 -2.0593 -1.6231 -1.2878 -1.0444
 -0.8607 -0.7124 -0.5866 -0.4772 -0.3781 -0.2881 -0.2075 -0.1363 -0.0744 -0.0216
 -7.5746 -7.0579 -6.5723 -6.1163 -5.6911 -5.2988 -4.9387 -4.6093 -4.3101 -4.0406
 -3.7985 -3.5805 -3.3795 -3.1819 -2.9820 -2.4826 -2.0309 -1.6257 -1.2978 -1.0578
 -0.8809 -0.7418 -0.6259 -0.5256 -0.4370 -0.3568 -0.2846 -0.2202 -0.1638 -0.1157
 -0.0776
