 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  H   
  1.8841  1.9250  1.9649  2.0031  2.0370  2.0650  2.0856  2.0993  2.1065  2.1079
  2.1045  2.0968  2.0850  2.0677  2.0618  1.9907  1.8954  1.7973  1.6902
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  H   
  2.7989  2.8240  2.8435  2.8548  2.8557  2.8460  2.8259  2.7958  2.7573  2.7122
  2.6619  2.6081  2.5520  2.4938  2.4341  2.2814  2.1264  1.9710  1.8159
  2.7458  2.7722  2.7930  2.8077  2.8138  2.8099  2.7956  2.7714  2.7382  2.6972
  2.6496  2.5968  2.5405  2.4819  2.4219  2.2689  2.1154  1.9623  1.8110  1.6624
  2.6127  2.6451  2.7089  2.7521  2.7679  2.7694  2.7602  2.7413  2.7136  2.6778
  2.6346  2.5846  2.5295  2.4711  2.4109  2.2577  2.1051  1.9541  1.8052  1.6594
  1.5168
  2.5818  2.5651  2.5650  2.5851  2.6294  2.6875  2.7134  2.7081  2.6859  2.6542
  2.6152  2.5695  2.5175  2.4604  2.4006  2.2475  2.0955  1.9461  1.7995  1.6558
  1.5155  1.3784
  2.5807  2.5534  2.5305  2.5165  2.5111  2.5224  2.5549  2.5958  2.6258  2.6208
  2.5914  2.5503  2.5023  2.4483  2.3899  2.2377  2.0862  1.9383  1.7938  1.6522
  1.5137  1.3786  1.2468  1.1181
  2.5771  2.5508  2.5238  2.4990  2.4791  2.4659  2.4591  2.4595  2.4737  2.5044
  2.5234  2.5130  2.4793  2.4322  2.3774  2.2278  2.0769  1.9302  1.7876  1.6484
  1.5119  1.3784  1.2481  1.1211  0.9972  0.8763  0.7581  0.6423  0.5295  0.4221
  2.5581  2.5388  2.5156  2.4908  2.4663  2.4440  2.4250  2.4095  2.3974  2.3912
  2.3971  2.4115  2.4131  2.3933  2.3552  2.2168  2.0674  1.9215  1.7806  1.6438
  1.5097  1.3780  1.2493  1.1236  1.0011  0.8816  0.7649  0.6510  0.5396  0.4307
  0.3266
  2.5163  2.5082  2.4936  2.4745  2.4530  2.4302  2.4072  2.3850  2.3640  2.3444
  2.3273  2.3162  2.3132  2.3108  2.2965  2.1994  2.0569  1.9124  1.7727  1.6381
  1.5068  1.3773  1.2501  1.1259  1.0047  0.8865  0.7711  0.6584  0.5485  0.4409
  0.3354
  2.4510  2.4557  2.4522  2.4424  2.4278  2.4097  2.3890  2.3664  2.3425  2.3181
  2.2937  2.2700  2.2489  2.2326  2.2194  2.1566  2.0400  1.9003  1.7621  1.6291
  1.5004  1.3737  1.2484  1.1253  1.0051  0.8880  0.7737  0.6621  0.5532  0.4468
  0.3426
  2.3638  2.3810  2.3899  2.3914  2.3863  2.3760  2.3613  2.3428  2.3211  2.2969
  2.2708  2.2436  2.2159  2.1890  2.1643  2.1036  2.0104  1.8868  1.7526  1.6212
  1.4946  1.3712  1.2490  1.1280  1.0090  0.8929  0.7796  0.6693  0.5617  0.4565
  0.3516
  2.2622  2.2889  2.3089  2.3215  2.3271  2.3262  2.3195  2.3077  2.2912  2.2708
  2.2471  2.2206  2.1921  2.1622  2.1321  2.0580  1.9742  1.8659  1.7412  1.6128
  1.4877  1.3665  1.2475  1.1295  1.0127  0.8979  0.7856  0.6761  0.5695  0.4654
  0.3637
  2.1547  2.1864  2.2132  2.2351  2.2506  2.2596  2.2619  2.2582  2.2488  2.2344
  2.2155  2.1929  2.1629  2.1333  2.1228  2.0198  1.9314  1.8376  1.7279
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  H   
  2.8708  2.8893  2.8998  2.9010  2.8913  2.8705  2.8388  2.7971  2.7483  2.6950
  2.6396  2.5835  2.5272  2.4704  2.4129  2.2670  2.1194  1.9689  1.8165
  2.8213  2.8427  2.8582  2.8654  2.8624  2.8481  2.8222  2.7860  2.7416  2.6913
  2.6372  2.5808  2.5235  2.4654  2.4066  2.2581  2.1099  1.9612  1.8119  1.6643
  2.7681  2.7923  2.8113  2.8233  2.8260  2.8180  2.7988  2.7691  2.7304  2.6847
  2.6335  2.5784  2.5210  2.4623  2.4025  2.2517  2.1021  1.9542  1.8071  1.6620
  1.5198
  2.6415  2.6749  2.7297  2.7684  2.7829  2.7820  2.7690  2.7456  2.7131  2.6727
  2.6260  2.5741  2.5181  2.4596  2.3996  2.2472  2.0963  1.9484  1.8027  1.6595
  1.5194  1.3823
  2.6053  2.5851  2.5869  2.6083  2.6473  2.6946  2.7191  2.7137  2.6899  2.6554
  2.6135  2.5657  2.5129  2.4561  2.3966  2.2438  2.0920  1.9439  1.7990  1.6572
  1.5186  1.3833  1.2513  1.1224
  2.6080  2.5792  2.5558  2.5415  2.5374  2.5434  2.5596  2.5857  2.6141  2.6168
  2.5924  2.5520  2.5036  2.4500  2.3924  2.2406  2.0884  1.9402  1.7960  1.6554
  1.5181  1.3841  1.2536  1.1262  1.0019  0.8806  0.7621  0.6463  0.5337  0.4268
  2.6160  2.5849  2.5541  2.5261  2.5031  2.4863  2.4746  2.4669  2.4665  2.4805
  2.5014  2.5040  2.4806  2.4378  2.3852  2.2370  2.0850  1.9367  1.7930  1.6535
  1.5177  1.3850  1.2557  1.1296  1.0066  0.8867  0.7697  0.6554  0.5438  0.4352
  0.3316
  2.6156  2.5885  2.5581  2.5267  2.4962  2.4683  2.4439  2.4226  2.4038  2.3881
  2.3801  2.3846  2.3932  2.3872  2.3603  2.2317  2.0813  1.9332  1.7900  1.6515
