 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
  0.5215  0.5509  0.5702  0.5845  0.5953  0.6042  0.6127  0.6211  0.6287  0.6365
  0.6452  0.6543  0.6636  0.6728  0.6817  0.6987  0.7045  0.6986  0.6826
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  I   
 -0.7141 -0.6540 -0.5062 -0.3504 -0.2040 -0.0829  0.0043  0.0791  0.1504  0.2186
  0.2829  0.3441  0.4022  0.4572  0.5088  0.6174  0.6908  0.7251  0.7247
 -0.4589 -0.4599 -0.4443 -0.3300 -0.1965 -0.0747  0.0216  0.0977  0.1675  0.2325
  0.2934  0.3510  0.4056  0.4572  0.5054  0.6055  0.6715  0.7020  0.7020  0.6831
 -0.3473 -0.2637 -0.2330 -0.2422 -0.1771 -0.0694  0.0320  0.1132  0.1814  0.2438
  0.3014  0.3556  0.4070  0.4556  0.5008  0.5944  0.6551  0.6835  0.6841  0.6659
  0.6379
 -0.2753 -0.1834 -0.1015 -0.0490 -0.0425 -0.0295  0.0415  0.1245  0.1946  0.2550
  0.3097  0.3608  0.4092  0.4548  0.4974  0.5854  0.6423  0.6690  0.6700  0.6524
  0.6248  0.5922
 -0.2059 -0.1259 -0.0426  0.0338  0.0932  0.1259  0.1304  0.1524  0.2085  0.2677
  0.3200  0.3681  0.4136  0.4564  0.4965  0.5796  0.6331  0.6582  0.6594  0.6422
  0.6144  0.5818  0.5459  0.5069
 -0.1324 -0.0667  0.0054  0.0794  0.1484  0.2065  0.2490  0.2718  0.2787  0.2981
  0.3367  0.3792  0.4211  0.4611  0.4987  0.5770  0.6275  0.6512  0.6522  0.6351
  0.6065  0.5731  0.5371  0.4985  0.4575  0.4134  0.3652  0.3124  0.2557  0.1990
 -0.0548 -0.0011  0.0581  0.1213  0.1856  0.2456  0.2982  0.3419  0.3741  0.3914
  0.4002  0.4145  0.4393  0.4712  0.5047  0.5779  0.6254  0.6478  0.6485  0.6314
  0.6019  0.5667  0.5296  0.4907  0.4500  0.4076  0.3625  0.3137  0.2603  0.2027
  0.1442
  0.0225  0.0700  0.1185  0.1701  0.2242  0.2790  0.3307  0.3770  0.4169  0.4500
  0.4741  0.4884  0.4976  0.5087  0.5254  0.5826  0.6270  0.6478  0.6484  0.6314
  0.6011  0.5637  0.5243  0.4840  0.4430  0.4005  0.3568  0.3110  0.2617  0.2080
  0.1493
  0.0950  0.1418  0.1850  0.2278  0.2718  0.3171  0.3628  0.4065  0.4460  0.4813
  0.5117  0.5362  0.5544  0.5665  0.5753  0.6004  0.6330  0.6517  0.6518  0.6351
  0.6044  0.5647  0.5220  0.4790  0.4362  0.3930  0.3490  0.3030  0.2551  0.2054
  0.1541
  0.1582  0.2069  0.2503  0.2893  0.3263  0.3630  0.4001  0.4376  0.4734  0.5066
  0.5365  0.5629  0.5854  0.6037  0.6173  0.6357  0.6483  0.6594  0.6585  0.6426
  0.6125  0.5717  0.5257  0.4791  0.4332  0.3881  0.3430  0.2979  0.2521  0.2050
  0.1555
  0.2079  0.2626  0.3089  0.3490  0.3844  0.4161  0.4460  0.4758  0.5054  0.5343
  0.5612  0.5856  0.6075  0.6267  0.6428  0.6672  0.6739  0.6740  0.6686  0.6526
  0.6237  0.5830  0.5350  0.4846  0.4348  0.3864  0.3390  0.2925  0.2463  0.1999
  0.1527
  0.2420  0.3055  0.3570  0.4012  0.4387  0.4704  0.4978  0.5221  0.5451  0.5679
  0.5902  0.6110  0.6300  0.6471  0.6623  0.6891  0.6978  0.6938  0.6826
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  I   
 -0.7682 -0.6426 -0.4693 -0.3120 -0.1704 -0.0529  0.0326  0.1024  0.1669  0.2319
  0.2923  0.3494  0.4035  0.4547  0.5029  0.6078  0.6836  0.7248  0.7315
 -0.5354 -0.5518 -0.4543 -0.3045 -0.1666 -0.0460  0.0454  0.1177  0.1823  0.2445
  0.3019  0.3559  0.4071  0.4554  0.5010  0.5986  0.6672  0.7035  0.7090  0.6925
 -0.3821 -0.3197 -0.3330 -0.2848 -0.1639 -0.0464  0.0538  0.1306  0.1951  0.2550
  0.3097  0.3608  0.4091  0.4547  0.4978  0.5897  0.6533  0.6864  0.6917  0.6762
  0.6487
 -0.3166 -0.2143 -0.1402 -0.1238 -0.1200 -0.0412  0.0563  0.1409  0.2071  0.2655
  0.3178  0.3662  0.4118  0.4549  0.4955  0.5824  0.6423  0.6731  0.6782  0.6635
  0.6366  0.6035
 -0.2603 -0.1637 -0.0696  0.0064  0.0498  0.0553  0.0789  0.1473  0.2182  0.2766
  0.3275  0.3734  0.4165  0.4571  0.4953  0.5775  0.6343  0.6632  0.6679  0.6538
  0.6271  0.5942  0.5578  0.5181
 -0.2008 -0.1167 -0.0294  0.0549  0.1270  0.1804  0.2088  0.2166  0.2404  0.2897
  0.3393  0.3831  0.4237  0.4618  0.4978  0.5753  0.6291  0.6564  0.6606  0.6468
  0.6201  0.5867  0.5501  0.5109  0.4687  0.4230  0.3736  0.3204  0.2640  0.2061
 -0.1366 -0.0642  0.0116  0.0885  0.1625  0.2278  0.2812  0.3201  0.3414  0.3509
  0.3685  0.3995  0.4347  0.4697  0.5032  0.5760  0.6268  0.6526  0.6565  0.6428
