 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
  0.3890  0.4284  0.4641  0.4968  0.5271  0.5943  0.6506  0.6929  0.7165  0.7208
  0.7075  0.6810  0.6449  0.6021
 -0.3468 -0.2102 -0.1511 -0.1641 -0.0763  0.0481  0.1539  0.2362  0.3003  0.3527
  0.3988  0.4376  0.4716  0.5024  0.5308  0.5934  0.6466  0.6877  0.7114  0.7158
  0.7030  0.6774  0.6424  0.6008  0.5546  0.5045  0.4488  0.3876  0.3261  0.2656
 -0.3553 -0.1971 -0.0714  0.0048  0.0123  0.0468  0.1440  0.2354  0.3066  0.3629
  0.4082  0.4479  0.4810  0.5101  0.5367  0.5947  0.6440  0.6833  0.7069  0.7119
  0.6998  0.6748  0.6408  0.6002  0.5552  0.5066  0.4542  0.3973  0.3353  0.2731
  0.2119
 -0.3788 -0.2075 -0.0650  0.0492  0.1304  0.1680  0.1814  0.2326  0.3069  0.3697
  0.4187  0.4580  0.4918  0.5200  0.5450  0.5985  0.6438  0.6804  0.7034  0.7091
  0.6977  0.6734  0.6401  0.6003  0.5560  0.5086  0.4579  0.4039  0.3456  0.2830
  0.2200
 -0.4148 -0.2291 -0.0744  0.0523  0.1547  0.2334  0.2857  0.3135  0.3355  0.3762
  0.4276  0.4702  0.5036  0.5322  0.5562  0.6057  0.6468  0.6803  0.7019  0.7075
  0.6968  0.6730  0.6400  0.6006  0.5567  0.5097  0.4599  0.4072  0.3514  0.2922
  0.2292
 -0.4614 -0.2636 -0.0968  0.0420  0.1543  0.2454  0.3183  0.3734  0.4115  0.4370
  0.4585  0.4849  0.5170  0.5446  0.5685  0.6148  0.6521  0.6822  0.7020  0.7075
  0.6976  0.6746  0.6421  0.6031  0.5593  0.5124  0.4628  0.4109  0.3566  0.2996
  0.2384
 -0.5248 -0.3110 -0.1301  0.0211  0.1451  0.2444  0.3251  0.3910  0.4433  0.4835
  0.5133  0.5352  0.5528  0.5698  0.5874  0.6268  0.6600  0.6870  0.7047  0.7096
  0.7003  0.6781  0.6461  0.6072  0.5635  0.5163  0.4663  0.4145  0.3607  0.3050
  0.2473
 -0.6049 -0.3713 -0.1663 -0.0097  0.1259  0.2365  0.3246  0.3959  0.4544  0.5023
  0.5406  0.5705  0.5933  0.6106  0.6129  0.6417  0.6705  0.6947  0.7100
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value =  I   
 -0.5300 -0.3743 -0.2442 -0.1372 -0.0220  0.0638  0.1358  0.2014  0.2613  0.3159
  0.3660  0.4128  0.4563  0.4963  0.5331  0.6118  0.6746  0.7205  0.7509
 -0.5954 -0.4054 -0.2507 -0.1278 -0.0183  0.0743  0.1495  0.2147  0.2745  0.3276
  0.3756  0.4205  0.4620  0.5003  0.5356  0.6118  0.6721  0.7165  0.7442  0.7544
 -0.6564 -0.4584 -0.2779 -0.1318 -0.0195  0.0811  0.1605  0.2256  0.2861  0.3378
  0.3843  0.4271  0.4665  0.5028  0.5365  0.6098  0.6686  0.7119  0.7381  0.7466
  0.7369
 -0.6127 -0.5006 -0.3189 -0.1529 -0.0213  0.0815  0.1686  0.2369  0.2941  0.3483
  0.3932  0.4340  0.4713  0.5056  0.5374  0.6070  0.6641  0.7068  0.7326  0.7405
  0.7306  0.7058
 -0.4033 -0.4275 -0.3440 -0.1838 -0.0358  0.0803  0.1723  0.2457  0.3050  0.3566
  0.4028  0.4418  0.4771  0.5095  0.5393  0.6047  0.6593  0.7015  0.7273  0.7353
  0.7257  0.7018  0.6670  0.6241
 -0.3492 -0.2333 -0.2381 -0.1934 -0.0591  0.0701  0.1716  0.2513  0.3145  0.3662
  0.4123  0.4509  0.4845  0.5150  0.5429  0.6037  0.6552  0.6961  0.7222  0.7307
  0.7217  0.6986  0.6651  0.6238  0.5771  0.5259  0.4691  0.4069  0.3451  0.2833
 -0.3574 -0.1992 -0.0849 -0.0552 -0.0474  0.0536  0.1639  0.2529  0.3216  0.3764
  0.4213  0.4610  0.4938  0.5225  0.5486  0.6048  0.6524  0.6914  0.7174  0.7266
  0.7186  0.6963  0.6637  0.6238  0.5787  0.5296  0.4765  0.4181  0.3549  0.2921
  0.2297
 -0.3916 -0.2102 -0.0664  0.0423  0.0998  0.1075  0.1575  0.2466  0.3242  0.3842
  0.4318  0.4707  0.5044  0.5322  0.5567  0.6085  0.6519  0.6880  0.7133  0.7232
  0.7162  0.6949  0.6632  0.6243  0.5804  0.5327  0.4818  0.4269  0.3671  0.3031
  0.2392
 -0.4375 -0.2399 -0.0782  0.0511  0.1517  0.2200  0.2515  0.2724  0.3240  0.3888
  0.4421  0.4828  0.5159  0.5443  0.5678  0.6157  0.6548  0.6875  0.7110  0.7210
  0.7149  0.6943  0.6633  0.6250  0.5818  0.5350  0.4849  0.4318  0.3751  0.3144
  0.2496
 -0.5084 -0.2890 -0.1084  0.0372  0.1527  0.2441  0.3130  0.3589  0.3863  0.4116
  0.4488  0.4922  0.5277  0.5559  0.5799  0.6247  0.6600  0.6891  0.7104  0.7200
  0.7149  0.6955  0.6653  0.6276  0.5849  0.5386  0.4893  0.4373  0.3824  0.3243
  0.2629
 -0.6028 -0.3575 -0.1551  0.0086  0.1392  0.2421  0.3241  0.3890  0.4377  0.4726
  0.4980  0.5203  0.5447  0.5712  0.5937  0.6363  0.6679  0.6936  0.7124  0.7210
  0.7163  0.6981  0.6688  0.6317  0.5893  0.5432  0.4940  0.4424  0.3884  0.3318
  0.2727
 -0.7207 -0.4454 -0.2154 -0.0347  0.1124  0.2294  0.3211  0.3944  0.4533  0.5002
  0.5364  0.5638  0.5851  0.6028  0.6092  0.6505  0.6785  0.7010  0.7170
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value =  I   
 -0.4743 -0.3441 -0.2246 -0.1148 -0.0046  0.0915  0.1719  0.2399  0.2980  0.3486
  0.3936  0.4346  0.4730  0.5102  0.5464  0.6234  0.6843  0.7288  0.7568
 -0.5492 -0.3663 -0.2209 -0.1093 -0.0003  0.0903  0.1643  0.2292  0.2896  0.3423
  0.3906  0.4354  0.4766  0.5145  0.5493  0.6241  0.6827  0.7259  0.7529  0.7643
 -0.6263 -0.4154 -0.2445 -0.1097 -0.0014  0.0978  0.1754  0.2405  0.3009  0.3525
  0.3990  0.4417  0.4810  0.5172  0.5505  0.6225  0.6798  0.7222  0.7487  0.7592
  0.7529
 -0.6414 -0.4733 -0.2852 -0.1257 -0.0040  0.0982  0.1842  0.2515  0.3084  0.3628
  0.4076  0.4483  0.4856  0.5198  0.5513  0.6199  0.6756  0.7177  0.7442  0.7545
  0.7481  0.7262
 -0.4864 -0.4738 -0.3274 -0.1571 -0.0132  0.0950  0.1875  0.2605  0.3192  0.3715
  0.4169  0.4558  0.4912  0.5234  0.5530  0.6174  0.6708  0.7124  0.7394  0.7502
  0.7442  0.7232  0.6900  0.6477
 -0.3555 -0.2940 -0.3043 -0.1865 -0.0369  0.0903  0.1863  0.2664  0.3285  0.3797
  0.4263  0.4647  0.4983  0.5286  0.5563  0.6162  0.6664  0.7068  0.7342  0.7459
  0.7408  0.7207  0.6889  0.6483  0.6016  0.5491  0.4907  0.4282  0.3660  0.3030
 -0.3553 -0.2028 -0.1206 -0.1332 -0.0549  0.0719  0.1829  0.2676  0.3358  0.3900
  0.4344  0.4745  0.5072  0.5358  0.5617  0.6171  0.6633  0.7016  0.7288  0.7415
  0.7377  0.7188  0.6881  0.6490  0.6038  0.5541  0.4998  0.4402  0.3765  0.3132
  0.2496
 -0.3880 -0.2082 -0.0679  0.0244  0.0389  0.0694  0.1690  0.2646  0.3395  0.3979
  0.4449  0.4835  0.5176  0.5453  0.5696  0.6205  0.6625  0.6977  0.7240  0.7375
  0.7351  0.7174  0.6879  0.6500  0.6063  0.5583  0.5065  0.4508  0.3900  0.3251
  0.2608
 -0.4439 -0.2403 -0.0766  0.0511  0.1438  0.1884  0.2031  0.2595  0.3383  0.4048
  0.4561  0.4955  0.5286  0.5571  0.5805  0.6274  0.6651  0.6968  0.7212  0.7344
  0.7330  0.7166  0.6880  0.6511  0.6084  0.5616  0.5113  0.4577  0.4004  0.3384
  0.2724
 -0.5322 -0.2986 -0.1100  0.0380  0.1533  0.2415  0.3002  0.3303  0.3566  0.4047
  0.4604  0.5055  0.5400  0.5682  0.5922  0.6363  0.6700  0.6979  0.7197  0.7324
  0.7319  0.7170  0.6897  0.6537  0.6120  0.5661  0.5169  0.4648  0.4096  0.3507
  0.2879
 -0.6519 -0.3831 -0.1656  0.0056  0.1388  0.2424  0.3236  0.3846  0.4260  0.4541
  0.4811  0.5147  0.5514  0.5811  0.6046  0.6477  0.6779  0.7022  0.7211  0.7323
  0.7321  0.7186  0.6926  0.6576  0.6165  0.5712  0.5226  0.4713  0.4173  0.3603
  0.3002
 -0.8031 -0.4938 -0.2434 -0.0473  0.1076  0.2276  0.3207  0.3944  0.4522  0.4962
  0.5287  0.5539  0.5765  0.5993  0.6177  0.6616  0.6888  0.7097  0.7254
