 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.3998 -3.3181 -3.5353 -3.4580 -3.2379 -2.9503 -2.6404 -2.4248 -2.2315 -2.0361
 -1.8563 -1.6903 -1.5362 -1.3922 -1.2561 -0.9695 -0.6919 -0.4530 -0.3110
 -3.3844 -3.1272 -2.9232 -2.7852 -2.7040 -2.5876 -2.4014 -2.1958 -2.0040 -1.8234
 -1.6542 -1.4973 -1.3530 -1.2204 -1.0977 -0.8274 -0.6043 -0.4313 -0.3052 -0.2119
 -3.1449 -2.8901 -2.6676 -2.4806 -2.3289 -2.2243 -2.1385 -2.0085 -1.8440 -1.6731
 -1.5150 -1.3685 -1.2336 -1.1103 -0.9976 -0.7564 -0.5636 -0.4142 -0.3035 -0.2199
 -0.1540
 -2.9576 -2.7214 -2.5039 -2.3116 -2.1433 -1.9963 -1.8738 -1.7808 -1.6845 -1.5584
 -1.4165 -1.2791 -1.1525 -1.0364 -0.9304 -0.7073 -0.5348 -0.4042 -0.3057 -0.2304
 -0.1697 -0.1191
 -2.8010 -2.5873 -2.3836 -2.1964 -2.0288 -1.8784 -1.7429 -1.6221 -1.5224 -1.4303
 -1.3300 -1.2150 -1.0977 -0.9876 -0.8868 -0.6751 -0.5147 -0.3965 -0.3088 -0.2414
 -0.1861 -0.1391 -0.0983 -0.0630
 -2.6699 -2.4728 -2.2867 -2.1091 -1.9461 -1.7985 -1.6645 -1.5422 -1.4312 -1.3309
 -1.2397 -1.1500 -1.0540 -0.9548 -0.8588 -0.6546 -0.5009 -0.3898 -0.3099 -0.2504
 -0.2012 -0.1587 -0.1213 -0.0878 -0.0565 -0.0291 -0.0075  0.0067  0.0122  0.0084
 -2.5641 -2.3770 -2.2032 -2.0380 -1.8813 -1.7376 -1.6066 -1.4868 -1.3777 -1.2770
 -1.1829 -1.0945 -1.0095 -0.9245 -0.8388 -0.6423 -0.4913 -0.3824 -0.3075 -0.2546
 -0.2124 -0.1756 -0.1428 -0.1128 -0.0852 -0.0580 -0.0337 -0.0157 -0.0065 -0.0075
 -0.0173
 -2.4838 -2.3009 -2.1327 -1.9759 -1.8279 -1.6885 -1.5603 -1.4431 -1.3363 -1.2380
 -1.1465 -1.0598 -0.9766 -0.8965 -0.8184 -0.6356 -0.4860 -0.3768 -0.3024 -0.2531
 -0.2173 -0.1874 -0.1604 -0.1353 -0.1118 -0.0893 -0.0663 -0.0459 -0.0318 -0.0269
 -0.0330
 -2.4290 -2.2457 -2.0777 -1.9197 -1.7791 -1.6457 -1.5205 -1.4049 -1.2998 -1.2034
 -1.1142 -1.0307 -0.9511 -0.8740 -0.7992 -0.6266 -0.4821 -0.3725 -0.2959 -0.2469
 -0.2150 -0.1915 -0.1715 -0.1528 -0.1347 -0.1166 -0.0990 -0.0823 -0.0689 -0.0591
 -0.0526
 -2.3996 -2.2122 -2.0409 -1.8840 -1.7405 -1.6091 -1.4881 -1.3745 -1.2699 -1.1745
 -1.0869 -1.0055 -0.9290 -0.8552 -0.7838 -0.6193 -0.4792 -0.3701 -0.2916 -0.2402
 -0.2085 -0.1887 -0.1748 -0.1631 -0.1517 -0.1397 -0.1273 -0.1145 -0.1021 -0.0912
 -0.0811
 -2.3917 -2.1974 -2.0205 -1.8594 -1.7128 -1.5795 -1.4582 -1.3474 -1.2440 -1.1485
 -1.0615 -0.9814 -0.9069 -0.8366 -0.7694 -0.6120 -0.4754 -0.3673 -0.2880 -0.2340
 -0.2007 -0.1814 -0.1710 -0.1651 -0.1606 -0.1556 -0.1496 -0.1425 -0.1346 -0.1266
 -0.1197
 -2.3891 -2.1846 -2.0016 -1.8372 -1.6890 -1.5547 -1.4324 -1.3206 -1.2181 -1.1241
 -1.0376 -0.9580 -0.8847 -0.8164 -0.7518 -0.6029 -0.4709 -0.3638 -0.2840
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
