 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = UX   
 -9.5789 -9.4000 -8.9841 -8.3700 -7.5982 -6.8163 -6.2452 -5.8642 -5.5764 -5.3457
 -5.1341 -4.9326 -4.7377 -4.5463 -4.3554 -3.8728 -3.3758 -2.8778 -2.4065 -1.9826
 -1.6139
 -8.8817 -8.7055 -8.4436 -8.1072 -7.6232 -6.9411 -6.2637 -5.7781 -5.4380 -5.1745
 -4.9509 -4.7423 -4.5439 -4.3519 -4.1628 -3.6917 -3.2099 -2.7264 -2.2695 -1.8638
 -1.5160 -1.2257
 -8.5719 -7.9681 -7.8136 -7.6566 -7.4007 -6.9934 -6.3979 -5.8130 -5.3851 -5.0725
 -4.8260 -4.6067 -4.4012 -4.2054 -4.0153 -3.5508 -3.0831 -2.6137 -2.1681 -1.7734
 -1.4381 -1.1597 -0.9376 -0.7686
 -8.7394 -7.7984 -7.2530 -7.0571 -6.9715 -6.7829 -6.4524 -5.9541 -5.4398 -5.0499
 -4.7585 -4.5229 -4.3075 -4.1049 -3.9108 -3.4463 -2.9885 -2.5318 -2.0958 -1.7076
 -1.3784 -1.1059 -0.8877 -0.7215 -0.5984 -0.5051 -0.4299 -0.3649 -0.3044 -0.2466
 -9.2110 -8.0105 -7.1851 -6.6772 -6.4266 -6.3347 -6.2198 -5.9717 -5.5755 -5.1243
 -4.7619 -4.4883 -4.2596 -4.0486 -3.8486 -3.3784 -2.9250 -2.4777 -2.0496 -1.6646
 -1.3366 -1.0650 -0.8466 -0.6791 -0.5569 -0.4677 -0.4009 -0.3479 -0.3019 -0.2581
 -0.2148
 -9.8920 -8.5073 -7.4346 -6.6897 -6.2054 -5.9175 -5.7645 -5.6678 -5.5149 -5.2311
 -4.8528 -4.5136 -4.2535 -4.0316 -3.8251 -3.3468 -2.8939 -2.4517 -2.0285 -1.6443
 -1.3132 -1.0379 -0.8153 -0.6435 -0.5177 -0.4294 -0.3663 -0.3199 -0.2838 -0.2528
 -0.2232
-10.7736 -9.1955 -7.9371 -6.9669 -6.2782 -5.8105 -5.5020 -5.2984 -5.1576 -5.0342
 -4.8658 -4.6022 -4.2924 -4.0450 -3.8302 -3.3433 -2.8891 -2.4488 -2.0272 -1.6413
 -1.3048 -1.0223 -0.7928 -0.6135 -0.4813 -0.3896 -0.3281 -0.2860 -0.2554 -0.2319
 -0.2130
-11.3273 -9.8993 -8.6233 -7.4852 -6.5975 -5.9477 -5.4884 -5.1660 -4.9329 -4.7529
 -4.6042 -4.4658 -4.3070 -4.0861 -3.8638 -3.3694 -2.9144 -2.4771 -2.0572 -1.6682
 -1.3237 -1.0305 -0.7896 -0.5991 -0.4558 -0.3552 -0.2892 -0.2470 -0.2198 -0.2010
 -0.1888
-11.9827-10.5782 -9.3028 -8.1448 -7.1174 -6.2973 -5.6778 -5.2231 -4.8905 -4.6395
 -4.4382 -4.2678 -4.1182 -3.9795 -3.8245 -3.4050 -2.9577 -2.5236 -2.1070 -1.7167
 -1.3645 -1.0590 -0.8042 -0.5995 -0.4422 -0.3287 -0.2532 -0.2060 -0.1782 -0.1625
 -0.1537
-12.7398-11.2322 -9.9229 -8.8036 -7.7424 -6.8132 -6.0529 -5.4593 -5.0080 -4.6663
 -4.4019 -4.1879 -4.0055 -3.8452 -3.7123 -3.4501 -3.0190 -2.5883 -2.1766
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value = UX   
-11.5368-10.2011 -9.0685 -8.1194 -7.3260 -6.8353 -6.5158 -6.2731 -6.0730 -5.8924
 -5.7148 -5.5377 -5.3602 -5.1802 -4.9975 -4.5307 -4.0121 -3.5025 -2.9990
-10.8996-10.0381 -9.1066 -8.1135 -7.2603 -6.6500 -6.2625 -5.9931 -5.7727 -5.5853
 -5.4050 -5.2283 -5.0534 -4.8779 -4.7000 -4.2405 -3.7566 -3.2613 -2.7785 -2.3271
-10.0813 -9.5852 -8.9944 -8.2092 -7.3502 -6.6043 -6.1081 -5.7831 -5.5334 -5.3348
 -5.1505 -4.9734 -4.8005 -4.6292 -4.4567 -4.0132 -3.5461 -3.0662 -2.6005 -2.1730
 -1.7943
 -9.0471 -8.9577 -8.6069 -8.1461 -7.4713 -6.7075 -6.0786 -5.6605 -5.3685 -5.1411
 -4.9481 -4.7672 -4.5936 -4.4243 -4.2561 -3.8288 -3.3806 -2.9172 -2.4650 -2.0527
 -1.6931 -1.3855
 -8.5817 -8.1963 -8.0545 -7.8038 -7.4352 -6.8593 -6.1928 -5.6503 -5.2799 -5.0094
 -4.7977 -4.6084 -4.4303 -4.2597 -4.0926 -3.6773 -3.2472 -2.8011 -2.3623 -1.9594
 -1.6109 -1.3155 -1.0705 -0.8751
 -8.6452 -7.7820 -7.3846 -7.2870 -7.1168 -6.8247 -6.3471 -5.7709 -5.2928 -4.9542
 -4.7006 -4.4971 -4.3108 -4.1351 -3.9661 -3.5558 -3.1400 -2.7109 -2.2843 -1.8895
 -1.5464 -1.2572 -1.0182 -0.8269 -0.6791 -0.5650 -0.4739 -0.3964 -0.3256 -0.2592
 -9.0713 -7.9085 -7.1461 -6.7348 -6.6024 -6.5045 -6.2861 -5.9092 -5.4252 -4.9896
 -4.6737 -4.4341 -4.2352 -4.0517 -3.8777 -3.4654 -3.0589 -2.6438 -2.2297 -1.8409
 -1.4999 -1.2117 -0.9741 -0.7837 -0.6371 -0.5274 -0.4440 -0.3777 -0.3220 -0.2699
 -0.2198
 -9.7916 -8.3649 -7.3267 -6.6328 -6.2141 -6.0125 -5.9240 -5.7890 -5.5176 -5.1272
 -4.7332 -4.4324 -4.2033 -4.0088 -3.8279 -3.4088 -3.0058 -2.6008 -2.1969 -1.8133
 -1.4718 -1.1809 -0.9404 -0.7472 -0.5982 -0.4882 -0.4085 -0.3487 -0.3023 -0.2639
 -0.2275
-10.7432 -9.0780 -7.7943 -6.8543 -6.2085 -5.7880 -5.5351 -5.3927 -5.2878 -5.1264
 -4.8497 -4.5059 -4.2203 -4.0000 -3.8101 -3.3816 -2.9784 -2.5786 -2.1813 -1.8011
 -1.4577 -1.1617 -0.9154 -0.7167 -0.5625 -0.4488 -0.3688 -0.3128 -0.2722 -0.2414
 -0.2168
-11.5994 -9.9201 -8.5121 -7.3491 -6.4823 -5.8678 -5.4452 -5.1611 -4.9689 -4.8298
 -4.7055 -4.5482 -4.3114 -4.0413 -3.8273 -3.3858 -2.9817 -2.5864 -2.1944 -1.8168
 -1.4702 -1.1666 -0.9111 -0.7028 -0.5392 -0.4169 -0.3314 -0.2741 -0.2361 -0.2098
 -0.1926
-12.8252-10.8912 -9.3098 -8.0465 -6.9910 -6.1833 -5.5911 -5.1661 -4.8627 -4.6408
 -4.4693 -4.3277 -4.1977 -4.0562 -3.8616 -3.4107 -3.0054 -2.6138 -2.2275 -1.8526
 -1.5031 -1.1913 -0.9245 -0.7042 -0.5283 -0.3942 -0.2987 -0.2350 -0.1950 -0.1709
 -0.1564
-14.4206-11.9913 -9.9805 -8.7646 -7.6597 -6.7007 -5.9435 -5.3699 -4.9422 -4.6241
 -4.3833 -4.1922 -4.0331 -3.8955 -3.9130 -3.4563 -3.0495 -2.6608 -2.2806
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value = UX   
-11.3427 -9.8729 -8.7209 -7.8553 -7.1516 -6.7474 -6.4747 -6.2597 -6.0799 -5.9165
 -5.7557 -5.5943 -5.4312 -5.2646 -5.0943 -4.6552 -4.1617 -3.6710 -3.1824
-11.1829 -9.9428 -8.8297 -7.8319 -7.0457 -6.5253 -6.1964 -5.9613 -5.7715 -5.6039
 -5.4450 -5.2866 -5.1283 -4.9681 -4.8050 -4.3778 -3.9209 -3.4453 -2.9735 -2.5252
-10.3461 -9.7200 -8.9229 -7.9581 -7.0977 -6.4289 -6.0072 -5.7285 -5.5136 -5.3416
 -5.1802 -5.0241 -4.8704 -4.7167 -4.5608 -4.1541 -3.7171 -3.2587 -2.8026 -2.3736
 -1.9868
 -9.5466 -9.1896 -8.7300 -8.0793 -7.2454 -6.4886 -5.9289 -5.5710 -5.3218 -5.1263
 -4.9595 -4.8020 -4.6500 -4.5005 -4.3507 -3.9645 -3.5503 -3.1113 -2.6697 -2.2543
 -1.8842 -1.5612
 -8.6965 -8.4967 -8.2595 -7.9131 -7.3750 -6.6572 -5.9915 -5.5159 -5.1982 -4.9656
 -4.7843 -4.6211 -4.4669 -4.3180 -4.1713 -3.8011 -3.4086 -2.9904 -2.5642 -2.1595
 -1.7994 -1.4882 -1.2231 -1.0015
 -8.5690 -7.8310 -7.6279 -7.4824 -7.2196 -6.7811 -6.1727 -5.5913 -5.1674 -4.8766
 -4.6580 -4.4830 -4.3224 -4.1704 -4.0234 -3.6622 -3.2878 -2.8902 -2.4804 -2.0854
 -1.7311 -1.4259 -1.1679 -0.9536 -0.7800 -0.6419 -0.5309 -0.4369 -0.3528 -0.2758
 -8.9177 -7.8199 -7.1494 -6.8917 -6.8044 -6.6143 -6.2710 -5.7686 -5.2603 -4.8715
 -4.5982 -4.3907 -4.2189 -4.0604 -3.9098 -3.5500 -3.1885 -2.8088 -2.4157 -2.0304
 -1.6796 -1.3762 -1.1205 -0.9091 -0.7386 -0.6047 -0.5005 -0.4178 -0.3487 -0.2859
 -0.2273
 -9.6254 -8.2054 -7.2274 -6.6033 -6.2854 -6.1813 -6.0667 -5.8176 -5.4244 -4.9837
 -4.6207 -4.3588 -4.1590 -3.9899 -3.8329 -3.4683 -3.1133 -2.7476 -2.3694 -1.9941
 -1.6460 -1.3412 -1.0837 -0.8711 -0.7000 -0.5665 -0.4650 -0.3878 -0.3281 -0.2793
 -0.2343
-10.5817 -8.8998 -7.6353 -6.7466 -6.1556 -5.8008 -5.6285 -5.5353 -5.3857 -5.1056
 -4.7390 -4.4018 -4.1496 -3.9560 -3.7897 -3.4155 -3.0618 -2.7046 -2.3377 -1.9708
 -1.6252 -1.3179 -1.0559 -0.8390 -0.6642 -0.5280 -0.4262 -0.3516 -0.2968 -0.2555
 -0.2230
-11.6571 -9.8181 -8.3419 -7.1928 -6.3677 -5.7978 -5.4214 -5.1899 -5.0512 -4.9409
 -4.7840 -4.5290 -4.2235 -3.9758 -3.7850 -3.3960 -3.0408 -2.6893 -2.3317 -1.9729
 -1.6299 -1.3190 -1.0498 -0.8247 -0.6420 -0.4984 -0.3910 -0.3142 -0.2608 -0.2235
 -0.1968
-13.1657-10.9603 -9.2180 -7.8931 -6.8400 -6.0647 -5.5093 -5.1197 -4.8530 -4.6689
 -4.5329 -4.4122 -4.2702 -4.0620 -3.8242 -3.4015 -3.0426 -2.6945 -2.3442 -1.9926
 -1.6524 -1.3383 -1.0613 -0.8259 -0.6325 -0.4785 -0.3617 -0.2779 -0.2213 -0.1847
 -0.1614
-15.1076-12.3264-10.0191 -8.6788 -7.5251 -6.5592 -5.8247 -5.2802 -4.8814 -4.5918
 -4.3789 -4.2155 -4.0821 -3.9621 -3.9073 -3.4320 -3.0672 -2.7202 -2.3752
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value = UX   
-10.8712 -9.5025 -8.4302 -7.6250 -7.0307 -6.5974 -6.2862 -6.0648 -5.9057 -5.7858
 -5.6855 -5.5881 -5.4795 -5.3479 -5.1900 -4.7749 -4.3049 -3.7952 -3.3261
-11.2496 -9.7109 -8.5021 -7.5906 -6.8817 -6.4355 -6.1559 -5.9514 -5.7842 -5.6346
 -5.4898 -5.3459 -5.2021 -5.0555 -4.9052 -4.5077 -4.0770 -3.6092 -3.1525 -2.7130
-10.7980 -9.7540 -8.7188 -7.6928 -6.8849 -6.2941 -5.9352 -5.6961 -5.5118 -5.3604
 -5.2173 -5.0781 -4.9402 -4.8014 -4.6601 -4.2868 -3.8791 -3.4435 -3.0012 -2.5754
 -2.1836
 -9.8634 -9.4034 -8.7692 -7.8968 -7.0141 -6.2995 -5.8121 -5.5071 -5.2941 -5.1262
 -4.9809 -4.8428 -4.7087 -4.5759 -4.4421 -4.0928 -3.7112 -3.2981 -2.8722 -2.4594
 -2.0818 -1.7461
 -8.9985 -8.7758 -8.4470 -7.9503 -7.2120 -6.4478 -5.8210 -5.4083 -5.1379 -4.9378
 -4.7833 -4.6421 -4.5078 -4.3774 -4.2482 -3.9181 -3.5615 -3.1730 -2.7655 -2.3650
 -1.9971 -1.6721 -1.3889 -1.1449
 -8.5426 -8.0206 -7.8844 -7.6491 -7.2572 -6.6412 -5.9768 -5.4292 -5.0654 -4.8170
 -4.6295 -4.4794 -4.3407 -4.2089 -4.0808 -3.7627 -3.4271 -3.0625 -2.6753 -2.2876
 -1.9272 -1.6084 -1.3324 -1.0969 -0.8990 -0.7355 -0.6019 -0.4882 -0.3874 -0.2972
 -8.7777 -7.7669 -7.2422 -7.1212 -6.9631 -6.6611 -6.1638 -5.5913 -5.1071 -4.7711
 -4.5374 -4.3588 -4.2110 -4.0742 -3.9438 -3.6300 -3.3097 -2.9659 -2.5993 -2.2257
 -1.8717 -1.5560 -1.2833 -1.0519 -0.8587 -0.7003 -0.5730 -0.4705 -0.3841 -0.3074
 -0.2383
 -9.3945 -8.0570 -7.1533 -6.6263 -6.4476 -6.3533 -6.1357 -5.7545 -5.2738 -4.8391
 -4.5209 -4.2955 -4.1226 -3.9766 -3.8409 -3.5244 -3.2130 -2.8859 -2.5378 -2.1785
 -1.8314 -1.5170 -1.2440 -1.0129 -0.8208 -0.6640 -0.5392 -0.4412 -0.3642 -0.3012
 -0.2448
-10.3222 -8.6900 -7.4822 -6.6564 -6.1338 -5.8765 -5.7801 -5.6495 -5.3803 -4.9948
 -4.6048 -4.3042 -4.0846 -3.9161 -3.7717 -3.4466 -3.1380 -2.8217 -2.4881 -2.1421
 -1.8021 -1.4883 -1.2131 -0.9791 -0.7848 -0.6268 -0.5019 -0.4056 -0.3322 -0.2769
 -0.2334
-11.5435 -9.6281 -8.1400 -7.0369 -6.2655 -5.7469 -5.4322 -5.2717 -5.1722 -5.0202
 -4.7527 -4.4217 -4.1290 -3.9104 -3.7429 -3.4027 -3.0927 -2.7833 -2.4618 -2.1282
 -1.7960 -1.4831 -1.2037 -0.9635 -0.7628 -0.5990 -0.4696 -0.3706 -0.2977 -0.2447
 -0.2067
-13.2171-10.8713 -9.0505 -7.7027 -6.6854 -5.9540 -5.4395 -5.0925 -4.8735 -4.7357
 -4.6242 -4.4800 -4.2540 -3.9821 -3.7628 -3.3867 -3.0715 -2.7653 -2.4526 -2.1297
 -1.8052 -1.4942 -1.2109 -0.9629 -0.7533 -0.5807 -0.4433 -0.3379 -0.2609 -0.2074
 -0.1713
-15.3429-12.4196-10.2137 -8.5695 -7.3546 -6.4090 -5.7094 -5.1982 -4.8321 -4.5761
 -4.3976 -4.2655 -4.1511 -4.0256 -3.8314 -3.3986 -3.0744 -2.7677 -2.4605
