 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = UX   
 -9.0920 -8.3038 -7.5954 -6.9520 -6.3860 -5.9079 -5.5188 -5.1998 -4.9210 -4.6530
 -4.3782 -4.0967 -3.8225 -3.5675 -3.3320 -2.7658 -2.1914 -1.6798 -1.2560 -0.9129
 -0.6582 -0.4879 -0.3809 -0.3146 -0.2731 -0.2474 -0.2322 -0.2226 -0.2172 -0.2156
 -0.2174
 -9.3297 -8.5457 -7.8396 -7.2008 -6.5982 -6.0627 -5.6023 -5.2200 -4.9021 -4.6232
 -4.3581 -4.0897 -3.8161 -3.5484 -3.2969 -2.7433 -2.2227 -1.7280 -1.3029 -0.9525
 -0.6799 -0.4866 -0.3601 -0.2815 -0.2342 -0.2065 -0.1920 -0.1862 -0.1859 -0.1889
 -0.1930
 -9.5574 -8.8081 -8.1201 -7.4868 -6.8684 -6.3058 -5.7949 -5.3468 -4.9659 -4.6448
 -4.3638 -4.1008 -3.8397 -3.5762 -3.3175 -2.7410 -2.2434 -1.7747 -1.3529 -0.9990
 -0.7147 -0.5020 -0.3543 -0.2579 -0.1988 -0.1647 -0.1475 -0.1414 -0.1428 -0.1491
 -0.1580
 -9.7751 -9.0911 -8.4368 -7.7984 -7.1840 -6.6024 -6.0629 -5.5730 -5.1348 -4.7524
 -4.4261 -4.1409 -3.8781 -3.6232 -3.3697 -2.7739 -2.2679 -1.8173 -1.4042
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = UX   
-10.8800-10.3804 -9.8460 -9.3575 -8.7008 -7.9910 -7.3997 -6.9709 -6.6062 -6.2765
 -5.9605 -5.6554 -5.3613 -5.0755 -4.7946 -4.0980 -3.3868 -2.6754 -2.0537
 -9.5823 -9.2788 -9.0486 -8.7307 -8.3778 -7.8686 -7.2329 -6.7239 -6.3161 -5.9577
 -5.6151 -5.2869 -4.9735 -4.6734 -4.3830 -3.6871 -3.0176 -2.3845 -1.8351 -1.4188
 -9.0009 -8.4338 -8.1671 -8.0570 -7.8743 -7.5963 -7.1552 -6.5986 -6.1305 -5.7389
 -5.3709 -5.0190 -4.6855 -4.3701 -4.0704 -3.3750 -2.7383 -2.1621 -1.6678 -1.2865
 -1.0195
 -8.7504 -8.0573 -7.6066 -7.3496 -7.2353 -7.1326 -6.9137 -6.5404 -6.0467 -5.6103
 -5.2208 -4.8484 -4.4957 -4.1648 -3.8546 -3.1551 -2.5396 -2.0007 -1.5440 -1.1856
 -0.9339 -0.7605
 -8.6994 -7.9134 -7.3492 -6.9616 -6.7048 -6.5356 -6.4228 -6.2647 -5.9715 -5.5538
 -5.1497 -4.7641 -4.3960 -4.0503 -3.7282 -3.0170 -2.4108 -1.8926 -1.4577 -1.1125
 -0.8669 -0.7010 -0.5860 -0.5010
