 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -3.1384 -2.9659 -2.8050 -2.6558 -2.5173 -2.2102 -1.9308 -1.6697 -1.4250
 -6.3746 -5.8339 -5.3254 -4.8873 -4.5181 -4.1913 -3.9115 -3.6611 -3.4283 -3.2290
 -3.0420 -2.8671 -2.7042 -2.5529 -2.4125 -2.1054 -1.8394 -1.5911 -1.3515 -1.1209
 -6.0461 -5.8770 -5.3862 -4.9388 -4.5340 -4.1808 -3.8794 -3.6187 -3.3808 -3.1749
 -2.9852 -2.8079 -2.6425 -2.4884 -2.3453 -2.0339 -1.7690 -1.5268 -1.2978 -1.0822
 -0.8844
 -5.7925 -5.7079 -5.4289 -5.0131 -4.5938 -4.2188 -3.8898 -3.6104 -3.3657 -3.1488
 -2.9559 -2.7759 -2.6077 -2.4505 -2.3041 -1.9854 -1.7187 -1.4804 -1.2590 -1.0538
 -0.8677 -0.7012
 -5.6459 -5.3067 -5.2139 -5.0184 -4.6628 -4.2857 -3.9387 -3.6355 -3.3757 -3.1474
 -2.9478 -2.7647 -2.5933 -2.4328 -2.2826 -1.9545 -1.6835 -1.4471 -1.2313 -1.0341
 -0.8573 -0.6999 -0.5613 -0.4404
 -5.6960 -5.2173 -4.8885 -4.7474 -4.6306 -4.3449 -4.0117 -3.6947 -3.4133 -3.1707
 -2.9583 -2.7708 -2.5960 -2.4319 -2.2779 -1.9390 -1.6607 -1.4239 -1.2121 -1.0212
 -0.8516 -0.7021 -0.5705 -0.4555 -0.3565 -0.2684 -0.1873 -0.1152 -0.0564 -0.0169
 -5.8224 -5.2788 -4.8441 -4.5288 -4.3407 -4.2340 -4.0473 -3.7660 -3.4797 -3.2182
 -2.9908 -2.7924 -2.6137 -2.4462 -2.2884 -1.9379 -1.6497 -1.4095 -1.1999 -1.0137
 -0.8499 -0.7068 -0.5816 -0.4725 -0.3781 -0.2976 -0.2269 -0.1619 -0.1019 -0.0556
 -0.0271
 -5.9961 -5.4108 -4.9164 -4.5187 -4.2187 -4.0089 -3.8643 -3.7322 -3.5343 -3.2871
 -3.0458 -2.8323 -2.6450 -2.4739 -2.3127 -1.9513 -1.6510 -1.4042 -1.1941 -1.0108
 -0.8510 -0.7131 -0.5936 -0.4902 -0.4011 -0.3249 -0.2579 -0.1992 -0.1486 -0.1059
 -0.0708
 -6.2087 -5.5830 -5.0485 -4.5964 -4.2301 -3.9466 -3.7324 -3.5643 -3.4216 -3.2756
 -3.0954 -2.8874 -2.6880 -2.5105 -2.3460 -1.9750 -1.6624 -1.4060 -1.1925 -1.0098
 -0.8528 -0.7187 -0.6041 -0.5060 -0.4222 -0.3514 -0.2918 -0.2407 -0.1964 -0.1578
 -0.1239
 -6.3779 -5.7699 -5.2244 -4.7355 -4.3204 -3.9809 -3.7123 -3.5008 -3.3265 -3.1724
 -3.0293 -2.8855 -2.7283 -2.5578 -2.3925 -2.0144 -1.6898 -1.4220 -1.2017 -1.0169
 -0.8604 -0.7281 -0.6167 -0.5228 -0.4436 -0.3777 -0.3232 -0.2777 -0.2389 -0.2057
 -0.1777
 -6.5844 -5.9670 -5.4101 -4.9081 -4.4601 -4.0773 -3.7612 -3.5059 -3.2999 -3.1264
 -2.9710 -2.8267 -2.6898 -2.5554 -2.4166 -2.0611 -1.7286 -1.4486 -1.2193 -1.0297
 -0.8715 -0.7391 -0.6292 -0.5381 -0.4627 -0.4010 -0.3514 -0.3111 -0.2779 -0.2502
 -0.2263
 -6.8282 -6.1742 -5.5829 -5.0876 -4.6277 -4.2170 -3.8631 -3.5668 -3.3235 -3.1231
 -2.9527 -2.8003 -2.6586 -2.5249 -2.4183 -2.1151 -1.7788 -1.4858 -1.2453
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value = BX   
 -6.1590 -5.6353 -5.1982 -4.8393 -4.4957 -4.2076 -3.9537 -3.7195 -3.5038 -3.3070
 -3.1276 -2.9600 -2.8038 -2.6583 -2.5227 -2.2230 -1.9511 -1.7026 -1.4582
 -6.3138 -5.7299 -5.2352 -4.8211 -4.4656 -4.1530 -3.8853 -3.6432 -3.4170 -3.2227
 -3.0410 -2.8715 -2.7137 -2.5668 -2.4302 -2.1295 -1.8693 -1.6276 -1.3940 -1.1679
 -6.2877 -5.8313 -5.3292 -4.8717 -4.4872 -4.1445 -3.8551 -3.6040 -3.3705 -3.1722
 -2.9885 -2.8170 -2.6571 -2.5081 -2.3692 -2.0645 -1.8048 -1.5680 -1.3430 -1.1287
 -0.9292
 -5.8527 -5.8020 -5.4128 -4.9632 -4.5427 -4.1792 -3.8623 -3.5945 -3.3575 -3.1463
 -2.9599 -2.7862 -2.6238 -2.4722 -2.3305 -2.0193 -1.7576 -1.5238 -1.3052 -1.0997
 -0.9106 -0.7399
 -5.6568 -5.4550 -5.3488 -5.0275 -4.6296 -4.2459 -3.9077 -3.6148 -3.3645 -3.1424
 -2.9499 -2.7733 -2.6081 -2.4536 -2.3087 -1.9894 -1.7233 -1.4908 -1.2766 -1.0785
 -0.8975 -0.7354 -0.5914 -0.4648
 -5.6756 -5.2249 -4.9886 -4.9136 -4.6718 -4.3274 -3.9805 -3.6674 -3.3968 -3.1628
 -2.9567 -2.7760 -2.6077 -2.4500 -2.3018 -1.9732 -1.7001 -1.4668 -1.2566 -1.0636
 -0.8890 -0.7340 -0.5970 -0.4764 -0.3708 -0.2785 -0.1933 -0.1141 -0.0540 -0.0121
 -5.8075 -5.2605 -4.8465 -4.5878 -4.4837 -4.3358 -4.0532 -3.7450 -3.4581 -3.2044
 -2.9857 -2.7936 -2.6216 -2.4606 -2.3089 -1.9703 -1.6880 -1.4509 -1.2426 -1.0539
 -0.8846 -0.7352 -0.6045 -0.4897 -0.3896 -0.3026 -0.2266 -0.1581 -0.0945 -0.0477
 -0.0178
 -6.0136 -5.3968 -4.8993 -4.5163 -4.2514 -4.0972 -3.9881 -3.7956 -3.5344 -3.2728
 -3.0359 -2.8299 -2.6491 -2.4845 -2.3295 -1.9811 -1.6877 -1.4440 -1.2350 -1.0490
 -0.8836 -0.7389 -0.6133 -0.5040 -0.4091 -0.3272 -0.2571 -0.1969 -0.1427 -0.0937
 -0.0585
 -6.2701 -5.5947 -5.0352 -4.5803 -4.2248 -3.9639 -3.7817 -3.6491 -3.5158 -3.3286
 -3.1031 -2.8830 -2.6893 -2.5178 -2.3596 -2.0024 -1.6977 -1.4445 -1.2316 -1.0463
 -0.8835 -0.7423 -0.6211 -0.5169 -0.4272 -0.3504 -0.2856 -0.2307 -0.1839 -0.1435
 -0.1081
 -6.5464 -5.8398 -5.2360 -4.7251 -4.3058 -3.9738 -3.7205 -3.5288 -3.3761 -3.2416
 -3.1021 -2.9377 -2.7501 -2.5679 -2.4042 -2.0395 -1.7241 -1.4596 -1.2397 -1.0522
 -0.8901 -0.7506 -0.6321 -0.5318 -0.4465 -0.3742 -0.3142 -0.2644 -0.2230 -0.1894
 -0.1582
 -6.9252 -6.1321 -5.4685 -4.9218 -4.4532 -4.0652 -3.7536 -3.5090 -3.3165 -3.1571
 -3.0155 -2.8826 -2.7488 -2.6059 -2.4515 -2.0862 -1.7622 -1.4864 -1.2572 -1.0648
 -0.9010 -0.7616 -0.6442 -0.5463 -0.4644 -0.3962 -0.3405 -0.2955 -0.2592 -0.2299
 -0.2064
 -7.4064 -6.4716 -5.6930 -5.1394 -4.6447 -4.2144 -3.8539 -3.5600 -3.3239 -3.1332
 -2.9733 -2.8309 -2.6988 -2.5729 -2.5015 -2.1425 -1.8120 -1.5249 -1.2841
 [Fe/H] =  0.75 [alpha/Fe] =-0.40 BC value = BX   
 -6.0156 -5.5335 -5.1272 -4.7894 -4.4550 -4.1837 -3.9394 -3.7103 -3.4984 -3.3054
 -3.1306 -2.9671 -2.8147 -2.6725 -2.5397 -2.2448 -1.9787 -1.7354 -1.4992
 -6.1931 -5.6309 -5.1603 -4.7724 -4.4289 -4.1314 -3.8737 -3.6358 -3.4174 -3.2252
 -3.0509 -2.8861 -2.7326 -2.5896 -2.4562 -2.1611 -1.9053 -1.6685 -1.4404 -1.2177
 -6.2840 -5.7656 -5.2588 -4.8155 -4.4491 -4.1201 -3.8435 -3.5996 -3.3712 -3.1790
 -3.0004 -2.8340 -2.6790 -2.5345 -2.3995 -2.1014 -1.8462 -1.6140 -1.3928 -1.1800
 -0.9789
 -6.1345 -5.8306 -5.3748 -4.9116 -4.5010 -4.1520 -3.8462 -3.5879 -3.3578 -3.1518
 -2.9710 -2.8026 -2.6454 -2.4987 -2.3615 -2.0583 -1.8014 -1.5720 -1.3564 -1.1513
 -0.9595 -0.7842
 -5.7228 -5.6381 -5.4051 -5.0101 -4.5916 -4.2132 -3.8842 -3.6034 -3.3612 -3.1446
 -2.9582 -2.7872 -2.6276 -2.4784 -2.3386 -2.0284 -1.7675 -1.5391 -1.3281 -1.1293
 -0.9448 -0.7774 -0.6278 -0.4951
 -5.6563 -5.2682 -5.1621 -5.0050 -4.6733 -4.3005 -3.9538 -3.6490 -3.3876 -3.1613
 -2.9609 -2.7861 -2.6237 -2.4716 -2.3288 -2.0107 -1.7433 -1.5139 -1.3063 -1.1126
 -0.9340 -0.7731 -0.6302 -0.5038 -0.3923 -0.2931 -0.2016 -0.1173 -0.0548 -0.0094
 -5.7744 -5.2426 -4.8719 -4.7145 -4.6220 -4.3625 -4.0383 -3.7227 -3.4413 -3.1970
 -2.9853 -2.7992 -2.6331 -2.4780 -2.3321 -2.0052 -1.7296 -1.4964 -1.2903 -1.1009
 -0.9271 -0.7714 -0.6343 -0.5137 -0.4079 -0.3149 -0.2333 -0.1583 -0.0901 -0.0418
 -0.0095
 -5.9963 -5.3654 -4.8807 -4.5282 -4.3252 -4.2344 -4.0690 -3.8011 -3.5191 -3.2589
 -3.0299 -2.8308 -2.6560 -2.4974 -2.3484 -2.0129 -1.7273 -1.4875 -1.2805 -1.0939
 -0.9240 -0.7725 -0.6401 -0.5247 -0.4241 -0.3364 -0.2611 -0.1952 -0.1356 -0.0829
 -0.0470
 -6.2762 -5.5740 -5.0066 -4.5608 -4.2272 -4.0034 -3.8716 -3.7590 -3.5726 -3.3324
 -3.0936 -2.8792 -2.6919 -2.5264 -2.3741 -2.0306 -1.7350 -1.4862 -1.2753 -1.0892
 -0.9221 -0.7739 -0.6454 -0.5347 -0.4390 -0.3563 -0.2856 -0.2254 -0.1743 -0.1304
 -0.0922
 -6.6324 -5.8575 -5.2173 -4.6987 -4.2860 -3.9699 -3.7405 -3.5789 -3.4555 -3.3263
 -3.1556 -2.9522 -2.7516 -2.5735 -2.4151 -2.0642 -1.7589 -1.4996 -1.2817 -1.0935
 -0.9274 -0.7811 -0.6550 -0.5476 -0.4560 -0.3776 -0.3115 -0.2561 -0.2104 -0.1730
 -0.1423
 -7.1159 -6.2159 -5.4851 -4.9069 -4.4297 -4.0461 -3.7462 -3.5180 -3.3450 -3.2054
 -3.0802 -2.9505 -2.8027 -2.6344 -2.4673 -2.1082 -1.7951 -1.5253 -1.2982 -1.1051
 -0.9377 -0.7918 -0.6668 -0.5612 -0.4725 -0.3979 -0.3357 -0.2847 -0.2438 -0.2113
 -0.1860
 -7.7266 -6.6492 -5.7715 -5.1580 -4.6346 -4.1947 -3.8364 -3.5508 -3.3267 -3.1498
 -3.0038 -2.8745 -2.7526 -2.6304 -2.5307 -2.1626 -1.8436 -1.5633 -1.3248
 [Fe/H] =  1.00 [alpha/Fe] =-0.40 BC value = BX   
 -5.8786 -5.4608 -5.0875 -4.7546 -4.4367 -4.1516 -3.9002 -3.6769 -3.4767 -3.2956
 -3.1298 -2.9764 -2.8326 -2.6961 -2.5657 -2.2740 -2.0118 -1.7649 -1.5341
 -6.0968 -5.5475 -5.0996 -4.7432 -4.4098 -4.1232 -3.8737 -3.6421 -3.4291 -3.2434
 -3.0708 -2.9098 -2.7599 -2.6201 -2.4896 -2.1989 -1.9464 -1.7108 -1.4869 -1.2677
 -6.2811 -5.6926 -5.1937 -4.7758 -4.4259 -4.1081 -3.8422 -3.6041 -3.3823 -3.1950
 -3.0209 -2.8589 -2.7079 -2.5672 -2.4358 -2.1437 -1.8924 -1.6639 -1.4461 -1.2350
 -1.0329
 -6.2307 -5.8182 -5.3255 -4.8631 -4.4741 -4.1342 -3.8394 -3.5898 -3.3652 -3.1651
 -2.9893 -2.8255 -2.6730 -2.5307 -2.3977 -2.1021 -1.8498 -1.6242 -1.4117 -1.2076
 -1.0137 -0.8337
 -5.8884 -5.7607 -5.4173 -4.9794 -4.5555 -4.1937 -3.8711 -3.5994 -3.3648 -3.1523
 -2.9727 -2.8068 -2.6521 -2.5076 -2.3724 -2.0713 -1.8159 -1.5917 -1.3837 -1.1855
 -0.9984 -0.8257 -0.6698 -0.5306
 -5.6535 -5.3906 -5.3137 -5.0397 -4.6573 -4.2729 -3.9363 -3.6371 -3.3857 -3.1661
 -2.9706 -2.8015 -2.6442 -2.4971 -2.3592 -2.0513 -1.7903 -1.5652 -1.3607 -1.1677
 -0.9863 -0.8198 -0.6702 -0.5374 -0.4202 -0.3137 -0.2142 -0.1262 -0.0599 -0.0096
 -5.7365 -5.2355 -4.9485 -4.8806 -4.6849 -4.3617 -4.0183 -3.7067 -3.4312 -3.1955
 -2.9905 -2.8096 -2.6489 -2.4991 -2.3583 -2.0428 -1.7743 -1.5454 -1.3425 -1.1539
 -0.9775 -0.8160 -0.6719 -0.5448 -0.4327 -0.3337 -0.2454 -0.1628 -0.0906 -0.0393
 -0.0030
 -5.9449 -5.3292 -4.8694 -4.5703 -4.4602 -4.3461 -4.0900 -3.7906 -3.5050 -3.2501
 -3.0288 -2.8362 -2.6667 -2.5136 -2.3699 -2.0466 -1.7694 -1.5342 -1.3302 -1.1443
 -0.9721 -0.8148 -0.6752 -0.5530 -0.4462 -0.3525 -0.2706 -0.1983 -0.1323 -0.0754
 -0.0376
 -6.2378 -5.5311 -4.9720 -4.5459 -4.2477 -4.0853 -3.9964 -3.8283 -3.5802 -3.3223
 -3.0850 -2.8791 -2.6977 -2.5376 -2.3910 -2.0603 -1.7743 -1.5307 -1.3226 -1.1375
 -0.9681 -0.8143 -0.6783 -0.5603 -0.4582 -0.3695 -0.2927 -0.2265 -0.1697 -0.1200
 -0.0781
 -6.6452 -5.8339 -5.1793 -4.6660 -4.2687 -3.9770 -3.7837 -3.6648 -3.5536 -3.3827
 -3.1658 -2.9487 -2.7527 -2.5804 -2.4273 -2.0896 -1.7950 -1.5418 -1.3268 -1.1396
 -0.9715 -0.8199 -0.6864 -0.5712 -0.4727 -0.3882 -0.3159 -0.2544 -0.2032 -0.1609
 -0.1261
 -7.2053 -6.2376 -5.4670 -4.8741 -4.3999 -4.0278 -3.7451 -3.5400 -3.3941 -3.2788
 -3.1580 -3.0064 -2.8248 -2.6413 -2.4771 -2.1299 -1.8281 -1.5653 -1.3415 -1.1494
 -0.9803 -0.8296 -0.6973 -0.5838 -0.4877 -0.4064 -0.3380 -0.2807 -0.2337 -0.1965
 -0.1677
 -7.9182 -6.7422 -5.8351 -5.1485 -4.6081 -4.1682 -3.8182 -3.5449 -3.3368 -3.1781
 -3.0502 -2.9352 -2.8173 -2.6863 -2.5404 -2.1812 -1.8736 -1.6012 -1.3667
