 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -4.8770 -4.6316 -4.4001 -4.1688 -3.9387 -3.7159 -3.5084 -3.3170 -3.1361 -2.9583
 -2.7807 -2.6050 -2.4366 -2.2792 -2.1312 -1.7832 -1.4804 -1.2439 -1.0564 -0.9022
 -0.7776 -0.6797 -0.6014 -0.5348 -0.4747 -0.4188 -0.3664 -0.3180 -0.2735 -0.2325
 -0.1947
 -4.7729 -4.5352 -4.3161 -4.1060 -3.8928 -3.6809 -3.4749 -3.2815 -3.1026 -2.9330
 -2.7666 -2.6001 -2.4347 -2.2754 -2.1254 -1.7896 -1.4964 -1.2549 -1.0656 -0.9126
 -0.7887 -0.6919 -0.6171 -0.5567 -0.5043 -0.4562 -0.4112 -0.3684 -0.3280 -0.2905
 -0.2561
 -4.6855 -4.4464 -4.2336 -4.0370 -3.8400 -3.6446 -3.4492 -3.2580 -3.0768 -2.9081
 -2.7483 -2.5923 -2.4366 -2.2820 -2.1321 -1.7956 -1.5097 -1.2694 -1.0764 -0.9228
 -0.7990 -0.7017 -0.6278 -0.5712 -0.5253 -0.4851 -0.4482 -0.4131 -0.3795 -0.3477
 -0.3183
 -4.6093 -4.3652 -4.1527 -3.9592 -3.7765 -3.5969 -3.4167 -3.2370 -3.0602 -2.8902
 -2.7305 -2.5793 -2.4326 -2.2873 -2.1432 -1.8069 -1.5214 -1.2833 -1.0882
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = BX   
 -6.7905 -6.4945 -6.0559 -5.5972 -5.1490 -4.7576 -4.4502 -4.1768 -3.9187 -3.6785
 -3.4508 -3.2374 -3.0404 -2.8589 -2.6902 -2.3045 -1.9405 -1.5875 -1.2647
 -6.1106 -5.9403 -5.7658 -5.4160 -5.0144 -4.6196 -4.2775 -3.9896 -3.7252 -3.4805
 -3.2487 -3.0322 -2.8332 -2.6520 -2.4858 -2.1172 -1.7853 -1.4751 -1.1909 -0.9471
 -5.8159 -5.4652 -5.2635 -5.1497 -4.8921 -4.5397 -4.1864 -3.8750 -3.6031 -3.3544
 -3.1198 -2.8999 -2.6976 -2.5138 -2.3470 -1.9858 -1.6742 -1.3938 -1.1401 -0.9190
 -0.7362
 -5.6637 -5.2739 -4.9602 -4.7324 -4.5939 -4.4304 -4.1410 -3.8254 -3.5378 -3.2831
 -3.0466 -2.8237 -2.6173 -2.4295 -2.2597 -1.8991 -1.5989 -1.3383 -1.1072 -0.9044
 -0.7345 -0.5938
