 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -1.1924 -1.0728 -0.9673 -0.8681 -0.7696 -0.6703 -0.5726 -0.4792 -0.3923 -0.3132
 -0.2438 -0.1845 -0.1340 -0.0898 -0.0500  0.0341  0.1022  0.1534  0.1860  0.1985
  0.1934  0.1785  0.1604  0.1423  0.1252  0.1090  0.0934  0.0782  0.0626  0.0458
  0.0279
 -1.1854 -1.0444 -0.9302 -0.8317 -0.7394 -0.6467 -0.5547 -0.4648 -0.3798 -0.3010
 -0.2299 -0.1679 -0.1154 -0.0707 -0.0314  0.0515  0.1170  0.1655  0.1966  0.2101
  0.2064  0.1905  0.1686  0.1449  0.1219  0.1003  0.0799  0.0609  0.0427  0.0246
  0.0058
 -1.2023 -1.0305 -0.9008 -0.7979 -0.7088 -0.6226 -0.5365 -0.4511 -0.3683 -0.2903
 -0.2188 -0.1547 -0.0990 -0.0521 -0.0124  0.0676  0.1309  0.1778  0.2077
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  R   
 -2.2929 -2.1565 -1.9083 -1.6491 -1.3986 -1.1849 -1.0261 -0.8941 -0.7749 -0.6653
 -0.5622 -0.4649 -0.3737 -0.2888 -0.2103 -0.0451  0.0787  0.1673  0.2251
 -1.9346 -1.8797 -1.8054 -1.6003 -1.3694 -1.1532 -0.9764 -0.8386 -0.7198 -0.6133
 -0.5141 -0.4211 -0.3343 -0.2540 -0.1804 -0.0276  0.0848  0.1638  0.2153  0.2462
 -1.7886 -1.6170 -1.5232 -1.4827 -1.3395 -1.1411 -0.9552 -0.8043 -0.6829 -0.5783
 -0.4826 -0.3935 -0.3107 -0.2344 -0.1646 -0.0204  0.0851  0.1585  0.2058  0.2335
  0.2490
 -1.7147 -1.5232 -1.3573 -1.2349 -1.1734 -1.1002 -0.9491 -0.7906 -0.6592 -0.5530
 -0.4598 -0.3741 -0.2949 -0.2220 -0.1555 -0.0180  0.0827  0.1527  0.1972  0.2225
  0.2360  0.2425
 -1.6611 -1.4756 -1.2995 -1.1414 -1.0099 -0.9143 -0.8557 -0.7721 -0.6493 -0.5348
 -0.4415 -0.3583 -0.2821 -0.2123 -0.1486 -0.0170  0.0799  0.1475  0.1901  0.2133
  0.2245  0.2295  0.2301  0.2276
 -1.6163 -1.4412 -1.2695 -1.1070 -0.9585 -0.8290 -0.7231 -0.6446 -0.5874 -0.5142
 -0.4258 -0.3439 -0.2698 -0.2026 -0.1415 -0.0150  0.0785  0.1442  0.1854  0.2068
  0.2154  0.2176  0.2166  0.2125  0.2064  0.1967  0.1814  0.1592  0.1305  0.0999
 -1.5772 -1.4122 -1.2483 -1.0900 -0.9411 -0.8053 -0.6840 -0.5782 -0.4916 -0.4269
 -0.3746 -0.3187 -0.2553 -0.1914 -0.1325 -0.0110  0.0794  0.1434  0.1836  0.2037
  0.2096  0.2084  0.2044  0.1984  0.1904  0.1814  0.1694  0.1523  0.1281  0.0968
  0.0624
 -1.5422 -1.3857 -1.2303 -1.0780 -0.9326 -0.7966 -0.6721 -0.5601 -0.4614 -0.3772
 -0.3089 -0.2572 -0.2130 -0.1672 -0.1182 -0.0039  0.0832  0.1455  0.1852  0.2046
  0.2083  0.2032  0.1952  0.1859  0.1757  0.1644  0.1527  0.1386  0.1195  0.0935
  0.0594
 -1.5172 -1.3600 -1.2124 -1.0667 -0.9254 -0.7921 -0.6683 -0.5547 -0.4522 -0.3614
