 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -6.4141 -6.1965 -6.3495 -6.2663 -6.0489 -5.6872 -5.2107 -4.9199 -4.6335 -4.3364
 -4.0538 -3.7922 -3.5484 -3.3155 -3.0885 -2.5770 -2.0431 -1.5383 -1.1768
 -6.2339 -5.8642 -5.5740 -5.3764 -5.2534 -5.0950 -4.8488 -4.5576 -4.2645 -3.9767
 -3.7008 -3.4432 -3.2042 -2.9809 -2.7694 -2.2762 -1.8218 -1.4318 -1.1299 -0.8985
 -5.8885 -5.5200 -5.1995 -4.9339 -4.7181 -4.5614 -4.4281 -4.2368 -3.9869 -3.7132
 -3.4449 -3.1910 -2.9569 -2.7414 -2.5420 -2.0962 -1.7002 -1.3559 -1.0845 -0.8759
 -0.7091
 -5.6052 -5.2665 -4.9509 -4.6730 -4.4295 -4.2111 -4.0196 -3.8627 -3.6975 -3.4859
 -3.2456 -3.0048 -2.7765 -2.5663 -2.3745 -1.9610 -1.6096 -1.3061 -1.0579 -0.8672
 -0.7146 -0.5861
 -5.3492 -5.0516 -4.7598 -4.4881 -4.2432 -4.0178 -3.8041 -3.6023 -3.4238 -3.2527
 -3.0687 -2.8625 -2.6514 -2.4489 -2.2619 -1.8678 -1.5466 -1.2718 -1.0452 -0.8683
 -0.7272 -0.6084 -0.5040 -0.4102
 -5.1120 -4.8514 -4.5937 -4.3400 -4.1026 -3.8824 -3.6727 -3.4684 -3.2705 -3.0824
 -2.9081 -2.7373 -2.5578 -2.3737 -2.1948 -1.8105 -1.5074 -1.2526 -1.0419 -0.8753
 -0.7434 -0.6333 -0.5367 -0.4490 -0.3644 -0.2846 -0.2126 -0.1509 -0.1013 -0.0648
 -4.8939 -4.6638 -4.4373 -4.2092 -3.9852 -3.7739 -3.5730 -3.3779 -3.1860 -2.9964
 -2.8138 -2.6421 -2.4787 -2.3171 -2.1554 -1.7828 -1.4871 -1.2460 -1.0449 -0.8849
 -0.7599 -0.6576 -0.5686 -0.4880 -0.4134 -0.3437 -0.2788 -0.2190 -0.1642 -0.1176
 -0.0907
 -4.6950 -4.4901 -4.2880 -4.0852 -3.8810 -3.6799 -3.4876 -3.3033 -3.1229 -2.9430
 -2.7647 -2.5920 -2.4281 -2.2732 -2.1241 -1.7753 -1.4817 -1.2470 -1.0523 -0.8955
 -0.7743 -0.6783 -0.5969 -0.5238 -0.4563 -0.3926 -0.3315 -0.2747 -0.2239 -0.1806
 -0.1457
 -4.5156 -4.3313 -4.1482 -3.9624 -3.7796 -3.5946 -3.4111 -3.2339 -3.0637 -2.8959
 -2.7278 -2.5611 -2.3996 -2.2456 -2.0997 -1.7683 -1.4833 -1.2503 -1.0603 -0.9052
 -0.7851 -0.6929 -0.6182 -0.5531 -0.4933 -0.4369 -0.3834 -0.3329 -0.2867 -0.2447
 -0.2067
 -4.3560 -4.1886 -4.0205 -3.8519 -3.6831 -3.5143 -3.3454 -3.1767 -3.0123 -2.8536
 -2.6973 -2.5410 -2.3859 -2.2359 -2.0925 -1.7665 -1.4899 -1.2596 -1.0715 -0.9176
 -0.7965 -0.7048 -0.6340 -0.5757 -0.5239 -0.4756 -0.4299 -0.3860 -0.3443 -0.3054
 -0.2696
 -4.2128 -4.0559 -3.8991 -3.7426 -3.5866 -3.4310 -3.2762 -3.1216 -2.9662 -2.8132
 -2.6645 -2.5185 -2.3731 -2.2291 -2.0885 -1.7673 -1.4956 -1.2681 -1.0809 -0.9288
 -0.8073 -0.7144 -0.6445 -0.5904 -0.5455 -0.5054 -0.4680 -0.4320 -0.3973 -0.3643
 -0.3335
 -4.0720 -3.9052 -3.7517 -3.6074 -3.4684 -3.3315 -3.1940 -3.0543 -2.9131 -2.7716
 -2.6308 -2.4916 -2.3549 -2.2196 -2.0856 -1.7703 -1.5001 -1.2755 -1.0897
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  B   
 -6.7164 -6.5396 -6.3263 -5.9893 -5.5995 -5.2034 -4.8511 -4.5494 -4.2700 -4.0037
 -3.7493 -3.5120 -3.2925 -3.0875 -2.8931 -2.4463 -2.0049 -1.5804 -1.2319
 -6.1891 -5.8519 -5.6562 -5.5292 -5.2885 -4.9564 -4.6096 -4.2940 -4.0090 -3.7392
 -3.4825 -3.2440 -3.0255 -2.8252 -2.6388 -2.2148 -1.8260 -1.4680 -1.1639 -0.9230
 -5.8856 -5.5089 -5.2065 -4.9833 -4.8486 -4.6913 -4.4219 -4.1141 -3.8228 -3.5523
 -3.2942 -3.0538 -2.8343 -2.6349 -2.4524 -2.0514 -1.7020 -1.3877 -1.1161 -0.8975
 -0.7228
 -5.6681 -5.3005 -4.9774 -4.6983 -4.4683 -4.2927 -4.1523 -3.9579 -3.6942 -3.4278
 -3.1719 -2.9301 -2.7083 -2.5077 -2.3260 -1.9373 -1.6140 -1.3323 -1.0871 -0.8863
 -0.7251 -0.5911
 -5.4900 -5.1485 -4.8300 -4.5478 -4.3000 -4.0744 -3.8723 -3.6976 -3.5361 -3.3299
 -3.0936 -2.8575 -2.6353 -2.4321 -2.2488 -1.8641 -1.5562 -1.2966 -1.0721 -0.8854
 -0.7349 -0.6103 -0.5026 -0.4054
 -5.3427 -5.0219 -4.7207 -4.4400 -4.1888 -3.9613 -3.7456 -3.5382 -3.3471 -3.1780
 -3.0041 -2.8051 -2.5963 -2.3953 -2.2099 -1.8226 -1.5218 -1.2757 -1.0663 -0.8910
 -0.7491 -0.6326 -0.5325 -0.4432 -0.3611 -0.2854 -0.2162 -0.1533 -0.0982 -0.0581
