 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F110W
 -1.6597 -1.2355 -0.5700 -0.3481 -0.8017 -1.3511 -0.7348 -0.1239  0.0843 -0.0038
 -0.0304 -0.0695 -0.3261 -0.6412 -0.8776 -0.9682
 -1.0995 -0.9524 -0.6730 -0.5861 -0.7624 -1.0328 -0.8095 -0.5638 -0.4469 -0.4402
 -0.4350 -0.4623 -0.5923 -0.7531 -0.8781 -0.9611 -1.0264 -1.0901 -1.1974
 -0.7735 -0.7742 -0.7239 -0.7130 -0.7449 -0.8389 -0.8278 -0.7928 -0.7541 -0.7250
 -0.7168 -0.7363 -0.7866 -0.8478 -0.8986 -0.9732 -1.0532 -1.1207 -1.2026 -1.2825
 -1.3464
 -0.6817 -0.7009 -0.7227 -0.7288 -0.7493 -0.7693 -0.7897 -0.8111 -0.8371 -0.8581
 -0.8758 -0.8915 -0.9089 -0.9252 -0.9391 -1.0045 -1.0703 -1.1419 -1.2168 -1.2927
 -1.3683 -1.4432 -1.5166
 -0.6350 -0.6619 -0.6892 -0.7096 -0.7335 -0.7569 -0.7806 -0.8048 -0.8301 -0.8558
 -0.8798 -0.9011 -0.9214 -0.9405 -0.9592 -1.0186 -1.0885 -1.1620 -1.2368 -1.3116
 -1.3858 -1.4591 -1.5312 -1.6028 -1.6745
 -0.6096 -0.6388 -0.6677 -0.6951 -0.7210 -0.7464 -0.7719 -0.7978 -0.8241 -0.8509
 -0.8778 -0.9039 -0.9280 -0.9512 -0.9727 -1.0303 -1.1011 -1.1761 -1.2518 -1.3268
 -1.4007 -1.4734 -1.5449 -1.6153 -1.6848 -1.7543
 -0.6056 -0.6316 -0.6582 -0.6853 -0.7119 -0.7378 -0.7636 -0.7901 -0.8176 -0.8455
 -0.8736 -0.9016 -0.9289 -0.9553 -0.9796 -1.0396 -1.1081 -1.1842 -1.2618 -1.3383
 -1.4130 -1.4861 -1.5577 -1.6277 -1.6964 -1.7643 -1.8321 -1.9019 -1.9750 -2.0487
 -0.6229 -0.6403 -0.6607 -0.6838 -0.7082 -0.7329 -0.7578 -0.7835 -0.8106 -0.8391
 -0.8682 -0.8973 -0.9260 -0.9542 -0.9812 -1.0446 -1.1116 -1.1868 -1.2658 -1.3448
 -1.4217 -1.4963 -1.5688 -1.6395 -1.7083 -1.7756 -1.8417 -1.9084 -1.9778 -2.0506
 -2.1245
 -0.6647 -0.6692 -0.6792 -0.6941 -0.7125 -0.7335 -0.7560 -0.7797 -0.8050 -0.8324
 -0.8613 -0.8912 -0.9211 -0.9505 -0.9789 -1.0459 -1.1127 -1.1858 -1.2648 -1.3456
 -1.4254 -1.5028 -1.5774 -1.6495 -1.7194 -1.7873 -1.8538 -1.9190 -1.9848 -2.0534
 -2.1261
 -0.7246 -0.7172 -0.7162 -0.7209 -0.7299 -0.7437 -0.7610 -0.7809 -0.8032 -0.8279
 -0.8552 -0.8846 -0.9150 -0.9454 -0.9749 -1.0449 -1.1124 -1.1838 -1.2614 -1.3427
 -1.4248 -1.5054 -1.5832 -1.6580 -1.7300 -1.7994 -1.8669 -1.9328 -1.9979 -2.0639
 -2.1311
 -0.7985 -0.7819 -0.7700 -0.7623 -0.7606 -0.7641 -0.7731 -0.7869 -0.8048 -0.8259
 -0.8509 -0.8788 -0.9083 -0.9383 -0.9679 -1.0401 -1.1103 -1.1807 -1.2562 -1.3361
 -1.4186 -1.5014 -1.5824 -1.6605 -1.7355 -1.8073 -1.8767 -1.9439 -2.0095 -2.0742
 -2.1393
 -0.8981 -0.8633 -0.8372 -0.8189 -0.8058 -0.7983 -0.7972 -0.8021 -0.8128 -0.8293
 -0.8505 -0.8751 -0.9022 -0.9309 -0.9604 -1.0351 -1.1077 -1.1775 -1.2513 -1.3295
 -1.4108 -1.4938 -1.5768 -1.6580 -1.7363 -1.8114 -1.8835 -1.9529 -2.0201 -2.0857
 -2.1504
 -1.0235 -0.9615 -0.9178 -0.8907 -0.8655 -0.8463 -0.8343 -0.8292 -0.8308 -0.8389
 -0.8529 -0.8724 -0.8970 -0.9232 -0.9523 -1.0300 -1.1046 -1.1742 -1.2467
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F110W
 -0.6578 -0.6552 -0.6638 -0.6900 -0.7408 -0.8300 -0.8067 -0.8007 -0.8059 -0.8071
 -0.7854 -0.7658 -0.7904 -0.8412 -0.8799 -0.9194
 -0.6886 -0.6936 -0.7046 -0.7262 -0.7637 -0.8257 -0.8332 -0.8432 -0.8547 -0.8630
