 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F098M
 -0.7243 -0.7402 -0.7548 -0.7706 -0.7852 -0.8170 -0.8516 -0.8990 -0.9578 -1.0193
 -1.0790 -1.1368 -1.1930 -1.2474 -1.3000 -1.3509 -1.4007 -1.4500 -1.5025 -1.5603
 -1.6206
 -0.4459 -0.4633 -0.4929 -0.5333 -0.5684 -0.5983 -0.6236 -0.6456 -0.6656 -0.6843
 -0.7023 -0.7196 -0.7358 -0.7513 -0.7672 -0.8031 -0.8430 -0.8918 -0.9521 -1.0175
 -1.0796 -1.1438 -1.2031 -1.2602 -1.3152 -1.3679 -1.4191 -1.4709 -1.5236 -1.5771
 -1.6312
 -0.3314 -0.3990 -0.4460 -0.4745 -0.5141 -0.5501 -0.5817 -0.6095 -0.6342 -0.6567
 -0.6775 -0.6973 -0.7159 -0.7336 -0.7511 -0.7899 -0.8322 -0.8823 -0.9426 -1.0099
 -1.0787 -1.1455 -1.2093 -1.2701 -1.3283 -1.3839 -1.4375 -1.4892 -1.5399 -1.5910
 -1.6450
 -0.2823 -0.3405 -0.3841 -0.4148 -0.4560 -0.4950 -0.5316 -0.5649 -0.5952 -0.6227
 -0.6478 -0.6712 -0.6930 -0.7136 -0.7335 -0.7775 -0.8212 -0.8717 -0.9309 -0.9975
 -1.0681 -1.1390 -1.2076 -1.2731 -1.3354 -1.3947 -1.4515 -1.5060 -1.5587 -1.6104
 -1.6620
 -0.2417 -0.2878 -0.3305 -0.3701 -0.4104 -0.4508 -0.4895 -0.5150 -0.5500 -0.5826
 -0.6127 -0.6407 -0.6666 -0.6908 -0.7136 -0.7653 -0.8109 -0.8617 -0.9199 -0.9850
 -1.0550 -1.1273 -1.1994 -1.2694 -1.3364 -1.4001 -1.4609 -1.5189 -1.5747 -1.6287
 -1.6819
 -0.2095 -0.2409 -0.2850 -0.3404 -0.3773 -0.4175 -0.4338 -0.4722 -0.5093 -0.5384
 -0.5729 -0.6056 -0.6361 -0.6646 -0.6914 -0.7533 -0.8013 -0.8523 -0.9096
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F098M
 -0.3841 -0.4708 -0.6118 -0.7059 -0.7184 -0.7206 -0.7802 -0.8710 -0.9200 -0.9054
 -0.8683 -0.8214 -0.7837 -0.7590 -0.7371 -0.7078
 -0.4700 -0.5138 -0.5910 -0.6538 -0.6878 -0.7196 -0.7720 -0.8323 -0.8710 -0.8787
 -0.8693 -0.8468 -0.8201 -0.7961 -0.7754 -0.7489 -0.7624 -0.8024 -0.8470
 -0.5357 -0.5523 -0.5864 -0.6251 -0.6670 -0.7123 -0.7579 -0.7994 -0.8323 -0.8543
 -0.8639 -0.8602 -0.8449 -0.8246 -0.8063 -0.7833 -0.7952 -0.8332 -0.8809 -0.9340
 -0.9917
 -0.5812 -0.5863 -0.5980 -0.6198 -0.6560 -0.6987 -0.7379 -0.7723 -0.8039 -0.8322
 -0.8521 -0.8616 -0.8581 -0.8445 -0.8298 -0.8110 -0.8222 -0.8586 -0.9077 -0.9609
 -1.0150 -1.0689 -1.1221
 -0.6065 -0.6158 -0.6258 -0.6379 -0.6548 -0.6788 -0.7120 -0.7510 -0.7858 -0.8124
 -0.8339 -0.8510 -0.8597 -0.8558 -0.8459 -0.8320 -0.8434 -0.8786 -0.9274 -0.9805
 -1.0345 -1.0881 -1.1408 -1.1919 -1.2432
 -0.6057 -0.6235 -0.6384 -0.6511 -0.6637 -0.6787 -0.6977 -0.7211 -0.7498 -0.7808
 -0.8074 -0.8286 -0.8467 -0.8556 -0.8533 -0.8459 -0.8583 -0.8928 -0.9421 -0.9960
 -1.0506 -1.1048 -1.1580 -1.2101 -1.2611 -1.3115
 -0.5803 -0.6084 -0.6316 -0.6497 -0.6643 -0.6775 -0.6915 -0.7077 -0.7265 -0.7475
 -0.7704 -0.7931 -0.8143 -0.8340 -0.8452 -0.8520 -0.8666 -0.9007 -0.9510 -1.0071
 -1.0635 -1.1191 -1.1735 -1.2267 -1.2783 -1.3287 -1.3787 -1.4312 -1.4880 -1.5465
 -0.5342 -0.5726 -0.6052 -0.6313 -0.6515 -0.6676 -0.6818 -0.6958 -0.7109 -0.7273
 -0.7445 -0.7621 -0.7800 -0.8002 -0.8179 -0.8462 -0.8679 -0.9024 -0.9533 -1.0125
 -1.0721 -1.1303 -1.1868 -1.2417 -1.2948 -1.3462 -1.3967 -1.4466 -1.4995 -1.5575
 -1.6179
 -0.4737 -0.5196 -0.5607 -0.5957 -0.6236 -0.6457 -0.6636 -0.6791 -0.6940 -0.7092
 -0.7248 -0.7405 -0.7561 -0.7722 -0.7901 -0.8271 -0.8606 -0.8983 -0.9495 -1.0110
 -1.0749 -1.1370 -1.1966 -1.2541 -1.3095 -1.3629 -1.4146 -1.4653 -1.5161 -1.5693
 -1.6287
 -0.4071 -0.4566 -0.5032 -0.5452 -0.5808 -0.6103 -0.6342 -0.6541 -0.6718 -0.6885
 -0.7048 -0.7210 -0.7367 -0.7521 -0.7687 -0.8070 -0.8466 -0.8896 -0.9417 -1.0045
