 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F475W
  0.3606
 -2.9700 -2.8295 -2.6877 -2.5449 -2.4032 -2.2601 -2.1145 -1.9685 -1.8249 -1.6861
 -1.5545 -1.4310 -1.3142 -1.2031 -1.0954 -0.8455 -0.6337 -0.4632 -0.3290 -0.2295
 -0.1493 -0.0860 -0.0273  0.0273  0.0795  0.1298  0.1778  0.2210  0.2591  0.2925
  0.3218
 -2.7645 -2.6480 -2.5275 -2.4036 -2.2828 -2.1608 -2.0351 -1.9058 -1.7743 -1.6434
 -1.5158 -1.3941 -1.2793 -1.1710 -1.0674 -0.8309 -0.6290 -0.4639 -0.3323 -0.2316
 -0.1559 -0.0960 -0.0448  0.0022  0.0471  0.0909  0.1336  0.1747  0.2134  0.2482
  0.2761
 -2.5799 -2.4773 -2.3712 -2.2621 -2.1579 -2.0526 -1.9457 -1.8346 -1.7192 -1.6010
 -1.4822 -1.3657 -1.2538 -1.1481 -1.0478 -0.8200 -0.6269 -0.4660 -0.3368 -0.2354
 -0.1588 -0.1011 -0.0552 -0.0155  0.0214  0.0576  0.0933  0.1285  0.1627  0.1949
  0.2252
 -2.4112 -2.3175 -2.2242 -2.1316 -2.0429 -1.9556 -1.8655 -1.7487 -1.6504 -1.5477
 -1.4418 -1.3348 -1.2290 -1.1270 -1.0298 -0.8097 -0.6230 -0.4669 -0.3396 -0.2388
 -0.1612 -0.1029 -0.0592 -0.0247  0.0050  0.0332  0.0608  0.0887  0.1165  0.1438
  0.1694
 -2.2586 -2.1684 -2.0865 -2.0120 -1.9380 -1.8699 -1.7536 -1.6732 -1.5886 -1.4779
 -1.3871 -1.2932 -1.1977 -1.1027 -1.0134 -0.8000 -0.6173 -0.4666 -0.3407
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F475W
 -4.8484 -4.6990 -4.6445 -4.4454 -4.0782 -3.7658 -3.6787 -3.6914 -3.6048 -3.3757
 -3.1047 -2.8271 -2.5758 -2.3525 -2.1267 -1.5861
 -4.4335 -4.1746 -4.0077 -3.8104 -3.5683 -3.3633 -3.2535 -3.1845 -3.0757 -2.9051
 -2.7044 -2.4842 -2.2614 -2.0501 -1.8466 -1.3810 -0.9764 -0.6513 -0.3880
 -4.1203 -3.7896 -3.5446 -3.3401 -3.1674 -3.0233 -2.8993 -2.7827 -2.6607 -2.5252
