 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F390M
  0.5592
 -6.7907 -6.1820 -5.6828 -5.2823 -4.8984 -4.5305 -4.1781 -3.8435 -3.5288 -3.2368
 -2.9710 -2.7325 -2.5177 -2.3201 -2.1280 -1.6785 -1.2754 -0.9282 -0.6569 -0.4152
 -0.2603 -0.1241 -0.0204  0.0687  0.1476  0.2188  0.2829  0.3391  0.3879  0.4299
  0.4657
 -6.6396 -6.2508 -5.8216 -5.3570 -4.9759 -4.6102 -4.2575 -3.9189 -3.5949 -3.2886
 -3.0032 -2.7428 -2.5086 -2.2975 -2.0997 -1.6610 -1.2740 -0.9404 -0.6598 -0.4374
 -0.2708 -0.1462 -0.0491  0.0313  0.1011  0.1634  0.2194  0.2697  0.3145  0.3533
  0.3837
 -6.7538 -6.3568 -5.9291 -5.4746 -5.0945 -4.7297 -4.3787 -4.0387 -3.7102 -3.3946
 -3.0948 -2.8147 -2.5584 -2.3272 -2.1169 -1.6653 -1.2876 -0.9603 -0.6863 -0.4648
 -0.2943 -0.1670 -0.0719  0.0019  0.0630  0.1162  0.1633  0.2054  0.2427  0.2753
  0.3053
 -6.9755 -6.5001 -6.0608 -5.6546 -5.2672 -4.8981 -4.5403 -4.1827 -3.8530 -3.5326
 -3.2233 -2.9286 -2.6523 -2.3989 -2.1694 -1.6872 -1.3061 -0.9834 -0.7113 -0.4901
 -0.3172 -0.1857 -0.0884 -0.0169  0.0375  0.0816  0.1192  0.1522  0.1814  0.2067
  0.2278
 -7.3048 -6.6807 -6.2167 -5.8969 -5.4940 -5.1154 -4.6900 -4.3495 -4.0163 -3.6850
 -3.3718 -3.0681 -2.7779 -2.5054 -2.2572 -1.7267 -1.3295 -1.0097 -0.7348
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F390M
 -6.9119 -6.9898 -7.1324 -7.0922 -6.8020 -6.4830 -6.3811 -6.4502 -6.4496 -6.2421
 -5.9382 -5.5929 -5.2482 -4.9084 -4.5450 -3.5753
 -6.5118 -6.4040 -6.3615 -6.2643 -6.0810 -5.8940 -5.7921 -5.7508 -5.6713 -5.4923
 -5.2447 -4.9446 -4.6153 -4.2816 -3.9445 -3.0893 -2.2410 -1.5398 -0.9672
 -6.2371 -5.9891 -5.8034 -5.6432 -5.5003 -5.3740 -5.2599 -5.1457 -5.0136 -4.8478
 -4.6365 -4.3741 -4.0680 -3.7483 -3.4361 -2.6806 -1.9547 -1.3401 -0.8610 -0.5038
 -0.2527
 -6.0878 -5.7451 -5.4581 -5.2289 -5.0599 -4.9230 -4.7845 -4.6349 -4.4765 -4.3086
 -4.1136 -3.8814 -3.6063 -3.3085 -3.0198 -2.3492 -1.7266 -1.1876 -0.7755 -0.4658
 -0.2230 -0.0245  0.1441
 -6.0639 -5.6720 -5.3256 -5.0214 -4.7598 -4.5410 -4.3659 -4.2184 -4.0600 -3.8747
 -3.6760 -3.4665 -3.2302 -2.9622 -2.6956 -2.0951 -1.5567 -1.0823 -0.7106 -0.4315
 -0.2132 -0.0343  0.1174  0.2479  0.3646
 -6.1241 -5.6945 -5.3089 -4.9614 -4.6491 -4.3711 -4.1266 -3.9136 -3.7299 -3.5596
 -3.3721 -3.1644 -2.9503 -2.7162 -2.4696 -1.9184 -1.4416 -1.0182 -0.6758 -0.4179
 -0.2180 -0.0547  0.0840  0.2047  0.3116  0.4076
 -6.2602 -5.7985 -5.3785 -4.9962 -4.6485 -4.3320 -4.0452 -3.7867 -3.5547 -3.3462
 -3.1554 -2.9672 -2.7700 -2.5616 -2.3346 -1.8114 -1.3743 -0.9881 -0.6657 -0.4200
 -0.2326 -0.0815  0.0462  0.1570  0.2550  0.3430  0.4221  0.4955  0.5633  0.6166
 -6.4573 -5.9728 -5.5246 -5.1109 -4.7308 -4.3831 -4.0650 -3.7733 -3.5075 -3.2656
 -3.0452 -2.8424 -2.6505 -2.4633 -2.2622 -1.7629 -1.3454 -0.9845 -0.6747 -0.4339
 -0.2530 -0.1108  0.0072  0.1090  0.1986  0.2788  0.3507  0.4160  0.4738  0.5225
  0.5611
 -6.7004 -6.1984 -5.7303 -5.2923 -4.8840 -4.5070 -4.1601 -3.8409 -3.5470 -3.2775
 -3.0306 -2.8046 -2.5977 -2.4056 -2.2179 -1.7535 -1.3432 -0.9979 -0.6978 -0.4565
 -0.2763 -0.1393 -0.0292  0.0639  0.1451  0.2173  0.2820  0.3400  0.3918  0.4358
  0.4673
 -6.9680 -6.4544 -5.9710 -5.5169 -5.0877 -4.6855 -4.3120 -3.9668 -3.6483 -3.3544
 -3.0831 -2.8339 -2.6060 -2.3976 -2.2027 -1.7535 -1.3556 -1.0157 -0.7248 -0.4830
 -0.2996 -0.1635 -0.0590  0.0260  0.0985  0.1622  0.2188  0.2696  0.3149  0.3542
  0.3852
 -7.2549 -6.7450 -6.2472 -5.7789 -5.3350 -4.9145 -4.5193 -4.1504 -3.8078 -3.4907
 -3.1970 -2.9253 -2.6749 -2.4460 -2.2351 -1.7712 -1.3808 -1.0426 -0.7559 -0.5155
 -0.3272 -0.1874 -0.0841 -0.0048  0.0596  0.1146  0.1627  0.2054  0.2433  0.2764
  0.3068
 -7.5612 -7.0395 -6.5384 -6.0588 -5.6027 -5.1713 -4.7618 -4.3745 -4.0109 -3.6716
 -3.3559 -3.0628 -2.7909 -2.5398 -2.3082 -1.8089 -1.4116 -1.0738 -0.7867 -0.5465
 -0.3548 -0.2100 -0.1036 -0.0259  0.0326  0.0792  0.1182  0.1521  0.1819  0.2077
  0.2293
 -7.8868 -7.3379 -6.8178 -6.3375 -5.8760 -5.4375 -5.0207 -4.6231 -4.2448 -3.8879
 -3.5525 -3.2387 -2.9457 -2.6733 -2.4220 -1.8666 -1.4480 -1.1093 -0.8172
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F390M
 -6.3893 -6.3760 -6.3821 -6.3854 -6.3650 -6.3364 -6.2950 -6.2305 -6.1280 -5.9691
 -5.7481 -5.4698 -5.1591 -4.8433 -4.5359 -3.6988
 -5.8672 -5.7986 -5.7609 -5.7394 -5.7215 -5.6956 -5.6514 -5.5805 -5.4732 -5.3175
 -5.1057 -4.8366 -4.5280 -4.2142 -3.9120 -3.1627 -2.4085 -1.7051 -1.1453
 -5.5193 -5.3785 -5.2829 -5.2211 -5.1765 -5.1318 -5.0744 -4.9941 -4.8826 -4.7320
 -4.5345 -4.2853 -3.9930 -3.6897 -3.3985 -2.7229 -2.0776 -1.4790 -0.9900 -0.6143
 -0.3296
 -5.3456 -5.1157 -4.9481 -4.8305 -4.7299 -4.6451 -4.5640 -4.4713 -4.3562 -4.2126
 -4.0345 -3.8159 -3.5541 -3.2698 -2.9954 -2.3794 -1.8206 -1.3066 -0.8759 -0.5415
 -0.2767 -0.0687  0.1190
 -5.3370 -5.0300 -4.7873 -4.6001 -4.4511 -4.3234 -4.2035 -4.0803 -3.9476 -3.8020
 -3.6358 -3.4442 -3.2195 -2.9613 -2.7027 -2.1322 -1.6375 -1.1879 -0.8030 -0.4993
 -0.2627 -0.0713  0.0893  0.2267  0.3491
 -5.4722 -5.1179 -4.8101 -4.5558 -4.3448 -4.1637 -4.0018 -3.8498 -3.7001 -3.5437
 -3.3692 -3.1840 -2.9843 -2.7579 -2.5137 -1.9710 -1.5184 -1.1149 -0.7638 -0.4815
 -0.2620 -0.0862  0.0608  0.1876  0.2992  0.3980
 -5.7082 -5.2993 -4.9408 -4.6249 -4.3461 -4.1008 -3.8847 -3.6935 -3.5232 -3.3708
 -3.2156 -3.0374 -2.8444 -2.6383 -2.4122 -1.8813 -1.4517 -1.0785 -0.7512 -0.4826
 -0.2741 -0.1094  0.0266  0.1432  0.2456  0.3366  0.4177  0.4927  0.5624  0.6179
 -6.0593 -5.5856 -5.1690 -4.8008 -4.4732 -4.1808 -3.9192 -3.6843 -3.4720 -3.2777
 -3.0988 -2.9310 -2.7605 -2.5768 -2.3715 -1.8491 -1.4255 -1.0700 -0.7585 -0.4980
 -0.2948 -0.1376 -0.0103  0.0975  0.1914  0.2745  0.3482  0.4144  0.4732  0.5239
  0.5641
 -6.5076 -5.9768 -5.4986 -5.0706 -4.6882 -4.3463 -4.0397 -3.7634 -3.5130 -3.2847
 -3.0736 -2.8777 -2.6956 -2.5241 -2.3467 -1.8591 -1.4304 -1.0813 -0.7799 -0.5235
 -0.3211 -0.1673 -0.0465  0.0534  0.1391  0.2144  0.2808  0.3397  0.3919  0.4366
  0.4697
 -7.0186 -6.4305 -5.9031 -5.4206 -4.9824 -4.5866 -4.2309 -3.9113 -3.6226 -3.3601
 -3.1191 -2.8963 -2.6898 -2.4993 -2.3211 -1.8730 -1.4544 -1.1029 -0.8068 -0.5529
 -0.3486 -0.1945 -0.0778  0.0151  0.0929  0.1600  0.2185  0.2702  0.3157  0.3553
  0.3869
 -7.5443 -6.9321 -6.3640 -5.8376 -5.3508 -4.9039 -4.4972 -4.1304 -3.8003 -3.5023
 -3.2305 -2.9807 -2.7497 -2.5362 -2.3390 -1.8899 -1.4905 -1.1379 -0.8421 -0.5896
 -0.3819 -0.2233 -0.1064 -0.0178  0.0529  0.1120  0.1625  0.2063  0.2447  0.2779
  0.3083
 -8.0419 -7.4326 -6.8417 -6.2850 -5.7619 -5.2734 -4.8227 -4.4098 -4.0365 -3.6995
 -3.3948 -3.1170 -2.8614 -2.6249 -2.4056 -1.9220 -1.5250 -1.1777 -0.8791 -0.6268
 -0.4163 -0.2518 -0.1305 -0.0424  0.0234  0.0750  0.1171  0.1528  0.1834  0.2095
  0.2313
 -8.5028 -7.8936 -7.3041 -6.7344 -6.1889 -5.6723 -5.1881 -4.7384 -4.3252 -3.9491
 -3.6085 -3.2998 -3.0179 -2.7583 -2.5209 -1.9693 -1.5579 -1.2223 -0.9178
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F390M
 -6.1820 -6.1773 -6.1826 -6.1925 -6.2015 -6.1975 -6.1715 -6.1171 -6.0251 -5.8834
 -5.6872 -5.4420 -5.1629 -4.8703 -4.5763 -3.8578
 -5.5320 -5.5443 -5.5614 -5.5764 -5.5841 -5.5767 -5.5471 -5.4890 -5.3946 -5.2547
 -5.0620 -4.8165 -4.5339 -4.2414 -3.9553 -3.2830 -2.6250 -1.9620 -1.3718
 -5.0414 -5.0291 -5.0306 -5.0353 -5.0345 -5.0205 -4.9863 -4.9256 -4.8321 -4.6989
 -4.5184 -4.2870 -4.0154 -3.7310 -3.4553 -2.8265 -2.2444 -1.6824 -1.1774 -0.7669
 -0.4563
 -4.7102 -4.6317 -4.5902 -4.5692 -4.5528 -4.5290 -4.4891 -4.4269 -4.3376 -4.2160
 -4.0564 -3.8535 -3.6074 -3.3391 -3.0763 -2.4883 -1.9678 -1.4800 -1.0406 -0.6751
 -0.3845 -0.1505  0.0437
 -4.6586 -4.4806 -4.3418 -4.2546 -4.1938 -4.1473 -4.0969 -4.0311 -3.9446 -3.8333
 -3.6930 -3.5190 -3.3061 -3.0604 -2.8100 -2.2522 -1.7758 -1.3412 -0.9495 -0.6183
 -0.3528 -0.1396  0.0366  0.1859  0.3177
 -4.8166 -4.5450 -4.3273 -4.1561 -4.0243 -3.9263 -3.8513 -3.7729 -3.6796 -3.5678
 -3.4356 -3.2805 -3.0971 -2.8790 -2.6415 -2.1005 -1.6514 -1.2536 -0.8956 -0.5897
 -0.3419 -0.1444  0.0173  0.1541  0.2735  0.3798
 -5.0799 -4.7479 -4.4614 -4.2181 -4.0165 -3.8510 -3.7201 -3.6191 -3.5270 -3.4221
 -3.2907 -3.1371 -2.9661 -2.7732 -2.5521 -2.0167 -1.5797 -1.2055 -0.8711 -0.5831
 -0.3478 -0.1609 -0.0101  0.1161  0.2253  0.3216  0.4071  0.4858  0.5589  0.6182
 -5.4423 -5.0411 -4.6950 -4.3952 -4.1362 -3.9149 -3.7270 -3.5662 -3.4260 -3.3024
 -3.1867 -3.0575 -2.9006 -2.7208 -2.5198 -1.9872 -1.5489 -1.1867 -0.8688 -0.5933
 -0.3661 -0.1861 -0.0430  0.0747  0.1753  0.2633  0.3407  0.4096  0.4708  0.5248
  0.5687
 -5.9467 -5.4529 -5.0290 -4.6639 -4.3472 -4.0713 -3.8305 -3.6203 -3.4349 -3.2677
 -3.1135 -2.9699 -2.8316 -2.6824 -2.5092 -2.0021 -1.5510 -1.1904 -0.8823 -0.6155
 -0.4064 -0.2165 -0.0784  0.0326  0.1257  0.2059  0.2759  0.3381  0.3921  0.4374
  0.4735
 -6.5999 -6.0026 -5.4841 -5.0370 -4.6493 -4.3109 -4.0139 -3.7523 -3.5203 -3.3123
 -3.1225 -2.9460 -2.7805 -2.6256 -2.4725 -2.0302 -1.5776 -1.2091 -0.9046 -0.6431
 -0.4234 -0.2475 -0.1119 -0.0060  0.0802  0.1529  0.2154  0.2697  0.3167  0.3571
  0.3898
 -7.3410 -6.6678 -6.0642 -5.5326 -5.0633 -4.6505 -4.2873 -3.9677 -3.6844 -3.4318
 -3.2039 -2.9954 -2.8018 -2.6213 -2.4525 -2.0430 -1.6273 -1.2497 -0.9412 -0.6810
 -0.4611 -0.2828 -0.1456 -0.0420  0.0389  0.1048  0.1598  0.2067  0.2468  0.2807
  0.3112
 -8.0939 -7.3804 -6.7210 -6.1150 -5.5718 -5.0841 -4.6496 -4.2640 -3.9226 -3.6200
