 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F160W
 -1.3377 -1.3527 -1.3710 -1.3910 -1.4144 -1.4940 -1.5948 -1.7018 -1.8114 -1.9260
 -2.0448 -2.1645 -2.2828 -2.3993 -2.5137 -2.6261 -2.7369 -2.8458 -2.9535 -3.0598
 -3.1620
 -1.3833 -1.3844 -1.3782 -1.3654 -1.3571 -1.3527 -1.3514 -1.3525 -1.3560 -1.3622
 -1.3721 -1.3869 -1.4063 -1.4293 -1.4541 -1.5285 -1.6205 -1.7227 -1.8238 -1.9373
 -2.0494 -2.1675 -2.2839 -2.3986 -2.5112 -2.6217 -2.7305 -2.8377 -2.9433 -3.0473
 -3.1499
 -1.5187 -1.4700 -1.4434 -1.4368 -1.4211 -1.4102 -1.4034 -1.4003 -1.4003 -1.4034
 -1.4100 -1.4214 -1.4380 -1.4597 -1.4849 -1.5598 -1.6461 -1.7436 -1.8463 -1.9518
 -2.0607 -2.1732 -2.2873 -2.4006 -2.5119 -2.6210 -2.7281 -2.8333 -2.9367 -3.0387
 -3.1396
 -1.6298 -1.5732 -1.5396 -1.5266 -1.5028 -1.4843 -1.4706 -1.4612 -1.4558 -1.4540
 -1.4557 -1.4617 -1.4730 -1.4900 -1.5121 -1.5850 -1.6688 -1.7615 -1.8616 -1.9648
 -2.0703 -2.1786 -2.2891 -2.4003 -2.5102 -2.6180 -2.7236 -2.8270 -2.9285 -3.0284
 -3.1288
 -1.7459 -1.6943 -1.6513 -1.6161 -1.5840 -1.5568 -1.5346 -1.5372 -1.5247 -1.5163
 -1.5119 -1.5116 -1.5162 -1.5264 -1.5427 -1.6064 -1.6898 -1.7784 -1.8751 -1.9766
 -2.0803 -2.1857 -2.2927 -2.4009 -2.5090 -2.6156 -2.7201 -2.8222 -2.9221 -3.0202
 -3.1167
 -1.8669 -1.8330 -1.7784 -1.7054 -1.6647 -1.6278 -1.6336 -1.6087 -1.5881 -1.5922
 -1.5803 -1.5726 -1.5697 -1.5721 -1.5767 -1.6240 -1.7091 -1.7943 -1.8868
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F160W
 -1.3231 -1.1294 -0.8862 -0.8163 -0.9461 -1.0771 -1.0666 -0.9860 -0.9458 -0.9677
 -1.0085 -1.0486 -1.0860 -1.1248 -1.1709 -1.3016
 -1.3141 -1.2158 -1.0828 -1.0209 -1.0402 -1.0647 -1.0434 -1.0048 -0.9894 -1.0046
 -1.0341 -1.0696 -1.1084 -1.1502 -1.1966 -1.3240 -1.4612 -1.6014 -1.7404
 -1.3011 -1.2679 -1.2130 -1.1652 -1.1240 -1.0871 -1.0576 -1.0394 -1.0347 -1.0432
 -1.0637 -1.0942 -1.1321 -1.1749 -1.2212 -1.3459 -1.4782 -1.6143 -1.7510 -1.8874
 -2.0232
 -1.2841 -1.2857 -1.2768 -1.2492 -1.1975 -1.1443 -1.1092 -1.0898 -1.0817 -1.0835
 -1.0973 -1.1224 -1.1571 -1.1989 -1.2447 -1.3673 -1.4956 -1.6274 -1.7610 -1.8941
 -2.0258 -2.1559 -2.2843
 -1.2631 -1.2692 -1.2742 -1.2729 -1.2607 -1.2363 -1.1982 -1.1560 -1.1304 -1.1255
 -1.1349 -1.1542 -1.1834 -1.2222 -1.2671 -1.3882 -1.5134 -1.6407 -1.7704 -1.9004
 -2.0291 -2.1562 -2.2815 -2.4051 -2.5270
 -1.2511 -1.2553 -1.2620 -1.2684 -1.2709 -1.2673 -1.2567 -1.2409 -1.2190 -1.1969
 -1.1884 -1.1966 -1.2164 -1.2478 -1.2893 -1.4083 -1.5316 -1.6550 -1.7800 -1.9067
 -2.0330 -2.1576 -2.2802 -2.4011 -2.5202 -2.6376
 -1.2516 -1.2517 -1.2556 -1.2620 -1.2692 -1.2750 -1.2775 -1.2766 -1.2744 -1.2710
 -1.2655 -1.2632 -1.2709 -1.2890 -1.3189 -1.4282 -1.5497 -1.6704 -1.7909 -1.9134
 -2.0369 -2.1594 -2.2800 -2.3986 -2.5152 -2.6301 -2.7432 -2.8549 -2.9648 -3.0701
 -1.2676 -1.2624 -1.2617 -1.2646 -1.2704 -1.2782 -1.2867 -1.2942 -1.3010 -1.3083
 -1.3164 -1.3247 -1.3337 -1.3460 -1.3659 -1.4528 -1.5679 -1.6865 -1.8034 -1.9213
 -2.0413 -2.1615 -2.2802 -2.3969 -2.5116 -2.6243 -2.7353 -2.8444 -2.9522 -3.0585
 -3.1607
 -1.3027 -1.2908 -1.2842 -1.2819 -1.2835 -1.2888 -1.2970 -1.3072 -1.3184 -1.3308
 -1.3447 -1.3604 -1.3777 -1.3957 -1.4150 -1.4871 -1.5887 -1.7028 -1.8171 -1.9310
 -2.0467 -2.1641 -2.2809 -2.3960 -2.5088 -2.6197 -2.7287 -2.8359 -2.9414 -3.0456
 -3.1486
 -1.3573 -1.3389 -1.3255 -1.3171 -1.3130 -1.3132 -1.3176 -1.3258 -1.3371 -1.3508
 -1.3667 -1.3850 -1.4058 -1.4286 -1.4523 -1.5230 -1.6146 -1.7213 -1.8326 -1.9437
 -2.0555 -2.1694 -2.2841 -2.3978 -2.5094 -2.6188 -2.7261 -2.8315 -2.9352 -3.0374
 -3.1384
 -1.4304 -1.4080 -1.3873 -1.3719 -1.3610 -1.3549 -1.3535 -1.3568 -1.3644 -1.3758
 -1.3904 -1.4081 -1.4287 -1.4523 -1.4781 -1.5524 -1.6390 -1.7389 -1.8463 -1.9551
 -2.0640 -2.1741 -2.2855 -2.3972 -2.5075 -2.6156 -2.7214 -2.8251 -2.9269 -3.0270
 -3.1276
 -1.5216 -1.4938 -1.4684 -1.4463 -1.4282 -1.4152 -1.4071 -1.4038 -1.4055 -1.4118
 -1.4224 -1.4368 -1.4547 -1.4761 -1.5008 -1.5749 -1.6616 -1.7562 -1.8592 -1.9658
 -2.0729 -2.1804 -2.2886 -2.3976 -2.5061 -2.6130 -2.7178 -2.8202 -2.9203 -3.0186
 -3.1153
 -1.6310 -1.5963 -1.5635 -1.5374 -1.5135 -1.4938 -1.4789 -1.4686 -1.4630 -1.4626
 -1.4669 -1.4758 -1.4889 -1.5059 -1.5204 -1.5905 -1.6824 -1.7732 -1.8713
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F160W
 -1.1401 -1.0940 -1.0456 -0.9876 -0.9572 -0.9390 -0.9327 -0.9398 -0.9575 -0.9827
 -1.0142 -1.0491 -1.0877 -1.1297 -1.1773 -1.3031
 -1.2211 -1.1622 -1.1062 -1.0568 -1.0179 -0.9909 -0.9769 -0.9760 -0.9869 -1.0075
 -1.0363 -1.0713 -1.1106 -1.1533 -1.1998 -1.3247 -1.4593 -1.5987 -1.7396
 -1.2710 -1.2226 -1.1709 -1.1213 -1.0787 -1.0464 -1.0260 -1.0179 -1.0217 -1.0363
 -1.0605 -1.0931 -1.1315 -1.1742 -1.2201 -1.3442 -1.4761 -1.6119 -1.7490 -1.8855
 -2.0209
 -1.2898 -1.2752 -1.2397 -1.1811 -1.1397 -1.1054 -1.0800 -1.0655 -1.0619 -1.0691
 -1.0868 -1.1145 -1.1504 -1.1924 -1.2382 -1.3616 -1.4914 -1.6241 -1.7579 -1.8911
 -2.0230 -2.1533 -2.2820
 -1.2819 -1.2927 -1.2803 -1.2488 -1.2078 -1.1664 -1.1323 -1.1109 -1.1030 -1.1054
 -1.1172 -1.1386 -1.1694 -1.2090 -1.2541 -1.3769 -1.5052 -1.6353 -1.7663 -1.8968
 -2.0258 -2.1532 -2.2787 -2.4025 -2.5247
 -1.2575 -1.2643 -1.2719 -1.2675 -1.2522 -1.2303 -1.2056 -1.1810 -1.1592 -1.1452
 -1.1498 -1.1663 -1.1917 -1.2260 -1.2690 -1.3906 -1.5180 -1.6461 -1.7743 -1.9022
 -2.0290 -2.1540 -2.2770 -2.3982 -2.5176 -2.6352
 -1.2394 -1.2451 -1.2542 -1.2647 -1.2732 -1.2761 -1.2732 -1.2651 -1.2516 -1.2306
 -1.2117 -1.2091 -1.2222 -1.2480 -1.2850 -1.4034 -1.5300 -1.6568 -1.7825 -1.9077
 -2.0322 -2.1553 -2.2763 -2.3953 -2.5123 -2.6275 -2.7409 -2.8528 -2.9627 -3.0678
