 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -0.9468 -0.9097 -0.8711 -0.8342 -0.7946 -0.6901 -0.5965 -0.5243 -0.4731 -0.4363
 -0.4078 -0.3844 -0.3643 -0.3465 -0.3301 -0.3149 -0.3016 -0.2903 -0.2840 -0.2856
 -0.2960
 -1.2364 -1.2066 -1.1804 -1.1573 -1.1308 -1.0997 -1.0633 -1.0240 -0.9846 -0.9466
 -0.9103 -0.8748 -0.8388 -0.8025 -0.7665 -0.6724 -0.5867 -0.5177 -0.4684 -0.4354
 -0.4098 -0.3939 -0.3787 -0.3653 -0.3528 -0.3407 -0.3296 -0.3217 -0.3172 -0.3157
 -0.3171
 -1.0997 -1.0902 -1.0772 -1.0612 -1.0467 -1.0284 -1.0046 -0.9754 -0.9424 -0.9081
 -0.8742 -0.8411 -0.8082 -0.7749 -0.7418 -0.6553 -0.5759 -0.5106 -0.4624 -0.4303
 -0.4100 -0.3967 -0.3871 -0.3789 -0.3713 -0.3636 -0.3561 -0.3489 -0.3428 -0.3392
 -0.3409
 -0.9767 -0.9758 -0.9704 -0.9609 -0.9553 -0.9464 -0.9340 -0.9162 -0.8932 -0.8661
 -0.8369 -0.8073 -0.7778 -0.7483 -0.7185 -0.6405 -0.5664 -0.5039 -0.4566 -0.4240
 -0.4043 -0.3937 -0.3885 -0.3859 -0.3839 -0.3815 -0.3788 -0.3757 -0.3726 -0.3704
 -0.3690
 -0.8567 -0.8636 -0.8674 -0.8683 -0.8701 -0.8710 -0.8683 -0.8466 -0.8340 -0.8164
 -0.7947 -0.7705 -0.7452 -0.7197 -0.6937 -0.6259 -0.5568 -0.4973 -0.4508 -0.4179
 -0.3974 -0.3870 -0.3840 -0.3855 -0.3889 -0.3923 -0.3952 -0.3973 -0.3986 -0.3998
 -0.4017
 -0.7399 -0.7536 -0.7682 -0.7835 -0.7911 -0.8021 -0.7845 -0.7845 -0.7797 -0.7580
 -0.7452 -0.7286 -0.7091 -0.6882 -0.6674 -0.6115 -0.5471 -0.4908 -0.4450
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -1.9122 -1.9554 -2.0485 -2.0324 -1.8772 -1.7228 -1.6900 -1.7273 -1.7205 -1.6350
 -1.5182 -1.3913 -1.2794 -1.1878 -1.0956 -0.8820
 -1.8562 -1.8121 -1.8072 -1.7669 -1.6789 -1.5969 -1.5642 -1.5582 -1.5338 -1.4756
 -1.3981 -1.3068 -1.2117 -1.1215 -1.0340 -0.8389 -0.6801 -0.5566 -0.4571
 -1.8127 -1.7104 -1.6376 -1.5752 -1.5224 -1.4810 -1.4483 -1.4184 -1.3852 -1.3446
 -1.2932 -1.2282 -1.1494 -1.0645 -0.9823 -0.8029 -0.6591 -0.5469 -0.4597 -0.3936
 -0.3458
 -1.7817 -1.6503 -1.5397 -1.4573 -1.4077 -1.3751 -1.3423 -1.3079 -1.2747 -1.2420
 -1.2035 -1.1555 -1.0925 -1.0168 -0.9405 -0.7740 -0.6423 -0.5400 -0.4624 -0.4029
 -0.3559 -0.3176 -0.2856
 -1.7632 -1.6318 -1.5135 -1.4132 -1.3348 -1.2792 -1.2462 -1.2267 -1.2023 -1.1678
