 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F814W
 -0.6443 -0.6394 -0.6333 -0.6295 -0.6245 -0.6078 -0.5977 -0.6059 -0.6308 -0.6616
 -0.6932 -0.7252 -0.7580 -0.7918 -0.8266 -0.8627 -0.9008 -0.9412 -0.9868 -1.0391
 -1.0942
 -0.5393 -0.5464 -0.5596 -0.5784 -0.5939 -0.6053 -0.6121 -0.6154 -0.6165 -0.6157
 -0.6139 -0.6113 -0.6076 -0.6034 -0.6004 -0.5894 -0.5860 -0.5961 -0.6228 -0.6584
 -0.6928 -0.7319 -0.7676 -0.8032 -0.8391 -0.8752 -0.9124 -0.9528 -0.9964 -1.0430
 -1.0922
 -0.3983 -0.4393 -0.4682 -0.4861 -0.5110 -0.5327 -0.5499 -0.5626 -0.5714 -0.5769
 -0.5799 -0.5811 -0.5810 -0.5798 -0.5788 -0.5719 -0.5718 -0.5838 -0.6105 -0.6483
 -0.6904 -0.7324 -0.7728 -0.8119 -0.8501 -0.8877 -0.9254 -0.9635 -1.0031 -1.0453
 -1.0924
 -0.2864 -0.3327 -0.3664 -0.3887 -0.4202 -0.4493 -0.4757 -0.4979 -0.5158 -0.5295
 -0.5395 -0.5464 -0.5511 -0.5541 -0.5562 -0.5561 -0.5581 -0.5709 -0.5965 -0.6335
 -0.6776 -0.7242 -0.7700 -0.8140 -0.8561 -0.8965 -0.9360 -0.9751 -1.0143 -1.0547
 -1.0972
 -0.1826 -0.2264 -0.2663 -0.3026 -0.3387 -0.3738 -0.4066 -0.4235 -0.4501 -0.4726
 -0.4908 -0.5052 -0.5162 -0.5245 -0.5308 -0.5406 -0.5452 -0.5588 -0.5836 -0.6189
 -0.6622 -0.7103 -0.7600 -0.8090 -0.8559 -0.9005 -0.9433 -0.9847 -1.0252 -1.0656
 -1.1069
 -0.0868 -0.1205 -0.1681 -0.2279 -0.2664 -0.3062 -0.3207 -0.3557 -0.3876 -0.4075
 -0.4339 -0.4564 -0.4750 -0.4899 -0.5026 -0.5254 -0.5331 -0.5475 -0.5718
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F814W
 -0.9383 -0.9815 -1.0887 -1.1289 -1.0658 -0.9964 -1.0105 -1.0703 -1.0887 -1.0364
 -0.9581 -0.8697 -0.7930 -0.7349 -0.6792 -0.5713
 -0.9437 -0.9279 -0.9582 -0.9709 -0.9499 -0.9310 -0.9445 -0.9725 -0.9802 -0.9553
 -0.9125 -0.8564 -0.7963 -0.7410 -0.6895 -0.5918 -0.5415 -0.5285 -0.5304
 -0.9470 -0.8934 -0.8715 -0.8619 -0.8614 -0.8693 -0.8812 -0.8912 -0.8942 -0.8876
 -0.8693 -0.8378 -0.7938 -0.7446 -0.6981 -0.6099 -0.5642 -0.5532 -0.5603 -0.5803
 -0.6113
 -0.9482 -0.8780 -0.8286 -0.8019 -0.8003 -0.8113 -0.8206 -0.8264 -0.8307 -0.8333
 -0.8285 -0.8139 -0.7855 -0.7457 -0.7050 -0.6256 -0.5837 -0.5742 -0.5844 -0.6048
 -0.6312 -0.6623 -0.6973
 -0.9473 -0.8817 -0.8295 -0.7909 -0.7666 -0.7570 -0.7627 -0.7781 -0.7897 -0.7924
 -0.7901 -0.7847 -0.7714 -0.7443 -0.7102 -0.6389 -0.6000 -0.5915 -0.6026 -0.6230
 -0.6488 -0.6784 -0.7113 -0.7469 -0.7863
 -0.9258 -0.8717 -0.8259 -0.7882 -0.7592 -0.7395 -0.7293 -0.7276 -0.7339 -0.7443
 -0.7498 -0.7491 -0.7462 -0.7341 -0.7098 -0.6477 -0.6115 -0.6038 -0.6165 -0.6381
 -0.6641 -0.6933 -0.7252 -0.7597 -0.7968 -0.8369
 -0.8777 -0.8390 -0.8049 -0.7747 -0.7486 -0.7275 -0.7122 -0.7028 -0.6983 -0.6976
 -0.7000 -0.7024 -0.7036 -0.7037 -0.6946 -0.6498 -0.6170 -0.6099 -0.6246 -0.6490
 -0.6768 -0.7067 -0.7386 -0.7726 -0.8083 -0.8462 -0.8868 -0.9323 -0.9836 -1.0367
 -0.8047 -0.7819 -0.7618 -0.7430 -0.7249 -0.7082 -0.6939 -0.6825 -0.6745 -0.6690
 -0.6652 -0.6624 -0.6601 -0.6614 -0.6603 -0.6399 -0.6158 -0.6097 -0.6256 -0.6538
 -0.6853 -0.7176 -0.7508 -0.7851 -0.8206 -0.8574 -0.8962 -0.9373 -0.9835 -1.0361
 -1.0912
 -0.7130 -0.7041 -0.6971 -0.6908 -0.6836 -0.6753 -0.6663 -0.6575 -0.6499 -0.6439
 -0.6388 -0.6342 -0.6297 -0.6263 -0.6258 -0.6162 -0.6057 -0.6034 -0.6199 -0.6511
 -0.6874 -0.7239 -0.7600 -0.7961 -0.8325 -0.8694 -0.9073 -0.9468 -0.9888 -1.0354
 -1.0894
 -0.6096 -0.6123 -0.6161 -0.6204 -0.6240 -0.6257 -0.6250 -0.6224 -0.6189 -0.6152
 -0.6117 -0.6083 -0.6045 -0.6006 -0.5986 -0.5913 -0.5881 -0.5920 -0.6095 -0.6421
 -0.6826 -0.7244 -0.7651 -0.8046 -0.8433 -0.8815 -0.9199 -0.9588 -0.9991 -1.0419
 -1.0895
 -0.5019 -0.5130 -0.5251 -0.5374 -0.5497 -0.5606 -0.5691 -0.5747 -0.5778 -0.5792
 -0.5795 -0.5793 -0.5783 -0.5767 -0.5754 -0.5706 -0.5697 -0.5777 -0.5964 -0.6285
 -0.6706 -0.7166 -0.7624 -0.8066 -0.8491 -0.8901 -0.9303 -0.9701 -1.0100 -1.0509
 -1.0940
 -0.3915 -0.4098 -0.4284 -0.4469 -0.4653 -0.4834 -0.4998 -0.5137 -0.5247 -0.5331
 -0.5392 -0.5439 -0.5473 -0.5496 -0.5511 -0.5524 -0.5533 -0.5631 -0.5831 -0.6143
 -0.6557 -0.7031 -0.7528 -0.8019 -0.8490 -0.8941 -0.9374 -0.9794 -1.0206 -1.0616
 -1.1034
 -0.2784 -0.3027 -0.3295 -0.3521 -0.3755 -0.3986 -0.4209 -0.4417 -0.4601 -0.4760
 -0.4892 -0.5003 -0.5094 -0.5169 -0.5257 -0.5367 -0.5389 -0.5482 -0.5696
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F814W
 -1.3189 -1.2725 -1.2411 -1.2236 -1.2045 -1.1830 -1.1528 -1.1133 -1.0643 -1.0087
 -0.9459 -0.8797 -0.8144 -0.7531 -0.6877 -0.5798
 -1.1587 -1.1131 -1.0841 -1.0664 -1.0561 -1.0476 -1.0356 -1.0165 -0.9899 -0.9565
 -0.9147 -0.8648 -0.8093 -0.7545 -0.7010 -0.6029 -0.5452 -0.5257 -0.5322
 -1.0565 -0.9999 -0.9655 -0.9474 -0.9400 -0.9383 -0.9376 -0.9327 -0.9225 -0.9063
 -0.8820 -0.8479 -0.8042 -0.7568 -0.7118 -0.6228 -0.5698 -0.5508 -0.5568 -0.5763
 -0.6039
 -1.0123 -0.9329 -0.8853 -0.8666 -0.8563 -0.8552 -0.8588 -0.8619 -0.8621 -0.8581
 -0.8478 -0.8290 -0.7991 -0.7600 -0.7201 -0.6395 -0.5907 -0.5722 -0.5777 -0.5968
 -0.6228 -0.6540 -0.6900
 -1.0065 -0.9121 -0.8497 -0.8150 -0.8004 -0.7985 -0.8031 -0.8090 -0.8121 -0.8130
 -0.8106 -0.8034 -0.7878 -0.7599 -0.7259 -0.6530 -0.6079 -0.5899 -0.5949 -0.6138
 -0.6394 -0.6693 -0.7027 -0.7391 -0.7794
 -1.0136 -0.9253 -0.8544 -0.8052 -0.7748 -0.7590 -0.7541 -0.7571 -0.7655 -0.7748
 -0.7765 -0.7738 -0.7670 -0.7524 -0.7266 -0.6619 -0.6202 -0.6032 -0.6082 -0.6276
 -0.6536 -0.6833 -0.7158 -0.7510 -0.7890 -0.8300
 -1.0063 -0.9258 -0.8589 -0.8050 -0.7636 -0.7344 -0.7163 -0.7080 -0.7082 -0.7168
 -0.7284 -0.7354 -0.7376 -0.7333 -0.7193 -0.6653 -0.6273 -0.6114 -0.6168 -0.6375
 -0.6652 -0.6958 -0.7284 -0.7631 -0.7997 -0.8386 -0.8803 -0.9268 -0.9785 -1.0315
 -0.9760 -0.9083 -0.8501 -0.8016 -0.7616 -0.7298 -0.7062 -0.6903 -0.6812 -0.6772
 -0.6775 -0.6821 -0.6883 -0.6939 -0.6942 -0.6622 -0.6287 -0.6143 -0.6202 -0.6425
 -0.6728 -0.7058 -0.7397 -0.7749 -0.8112 -0.8490 -0.8889 -0.9311 -0.9781 -1.0309
 -1.0861
