 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -2.6105 -2.4598 -2.3162 -2.1782 -2.0391 -1.7093 -1.4307 -1.1976 -1.0106 -0.8683
 -0.7553 -0.6591 -0.5730 -0.4937 -0.4193 -0.3492 -0.2838 -0.2230 -0.1673 -0.1200
 -0.0926
 -4.4786 -4.2491 -4.0391 -3.8468 -3.6562 -3.4647 -3.2718 -3.0805 -2.8946 -2.7173
 -2.5518 -2.3988 -2.2566 -2.1223 -1.9920 -1.6872 -1.4211 -1.1992 -1.0193 -0.8772
 -0.7690 -0.6805 -0.6025 -0.5310 -0.4638 -0.3997 -0.3392 -0.2840 -0.2340 -0.1888
 -0.1480
 -4.2245 -4.0699 -3.8979 -3.7103 -3.5409 -3.3713 -3.1987 -3.0238 -2.8487 -2.6771
 -2.5127 -2.3586 -2.2157 -2.0827 -1.9563 -1.6687 -1.4160 -1.2025 -1.0256 -0.8856
 -0.7788 -0.6947 -0.6241 -0.5609 -0.5017 -0.4451 -0.3910 -0.3393 -0.2909 -0.2468
 -0.2094
 -4.0456 -3.9052 -3.7488 -3.5783 -3.4260 -3.2736 -3.1206 -2.9643 -2.8051 -2.6449
 -2.4870 -2.3351 -2.1920 -2.0590 -1.9343 -1.6557 -1.4154 -1.2082 -1.0362 -0.8969
 -0.7887 -0.7056 -0.6395 -0.5835 -0.5327 -0.4844 -0.4381 -0.3933 -0.3504 -0.3102
 -0.2729
 -3.8997 -3.7549 -3.6120 -3.4710 -3.3339 -3.1992 -3.0623 -2.8933 -2.7514 -2.6065
 -2.4602 -2.3153 -2.1752 -2.0427 -1.9187 -1.6443 -1.4130 -1.2130 -1.0444 -0.9070
 -0.7982 -0.7141 -0.6493 -0.5977 -0.5540 -0.5142 -0.4764 -0.4397 -0.4040 -0.3698
 -0.3378
 -3.7868 -3.6190 -3.4874 -3.3883 -3.2648 -3.1481 -2.9666 -2.8411 -2.7121 -2.5539
 -2.4223 -2.2893 -2.1570 -2.0284 -1.9095 -1.6345 -1.4088 -1.2169 -1.0502
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -6.1798 -6.0739 -6.0558 -5.8783 -5.5120 -5.1911 -5.1115 -5.1372 -5.0510 -4.7982
 -4.4992 -4.1904 -3.9059 -3.6440 -3.3764 -2.7161
 -5.7507 -5.5110 -5.3586 -5.1690 -4.9256 -4.7150 -4.6051 -4.5368 -4.4219 -4.2331
 -4.0087 -3.7595 -3.5037 -3.2559 -3.0136 -2.4410 -1.9237 -1.4972 -1.1484
 -5.4302 -5.0993 -4.8512 -4.6419 -4.4629 -4.3117 -4.1803 -4.0548 -3.9208 -3.7689
 -3.5928 -3.3889 -3.1622 -2.9317 -2.7116 -2.2112 -1.7691 -1.3967 -1.1002 -0.8722
 -0.7038
 -5.2183 -4.8388 -4.5336 -4.2970 -4.1239 -3.9812 -3.8371 -3.6912 -3.5477 -3.4056
 -3.2515 -3.0786 -2.8814 -2.6714 -2.4704 -2.0267 -1.6454 -1.3197 -1.0625 -0.8625
 -0.7002 -0.5631 -0.4431
 -5.1150 -4.7295 -4.4058 -4.1343 -3.9086 -3.7235 -3.5755 -3.4460 -3.3026 -3.1432
