 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  U   
 -3.6036 -3.3722 -3.1534 -2.9425 -2.7218 -2.1739 -1.6927 -1.2748 -0.9458 -0.7191
 -0.5715 -0.4746 -0.4087 -0.3628 -0.3307 -0.3078 -0.2905 -0.2754 -0.2618 -0.2495
 -0.2368
 -7.3872 -6.7736 -6.2665 -5.8556 -5.4633 -5.0893 -4.7330 -4.3965 -4.0808 -3.7871
 -3.5176 -3.2722 -3.0467 -2.8359 -2.6286 -2.1227 -1.6626 -1.2697 -0.9609 -0.7055
 -0.5528 -0.4401 -0.3731 -0.3289 -0.2996 -0.2805 -0.2684 -0.2595 -0.2529 -0.2483
 -0.2456
 -7.1653 -6.7608 -6.3202 -5.8478 -5.4597 -5.0898 -4.7356 -4.3980 -4.0772 -3.7750
 -3.4931 -3.2336 -2.9964 -2.7789 -2.5729 -2.0926 -1.6535 -1.2743 -0.9578 -0.7099
 -0.5318 -0.4130 -0.3380 -0.2915 -0.2630 -0.2463 -0.2379 -0.2346 -0.2341 -0.2346
 -0.2365
 -7.2104 -6.7933 -6.3500 -5.8838 -5.4962 -5.1277 -4.7764 -4.4396 -4.1172 -3.8103
 -3.5202 -3.2491 -2.9988 -2.7698 -2.5584 -2.0831 -1.6628 -1.2916 -0.9809 -0.7302
 -0.5388 -0.4023 -0.3120 -0.2563 -0.2238 -0.2063 -0.1990 -0.1985 -0.2023 -0.2083
 -0.2146
 -7.3604 -6.8711 -6.4169 -5.9946 -5.5965 -5.2226 -4.8648 -4.5029 -4.1806 -3.8714
 -3.5761 -3.2968 -3.0351 -2.7934 -2.5713 -2.0856 -1.6756 -1.3136 -1.0052 -0.7534
 -0.5552 -0.4054 -0.2987 -0.2286 -0.1864 -0.1639 -0.1547 -0.1545 -0.1602 -0.1698
 -0.1813
 -7.6150 -6.9943 -6.5209 -6.1803 -5.7607 -5.3746 -4.9416 -4.6020 -4.2751 -3.9435
 -3.6458 -3.3613 -3.0918 -2.8395 -2.6116 -2.1001 -1.6919 -1.3403 -1.0307
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  U   
 -7.8130 -7.8928 -8.0406 -7.9987 -7.7001 -7.3712 -7.2675 -7.3330 -7.3130 -7.0735
 -6.7428 -6.3763 -6.0132 -5.6617 -5.2834 -4.2665
 -7.4076 -7.2921 -7.2455 -7.1426 -6.9518 -6.7573 -6.6510 -6.6040 -6.5117 -6.3140
 -6.0478 -5.7282 -5.3775 -5.0237 -4.6642 -3.7515 -2.8756 -2.1729 -1.6141
 -7.1191 -6.8567 -6.6601 -6.4908 -6.3401 -6.2070 -6.0863 -5.9645 -5.8226 -5.6449
 -5.4192 -5.1384 -4.8097 -4.4651 -4.1260 -3.3066 -2.5419 -1.9178 -1.4510 -1.1237
 -0.9177
 -6.9475 -6.5866 -6.2844 -6.0433 -5.8650 -5.7203 -5.5734 -5.4145 -5.2457 -5.0662
 -4.8570 -4.6069 -4.3098 -3.9859 -3.6688 -2.9318 -2.2637 -1.7080 -1.3054 -1.0245
 -0.8255 -0.6796 -0.5673
 -6.8928 -6.4818 -6.1184 -5.8001 -5.5265 -5.2972 -5.1123 -4.9540 -4.7810 -4.5779
 -4.3612 -4.1337 -3.8778 -3.5861 -3.2926 -2.6271 -2.0410 -1.5435 -1.1773 -0.9252
 -0.7491 -0.6228 -0.5294 -0.4579 -0.3993
 -6.9097 -6.4621 -6.0598 -5.6976 -5.3729 -5.0842 -4.8295 -4.6056 -4.4086 -4.2207
 -4.0090 -3.7746 -3.5370 -3.2813 -3.0119 -2.4019 -1.8780 -1.4261 -1.0821 -0.8472
 -0.6866 -0.5734 -0.4915 -0.4308 -0.3835 -0.3438
 -6.9885 -6.5117 -6.0771 -5.6811 -5.3216 -4.9952 -4.6998 -4.4328 -4.1907 -3.9689
 -3.7601 -3.5476 -3.3221 -3.0863 -2.8329 -2.2547 -1.7729 -1.3548 -1.0208 -0.7891
 -0.6353 -0.5298 -0.4551 -0.4017 -0.3623 -0.3316 -0.3054 -0.2808 -0.2563 -0.2321
 -7.1164 -6.6203 -6.1606 -5.7358 -5.3457 -4.9897 -4.6650 -4.3677 -4.0961 -3.8465
 -3.6149 -3.3962 -3.1829 -2.9717 -2.7436 -2.1801 -1.7174 -1.3227 -0.9932 -0.7532
 -0.5945 -0.4903 -0.4195 -0.3702 -0.3358 -0.3113 -0.2929 -0.2767 -0.2622 -0.2489
 -0.2350
 -7.2861 -6.7742 -6.2970 -5.8508 -5.4349 -5.0518 -4.7004 -4.3784 -4.0827 -3.8109
 -3.5597 -3.3259 -3.1064 -2.8976 -2.6906 -2.1633 -1.7010 -1.3190 -0.9934 -0.7411
 -0.5680 -0.4560 -0.3838 -0.3361 -0.3046 -0.2840 -0.2707 -0.2615 -0.2541 -0.2478
 -0.2442
 -7.4859 -6.9603 -6.4679 -6.0069 -5.5719 -5.1654 -4.7894 -4.4436 -4.1262 -3.8343
 -3.5647 -3.3151 -3.0830 -2.8661 -2.6600 -2.1617 -1.7098 -1.3286 -1.0079 -0.7470
 -0.5568 -0.4295 -0.3489 -0.2989 -0.2680 -0.2498 -0.2402 -0.2359 -0.2345 -0.2343
 -0.2354
 -7.7210 -7.1916 -6.6809 -6.2039 -5.7542 -5.3299 -4.9332 -4.5648 -4.2251 -3.9127
 -3.6246 -3.3583 -3.1113 -2.8823 -2.6681 -2.1742 -1.7358 -1.3538 -1.0340 -0.7696
 -0.5651 -0.4196 -0.3235 -0.2640 -0.2291 -0.2099 -0.2015 -0.2000 -0.2029 -0.2081
 -0.2138
 -7.9935 -7.4437 -6.9223 -6.4280 -5.9618 -5.5247 -5.1125 -4.7256 -4.3652 -4.0318
 -3.7240 -3.4399 -3.1770 -2.9332 -2.7062 -2.1980 -1.7652 -1.3854 -1.0632 -0.7962
 -0.5836 -0.4239 -0.3108 -0.2366 -0.1919 -0.1677 -0.1573 -0.1561 -0.1610 -0.1698
 -0.1807
 -8.3035 -7.7166 -7.1717 -6.6674 -6.1882 -5.7373 -5.3131 -4.9128 -4.5357 -4.1836
 -3.8561 -3.5529 -3.2723 -3.0124 -2.7743 -2.2331 -1.7980 -1.4234 -1.0955
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  U   
 -7.2716 -7.2542 -7.2541 -7.2477 -7.2184 -7.1785 -7.1252 -7.0470 -6.9277 -6.7492
 -6.5045 -6.2020 -5.8666 -5.5265 -5.2134 -4.3224
 -6.7191 -6.6446 -6.6013 -6.5738 -6.5489 -6.5146 -6.4604 -6.3775 -6.2556 -6.0825
 -5.8498 -5.5576 -5.2240 -4.8844 -4.5625 -3.7546 -2.9702 -2.2763 -1.7453
 -6.3442 -6.1943 -6.0915 -6.0231 -5.9714 -5.9190 -5.8521 -5.7603 -5.6350 -5.4680
 -5.2512 -4.9799 -4.6629 -4.3332 -4.0152 -3.2788 -2.6008 -2.0055 -1.5412 -1.2054
 -0.9651
 -6.1469 -5.9033 -5.7247 -5.5956 -5.4858 -5.3918 -5.3003 -5.1954 -5.0659 -4.9057
 -4.7087 -4.4689 -4.1833 -3.8729 -3.5715 -2.8950 -2.3016 -1.7854 -1.3751 -1.0779
 -0.8619 -0.7120 -0.5897
 -6.1127 -5.7888 -5.5318 -5.3322 -5.1712 -5.0306 -4.8954 -4.7544 -4.6033 -4.4391
 -4.2537 -4.0423 -3.7965 -3.5150 -3.2314 -2.6032 -2.0726 -1.6160 -1.2470 -0.9774
 -0.7879 -0.6526 -0.5523 -0.4750 -0.4117
 -6.2140 -5.8439 -5.5212 -5.2555 -5.0347 -4.8431 -4.6676 -4.4973 -4.3232 -4.1371
 -3.9345 -3.7259 -3.5061 -3.2608 -2.9958 -2.4010 -1.9115 -1.4953 -1.1535 -0.9004
 -0.7243 -0.6012 -0.5126 -0.4464 -0.3945 -0.3515
 -6.4042 -5.9828 -5.6113 -5.2830 -4.9930 -4.7377 -4.5118 -4.3095 -4.1254 -3.9538
 -3.7697 -3.5548 -3.3289 -3.0982 -2.8536 -2.2784 -1.8118 -1.4196 -1.0928 -0.8446
 -0.6734 -0.5565 -0.4747 -0.4159 -0.3722 -0.3380 -0.3093 -0.2829 -0.2564 -0.2299
 -6.6980 -6.2169 -5.7912 -5.4131 -5.0759 -4.7748 -4.5055 -4.2634 -4.0428 -3.8376
