 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F850LP
 -0.5106 -0.5348 -0.5596 -0.5827 -0.6022 -0.6177 -0.6293 -0.6381 -0.6458 -0.6537
 -0.6622 -0.6713 -0.6808 -0.6914 -0.7052 -0.7381 -0.7641 -0.7858 -0.8167 -0.8610
 -0.9154 -0.9731 -1.0302 -1.0858 -1.1398 -1.1926 -1.2447 -1.2961 -1.3475 -1.3995
 -1.4543
 -0.4213 -0.4572 -0.4931 -0.5267 -0.5563 -0.5808 -0.5999 -0.6144 -0.6256 -0.6350
 -0.6439 -0.6529 -0.6618 -0.6710 -0.6813 -0.7108 -0.7421 -0.7732 -0.8073 -0.8514
 -0.9061 -0.9665 -1.0276 -1.0872 -1.1449 -1.2008 -1.2555 -1.3090 -1.3619 -1.4148
 -1.4685
 -0.3228 -0.3666 -0.4115 -0.4538 -0.4924 -0.5261 -0.5541 -0.5764 -0.5940 -0.6081
 -0.6201 -0.6312 -0.6418 -0.6521 -0.6624 -0.6900 -0.7210 -0.7565 -0.7951 -0.8398
 -0.8939 -0.9550 -1.0189 -1.0825 -1.1441 -1.2037 -1.2616 -1.3179 -1.3729 -1.4274
 -1.4816
 -0.2165 -0.2688 -0.3195 -0.3684 -0.4142 -0.4557 -0.4921 -0.5231 -0.5486 -0.5697
 -0.5873 -0.6027 -0.6168 -0.6300 -0.6485 -0.6757 -0.7008 -0.7357 -0.7801
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F850LP
 -0.8529 -0.8434 -0.8449 -0.8532 -0.8658 -0.8784 -0.8868 -0.8897 -0.8919 -0.8894
 -0.8775 -0.8552 -0.8261 -0.7958 -0.7679 -0.7159 -0.6904 -0.6925 -0.7193
 -0.7586 -0.7455 -0.7477 -0.7609 -0.7810 -0.8044 -0.8261 -0.8439 -0.8595 -0.8697
 -0.8702 -0.8588 -0.8371 -0.8115 -0.7871 -0.7417 -0.7205 -0.7236 -0.7485 -0.7865
 -0.6950 -0.6737 -0.6715 -0.6843 -0.7075 -0.7368 -0.7675 -0.7955 -0.8208 -0.8410
 -0.8529 -0.8535 -0.8416 -0.8216 -0.8005 -0.7611 -0.7437 -0.7479 -0.7715 -0.8086
 -0.8517
 -0.6727 -0.6354 -0.6178 -0.6263 -0.6472 -0.6776 -0.7121 -0.7462 -0.7778 -0.8054
 -0.8263 -0.8380 -0.8379 -0.8259 -0.8089 -0.7748 -0.7609 -0.7663 -0.7893 -0.8258
 -0.8692 -0.9147
 -0.6792 -0.6304 -0.6025 -0.5937 -0.6025 -0.6275 -0.6648 -0.7029 -0.7378 -0.7685
 -0.7942 -0.8134 -0.8241 -0.8230 -0.8120 -0.7837 -0.7728 -0.7797 -0.8029 -0.8391
 -0.8831 -0.9299 -0.9770 -1.0241
 -0.6940 -0.6484 -0.6167 -0.5981 -0.5931 -0.6006 -0.6212 -0.6541 -0.6929 -0.7306
 -0.7621 -0.7855 -0.8017 -0.8105 -0.8086 -0.7879 -0.7801 -0.7886 -0.8123 -0.8488
 -0.8938 -0.9420 -0.9908 -1.0395 -1.0878 -1.1358 -1.1842 -1.2351 -1.2891 -1.3429
 -0.6959 -0.6564 -0.6293 -0.6126 -0.6046 -0.6053 -0.6142 -0.6304 -0.6524 -0.6800
 -0.7120 -0.7438 -0.7696 -0.7874 -0.7961 -0.7877 -0.7831 -0.7933 -0.8178 -0.8548
 -0.9008 -0.9511 -1.0020 -1.0526 -1.1027 -1.1523 -1.2019 -1.2520 -1.3040 -1.3597
 -1.4165
 -0.6809 -0.6499 -0.6293 -0.6175 -0.6125 -0.6124 -0.6168 -0.6257 -0.6389 -0.6553
 -0.6739 -0.6951 -0.7193 -0.7436 -0.7641 -0.7821 -0.7821 -0.7941 -0.8193 -0.8567
 -0.9017 -0.9562 -1.0098 -1.0628 -1.1151 -1.1667 -1.2180 -1.2687 -1.3202 -1.3743
 -1.4321
 -0.6411 -0.6247 -0.6130 -0.6086 -0.6091 -0.6124 -0.6174 -0.6239 -0.6323 -0.6430
 -0.6553 -0.6687 -0.6832 -0.7000 -0.7192 -0.7593 -0.7764 -0.7913 -0.8174 -0.8550
 -0.9028 -0.9574 -1.0140 -1.0703 -1.1253 -1.1794 -1.2328 -1.2856 -1.3383 -1.3917
 -1.4472
 -0.5769 -0.5757 -0.5764 -0.5820 -0.5902 -0.5994 -0.6085 -0.6168 -0.6247 -0.6328
 -0.6418 -0.6517 -0.6622 -0.6734 -0.6863 -0.7242 -0.7585 -0.7837 -0.8116 -0.8491
 -0.8966 -0.9522 -1.0116 -1.0714 -1.1298 -1.1868 -1.2427 -1.2976 -1.3518 -1.4061
 -1.4611
 -0.4914 -0.5046 -0.5192 -0.5353 -0.5528 -0.5700 -0.5856 -0.5988 -0.6097 -0.6191
 -0.6277 -0.6365 -0.6457 -0.6552 -0.6654 -0.6956 -0.7318 -0.7680 -0.8021 -0.8404
 -0.8873 -0.9428 -1.0039 -1.0668 -1.1288 -1.1892 -1.2482 -1.3056 -1.3620 -1.4178
 -1.4734
 -0.3873 -0.4139 -0.4411 -0.4687 -0.4960 -0.5219 -0.5455 -0.5658 -0.5826 -0.5963
 -0.6078 -0.6181 -0.6280 -0.6379 -0.6565 -0.6735 -0.6963 -0.7442 -0.7889
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F850LP
 -1.1611 -1.1457 -1.1328 -1.1173 -1.0955 -1.0621 -1.0120 -0.9504 -0.9084 -0.8854
 -0.8677 -0.8474 -0.8237 -0.7988 -0.7751 -0.7292 -0.7024 -0.6975 -0.7137
 -1.0165 -0.9992 -0.9902 -0.9842 -0.9764 -0.9624 -0.9373 -0.9034 -0.8816 -0.8713
 -0.8632 -0.8506 -0.8320 -0.8106 -0.7895 -0.7491 -0.7282 -0.7263 -0.7433 -0.7754
 -0.9048 -0.8806 -0.8700 -0.8682 -0.8703 -0.8718 -0.8674 -0.8550 -0.8482 -0.8485
 -0.8497 -0.8459 -0.8343 -0.8173 -0.7989 -0.7632 -0.7463 -0.7473 -0.7651 -0.7966
 -0.8370
 -0.8264 -0.7920 -0.7747 -0.7709 -0.7765 -0.7871 -0.7979 -0.8028 -0.8084 -0.8178
 -0.8275 -0.8329 -0.8300 -0.8191 -0.8042 -0.7729 -0.7593 -0.7627 -0.7816 -0.8129
 -0.8533 -0.8981
 -0.7689 -0.7247 -0.7016 -0.6935 -0.6975 -0.7108 -0.7295 -0.7475 -0.7635 -0.7807
 -0.7978 -0.8115 -0.8179 -0.8151 -0.8053 -0.7790 -0.7682 -0.7737 -0.7937 -0.8254
 -0.8660 -0.9117 -0.9590 -1.0069
 -0.7596 -0.6977 -0.6544 -0.6308 -0.6267 -0.6396 -0.6635 -0.6917 -0.7173 -0.7409
 -0.7633 -0.7831 -0.7976 -0.8040 -0.8014 -0.7819 -0.7738 -0.7812 -0.8022 -0.8345
 -0.8755 -0.9222 -0.9712 -1.0207 -1.0702 -1.1199 -1.1703 -1.2229 -1.2784 -1.3327
 -0.7626 -0.6999 -0.6516 -0.6176 -0.5986 -0.5943 -0.6039 -0.6269 -0.6597 -0.6947
 -0.7262 -0.7520 -0.7716 -0.7850 -0.7910 -0.7816 -0.7764 -0.7855 -0.8076 -0.8405
 -0.8820 -0.9298 -0.9805 -1.0322 -1.0836 -1.1349 -1.1862 -1.2383 -1.2924 -1.3494
 -1.4059
 -0.7608 -0.7008 -0.6545 -0.6207 -0.5984 -0.5874 -0.5874 -0.5974 -0.6163 -0.6420
 -0.6725 -0.7049 -0.7345 -0.7573 -0.7719 -0.7777 -0.7761 -0.7869 -0.8099 -0.8433
 -0.8854 -0.9342 -0.9868 -1.0407 -1.0945 -1.1478 -1.2009 -1.2540 -1.3081 -1.3632
 -1.4220
 -0.7508 -0.6943 -0.6518 -0.6212 -0.6010 -0.5898 -0.5865 -0.5907 -0.6018 -0.6185
 -0.6388 -0.6614 -0.6856 -0.7106 -0.7337 -0.7669 -0.7724 -0.7855 -0.8097 -0.8436
 -0.8863 -0.9359 -0.9904 -1.0469 -1.1034 -1.1591 -1.2144 -1.2692 -1.3239 -1.3794
 -1.4365
 -0.7248 -0.6781 -0.6407 -0.6146 -0.5979 -0.5893 -0.5869 -0.5893 -0.5963 -0.6073
 -0.6216 -0.6378 -0.6548 -0.6722 -0.6906 -0.7362 -0.7640 -0.7807 -0.8061 -0.8403
 -0.8830 -0.9330 -0.9888 -1.0477 -1.1070 -1.1655 -1.2231 -1.2798 -1.3361 -1.3924
 -1.4492
 -0.6742 -0.6414 -0.6154 -0.5961 -0.5846 -0.5802 -0.5809 -0.5850 -0.5915 -0.6000
 -0.6104 -0.6226 -0.6357 -0.6491 -0.6627 -0.7001 -0.7398 -0.7715 -0.7995 -0.8343
 -0.8769 -0.9269 -0.9833 -1.0438 -1.1057 -1.1671 -1.2276 -1.2867 -1.3450 -1.4027
 -1.4602
 -0.5950 -0.5797 -0.5676 -0.5598 -0.5563 -0.5580 -0.5636 -0.5716 -0.5805 -0.5898
 -0.5995 -0.6096 -0.6205 -0.6318 -0.6500 -0.6586 -0.6998 -0.7579 -0.7899
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =F850LP
 -1.3570 -1.3473 -1.3342 -1.3111 -1.2591 -1.1834 -1.0945 -1.0012 -0.9188 -0.8767
 -0.8542 -0.8356 -0.8156 -0.7943 -0.7734 -0.7312 -0.7069 -0.7004 -0.7123
 -1.1851 -1.1735 -1.1649 -1.1526 -1.1306 -1.0929 -1.0337 -0.9557 -0.8973 -0.8667
 -0.8512 -0.8383 -0.8227 -0.8044 -0.7858 -0.7485 -0.7288 -0.7261 -0.7402 -0.7691
 -1.0436 -1.0249 -1.0157 -1.0101 -1.0021 -0.9860 -0.9559 -0.9088 -0.8698 -0.8492
 -0.8403 -0.8338 -0.8237 -0.8095 -0.7935 -0.7604 -0.7443 -0.7448 -0.7608 -0.7898
 -0.8282
 -0.9378 -0.9075 -0.8918 -0.8862 -0.8855 -0.8842 -0.8768 -0.8561 -0.8348 -0.8240
 -0.8220 -0.8223 -0.8188 -0.8099 -0.7973 -0.7684 -0.7553 -0.7583 -0.7760 -0.8055
 -0.8440 -0.8878
 -0.8630 -0.8227 -0.7975 -0.7859 -0.7847 -0.7898 -0.7965 -0.7971 -0.7923 -0.7917
 -0.7967 -0.8036 -0.8074 -0.8051 -0.7972 -0.7734 -0.7629 -0.7680 -0.7871 -0.8174
 -0.8561 -0.9005 -0.9477 -0.9952
 -0.8110 -0.7546 -0.7195 -0.7031 -0.7000 -0.7062 -0.7192 -0.7337 -0.7438 -0.7531
 -0.7651 -0.7783 -0.7892 -0.7943 -0.7926 -0.7757 -0.7678 -0.7746 -0.7949 -0.8259
 -0.8651 -0.9103 -0.9588 -1.0087 -1.0588 -1.1092 -1.1608 -1.2146 -1.2707 -1.3254
 -0.8031 -0.7362 -0.6848 -0.6499 -0.6314 -0.6282 -0.6395 -0.6623 -0.6878 -0.7098
 -0.7295 -0.7481 -0.7646 -0.7768 -0.7824 -0.7751 -0.7700 -0.7786 -0.7999 -0.8316
 -0.8713 -0.9172 -0.9672 -1.0190 -1.0712 -1.1234 -1.1759 -1.2291 -1.2843 -1.3419
 -1.3985
 -0.7999 -0.7327 -0.6790 -0.6382 -0.6105 -0.5957 -0.5932 -0.6022 -0.6224 -0.6498
