 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F555W
 -4.0389 -3.6921 -3.4422 -3.1676 -2.8653 -2.6191 -2.4790 -2.3919 -2.2871 -2.1422
 -1.9778 -1.8008 -1.6240 -1.4592 -1.3022 -0.9533 -0.6671 -0.4487 -0.2776
 -3.6327 -3.2290 -2.9287 -2.6829 -2.4819 -2.3208 -2.1895 -2.0753 -1.9660 -1.8532
 -1.7309 -1.5947 -1.4455 -1.2948 -1.1535 -0.8504 -0.6080 -0.4213 -0.2793 -0.1748
 -3.3542 -2.9288 -2.6044 -2.3670 -2.2032 -2.0762 -1.9564 -1.8427 -1.7376 -1.6390
 -1.5378 -1.4282 -1.3040 -1.1698 -1.0417 -0.7722 -0.5628 -0.4016 -0.2810 -0.1894
 -0.1168
 -3.2034 -2.7915 -2.4693 -2.2199 -2.0292 -1.8853 -1.7797 -1.6941 -1.6019 -1.4996
 -1.3985 -1.3013 -1.1995 -1.0842 -0.9668 -0.7187 -0.5315 -0.3896 -0.2828 -0.2001
 -0.1334 -0.0774
 -3.0926 -2.7051 -2.3974 -2.1534 -1.9588 -1.8029 -1.6771 -1.5742 -1.4885 -1.4081
 -1.3167 -1.2177 -1.1227 -1.0238 -0.9179 -0.6845 -0.5104 -0.3818 -0.2863 -0.2119
 -0.1509 -0.0989 -0.0534 -0.0128
 -2.9803 -2.6259 -2.3402 -2.1090 -1.9197 -1.7623 -1.6298 -1.5167 -1.4181 -1.3294
 -1.2459 -1.1604 -1.0708 -0.9813 -0.8852 -0.6636 -0.4966 -0.3754 -0.2884 -0.2220
 -0.1673 -0.1201 -0.0782 -0.0404 -0.0058  0.0255  0.0530  0.0726  0.0816  0.0816
 -2.8559 -2.5377 -2.2781 -2.0644 -1.8854 -1.7328 -1.6006 -1.4840 -1.3802 -1.2856
 -1.1970 -1.1118 -1.0273 -0.9459 -0.8610 -0.6520 -0.4881 -0.3699 -0.2872 -0.2275
 -0.1798 -0.1385 -0.1015 -0.0675 -0.0358 -0.0063  0.0203  0.0437  0.0589  0.0622
  0.0558
 -2.7269 -2.4416 -2.2072 -2.0121 -1.8458 -1.7013 -1.5732 -1.4581 -1.3532 -1.2569
 -1.1666 -1.0804 -0.9970 -0.9161 -0.8380 -0.6447 -0.4842 -0.3656 -0.2836 -0.2273
 -0.1858 -0.1514 -0.1205 -0.0917 -0.0644 -0.0383 -0.0136  0.0087  0.0272  0.0388
  0.0365
 -2.5983 -2.3421 -2.1287 -1.9498 -1.7962 -1.6606 -1.5388 -1.4279 -1.3257 -1.2305
 -1.1409 -1.0556 -0.9735 -0.8939 -0.8177 -0.6349 -0.4808 -0.3625 -0.2787 -0.2226
 -0.1847 -0.1564 -0.1325 -0.1103 -0.0887 -0.0674 -0.0466 -0.0266 -0.0085  0.0059
  0.0130
