 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F390M
 -3.1191 -2.8963 -2.6898 -2.4993 -2.3211 -1.8730 -1.4544 -1.1029 -0.8068 -0.5529
 -0.3486 -0.1945 -0.0778  0.0151  0.0929  0.1600  0.2185  0.2702  0.3157  0.3553
  0.3869
 -7.5443 -6.9321 -6.3640 -5.8376 -5.3508 -4.9039 -4.4972 -4.1304 -3.8003 -3.5023
 -3.2305 -2.9807 -2.7497 -2.5362 -2.3390 -1.8899 -1.4905 -1.1379 -0.8421 -0.5896
 -0.3819 -0.2233 -0.1064 -0.0178  0.0529  0.1120  0.1625  0.2063  0.2447  0.2779
  0.3083
 -8.0419 -7.4326 -6.8417 -6.2850 -5.7619 -5.2734 -4.8227 -4.4098 -4.0365 -3.6995
 -3.3948 -3.1170 -2.8614 -2.6249 -2.4056 -1.9220 -1.5250 -1.1777 -0.8791 -0.6268
 -0.4163 -0.2518 -0.1305 -0.0424  0.0234  0.0750  0.1171  0.1528  0.1834  0.2095
  0.2313
 -8.5028 -7.8936 -7.3041 -6.7344 -6.1889 -5.6723 -5.1881 -4.7384 -4.3252 -3.9491
 -3.6085 -3.2998 -3.0179 -2.7583 -2.5209 -1.9693 -1.5579 -1.2223 -0.9178
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F390M
 -5.5320 -5.5443 -5.5614 -5.5764 -5.5841 -5.5767 -5.5471 -5.4890 -5.3946 -5.2547
 -5.0620 -4.8165 -4.5339 -4.2414 -3.9553 -3.2830 -2.6250 -1.9620 -1.3718
 -5.0414 -5.0291 -5.0306 -5.0353 -5.0345 -5.0205 -4.9863 -4.9256 -4.8321 -4.6989
 -4.5184 -4.2870 -4.0154 -3.7310 -3.4553 -2.8265 -2.2444 -1.6824 -1.1774 -0.7669
 -4.7102 -4.6317 -4.5902 -4.5692 -4.5528 -4.5290 -4.4891 -4.4269 -4.3376 -4.2160
 -4.0564 -3.8535 -3.6074 -3.3391 -3.0763 -2.4883 -1.9678 -1.4800 -1.0406 -0.6751
 -0.3845
 -4.6586 -4.4806 -4.3418 -4.2546 -4.1938 -4.1473 -4.0969 -4.0311 -3.9446 -3.8333
 -3.6930 -3.5190 -3.3061 -3.0604 -2.8100 -2.2522 -1.7758 -1.3412 -0.9495 -0.6183
 -0.3528 -0.1396
 -4.8166 -4.5450 -4.3273 -4.1561 -4.0243 -3.9263 -3.8513 -3.7729 -3.6796 -3.5678
 -3.4356 -3.2805 -3.0971 -2.8790 -2.6415 -2.1005 -1.6514 -1.2536 -0.8956 -0.5897
 -0.3419 -0.1444  0.0173  0.1541
