 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -8.8448 -8.2995 -7.8025 -7.3236 -6.8737 -6.4502 -6.0495 -5.6715 -5.3171 -4.9867
 -4.6791 -4.3936 -4.1293 -3.8844 -3.6541 -3.1353 -2.6685 -2.2526 -1.9012 -1.6176
 -1.4047 -1.2560 -1.1600 -1.1032 -1.0728 -1.0598 -1.0585 -1.0650 -1.0744 -1.0875
 -1.1037
 -8.9956 -8.4408 -7.9639 -7.4614 -7.0109 -6.5837 -6.1809 -5.7981 -5.4353 -5.0930
 -4.7718 -4.4715 -4.1915 -3.9312 -3.6884 -3.1520 -2.6910 -2.2816 -1.9318 -1.6456
 -1.4231 -1.2584 -1.1431 -1.0687 -1.0257 -1.0049 -0.9992 -1.0036 -1.0149 -1.0304
 -1.0479
 -9.1912 -8.6218 -8.1747 -7.6215 -7.1667 -6.7350 -6.3280 -5.9425 -5.5748 -5.2243
 -4.8917 -4.5777 -4.2828 -4.0071 -3.7564 -3.1855 -2.7194 -2.3170 -1.9648
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  u   
 -8.9420 -8.6149 -8.3860 -8.2293 -8.1135 -8.0122 -7.9349 -7.8072 -7.6448 -7.4305
 -7.1526 -6.7696 -6.4247 -6.0814 -5.7441 -4.8704 -3.9559 -3.2705 -2.6490
 -8.5511 -8.2538 -8.0373 -7.8475 -7.6726 -7.5133 -7.3648 -7.2164 -7.0484 -6.8408
 -6.5792 -6.2599 -5.9083 -5.5583 -5.2188 -4.3922 -3.5907 -2.9211 -2.4430 -2.1061
 -8.3312 -7.9213 -7.5883 -7.3308 -7.1487 -7.0048 -6.8544 -6.6852 -6.4984 -6.2926
 -6.0503 -5.7589 -5.4250 -5.0850 -4.7598 -3.9999 -3.2950 -2.6972 -2.2647 -1.9719
 -1.7714
 -8.2681 -7.7970 -7.3900 -7.0435 -6.7550 -6.5202 -6.3401 -6.1934 -6.0278 -5.8200
 -5.5857 -5.3244 -5.0234 -4.7007 -4.3912 -3.6893 -3.0625 -2.5242 -2.1249 -1.8571
 -1.6778 -1.5554
 -8.3072 -7.7891 -7.3320 -6.9299 -6.5793 -6.2760 -6.0146 -5.7895 -5.6010 -5.4270
 -5.2211 -4.9812 -4.7136 -4.4199 -4.1247 -3.4673 -2.8976 -2.4031 -2.0224 -1.7668
 -1.5997 -1.4883 -1.4129 -1.3613
 -8.4334 -7.8751 -7.3738 -6.9265 -6.5302 -6.1798 -5.8700 -5.5953 -5.3487 -5.1275
 -4.9280 -4.7259 -4.4978 -4.2356 -3.9596 -3.3292 -2.7967 -2.3325 -1.9585 -1.7003
 -1.5354 -1.4287 -1.3585 -1.3125 -1.2828 -1.2632 -1.2491 -1.2369 -1.2246 -1.2082
 -8.6289 -8.0392 -7.5010 -7.0128 -6.5746 -6.1839 -5.8361 -5.5255 -5.2453 -4.9893
 -4.7542 -4.5378 -4.3334 -4.1141 -3.8713 -3.2629 -2.7491 -2.3043 -1.9322 -1.6601
 -1.4849 -1.3758 -1.3066 -1.2628 -1.2362 -1.2213 -1.2137 -1.2092 -1.2054 -1.2019
 -1.1945
 -8.8744 -8.2615 -7.6960 -7.1746 -6.6984 -6.2694 -5.8858 -5.5423 -5.2332 -4.9522
 -4.6933 -4.4541 -4.2337 -4.0222 -3.8085 -3.2507 -2.7409 -2.3075 -1.9365 -1.6481
 -1.4527 -1.3310 -1.2572 -1.2125 -1.1866 -1.1737 -1.1697 -1.1704 -1.1728 -1.1760
 -1.1799
 -9.1499 -8.5183 -7.9312 -7.3865 -6.8814 -6.4188 -6.0002 -5.6242 -5.2864 -4.9807
 -4.7012 -4.4433 -4.2045 -3.9803 -3.7658 -3.2491 -2.7542 -2.3249 -1.9573 -1.6568
