 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -3.8454 -3.6020 -3.3854 -3.1866 -2.9980 -2.8162 -2.6404 -2.4715 -2.3105 -2.1576
 -2.0123 -1.8739 -1.7420 -1.6157 -1.4939 -1.2118 -0.9730 -0.7896 -0.6511 -0.5435
 -0.4607 -0.3956 -0.3409 -0.2917 -0.2454 -0.2008 -0.1579 -0.1168 -0.0784 -0.0439
 -0.0162
 -3.7328 -3.5077 -3.3072 -3.1244 -2.9522 -2.7854 -2.6212 -2.4600 -2.3031 -2.1520
 -2.0073 -1.8691 -1.7369 -1.6104 -1.4892 -1.2140 -0.9815 -0.7962 -0.6551 -0.5467
 -0.4639 -0.4010 -0.3515 -0.3095 -0.2709 -0.2339 -0.1980 -0.1628 -0.1289 -0.0972
 -0.0676
 -3.6275 -3.4163 -3.2251 -3.0529 -2.8928 -2.7399 -2.5893 -2.4395 -2.2910 -2.1453
 -2.0037 -1.8674 -1.7364 -1.6107 -1.4903 -1.2172 -0.9884 -0.8035 -0.6600 -0.5501
 -0.4662 -0.4032 -0.3560 -0.3192 -0.2877 -0.2586 -0.2306 -0.2027 -0.1751 -0.1484
 -0.1233
 -3.5278 -3.3263 -3.1430 -2.9761 -2.8229 -2.6792 -2.5407 -2.4035 -2.2666 -2.1301
 -1.9952 -1.8633 -1.7352 -1.6107 -1.4972 -1.2214 -0.9937 -0.8115 -0.6658
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  g   
 -5.5765 -5.1734 -4.8383 -4.5567 -4.3135 -4.0899 -3.8690 -3.6408 -3.4106 -3.1776
 -2.9387 -2.6976 -2.4644 -2.2528 -2.0626 -1.6579 -1.3134 -1.0153 -0.7580
 -5.1896 -4.7726 -4.4205 -4.1290 -3.8860 -3.6750 -3.4787 -3.2837 -3.0884 -2.8896
 -2.6820 -2.4646 -2.2471 -2.0452 -1.8644 -1.4918 -1.1905 -0.9313 -0.7119 -0.5339
 -4.7769 -4.3798 -4.0778 -3.8189 -3.5846 -3.3781 -3.1926 -3.0167 -2.8443 -2.6711
 -2.4916 -2.3004 -2.1000 -1.9066 -1.7315 -1.3768 -1.1033 -0.8755 -0.6822 -0.5224
 -0.3914
 -4.5866 -4.1442 -3.7934 -3.5215 -3.3172 -3.1604 -3.0044 -2.8390 -2.6738 -2.5117
 -2.3498 -2.1825 -2.0033 -1.8201 -1.6493 -1.3029 -1.0452 -0.8382 -0.6646 -0.5196
 -0.3994 -0.2972
