 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -2.6964 -2.3996 -2.1610 -1.9575 -1.7773 -1.4064 -1.1277 -0.9092 -0.7248 -0.5629
 -0.4204
 -6.2106 -5.9153 -5.6434 -5.3938 -5.1549 -4.8977 -4.5602 -4.0815 -3.5440 -3.0590
 -2.6750 -2.3783 -2.1396 -1.9365 -1.7565 -1.3811 -1.0971 -0.8801 -0.7022 -0.5490
 -0.4155 -0.2992
 -5.9544 -5.6734 -5.3747 -5.0957 -4.8341 -4.5755 -4.2899 -3.9132 -3.4660 -3.0318
 -2.6651 -2.3716 -2.1334 -1.9310 -1.7515 -1.3724 -1.0812 -0.8620 -0.6880 -0.5409
 -0.4145 -0.3050 -0.2097 -0.1263
 -5.7083 -5.3984 -5.1171 -4.8434 -4.5733 -4.3057 -4.0364 -3.7324 -3.3690 -2.9929
 -2.6540 -2.3704 -2.1352 -1.9346 -1.7564 -1.3758 -1.0771 -0.8526 -0.6796 -0.5369
 -0.4159 -0.3122 -0.2226 -0.1442 -0.0755 -0.0152  0.0392  0.0885  0.1268  0.1494
 -5.5135 -5.1007 -4.7624 -4.4860 -4.2486 -4.0239 -3.7907 -3.5372 -3.2481 -2.9345
 -2.6331 -2.3670 -2.1395 -1.9428 -1.7673 -1.3884 -1.0829 -0.8508 -0.6757 -0.5357
 -0.4188 -0.3199 -0.2354 -0.1622 -0.0983 -0.0425  0.0068  0.0513  0.0909  0.1203
  0.1348
 -5.4934 -5.0029 -4.5808 -4.2273 -3.9333 -3.6827 -3.4605 -3.2541 -3.0434 -2.8171
 -2.5817 -2.3520 -2.1408 -1.9521 -1.7815 -1.4075 -1.0972 -0.8565 -0.6765 -0.5365
 -0.4223 -0.3273 -0.2473 -0.1791 -0.1203 -0.0689 -0.0239  0.0156  0.0505  0.0810
  0.1023
 -5.5848 -5.0367 -4.5530 -4.1362 -3.7841 -3.4883 -3.2354 -3.0120 -2.8067 -2.6148
 -2.4371 -2.2715 -2.1100 -1.9490 -1.7915 -1.4288 -1.1164 -0.8676 -0.6801 -0.5377
 -0.4246 -0.3324 -0.2563 -0.1929 -0.1393 -0.0933 -0.0535 -0.0184  0.0123  0.0390
  0.0608
 -5.7715 -5.1727 -4.6386 -4.1698 -3.7674 -3.4277 -3.1419 -2.8984 -2.6853 -2.4937
 -2.3206 -2.1668 -2.0301 -1.9042 -1.7797 -1.4552 -1.1456 -0.8892 -0.6925 -0.5443
 -0.4297 -0.3385 -0.2650 -0.2054 -0.1565 -0.1158 -0.0813 -0.0514 -0.0252 -0.0026
  0.0167
 -5.9864 -5.3665 -4.7933 -4.2841 -3.8392 -3.4592 -3.1393 -2.8703 -2.6417 -2.4440
 -2.2694 -2.1141 -1.9757 -1.8515 -1.7379 -1.4649 -1.1787 -0.9175 -0.7114 -0.5550
 -0.4364 -0.3443 -0.2719 -0.2149 -0.1698 -0.1339 -0.1048 -0.0806 -0.0596 -0.0415
 -0.0261
 -6.1694 -5.5571 -4.9780 -4.4452 -3.9697 -3.5566 -3.2049 -2.9086 -2.6587 -2.4462
 -2.2627 -2.1018 -1.9586 -1.8298 -1.6661 -1.4579 -1.2157 -0.9525 -0.7368
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  g   
 -7.4967 -7.3256 -7.1723 -6.9515 -6.6255 -6.1760 -5.5890 -4.8537 -4.0294 -3.3663
 -2.9046 -2.5746 -2.3189 -2.1073 -1.9222 -1.5516 -1.2688 -1.0359 -0.8289
 -7.0397 -6.8426 -6.6707 -6.5088 -6.3201 -6.0238 -5.4899 -4.6906 -3.9069 -3.2724
 -2.8202 -2.4947 -2.2427 -2.0333 -1.8512 -1.4807 -1.1997 -0.9729 -0.7777 -0.6027
 -6.6653 -6.4365 -6.2367 -6.0565 -5.8701 -5.6217 -5.2062 -4.5563 -3.8462 -3.2383
 -2.7869 -2.4575 -2.2041 -1.9947 -1.8124 -1.4381 -1.1541 -0.9314 -0.7445 -0.5801
 -0.4361
 -6.3664 -6.1061 -5.8726 -5.6644 -5.4675 -5.2453 -4.9241 -4.4153 -3.8029 -3.2309
 -2.7821 -2.4467 -2.1889 -1.9778 -1.7949 -1.4164 -1.1264 -0.9038 -0.7222 -0.5654
 -0.4281 -0.3079
 -6.1334 -5.8462 -5.5812 -5.3400 -5.1202 -4.8994 -4.6369 -4.2499 -3.7438 -3.2270
 -2.7897 -2.4511 -2.1885 -1.9750 -1.7914 -1.4094 -1.1122 -0.8863 -0.7075 -0.5562
 -0.4252 -0.3115 -0.2125 -0.1259
 -5.9154 -5.6210 -5.3425 -5.0804 -4.8336 -4.5974 -4.3555 -4.0545 -3.6535 -3.2065
 -2.7963 -2.4625 -2.1970 -1.9812 -1.7968 -1.4132 -1.1092 -0.8771 -0.6984 -0.5509
 -0.4249 -0.3165 -0.2228 -0.1411 -0.0695 -0.0065  0.0494  0.1000  0.1377  0.1603
 -5.6281 -5.3001 -5.0274 -4.7963 -4.5709 -4.3399 -4.1004 -3.8426 -3.5281 -3.1584
 -2.7912 -2.4718 -2.2091 -1.9928 -1.8084 -1.4252 -1.1156 -0.8758 -0.6940 -0.5486
 -0.4263 -0.3223 -0.2333 -0.1564 -0.0895 -0.0309  0.0202  0.0651  0.1053  0.1339
  0.1480
 -5.5324 -5.0976 -4.7350 -4.4417 -4.2019 -3.9954 -3.8005 -3.5945 -3.3552 -3.0701
 -2.7628 -2.4719 -2.2197 -2.0065 -1.8234 -1.4433 -1.1305 -0.8825 -0.6947 -0.5487
 -0.4289 -0.3282 -0.2433 -0.1710 -0.1088 -0.0548 -0.0082  0.0321  0.0672  0.0977
  0.1180
 -5.5755 -5.0739 -4.6356 -4.2641 -3.9549 -3.6964 -3.4721 -3.2694 -3.0719 -2.8655
 -2.6472 -2.4260 -2.2116 -2.0142 -1.8371 -1.4633 -1.1500 -0.8948 -0.6991 -0.5497
 -0.4306 -0.3325 -0.2510 -0.1830 -0.1254 -0.0763 -0.0345  0.0014  0.0321  0.0580
  0.0793
 -5.7344 -5.1764 -4.6790 -4.2452 -3.8741 -3.5612 -3.2963 -3.0659 -2.8572 -2.6600
 -2.4736 -2.2997 -2.1393 -1.9875 -1.8397 -1.4896 -1.1791 -0.9179 -0.7131 -0.5571
 -0.4360 -0.3386 -0.2593 -0.1945 -0.1410 -0.0966 -0.0597 -0.0286 -0.0024  0.0196
  0.0374
 -5.9644 -5.3641 -4.8170 -4.3316 -3.9085 -3.5461 -3.2390 -2.9781 -2.7525 -2.5515
 -2.3681 -2.2014 -2.0523 -1.9196 -1.7980 -1.5060 -1.2123 -0.9479 -0.7344 -0.5698
 -0.4439 -0.3452 -0.2667 -0.2040 -0.1538 -0.1135 -0.0814 -0.0553 -0.0340 -0.0164
 -0.0025
 -6.1995 -5.5862 -5.0138 -4.4875 -4.0238 -3.6186 -3.2718 -2.9778 -2.7279 -2.5134
 -2.3253 -2.1582 -2.0090 -1.8757 -1.7120 -1.5125 -1.2496 -0.9848 -0.7630
 [Fe/H] =  0.50 [alpha/Fe] = 0.00 BC value =  g   
 -7.6344 -7.8367 -7.8106 -7.5798 -7.1651 -6.5847 -5.8547 -5.0215 -4.2185 -3.5079
 -2.9917 -2.6301 -2.3596 -2.1402 -1.9535 -1.5758 -1.2907 -1.0568 -0.8515
 -7.1877 -7.0283 -6.8893 -6.7643 -6.6104 -6.3082 -5.7418 -4.9128 -4.1148 -3.4261
 -2.9187 -2.5604 -2.2919 -2.0753 -1.8901 -1.5150 -1.2295 -0.9990 -0.7984 -0.6208
 -6.8106 -6.6157 -6.4512 -6.3091 -6.1584 -5.9369 -5.5225 -4.8327 -4.0768 -3.4079
 -2.8990 -2.5325 -2.2597 -2.0415 -1.8557 -1.4776 -1.1883 -0.9605 -0.7703 -0.6030
 -0.4553
 -6.4985 -6.2693 -6.0714 -5.9018 -5.7432 -5.5537 -5.2485 -4.7216 -4.0551 -3.4191
 -2.9075 -2.5309 -2.2497 -2.0275 -1.8402 -1.4582 -1.1631 -0.9344 -0.7485 -0.5878
 -0.4460 -0.3212
 -6.2473 -5.9895 -5.7571 -5.5532 -5.3740 -5.1898 -4.9525 -4.5671 -4.0176 -3.4335
 -2.9308 -2.5455 -2.2548 -2.0267 -1.8369 -1.4518 -1.1501 -0.9175 -0.7334 -0.5776
 -0.4416 -0.3228 -0.2193 -0.1290
 -6.0399 -5.7614 -5.5046 -5.2700 -5.0574 -4.8597 -4.6503 -4.3620 -3.9386 -3.4323
 -2.9555 -2.5682 -2.2698 -2.0354 -1.8424 -1.4548 -1.1473 -0.9084 -0.7235 -0.5711
 -0.4397 -0.3259 -0.2274 -0.1418 -0.0669 -0.0009  0.0579  0.1092  0.1480  0.1711
 -5.7743 -5.4634 -5.2595 -5.0248 -4.7990 -4.5817 -4.3674 -4.1293 -3.8093 -3.3973
 -2.9675 -2.5917 -2.2897 -2.0503 -1.8543 -1.4652 -1.1536 -0.9072 -0.7184 -0.5674
 -0.4397 -0.3299 -0.2357 -0.1547 -0.0842 -0.0226  0.0309  0.0782  0.1198  0.1475
  0.1617
 -5.5677 -5.1981 -4.9050 -4.6760 -4.4836 -4.3007 -4.1063 -3.8918 -3.6383 -3.3178
 -2.9530 -2.6051 -2.3094 -2.0689 -1.8705 -1.4813 -1.1679 -0.9143 -0.7189 -0.5666
 -0.4411 -0.3345 -0.2441 -0.1671 -0.1010 -0.0436  0.0057  0.0478  0.0842  0.1153
  0.1346
 -5.5496 -5.0975 -4.7116 -4.3944 -4.1390 -3.9291 -3.7473 -3.5751 -3.3881 -3.1588
 -2.8827 -2.5896 -2.3173 -2.0834 -1.8863 -1.4991 -1.1865 -0.9270 -0.7236 -0.5672
 -0.4421 -0.3378 -0.2505 -0.1773 -0.1154 -0.0624 -0.0177  0.0201  0.0518  0.0780
  0.0992
 -5.6635 -5.1504 -4.6970 -4.3064 -3.9780 -3.7054 -3.4755 -3.2732 -3.0853 -2.8980
 -2.6989 -2.4900 -2.2820 -2.0844 -1.9027 -1.5239 -1.2141 -0.9506 -0.7388 -0.5751
 -0.4474 -0.3437 -0.2583 -0.1879 -0.1295 -0.0807 -0.0403 -0.0068  0.0207  0.0426
  0.0598
 -5.8790 -5.3095 -4.7998 -4.3502 -3.9612 -3.6300 -3.3500 -3.1108 -2.8996 -2.7048
 -2.5184 -2.3401 -2.1729 -2.0190 -1.8757 -1.5461 -1.2458 -0.9812 -0.7618 -0.5895
 -0.4562 -0.3510 -0.2661 -0.1973 -0.1417 -0.0964 -0.0601 -0.0310 -0.0081  0.0098
  0.0231
 -6.1387 -5.5399 -4.9842 -4.4866 -4.0464 -3.6647 -3.3376 -3.0591 -2.8201 -2.6107
 -2.4218 -2.2484 -2.0897 -1.9471 -1.8053 -1.5657 -1.2816 -1.0188 -0.7926
 [Fe/H] =  0.75 [alpha/Fe] = 0.00 BC value =  g   
 -7.7190 -7.7187 -7.5729 -7.2969 -6.9038 -6.4056 -5.8126 -5.1339 -4.3906 -3.6699
 -3.1054 -2.7072 -2.4171 -2.1893 -1.9970 -1.6106 -1.3214 -1.0843 -0.8775
 -7.2886 -7.1646 -7.0696 -6.9816 -6.8098 -6.4648 -5.8747 -5.0675 -4.3058 -3.5984
 -3.0429 -2.6462 -2.3567 -2.1297 -1.9400 -1.5593 -1.2674 -1.0326 -0.8323 -0.6536
 -6.9153 -6.7405 -6.6311 -6.5267 -6.4087 -6.2089 -5.7820 -5.0433 -4.2848 -3.5906
 -3.0325 -2.6263 -2.3293 -2.0991 -1.9080 -1.5256 -1.2310 -0.9974 -0.8028 -0.6321
 -0.4787
 -6.5984 -6.4012 -6.2398 -6.1083 -5.9853 -5.8240 -5.5343 -4.9874 -4.2840 -3.6141
 -3.0525 -2.6331 -2.3240 -2.0869 -1.8928 -1.5069 -1.2076 -0.9730 -0.7818 -0.6170
 -0.4701 -0.3400
 -6.3350 -6.1056 -5.9063 -5.7389 -5.5975 -5.4466 -5.2325 -4.8499 -4.2678 -3.6411
 -3.0887 -2.6571 -2.3346 -2.0880 -1.8893 -1.4995 -1.1948 -0.9564 -0.7666 -0.6062
 -0.4649 -0.3402 -0.2313 -0.1366
 -6.1177 -5.8643 -5.6340 -5.4303 -5.2535 -5.0930 -4.9141 -4.6412 -4.2057 -3.6566
 -3.1263 -2.6906 -2.3562 -2.0994 -1.8947 -1.5005 -1.1913 -0.9470 -0.7559 -0.5984
 -0.4617 -0.3417 -0.2375 -0.1471 -0.0682  0.0014  0.0640  0.1188  0.1569  0.1812
 -5.9057 -5.6445 -5.4022 -5.1778 -4.9726 -4.7853 -4.6052 -4.3915 -4.0758 -3.6349
 -3.1532 -2.7251 -2.3833 -2.1181 -1.9070 -1.5086 -1.1964 -0.9452 -0.7499 -0.5934
 -0.4602 -0.3443 -0.2442 -0.1580 -0.0833 -0.0182  0.0386  0.0894  0.1328  0.1605
  0.1752
 -5.6164 -5.3322 -5.0958 -4.8980 -4.7137 -4.5239 -4.3330 -4.1347 -3.8917 -3.5588
 -3.1513 -2.7511 -2.4132 -2.1417 -1.9247 -1.5220 -1.2091 -0.9519 -0.7497 -0.5912
 -0.4602 -0.3475 -0.2510 -0.1685 -0.0979 -0.0368  0.0158  0.0610  0.1001  0.1326
  0.1511
 -5.5220 -5.1233 -4.7974 -4.5388 -4.3391 -4.1770 -4.0271 -3.8651 -3.6703 -3.4183
 -3.0987 -2.7502 -2.4297 -2.1615 -1.9428 -1.5372 -1.2256 -0.9643 -0.7544 -0.5911
 -0.4600 -0.3497 -0.2561 -0.1771 -0.1103 -0.0532 -0.0047  0.0362  0.0701  0.0980
  0.1200
 -5.5816 -5.1153 -4.7087 -4.3656 -4.0860 -3.8604 -3.6738 -3.5111 -3.3559 -3.1835
 -2.9659 -2.7039 -2.4307 -2.1806 -1.9661 -1.5598 -1.2505 -0.9875 -0.7701 -0.5991
 -0.4649 -0.3550 -0.2633 -0.1868 -0.1230 -0.0696 -0.0250  0.0120  0.0419  0.0654
  0.0830
 -5.7551 -5.2321 -4.7648 -4.3560 -4.0065 -3.7137 -3.4699 -3.2625 -3.0778 -2.9034
 -2.7273 -2.5390 -2.3421 -2.1481 -1.9663 -1.5842 -1.2795 -1.0171 -0.7940 -0.6145
 -0.4741 -0.3624 -0.2710 -0.1959 -0.1345 -0.0841 -0.0431 -0.0101  0.0160  0.0354
  0.0487
 -6.0130 -5.4415 -4.9215 -4.4587 -4.0520 -3.7016 -3.4031 -3.1497 -2.9312 -2.7365
 -2.5552 -2.3808 -2.2139 -2.0560 -1.9434 -1.6104 -1.3126 -1.0531 -0.8261
 [Fe/H] =  1.00 [alpha/Fe] = 0.00 BC value =  g   
 -7.7561 -7.7330 -7.5777 -7.3039 -6.9239 -6.4484 -5.8867 -5.2473 -4.5463 -3.8432
 -3.2409 -2.8041 -2.4907 -2.2505 -2.0528 -1.6588 -1.3602 -1.1181 -0.9069
 -7.3401 -7.8043 -7.9468 -7.8008 -7.3951 -6.7554 -5.9543 -5.1922 -4.4775 -3.7799
 -3.1872 -2.7515 -2.4368 -2.1966 -2.0003 -1.6136 -1.3136 -1.0722 -0.8687 -0.6873
 -6.9712 -7.1913 -6.7738 -6.7089 -6.6213 -6.4395 -5.9476 -5.1868 -4.4661 -3.7761
 -3.1856 -2.7392 -2.4141 -2.1683 -1.9698 -1.5817 -1.2819 -1.0417 -0.8418 -0.6669
 -0.5096
 -6.6528 -6.4931 -6.3730 -6.2821 -6.1936 -6.0571 -5.7768 -5.1962 -4.4824 -3.8055
 -3.2151 -2.7545 -2.4136 -2.1577 -1.9542 -1.5625 -1.2597 -1.0191 -0.8221 -0.6521
 -0.5013 -0.3654
 -6.3850 -6.1864 -6.0234 -5.8952 -5.7911 -5.6705 -5.4756 -5.0948 -4.4879 -3.8410
 -3.2580 -2.7863 -2.4300 -2.1611 -1.9502 -1.5528 -1.2463 -1.0028 -0.8070 -0.6417
 -0.4953 -0.3645 -0.2493 -0.1485
 -6.1612 -5.9336 -5.7327 -5.5633 -5.4237 -5.2982 -5.1463 -4.8874 -4.4432 -3.8674
 -3.3049 -2.8290 -2.4582 -2.1757 -1.9557 -1.5509 -1.2412 -0.9927 -0.7957 -0.6330
 -0.4911 -0.3650 -0.2543 -0.1581 -0.0746 -0.0003  0.0670  0.1231  0.1630  0.1896
 -5.9634 -5.7170 -5.4936 -5.2923 -5.1161 -4.9625 -4.8155 -4.6253 -4.3165 -3.8566
 -3.3408 -2.8732 -2.4926 -2.1989 -1.9691 -1.5557 -1.2440 -0.9900 -0.7887 -0.6266
 -0.4882 -0.3661 -0.2596 -0.1674 -0.0881 -0.0191  0.0424  0.0976  0.1426  0.1714
  0.1877
 -5.6906 -5.4654 -5.2522 -5.0503 -4.8604 -4.6829 -4.5164 -4.3467 -4.1207 -3.7855
 -3.3494 -2.9077 -2.5295 -2.2276 -1.9890 -1.5664 -1.2538 -0.9957 -0.7878 -0.6232
 -0.4867 -0.3682 -0.2650 -0.1764 -0.1005 -0.0351  0.0211  0.0703  0.1137  0.1477
  0.1665
 -5.4975 -5.1590 -4.8984 -4.6999 -4.5440 -4.3992 -4.2459 -4.0796 -3.8893 -3.6392
 -3.3022 -2.9159 -2.5543 -2.2524 -2.0097 -1.5790 -1.2673 -1.0066 -0.7920 -0.6221
 -0.4852 -0.3692 -0.2691 -0.1836 -0.1112 -0.0495  0.0031  0.0475  0.0851  0.1164
  0.1398
 -5.4970 -5.0787 -4.7213 -4.4303 -4.2028 -4.0259 -3.8842 -3.7583 -3.6227 -3.4464
 -3.2012 -2.8930 -2.5704 -2.2803 -2.0373 -1.5997 -1.2884 -1.0279 -0.8073 -0.6298
 -0.4892 -0.3736 -0.2755 -0.1924 -0.1227 -0.0641 -0.0151  0.0259  0.0593  0.0856
  0.1055
 -5.6212 -5.1443 -4.7209 -4.3554 -4.0492 -3.7992 -3.5964 -3.4273 -3.2789 -3.1364
 -2.9780 -2.7762 -2.5329 -2.2829 -2.0557 -1.6238 -1.3138 -1.0551 -0.8309 -0.6455
 -0.4984 -0.3804 -0.2828 -0.2012 -0.1335 -0.0775 -0.0317  0.0059  0.0358  0.0583
  0.0740
 -5.8495 -5.3179 -4.8394 -4.4148 -4.0457 -3.7310 -3.4670 -3.2455 -3.0557 -2.8851
 -2.7236 -2.5608 -2.3875 -2.2054 -2.0649 -1.6513 -1.3435 -1.0882 -0.8628
