 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = UX   
 -0.7524 -0.5766 -0.4481 -0.3608 -0.3046 -0.2691 -0.2470 -0.2330 -0.2240 -0.2177
 -0.2127
 -7.1810 -6.5403 -5.9869 -5.5161 -5.1133 -4.7668 -4.4676 -4.2085 -3.9842 -3.7891
 -3.6159 -3.4565 -3.3040 -3.1542 -3.0030 -2.5679 -2.0721 -1.6382 -1.2865 -0.9972
 -0.7600 -0.5719 -0.4303 -0.3313 -0.2673 -0.2284 -0.2063 -0.1947 -0.1898 -0.1890
 -0.1901
 -8.1190 -7.3531 -6.6783 -6.0876 -5.5788 -5.1423 -4.7662 -4.4405 -4.1567 -3.9089
 -3.6903 -3.4943 -3.3141 -3.1438 -2.9793 -2.5749 -2.1345 -1.6969 -1.3302 -1.0305
 -0.7826 -0.5815 -0.4251 -0.3111 -0.2347 -0.1879 -0.1621 -0.1500 -0.1468 -0.1494
 -0.1552
 -9.1211 -8.2730 -7.4968 -6.8038 -6.1883 -5.6510 -5.1836 -4.7765 -4.4216 -4.1113
 -3.8387 -3.5975 -3.3810 -3.1834 -2.9680 -2.5503 -2.2091 -1.7790 -1.3923
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value = UX   
 -6.9290 -6.9531 -6.9693 -6.9721 -6.9598 -6.9203 -6.8443 -6.7320 -6.5617 -6.4184
 -6.2377 -6.0379 -5.8140 -5.5645 -5.2922 -4.5780
 -6.3013 -6.3299 -6.3498 -6.3568 -6.3480 -6.3167 -6.2564 -6.1625 -6.0346 -5.8769
 -5.6931 -5.4821 -5.2434 -4.9821 -4.7065 -4.0172 -3.3642 -2.7568 -2.2074
 -5.7560 -5.7805 -5.7989 -5.8068 -5.8002 -5.7750 -5.7264 -5.6479 -5.5369 -5.3930
 -5.2161 -5.0071 -4.7677 -4.5061 -4.2340 -3.5720 -2.9657 -2.4237 -1.9523 -1.5590
 -1.2510
 -5.2931 -5.3049 -5.3166 -5.3221 -5.3164 -5.2952 -5.2543 -5.1882 -5.0933 -4.9667
 -4.8067 -4.6129 -4.3869 -4.1365 -3.8747 -3.2424 -2.6765 -2.1806 -1.7572 -1.4076
 -1.1303 -0.9214 -0.7608
 -4.9626 -4.9376 -4.9285 -4.9236 -4.9141 -4.8938 -4.8577 -4.8010 -4.7196 -4.6103
 -4.4704 -4.2980 -4.0927 -3.8595 -3.6106 -3.0039 -2.4681 -2.0039 -1.6106 -1.2889
 -1.0340 -0.8416 -0.6983 -0.5890 -0.5010
 -4.9057 -4.7707 -4.6858 -4.6368 -4.6067 -4.5798 -4.5438 -4.4922 -4.4207 -4.3257
 -4.2041 -4.0535 -3.8714 -3.6589 -3.4249 -2.8380 -2.3214 -1.8786 -1.5041 -1.1986
 -0.9577 -0.7758 -0.6438 -0.5468 -0.4716 -0.4091
 -5.1335 -4.8845 -4.6884 -4.5439 -4.4436 -4.3741 -4.3223 -4.2675 -4.1981 -4.1106
 -4.0019 -3.8691 -3.7089 -3.5188 -3.3021 -2.7316 -2.2245 -1.7947 -1.4312 -1.1339
 -0.8997 -0.7223 -0.5946 -0.5041 -0.4376 -0.3855 -0.3420 -0.3030 -0.2651 -0.2266
 -5.4491 -5.1324 -4.8591 -4.6312 -4.4478 -4.3044 -4.1973 -4.1214 -4.0564 -3.9748
 -3.8694 -3.7426 -3.5951 -3.4244 -3.2271 -2.6749 -2.1696 -1.7449 -1.3873 -1.0922
 -0.8587 -0.6810 -0.5523 -0.4631 -0.4010 -0.3556 -0.3206 -0.2915 -0.2654 -0.2399
 -0.2120
 -5.8368 -5.4484 -5.1111 -4.8188 -4.5698 -4.3626 -4.1930 -4.0565 -3.9496 -3.8611
 -3.7734 -3.6681 -3.5327 -3.3705 -3.1875 -2.6600 -2.1518 -1.7252 -1.3684 -1.0719
