 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  I   
  0.5592  0.5122  0.4660  0.4215  0.3789  0.3378  0.2973  0.2570  0.2162  0.1739
  0.1290
  1.0644  1.0153  0.9718  0.9333  0.8963  0.8613  0.8292  0.8138  0.7873  0.7650
  0.7469  0.7327  0.7219  0.7139  0.7077  0.6982  0.6934  0.6796  0.6544  0.6186
  0.5748  0.5263  0.4760  0.4266  0.3793  0.3342  0.2908  0.2487  0.2072  0.1656
  0.1229
  1.1474  1.1150  1.0657  1.0013  0.9621  0.9236  0.9137  0.8798  0.8485  0.8298
  0.8036  0.7813  0.7630  0.7483  0.7358  0.7133  0.7052  0.6911  0.6666
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  I   
  0.3298  0.2974  0.1966  0.1559  0.2109  0.2692  0.2432  0.1752  0.1522  0.2041
  0.2820  0.3706  0.4466  0.5051  0.5602  0.6684
  0.3289  0.3510  0.3231  0.3086  0.3236  0.3345  0.3122  0.2769  0.2639  0.2860
  0.3271  0.3827  0.4424  0.4980  0.5494  0.6474  0.6973  0.7094  0.7067
  0.3286  0.3848  0.4058  0.4122  0.4078  0.3940  0.3757  0.3596  0.3514  0.3541
  0.3700  0.4005  0.4442  0.4936  0.5403  0.6288  0.6743  0.6847  0.6767  0.6555
  0.6230
  0.3289  0.3988  0.4447  0.4667  0.4635  0.4477  0.4337  0.4233  0.4147  0.4084
  0.4107  0.4240  0.4520  0.4919  0.5329  0.6126  0.6545  0.6636  0.6526  0.6313
  0.6037  0.5709  0.5336
  0.3298  0.3930  0.4398  0.4721  0.4907  0.4956  0.4862  0.4680  0.4538  0.4489
  0.4492  0.4532  0.4658  0.4929  0.5272  0.5988  0.6379  0.6461  0.6345  0.6134
  0.5866  0.5556  0.5208  0.4827  0.4404
  0.3517  0.4020  0.4412  0.4718  0.4945  0.5093  0.5161  0.5154  0.5075  0.4959
  0.4893  0.4890  0.4911  0.5029  0.5273  0.5898  0.6261  0.6337  0.6207  0.5985
  0.5717  0.5414  0.5079  0.4714  0.4317  0.3886
  0.4000  0.4342  0.4612  0.4840  0.5036  0.5197  0.5315  0.5388  0.5420  0.5418
  0.5389  0.5359  0.5342  0.5336  0.5425  0.5875  0.6204  0.6274  0.6126  0.5878
  0.5594  0.5286  0.4954  0.4598  0.4220  0.3815  0.3378  0.2892  0.2351  0.1793
  0.4724  0.4904  0.5035  0.5149  0.5265  0.5383  0.5493  0.5586  0.5654  0.5701
  0.5736  0.5761  0.5781  0.5765  0.5773  0.5974  0.6215  0.6275  0.6115  0.5830
  0.5511  0.5182  0.4841  0.4485  0.4113  0.3724  0.3310  0.2869  0.2378  0.1826
  0.1250
  0.5618  0.5661  0.5664  0.5658  0.5671  0.5708  0.5766  0.5834  0.5897  0.5951
  0.5998  0.6043  0.6087  0.6119  0.6123  0.6215  0.6317  0.6339  0.6171  0.5857
  0.5491  0.5122  0.4754  0.4384  0.4008  0.3623  0.3223  0.2804  0.2356  0.1863
  0.1299
  0.6609  0.6538  0.6443  0.6340  0.6253  0.6196  0.6175  0.6183  0.6207  0.6237
