 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = BX   
 -2.5872 -2.4377 -2.2953 -2.1585 -2.0206 -1.6940 -1.4184 -1.1883 -1.0038 -0.8634
 -0.7519 -0.6567 -0.5717 -0.4932 -0.4195 -0.3502 -0.2854 -0.2253 -0.1702 -0.1236
 -0.0968
 -4.4302 -4.2050 -3.9983 -3.8083 -3.6200 -3.4309 -3.2404 -3.0515 -2.8677 -2.6925
 -2.5287 -2.3773 -2.2363 -2.1032 -1.9742 -1.6723 -1.4090 -1.1897 -1.0120 -0.8721
 -0.7652 -0.6779 -0.6009 -0.5302 -0.4637 -0.4003 -0.3404 -0.2857 -0.2363 -0.1916
 -0.1513
 -4.1778 -4.0246 -3.8548 -3.6704 -3.5035 -3.3364 -3.1662 -2.9937 -2.8210 -2.6517
 -2.4893 -2.3370 -2.1956 -2.0640 -1.9388 -1.6540 -1.4039 -1.1929 -1.0182 -0.8801
 -0.7748 -0.6919 -0.6223 -0.5598 -0.5014 -0.4454 -0.3918 -0.3406 -0.2926 -0.2489
 -0.2120
 -3.9974 -3.8583 -3.7042 -3.5367 -3.3868 -3.2370 -3.0866 -2.9328 -2.7761 -2.6183
 -2.4627 -2.3128 -2.1715 -2.0400 -1.9168 -1.6411 -1.4033 -1.1985 -1.0286 -0.8910
 -0.7844 -0.7025 -0.6374 -0.5821 -0.5320 -0.4843 -0.4385 -0.3942 -0.3517 -0.3119
 -0.2749
 -3.8483 -3.7063 -3.5658 -3.4270 -3.2926 -3.1606 -3.0263 -2.8600 -2.7207 -2.5783
 -2.4344 -2.2918 -2.1538 -2.0231 -1.9008 -1.6296 -1.4008 -1.2030 -1.0365 -0.9008
 -0.7935 -0.7106 -0.6467 -0.5960 -0.5530 -0.5137 -0.4765 -0.4402 -0.4048 -0.3709
 -0.3392
 -3.7305 -3.5684 -3.4398 -3.3413 -3.2210 -3.1073 -2.9285 -2.8057 -2.6793 -2.5239
 -2.3949 -2.2643 -2.1343 -2.0078 -1.8908 -1.6195 -1.3964 -1.2064 -1.0419
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -6.1520 -6.0438 -6.0224 -5.8432 -5.4743 -5.1536 -5.0718 -5.0979 -5.0100 -4.7582
 -4.4586 -4.1514 -3.8675 -3.6078 -3.3422 -2.6872
 -5.7217 -5.4802 -5.3258 -5.1349 -4.8900 -4.6791 -4.5680 -4.4997 -4.3841 -4.1958
 -3.9716 -3.7237 -3.4691 -3.2232 -2.9828 -2.4153 -1.9033 -1.4823 -1.1374
 -5.4000 -5.0678 -4.8187 -4.6086 -4.4290 -4.2774 -4.1456 -4.0200 -3.8860 -3.7344
