 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  R   
  0.1385  0.1315  0.1271  0.1219  0.1162  0.1100  0.1025  0.0908  0.0747  0.0545
  0.0307
 -0.6497 -0.5718 -0.5130 -0.4713 -0.4243 -0.3791 -0.3334 -0.2867 -0.2410 -0.1992
 -0.1629 -0.1311 -0.1014 -0.0725 -0.0451  0.0246  0.0828  0.1232  0.1431  0.1460
  0.1395  0.1296  0.1193  0.1093  0.0997  0.0905  0.0813  0.0715  0.0601  0.0455
  0.0242
 -0.5115 -0.4520 -0.4060 -0.3721 -0.3356 -0.3007 -0.2667 -0.2312 -0.1943 -0.1576
 -0.1235 -0.0937 -0.0672 -0.0427 -0.0191  0.0410  0.0947  0.1333  0.1539  0.1582
  0.1505  0.1362  0.1197  0.1036  0.0886  0.0750  0.0622  0.0500  0.0377  0.0241
  0.0094
 -0.3682 -0.3364 -0.3051 -0.2743 -0.2495 -0.2277 -0.2052 -0.1667 -0.1394 -0.1107
 -0.0819 -0.0548 -0.0309 -0.0098  0.0097  0.0581  0.1068  0.1432  0.1641  0.1699
  0.1635  0.1482  0.1279  0.1060  0.0849  0.0655  0.0478  0.0315  0.0163  0.0012
 -0.0147
 -0.2196 -0.2248 -0.2102 -0.1780 -0.1661 -0.1601 -0.1296 -0.1123 -0.0927 -0.0576
 -0.0359 -0.0140  0.0068  0.0251  0.0413  0.0759  0.1191  0.1529  0.1737
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  R   
 -2.1893 -2.1461 -2.1302 -1.9540 -1.6189 -1.3187 -1.1930 -1.1726 -1.1246 -1.0082
 -0.8640 -0.7103 -0.5765 -0.4680 -0.3646 -0.1385
 -1.9559 -1.7971 -1.6809 -1.5180 -1.3085 -1.1266 -1.0222 -0.9656 -0.9036 -0.8173
 -0.7178 -0.6084 -0.4997 -0.3994 -0.3055 -0.1066  0.0386  0.1341  0.2022
 -1.7788 -1.5430 -1.3575 -1.1976 -1.0626 -0.9538 -0.8670 -0.7948 -0.7291 -0.6641
 -0.5953 -0.5185 -0.4323 -0.3428 -0.2583 -0.0823  0.0438  0.1265  0.1808  0.2126
  0.2251
 -1.6580 -1.3838 -1.1600 -0.9928 -0.8812 -0.8003 -0.7274 -0.6602 -0.6011 -0.5486
 -0.4965 -0.4406 -0.3743 -0.2982 -0.2230 -0.0656  0.0461  0.1187  0.1634  0.1909
  0.2073  0.2156  0.2175
 -1.5935 -1.3195 -1.0884 -0.9036 -0.7643 -0.6661 -0.6034 -0.5618 -0.5196 -0.4708
 -0.4214 -0.3747 -0.3257 -0.2656 -0.1996 -0.0565  0.0455  0.1107  0.1501  0.1746
  0.1897  0.1981  0.2012  0.2005  0.1946
