 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F547M
 -3.1587 -2.7383 -2.3949 -2.1185 -1.8982 -1.7199 -1.5712 -1.4436 -1.3317 -1.2320
 -1.1413 -1.0571 -0.9773 -0.9014 -0.8299 -0.6516 -0.4921 -0.3684 -0.2814 -0.2236
 -0.1864 -0.1606 -0.1396 -0.1204 -0.1017 -0.0832 -0.0652 -0.0481 -0.0328 -0.0211
 -0.0166
 -3.0513 -2.6722 -2.3508 -2.0865 -1.8728 -1.6992 -1.5544 -1.4297 -1.3192 -1.2195
 -1.1281 -1.0433 -0.9633 -0.8868 -0.8140 -0.6430 -0.4910 -0.3683 -0.2788 -0.2187
 -0.1812 -0.1583 -0.1430 -0.1305 -0.1185 -0.1061 -0.0933 -0.0802 -0.0674 -0.0560
 -0.0453
 -2.9521 -2.6092 -2.3102 -2.0569 -1.8474 -1.6750 -1.5314 -1.4087 -1.3005 -1.2027
 -1.1126 -1.0289 -0.9501 -0.8750 -0.8029 -0.6351 -0.4880 -0.3677 -0.2770 -0.2141
 -0.1745 -0.1517 -0.1394 -0.1326 -0.1273 -0.1218 -0.1154 -0.1080 -0.0997 -0.0913
 -0.0839
 -2.8646 -2.5546 -2.2806 -2.0398 -1.8314 -1.6549 -1.5081 -1.3835 -1.2753 -1.1791
 -1.0912 -1.0097 -0.9332 -0.8607 -0.7966 -0.6279 -0.4831 -0.3666 -0.2760
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F547M
 -5.6134 -5.1483 -4.7207 -4.3199 -3.9408 -3.5558 -3.1358 -2.6887 -2.3143 -2.0193
 -1.7814 -1.5802 -1.4038 -1.2477 -1.1087 -0.8228 -0.5996 -0.4205 -0.2798
 -5.2544 -4.7336 -4.2635 -3.8405 -3.4563 -3.0981 -2.7397 -2.3801 -2.0773 -1.8317
 -1.6281 -1.4509 -1.2908 -1.1455 -1.0150 -0.7489 -0.5483 -0.3922 -0.2697 -0.1747
